,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,manufacturing,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,generic_name,link,palm_ingredients,brand_owner,producer_info
401,Pomme Ariane les naturianes,3430066475677,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Tigullio GranPesti Peperoni e Noci - star - 190g,80024057,,"['France', 'Italie']",[],[],?,298,29,5,"3,5",,"['Epicerie', 'Sauces']",['en:gluten-free'],,+25%,+60%,-50%,+30%,,,,,,,,190 g,['Star'],,,,1247 kj(298 kcal),"4,1",4,"2,6","1,04",,,29 g,en quantité élevée,4.1 g,en quantité modérée,4 g,en faible quantité,2.6 g,en quantité élevée,+26%,+90%,-38%,+7%,+7%,17,+47%,D,+47%,,,,,,,
403,Smiley golden pops,3460513524450,,['France'],[],[],?,386,"0,8",88,6,,,,,,,,,,,,,,,,,,,,,1615 kj(386 kcal),"0,2",25,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
404,Fromage frais nature - Bio Village,15376331,,['France'],[],[],?,85,"3,6","3,5","9,6",,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,['Bio Village'],,,,356 kj(85 kcal),"2,2","3,5","0,09","0,036",['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,
405,Huile vierge de chia,3155700005149,,['France'],[],[],?,828,99,0,0,,,,,,,,,,,,,,,,,,,,,3464 kj(828 kcal),"9,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Vin rouge,3176481020268,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Funko aux crevettes,3760269070431,,['France'],[],[],?,183,7,25,"3,9",,,,,,,,,,,,,,,,,,,,,766 kj(183 kcal),"1,6","1,4","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,
408,Bouquet orange rouge,8412276180393,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Bouquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Compote Fruits D'été - Kruidvat,8717333856441,,['France'],[],[],?,?,?,?,?,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,,,['Kruidvat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Filet de poulet - La Nouvelle Agriculture,0213400038706,,['France'],[],[],?,104,13,0,23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille-francaise']",,-21%,+351%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,435 kj(104 kcal),"0,4",0,"0,11","0,044",,,13 g,en quantité modérée,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,
411,Pois chiches à l'orientale,3493372045118,,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Granen Zaden,8718906275362,,['France'],[],[],?,160,4,25,"4,5",,,,,,,,,,,,,,,,,,,,,669 kj(160 kcal),"0,7","0,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
413,Heritage de carillan,3245415706537,,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Pains au lait,3256540001565,,['France'],[],[],?,352,12,51,"9,5",,,,,,,,,,,,,,,,,,,,,1473 kj(352 kcal),4,11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
415,Lait Demi-Écrémé - Elle & Vire - 50cl,3451790930058,['UHT'],['France'],[],[],?,46,"1,55","4,8","3,2",D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['Fabriqué en France'],,-2%,-8%,0%,-1%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,50 cl,"['Elle & Vire', 'Savencia']","['Abbeville', 'Somme', 'Hauts de France', 'France']",,,192 kj(46 kcal),1,"4,8","0,13","0,052",,,1.55 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,-3%,-3%,+0%,+17%,+17%,0,-100%,B,-100%,,,,,,,
416,Mantecados y polvorones,8410886110762,,['France'],[],[],?,407,"14,17","62,18","7,59",,,,,,,,,,,,,,,,,,,,,1703 kj(407 kcal),"2,62","40,4","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Chinesische Vollkornnudeln,4061458054102,['Kunststoff'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Chinesische Reisnudeln - Asia - 250g,4061458054133,['Kunststoff'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de riz']",,,,,,,,,,,,,,250g,['Asia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Vio Natürliches Mineralwasser - 9l,4100590121607,['Flasche'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,9l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Delices Amandes - 330g,8410251175037,,['France'],[],[],?,543,"31,2","43,2","22,3",,,,,,,,,,,,,,,,330 g,,,,,2272 kj(543 kcal),"12,63","18,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
421,Zimt gemahlen - 40g,4061458019026,['05'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,3760152560957,3760152560957,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Confiture Myrtilles - Club - 450g,5410046017743,"['Pot', 'Verre']","['France', 'Polynésie française']","['sirop de glucose-fructose', 'myrtilles', 'sucre', 'gélifiant pectines', ""correcteur d'acidité: acide citrique"", ' Préparé avec 45 g de fruits pour 100 g', ' Teneur totale en sucres: 61 g pour 100 g']",[],1047,247,"< 0,5",59,"< 0,5",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,+13%,+13%,+92%,+10%,+28%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,450 g,['Club'],"['Bruxelles', 'Belgique']",,4,1047 kj(247 kcal),"< 0,1",53,"0,01","0,004",['Carrefour'],"['E440 - Pectines', 'E330 - Acide citrique']",0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0.01 g,en faible quantité,+14%,+126%,+4%,-40%,-40%,8,-13%,C,-13%,,,,,,,
424,Pommes de terres façon pomme Anna - Cité Marine,3492500051625,['Conserve'],['France'],[],[],?,155,"9,9","13,1","2,1",,,,,,,,,,,,,,,,,['Cité Marine'],,,,649 kj(155 kcal),"2,3","1,7","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,
425,Campagne au piment d'Espelette,3700874180163,,['France'],[],[],?,296,25,"2,7",15,,,['Label Rouge'],,,,,,,,,,,,,,,,,,1238 kj(296 kcal),"9,5",1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
426,Beaufort AOP - Reflets de France,0219751030505,,['France'],[],[],?,398,30,0,27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",,,-1%,-7%,-100%,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Reflets de France'],,,,1665 kj(398 kcal),20,0,"1,3","0,52",,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,-1%,-3%,-100%,+14%,+14%,14,+1%,D,+1%,,,,,,,
427,"Atkins Crispbread , Low Carb",5060074630485,,['France'],[],[],?,410,15,35,26,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,['Atkins'],,,,1715 kj(410 kcal),"4,7","3,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
428,Knusper Filets,4316268590747,,['France'],[],[],?,198,"9,3","17,8","10,3",,,,,,,,,,,,,,,,,,,,,828 kj(198 kcal),2,"7,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
429,Lait coco - Kara - 200ml,8886703410238,,['France'],[],[],?,724,18,"1,7","1,7",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,,+358%,+15%,-39%,+34%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,200 ml,['Kara'],,,,3029 kj(724 kcal),16,"1,6","0,06","0,024",,,18 g,en quantité élevée,16 g,en quantité élevée,1.6 g,en faible quantité,0.06 g,en faible quantité,+362%,+18%,-5%,-18%,-18%,19,+100%,E,+100%,,,,,,,
430,Maïs Doux - Bio Village,3564707035002,,['France'],[],[],?,89,"2,4",12,"2,9",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve', 'Maïs doux en conserve']","['Bio', 'Sans sucre ajouté']",,0%,+48%,-16%,+4%,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,"['Bio Village', 'Marque Repère']",,,,372 kj(89 kcal),"0,5","4,9","0,43","0,172",['Leclerc'],,2.4 g,en faible quantité,0.5 g,en faible quantité,4.9 g,en faible quantité,0.43 g,en quantité modérée,-2%,+59%,+2%,-4%,-4%,-3,,A,,,,,,,,
431,Rinquiquin a la peche 15%vol,3379973306011,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Les souskays groin de porc,3577722211153,,['France'],[],[],?,187,"15,13","3,53","8,91",,['Groins de porc'],,,,,,,,,,,,,,,,,,,782 kj(187 kcal),"1,41","1,08","0,01","0,004",,,15.1 g,en quantité modérée,1.41 g,en faible quantité,1.08 g,en faible quantité,0.01 g,en faible quantité,,,,,,-2,,A,,,,,,,,
433,Galettes charentaises - Beurlay,3229580023033,,['France'],[],[],?,438,16,67,6,,,,,,,,,,,,,,,,,['Beurlay'],,,,1833 kj(438 kcal),11,35,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,
434,Paleta de Bellota - Covap,8411585008541,,"['France', 'Espagne']",[],[],?,419,32,"1,4",27,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,+75%,+154%,+95%,-11%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,['Covap'],,,,1753 kj(419 kcal),10,"0,5","4,4","1,76",,,32 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,4.4 g,en quantité élevée,+75%,+114%,+12%,-6%,-6%,24,+46%,E,+46%,,,,,,,
435,Crème Semi epaisse,2564746120708,,['France'],[],[],?,78,4,"7,3","3,1",,,,,,,,,,,,,,,,,,,,,326 kj(78 kcal),"2,7","4,8","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
436,Crevettes croustillantes aux pommes de terre,5060021940322,,['France'],[],[],?,242,9,33,6,,,,,,,,,,,,,,,,,,,,,1013 kj(242 kcal),"1,2",12,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
437,Skyr - Continente,5601312505877,,['France'],[],[],?,55,"0,3",4,9,D,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",,,-19%,-18%,-38%,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Continente'],,,,230 kj(55 kcal),"0,2",4,"0,15","0,06",,,0.3 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.15 g,en faible quantité,-20%,+10%,-32%,+42%,+42%,-5,,A,,,,,,,,
438,Ravioli ricotta jambon - Robert Esposito,3308090003510,,['France'],[],[],?,229,"4,4","37,2","9,1",E,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'Ravioli au jambon']",,,-7%,-22%,+1%,-16%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,['Robert Esposito'],,,,958 kj(229 kcal),"2,9","4,6","0,57","0,228",,,4.4 g,en quantité modérée,2.9 g,en quantité modérée,4.6 g,en faible quantité,0.57 g,en quantité modérée,-7%,+29%,+85%,-39%,-39%,2,-46%,B,-46%,,,,,,,
439,Ensada rusa con atún - Casa Mas,8436564910455,,"['France', 'Espagne']",[],[],?,510,9,"6,2","4,2",,"['Plats préparés', 'Réfrigérés', 'Plats préparés réfrigérés']",['Point Vert'],,+180%,-2%,-58%,-44%,,,,,,,,,['Casa Mas'],,,,2134 kj(510 kcal),"2,2","0,7","1,219","0,488",,,9 g,en quantité modérée,2.2 g,en quantité modérée,0.7 g,en faible quantité,1.22 g,en quantité modérée,+183%,-22%,-68%,+18%,+18%,13,+163%,D,+163%,,,,,,,
440,Saumon pané - Ocean Sea,20475574,,"['France', 'Espagne']",[],[],?,240,"11,8","16,7","16,4",,"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés']",,,+111%,+217%,+602%,-1%,,,,,,,,,['Ocean Sea'],,,,1004 kj(240 kcal),"2,2","0,3","0,95","0,38",,,11.8 g,en quantité modérée,2.2 g,en quantité modérée,0.3 g,en faible quantité,0.95 g,en quantité modérée,+109%,+197%,-23%,+118%,+118%,3,,C,,,,,,,,
441,Tapenade,5714484000221,,['France'],[],[],?,343,37,"0,7","1,4",,,,,,,,,,,,,,,,,,,,,1435 kj(343 kcal),"6,8","0,7",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Bière,3770002926123,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Biere,3770006063008,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Fagnes Triple,5425032454013,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Chipirones enteros rellenos - Pay Pay,8410042168057,,['France'],[],[],?,172,"9,5","7,5",14,,,,,,,,,,,,,,,,,['Pay Pay'],,,,720 kj(172 kcal),"1,3",0,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
446,Cheese cake chocolat vanille - Gü,5060425283964,,['France'],[],[],?,403,"26,4","36,3","4,3",,,,,,,,,,,,,,,,,['Gü'],,,,1686 kj(403 kcal),"15,2","25,1","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,
447,7 Up Light Lemon and Lime 2 Litre Bottle,4060800108609,['pet-bottle'],['France'],[],[],?,2,0,0,0,,,,,,,,,,,,,,,,,['7 up'],,,,8 kj(2 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Pruneaux séchés -,3760149995632,,['France'],[],[],?,234,"0,4","64,4","2,4",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']","['Bio', 'Bio européen', 'FR-BIO-10']",,-30%,-94%,+11%,-42%,,,,,,,,,,,,,979 kj(234 kcal),0,0,0,0,,,0.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-31%,-100%,-100%,-100%,-100%,-4,-184%,A,-184%,,,,,,,
449,Focaccine,5714484000085,,['France'],[],[],?,450,16,73,"2,8",,,,,,,,,,,,,,,,,,,,,1883 kj(450 kcal),"1,8","1,8","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,
450,Vinho Ital. bacaro Terre Siciliane Nero Davol,8019873824974,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Poitrine fumee,3276230007165,,['France'],[],[],?,230,18,1,16,,,,,,,,,,,,,,,,,,,,,962 kj(230 kcal),7,1,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,
452,Confiture extra de rhubarbe bio - Maison Jougla,3665010370078,,['France'],"['Rhubarbe*', 'sucre*', 'pectine de fruits', ' ""Issu de l\'agriculture biologique **Conformément au mode de production biologique']",[],?,243,"0,12",58,"0,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",['Bio'],,+10%,-42%,+7%,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Maison Jougla'],,,4,1017 kj(243 kcal),"0,01",58,0,0,,['E440 - Pectines'],0.12 g,en faible quantité,0.01 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,+10%,-73%,+10%,-100%,-100%,8,-5%,C,-5%,,,,,,,
453,Mousse au chocolat,8003938007372,,['France'],[],[],?,241,11,28,"5,3",D,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",['Fabriqué en Italie'],,-12%,-33%,+27%,-10%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,1008 kj(241 kcal),"8,7",21,"0,15","0,06",,,11 g,en quantité modérée,8.7 g,en quantité élevée,21 g,en quantité élevée,0.15 g,en faible quantité,-11%,-14%,+6%,-32%,-32%,15,+14%,D,+14%,,,,,,,
454,"Bourbon MICHIGAN, 3 ans d'age, 40°",3147699100226,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Le grillon- fruits rouges,3760274100536,,['France'],[],[],?,421,12,32,40,,,,,,,,,,,,,,,,,,,,,1761 kj(421 kcal),"4,2",21,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
456,Red & White Quinoa with Bulgur Wheat - Tesco,5057008025288,,['France'],[],[],?,186,4,"28,7","5,7",,,,,,,,,,,,,,,,,['Tesco'],,,,778 kj(186 kcal),"1,4","0,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
457,Filet de poulet - La Nouvelle Agriculture,0213400028530,,['France'],[],[],?,104,"1,3",0,23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,-21%,-55%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,435 kj(104 kcal),"0,4",0,"0,11","0,044",,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,
458,Lurpak lighter,5740900400887,,['France'],[],[],?,515,57,"0,4","0,3",,,,,,,,,,,,,,,,,['Lurpak'],,,,2155 kj(515 kcal),22,"0,4","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,
459,Thé,4796002517337,,['France'],[],[],?,1,"0,1","0,1",0,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),"0,1","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
460,FDT Tabs Clear 2X14 - Cocktail Exotique - Wrigley's,4009900464246,,['France'],[],[],?,157,0,"63,4",0,,,,,,,,,,,,,,,,,"[""Wrigley's"", 'Freedent']",,,,657 kj(157 kcal),0,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
461,Confiture extra à la Cassonade Cassis - Les Recettes de Juliette,3760058112731,,['France'],[],[],?,231,0,54,"0,7",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,+4%,-100%,+1%,+35%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Les Recettes de Juliette'],,,,967 kj(231 kcal),0,54,"0,05","0,02",,,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0.05 g,en faible quantité,+4%,-100%,+5%,+116%,+116%,11,+18%,D,+18%,,,,,,,
462,Olive Kalamon,5200362370642,,['France'],[],[],?,253,"25,3","3,4","1,7",,,,,,,,,,,,,,,,,,,,,1059 kj(253 kcal),"3,7","1,2",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,
463,Starmix - Haribo,8426617007416,,['France'],[],[],?,339,"0,5",78,"5,9",,,,,,,,,,,,,,,,,['Haribo'],,,,1418 kj(339 kcal),"0,1",53,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
464,Chocodate,6291011055644,,['France'],[],[],?,400,"10,9",69,"5,5",,,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),"2,97",36,"0,013","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,
465,"Premium Optima Lapin 2,5KG",3469980000177,,['France'],[],[],?,5,"3,2",0,"14,5",,,,,,,,,,,,,,,,,,,,,21 kj(5 kcal),1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Verkade - McVities,5000396045949,,['France'],[],[],?,507,"23,1","66,3","7,6",,,,,,,,,,,,,,,,,['McVities'],,,,2121 kj(507 kcal),"12,9","42,4","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,
467,Muesli croustillant au chocolat,3499604040333,,['France'],[],[],?,450,"16,8","62,2","8,6",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'BE-BIO-02', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,1883 kj(450 kcal),"8,2",25,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,
468,Muscade moulue,3439495104585,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Paw patrol super surprise,8714786245426,,['France'],[],[],?,392,"0,4",97,"0,01",,,,,,,,,,,,,,,,,,,,,1640 kj(392 kcal),"0,4",96,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
470,Dejeunette precuite - Carrefour,3276552140458,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,
471,Banane cavendish biologique - Fruidor - 6,0205411016736,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['Bio'],,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,6,['Fruidor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,2 crêpes froment caramel au beurre salé - Bertel,3337040003119,,['France'],[],[],?,274,"6,4","48,1","5,5",,,['en:produced-in-bretagne'],,,,,,,,,,,,,,['Bertel'],,,,1146 kj(274 kcal),4,"27,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
473,Lindt Mini-snowman,4000539740503,,['France'],[],[],?,570,37,51,"7,4",,,,,,,,,,,,,,,,,['Lindt'],,,,2385 kj(570 kcal),22,51,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
474,Tartelettes citron,3660133021678,,['France'],[],[],?,354,14,53,"4,1",D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes au citron']",,,-7%,-19%,+7%,-15%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,1481 kj(354 kcal),14,34,"0,03","0,012",,,14 g,en quantité modérée,14 g,en quantité élevée,34 g,en quantité élevée,0.03 g,en faible quantité,-6%,+36%,+12%,-89%,-89%,21,+5%,E,+5%,,,,,,,
475,Fourme d'Yssingeaux,2445530015878,,['France'],[],[],?,319,25,"2,4",21,,,,,,,,,,,,,,,,,,,,,1335 kj(319 kcal),15,"0,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
476,Framboises,8718226441829,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Petits morceaux bruns - Saint Louis,50456253,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Saint Louis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Proteine bar,3838988403462,,['France'],[],[],?,369,17,34,30,,,,,,,,,,,,,,,,,,,,,1544 kj(369 kcal),"9,8","1,5","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,
479,Speculoos vegan - Veganz,4260402487557,,['France'],[],"['Végétalien', 'Végétarien']",?,459,16,71,"6,4",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,['Veganz'],,,,1920 kj(459 kcal),"1,9",26,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,
480,Pain aux 2 lins,2600990010508,,['France'],[],[],?,264,5,40,10,,,,,,,,,,,,,,,,,,,,,1105 kj(264 kcal),0,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
