,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
635,mélange bien être,2282640027557,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Danette,3564700393956,['France'],[],[],?,0,0 kj(0 kcal),0,0,30,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Domaine Carobelle,3506707005012,['France'],[],[],?,?,,?,0,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,-100%,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,
638,Crème glacée artisanale,3061432103131,['France'],[],[],?,185,774 kj(185 kcal),"8,6",5,22,22,"4,9","0,16","0,064",,,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Oleitea infufion de moringa,3770005910075,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Pipa girasol torrada,8426052000805,['France'],[],[],?,570,2385 kj(570 kcal),46,"5,2",17,"2,7",18,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Sel fin - Sel de mer - Leader Price,3036850052118,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,['Leader Price'],,,,,
642,Saucisson pur boeuf noisettes halal,2763986002571,['France'],[],[],?,311,1301 kj(311 kcal),"17,3","6,44","4,3","2,3","34,4","4,87","1,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 74.042.001 CE', 'Bonneville (Haute-Savoie, France)']",,,,,,,
643,0072655002524,0072655002524,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Madeleines aux pépites de chocolat - Les Sens Du Terroir,3437340069386,['France'],[],[],?,417,1745 kj(417 kcal),16,"4,2",46,26,"4,7","0,63","0,252",D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,16 g,en quantité modérée,4.2 g,en quantité modérée,26 g,en quantité élevée,0.63 g,en quantité modérée,,-7%,-7%,-32%,-37%,-12%,-8%,-18%,-17%,-17%,16,-13%,D,-13%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,['Les Sens Du Terroir'],,,,,,,,,,
645,Impact mints,4005292651578,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Croquants aux amandes - Les Sens Du Terroir,3437340069355,['France'],[],[],?,445,1862 kj(445 kcal),12,1,72,63,10,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Les Sens Du Terroir'],,,,,,,,,,
647,Morgon,3760049750010,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Morgon']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,
648,Nouilles sarrasin au the vert,4902110379501,['France'],[],[],?,352,1473 kj(352 kcal),"1,9","0,42","70,4","0,5","13,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Boudin,3760113830983,['France'],[],[],?,249,1042 kj(249 kcal),19,"6,9",4,"1,1",17,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Yuka,7840055663422,['France'],[],['Sans huile de palme'],?,461,1929 kj(461 kcal),18,"4,1",68,39,"5,3","5,3","2,12",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Céréales fourrées cacao noisettes,3519773000096,['France'],[],[],?,427,1787 kj(427 kcal),"13,3","2,2","65,3","34,2","7,8","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Peche de vigne & miel acacia de france - La Chambre aux Confitures,3700910205102,['France'],[],[],?,?,,?,0,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['La Chambre aux Confitures'],,,,,,,,,,
653,Pâte de porc - 190g,3760263540015,['France'],[],[],?,329,1377 kj(329 kcal),29,"10,4",30,"0,9",14,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 g,,,,,,,,,,,,
654,Gelée Pulpeuse Groseilles - La Cour d'Orgères,3760194180960,['France'],[],[],1023,242,1023 kj(242 kcal),"1,1","0,07",55,54,"0,7","0,01","0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de groseilles']",,1.1 g,en faible quantité,0.07 g,en faible quantité,54 g,en quantité élevée,0.01 g,en faible quantité,+0%,-2%,-1%,+335%,+3%,-9%,-5%,+64%,-15%,-15%,13,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,"[""La Cour d'Orgères""]",,,,,,,,,,
655,Tête Roulée assaisonnée oignons et persil 308gr,2871842021526,['France'],[],[],?,296,1238 kj(296 kcal),27,"5,7","2,1","0,5",11,"1,7","0,68",,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,DDH Citra IPA - Arpus Brewing - 33cl,4751030990118,"['France', 'Lettonie']","['ūdens', 'mieži', 'kvieši', 'auzas', 'apiņi ', 'Citra', 'raugs']",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'en:India Pale Ale']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bottle', 'Glass']",['Arpus Brewing'],,['Lettonie'],,,['AFKraft'],['Gluten'],3,,,
657,Vieux Lille Triple Blonde - Brasserie des Sources - 33cl,3572860001413,['France'],"['Bière', "" Contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blondes']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre']",['Brasserie des Sources'],,['France'],,,,['Gluten'],3,,,
658,L'Instant IPA - Terre de Bières - 33cl,3770001890715,['France'],"['Eau', ""malt d'orge "", 'gluten', 'houblons', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'en:India Pale Ale']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre']",['Terre de Bières'],,['France'],,,,['Gluten'],4,,,
659,Javel présise,8714789685908,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Salsa Tartufata,8032872650412,['France'],[],[],?,327,1368 kj(327 kcal),34,"6,2",34,0,"3,4","0,74","0,296",,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,100% cacao non sucré - Leader Price - 250g,3036850776410,['France'],['100% CACAO NON SUCRÉ'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1520,367,1520 kj(367 kcal),21,13,12,"1,9",19,"0,05","0,02",E,"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,21 g,en quantité élevée,13 g,en quantité élevée,1.9 g,en faible quantité,0.05 g,en faible quantité,+10%,+5%,+4%,+51%,+61%,-54%,-82%,+11%,-54%,-54%,9,-2%,C,-2%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,250 g,['Carton'],['Leader Price'],,,,,['Leader Price'],,1,,,
662,Not guilty low sugar abricot jam,5060614800507,['France'],[],[],?,37,155 kj(37 kcal),0,0,"24,3",4,"0,3",,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Breizh granola,5080004,['France'],[],[],?,441,1845 kj(441 kcal),"18,8","7,1","49,3","24,3",9,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Thé du Louvre - Palais des Thés,3700256729973,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,
665,Thé vert de Chine,3760034620649,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,,,,0%,-33%,-100%,-100%,+57%,-100%,-4%,,,1,+12%,B,+12%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
666,Merguez,0261378023095,['France'],[],[],?,224,937 kj(224 kcal),"17,6","8,7","1,2",0,"15,1","2,1","0,84",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,17.6 g,en quantité modérée,8.7 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,,-15%,-15%,-18%,-5%,-43%,-100%,+6%,+10%,+10%,19,+1%,E,+1%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,"['FR 33.038.007 CE', 'Bégadan (Gironde, France)']",,,,,,,
667,VégiFer,3476500241804,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Baguette d épeautre,0260055011745,['France'],[],[],?,216,904 kj(216 kcal),"1,3","0,3","53,2","1,9","8,1","1,6","0,64",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,1.3 g,en faible quantité,0.3 g,en faible quantité,1.9 g,en faible quantité,1.6 g,en quantité élevée,,-16%,-16%,-44%,-33%,+9%,-16%,-2%,+31%,+31%,4,+31%,C,+31%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,
669,Miel d'Alsace Crémeux,3770010274131,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
670,Mayonnaise,1334995000233,['France'],[],[],?,?,,?,,?,,?,,,D,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,,,,,,,,,,,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
671,Blanche - La Manivelle - 75cl,3760284090001,['France'],"['Eau de source du Vercors', ""malt d'orge"", ""de blé et d'avoine"", 'houblon', 'levure', 'sucre de refermentation']",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blanches']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,75 cl,"['Bouteille', 'Verre']",['La Manivelle'],,['France'],,,['AFKraft'],"['Gluten', 'Avoine']",3,,,
672,We love disney 2,0602547036469,['France'],[],[],?,52,218 kj(52 kcal),25,12,12,10,10,"0,5","0,2",,['Produits sous license'],,25 g,en quantité élevée,12 g,en quantité élevée,10 g,en quantité modérée,0.5 g,en quantité modérée,,-86%,-86%,+85%,+68%,-78%,-72%,+130%,+116%,+116%,14,-8%,D,-8%,,,,,,,,,,,,,,,,,,,,
673,Silvanecte - St Rieul - 33cl,3760054630246,['France'],"['Eau', ""malts d'orge et de blé "", 'GLUTEN', 'sucre', 'houblons', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blondes', 'Bière triple']","['Déconseillé aux femmes enceintes', 'Terroirs Hauts de France']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre']",['St Rieul'],,['France'],,,,['Gluten'],4,,,
674,Sapins de Savoie chanterelles,9782842054755,['France'],[],[],?,315,1318 kj(315 kcal),1,"0,4",61,"2,8","12,4",,,,['Non alimentaire'],,1 g,en faible quantité,0.4 g,en faible quantité,2.8 g,en faible quantité,,,,+48%,+48%,-91%,-88%,+169%,-69%,+77%,,,,,,,,,,,,,,,,,,,,,,,,,,
675,emental rapé,3662444001479,['France'],[],[],?,361,1510 kj(361 kcal),27,18,16,"1,6",28,"1,4","0,56",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,27 g,en quantité élevée,18 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,,-3%,-3%,-7%,-9%,+1668%,+297%,+3%,+85%,+85%,15,+26%,D,+26%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
676,Morbier,2225659023554,['France'],[],[],?,347,1452 kj(347 kcal),26,20,0,0,22,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,26 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,-10%,+3%,-100%,-100%,-3%,+12%,+12%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,
677,Poulet fermier,2209348007193,['France'],[],[],?,167,699 kj(167 kcal),"9,3","2,9",0,0,21,"0,15","0,06",D,"['Viandes', 'Volailles', 'Poulets']",,9.3 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,,+11%,+11%,+60%,+93%,-100%,-100%,+3%,-82%,-82%,-1,-171%,A,-171%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
678,Gianguja noisettes - Valrhona,3395321069933,['France'],[],[],?,579,2423 kj(579 kcal),40,12,43,41,"9,9","0,11","0,044",,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Valrhona'],,,,,,,,,,
679,Jambon cuit choix,0207662061923,['France'],[],[],?,106,444 kj(106 kcal),"2,8",1,"1,1","1,1",19,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Aiguillette de poulet,0257977041134,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,1","0,04",D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['Nutriscore'],5.9 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,,+10%,+10%,+219%,+257%,-100%,-100%,-12%,-77%,-77%,-3,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Film en plastique'],,,,,,,,,,,
681,Filets de poulet rotis,0211791022304,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,,-3%,-3%,+2%,+3%,+4%,+39%,-6%,-6%,-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
682,Courgette origine France,0209194021062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Panko,19031064,['France'],[],[],?,373,1561 kj(373 kcal),"6,8","2,9","63,4","59,4","14,6","1,2","0,48",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure', 'Panko']",,6.8 g,en quantité modérée,2.9 g,en quantité modérée,59.4 g,en quantité élevée,1.2 g,en quantité modérée,,+1%,+1%,+90%,+285%,-11%,+1220%,+30%,-12%,-12%,21,+237%,E,+237%,,,,,,,,,,,,,,,,,,,,
684,Huile d olive vierge extra,3414480001223,['France'],[],[],?,823,3443 kj(823 kcal),"91,5","12,6",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,-8%,,,,,,6,-1%,C,-1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
685,Taboulé aux raisins et légumes du soleil - 200g,3760239181501,['France'],[],[],?,177,741 kj(177 kcal),"5,3","0,7",27,"5,3","4,3","1,2","0,48",B,"['Plats préparés', 'Taboulés', 'Taboulés aux légumes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Fabriqué en France']",5.3 g,en quantité modérée,0.7 g,en faible quantité,5.3 g,en quantité modérée,1.2 g,en quantité modérée,,+13%,+10%,-19%,+0%,+32%,+62%,+18%,+28%,+28%,6,+116%,C,+116%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,200 g,,,,,,,,,,,,
686,Miel de forêt biologique,3562510943750,['France'],[],[],?,?,,?,0,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
687,Wenzhou Noodles - Cock Brand,3364699043814,['France'],[],[],?,357,1494 kj(357 kcal),"1,1","0,3",73,"1,7","11,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Cock Brand', 'Tang']",,,,,,,,,,
688,Pépite de caramel - Conserverie des Saveurs,3389090022381,['France'],[],[],?,536,2243 kj(536 kcal),32,21,55,47,"7,8","0,29","0,116",,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conserverie des Saveurs'],,,,,,,,,,
689,Monastiri,5202825008130,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Aiguillettes de poulet,2227488022432,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
691,Miel de foret,5023699349064,['France'],[],[],?,?,,?,0,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
692,El snack que sabe creakys,8412669062565,['France'],[],[],?,428,1791 kj(428 kcal),14,"2,1",64,20,"8,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,CHORBA - 360g,3701281500087,['France'],[],[],?,57,238 kj(57 kcal),"1,8","0,2","6,3","2,3","2,5",0,0,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 g,,,,,,,,,,,,
694,Ambivalent,0880319814112,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Biere Blonde Yeti,3760027047248,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Fourrés framboises,7840055663118,['France'],[],['Sans huile de palme'],?,461,1929 kj(461 kcal),18,"4,1",68,39,"5,3","5,3","2,12",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Biscuits fourrés cacao,56326567,['France'],[],[],?,494,2067 kj(494 kcal),23,11,64,36,"6,6","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Omelet mix - Jumbo,87337877,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jumbo'],,,,,,,,,,
699,Érable canneberges et noix,0055526070433,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Jambon blanc x4,2238078042310,['France'],[],[],?,116,485 kj(116 kcal),"2,9",1,5,5,22,"1,9","0,76",,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,
701,Pomme de Table GOLDEN -,3760066140061,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,
702,Yuka,7840055664351,['France'],[],['Sans huile de palme'],?,471,1971 kj(471 kcal),21,21,66,39,"3,6","0,66","0,264",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Ail semoule,0269095019889,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",,,,,,,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,
704,125g,4061458015943,['France'],[],[],?,?,,?,,?,,?,,,,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,
705,Miel,3445735000784,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,4012341026096,4012341026096,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,4012341026034,4012341026034,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,4012341026027,4012341026027,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Detox bio aux 4 plantes - Milical,3175681263086,['France'],[],[],?,6,25 kj(6 kcal),0,0,"2,4",0,0,0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Milical'],,,,,,,,,,
710,Beef Bar Original - Jack Link's,4251097411804,['France'],[],[],?,284,1188 kj(284 kcal),8,4,21,19,32,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Jack Link's""]",,,,,,,,,,
711,Carnaval - D9 Brewing - 355ml,0855108008263,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières américaines', 'Bières artisanales', 'Sour Ale']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,355 ml,"['Bouteille', 'Verre']",['D9 Brewing'],,['États-Unis'],,,,,,,,
