,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
10,Huile d'olive vierge extra,2993057102385,['France'],[],[],?,823,3443 kj(823 kcal),91,14,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Bio'],91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-5%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
11,Jambon cru Aoste,0210859032347,['France'],[],[],?,274,1146 kj(274 kcal),18,"7,4",1,1,27,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,cœur de neufchatel - Leveque - 200g,0200508013124,"['France', 'Italie']","['Lait cru', 'sel', 'pénicillium', 'ferments lactiques', 'présure', ' 24% de Matières Grasses']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte molle à croûte naturelle', 'Neufchâtel']",['AOP'],,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,200 g,['emballage individuel'],['Leveque'],['Pays de Bray (76) France'],['Bailleul 76660'],"['FR 76.052.003 CE', 'Bailleul-Neuville (Seine-Maritime, France)']",https://www.facebook.com/pages/category/Local-Business/Ferme-Leveque-2189356487956117/,['carrefour market'],['Lait'],3,,,
13,Jus de bissap a la fraise,7448336947973,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,12,1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Eclair speculoos,3291810755472,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chardonnay domaine de La bosse,3701172704983,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2 pavés tournedos à griller,20295554,['France'],[],[],?,113,473 kj(113 kcal),"2,6","0,8","0,49","0,49",23,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Le petit cochin,3760116520065,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 86.118.001 CE', 'Journet (Vienne, France)']",,,,,,,
18,Whisky,3047102182293,['France'],[],[],?,?,,?,0,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,,,,,-100%,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,['Bottle'],,,,,,,,,,,
19,Saint siméon - 200g,3390010000341,['France'],[],[],?,260,1088 kj(260 kcal),24,17,"3,4","2,1",10,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,
