,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,traceability_code,packaging,labels,link,brand_owner,producer_info,origin_detail
0,Carambar - 470g,3664346304016,Confiseries aromatisées.,470 g,['Carambar'],['France'],"['Sirop de glucose ', 'origine UE', 'lait écrémé concentré sucré ', 'LAIT', 'sucre', 'sucre', 'huile de palme', 'cacao maigre en poudre', 'sel', 'émulsifiant ', 'E471', 'arômes', ' Peut contenir fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Huile de palme'],['Lait'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1682,398,1682 kj(398 kcal),"7,8",4,79,47,"3,1","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Regal'ad - Krema - 360g,3664346308861,Confiseries aromatisées - Parfums assortis.,360 g,"['Krema', 'La pie qui chante']",['France'],"['Sucre', 'sirop de glucose', 'huile de palme', 'gélatine', 'acidifiant ', 'acide citrique', 'arômes', 'jus de fruits concentrés', 'colorants ', 'E160c', 'E161b', 'émulsifiant ', 'lécithine de tournesol']","['E428 - Gélatine', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E322i - Lécithine']",['Huile de palme'],,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1691,400,1691 kj(400 kcal),"7,1","3,4",83,58,"0,5","0,04","0,016",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Magasins U'],7.1 g,en quantité modérée,3.4 g,en quantité modérée,58 g,en quantité élevée,0.04 g,en faible quantité,+9%,+12%,+13%,+282%,+221%,-0%,0%,-76%,-67%,-67%,18,+25%,D,+25%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
2,Brandade de morue parmentiere - Pecheries Basques - 700g,3760002340944,,700 g,['Pecheries Basques'],['France'],"['Pomme de terre 38%', 'morue ', 'gadus spp', ' 30%', 'eau', 'huile de colza ou de tournesol', 'flocons de pomme de terre ', 'pomme de terre', 'curcuma', 'oignon', 'sel', 'ail', 'fibre de blé', 'persil', 'épaississants: gomme de guar et de xanthane', 'poivre']","['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,"['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,?,153,640 kj(153 kcal),"9,8","1,1","8,9","0,5","6,6","0,8","0,32",D,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",['Intermarché'],9.8 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité modérée,,+5%,+5%,+14%,-34%,-7%,-45%,-3%,-3%,-3%,1,-43%,B,-43%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,['France'],['St per sur Nivelle'],"['FR 64.495.005 CE', 'Saint-Pée-sur-Nivelle (Pyrénées-Atlantiques, France)']",,,,,,
3,Tagliatelles Curcuma Citron - Jardin Bio - 250g e,3760020504700,Spécialité céréalière à base de blé dur aromatisée au curcuma et citron bio,250 g e,"['Jardin Bio', 'Léa Nature']",['France'],"['Semoule de blé dur*', 'poudre de curcuma*1,5%', 'huile essentielle de citron*', ""poudre d'œufs*""]",,,"['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,?,358,1498 kj(358 kcal),"1,1","0,2","74,1","3,3","11,1","0,022","0,009",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes aux œufs', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Pâtes sèches aromatisées et colorées', 'Tagliatelles']",['Auchan'],1.1 g,en faible quantité,0.2 g,en faible quantité,3.3 g,en faible quantité,0.022 g,en faible quantité,,+1%,-0%,-34%,-45%,+4%,-5%,-8%,-54%,-54%,-5,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Union Européenne et Non Union Européenne'],['FRance'],,"['Sachet', 'Plastique', 'Sec']","['Bio', 'Bio européen', 'Agriculture non UE', '1% pour la planète', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique']",https://www.jardinbio-etic.fr/tagliatelles-curcuma-et-citron/,,,
4,Thon Piquant tartinable - Delicemer - 120g,3760036824656,Rillettes de thon,120 g,['Delicemer'],['France'],"['Thon 29 %', 'huile de colza', 'carotte', 'CELERI-RAVE', 'concentré de tomate', 'eau', ""jaune d'OEUF"", 'vinaigre', 'MOUTARDE ', 'vinaigre', 'graines de MOUTARDE', 'sel', 'épices', 'poivre de Cayenne 0,5%', 'sel', 'sucre CELERI', 'poivron', 'persil', ""extraits de plantes aromatiques et d'épices"", 'fibre alimentaire', 'maltodextrine', 'graisse de palme', 'LACTOSE', 'protéine de LAIT', 'arôme', 'conservateur : E202-E211', 'antioxydant : E300', 'acidifiant : E330', 'stabilisants : E412-E415', 'colorant : E160c']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika']",['Huile de palme'],"['Céleri', 'Œufs', 'Poisson', 'Lait', 'Moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1283,327,1283 kj(327 kcal),32,"2,3","2,1","2,1","8,5","1,4","0,56",D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', ""Produits d'élevages"", 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Œufs', 'Rillettes de poissons', 'Rillettes de thon', 'Preparation-a-base-de-chair-de-poisson', 'Produit-de-la-mer-a-tartiner-sale', 'Produit-de-la-mer-ultratransforme']","['G20', 'Magasins U', 'E. Leclerc']",32 g,en quantité élevée,2.3 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,+35%,+54%,+43%,+103%,-39%,-0%,+120%,-44%,+35%,+35%,10,+61%,C,+61%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,['Sté Import Produits de la mer'],['BE VE1093 EC'],"['Frais', 'Matière plastique type : 1 (PET ou PETE)']",['Point Vert'],https://www.delicemer.fr/m/,,,
5,8 Croissants pur beurre - La boulangère - 320g,3760049798210,,320 g,['La boulangère'],['France'],"['Farine de blé 50%', 'beurre AOP Charentes-Poitou 21', '5%', 'eau', 'sucre', 'levain ', 'eau', 'farines de blé 1,6%', 'de seigle et de blé malté', 'levure', 'oeufs entre frais 2,8%', 'levure', 'sel', 'poudre de lait écrémé', ""émulsifiants : mono - et diglycérides d'acides gras "", 'colza', ' - stéaroyl-2-lactylate de sodium ', 'colza', 'arôme naturel ', 'contient alcool', 'gluten de blé', 'antioxydant : acide ascorbique', 'colorant: carotènes']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,387,1619 kj(387 kcal),18,12,48,8,"7,3","0,98","0,392",,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",['Intermarché'],18 g,en quantité modérée,12 g,en quantité élevée,8 g,en quantité modérée,0.98 g,en quantité modérée,,+6%,+6%,+15%,+37%,0%,-50%,0%,+24%,+24%,17,-1%,D,-1%,,,,,,,,['France'],['Essarts en Bocage'],,['sachets individuels'],"['Plein air', 'Œufs de poules élevées en plein air', 'Agri-Éthique France']",,,,
6,Gambas décortiquées - Miti - 100g,3760070011913,,100 g,['Miti'],['France'],"['CREVETTES ', 'Penaeus vannamei', "" d'élevage d'Equateur entièrement décortiquées cuites au Sel de Noirmoutier"", 'sel', 'ferment lactique ', 'LAIT']",,,"['Crustacés', 'Lait']","['Non végétalien', 'Non végétarien']",3,?,78,326 kj(78 kcal),"0,7",0,0,0,18,"1,175","0,47",C,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas']",,0.7 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.18 g,en quantité modérée,,-11%,-12%,-8%,-100%,-100%,-100%,-10%,+44%,+44%,0,,B,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Équateur'],['France'],"['FR 44.109.206 CE', 'Nantes (Loire-Atlantique, France)', 'FR 44.143.005 CE', 'Rezé (Loire-Atlantique, France)']","['Barquette', 'Plastique']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,
7,Tartinables confit de tomates séchées - Florelli - 190g,3760077533166,,190 g,['Florelli'],['France'],"['tomates séchées ', '34,6%', ' ', 'tomates séchées', 'sel', ""correcteur d'acidité: acide citrique"", 'antioxydant: acide ascorbique', 'huile de tournesol', 'pulpe de tomate', 'vinaigre de vin blanc', 'sucre', ""huile d'olive vierge extra"", 'betterave rouge', 'basilic', 'origan', 'ail']",['E300 - Acide ascorbique'],,,[],3,?,428,1791 kj(428 kcal),40,6,13,7,2,"3,8","1,52",,['Confit-de-tomates-sechees'],['Casino'],40 g,en quantité élevée,6 g,en quantité élevée,7 g,en quantité modérée,3.8 g,en quantité élevée,,,,,,,,,,,17,,D,,,,,,,,,,,,['Bocal'],,,,,
8,Farine de coco - Biosagesse - 400g,3760087360929,,400 g,['Biosagesse'],['France'],"['Farine de noix de coco ', 'cocos nucifera', ' 100 %']",,,,[],1,?,348,1456 kj(348 kcal),12,11,"22,2","21,5","16,1","0,1","0,04",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Farines', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Farine de noix de coco séchée']",,12 g,en quantité modérée,11 g,en quantité élevée,21.5 g,en quantité élevée,0.1 g,en faible quantité,,-7%,-7%,-10%,-6%,-20%,+49%,-2%,-19%,-19%,3,-38%,C,-38%,,,,,,,,['Philippines'],,,"['Sachet', 'Plastique']","['Bio', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'Agriculture non UE', 'AB Agriculture Biologique', 'DE-ÖKO-012']",,,,
9,Xylitol - Ecoidées - 250g,3760087361223,,250 g,['Ecoidées'],['France'],['Xylitol'],['E967 - Xylitol'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,240,1004 kj(240 kcal),0,0,"99,8","0,2",0,0,0,,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants naturels', 'Xylitol']",['Botanic'],0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,+8%,+8%,-100%,-100%,+40%,+80%,-100%,-100%,-100%,,,,,,,,,,,,,,,"['Plastique', 'Sachet']","['Sans gluten', 'Sans OGM', 'Sans pesticides']",,,,
10,Pur Jus de Tomate Bio Pleins Champs - Paysans d'ici - 75cl,3760091721952,Pur Jus de Tomate de Marmande Bio Salé à 6g/L,75 cl,"[""Paysans d'ici"", 'Ethiquable']",['France'],"['Jus de tomate', 'sel']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,19,79 kj(19 kcal),"0,2",0,4,"3,1","0,6","0,6","0,24",,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates', 'Boissons sans sucre ajouté']",['Auchan'],0.2 g,en faible quantité,0 g,en faible quantité,3.1 g,en quantité modérée,0.6 g,en quantité modérée,,-5%,-4%,+12%,-100%,+8%,-4%,-20%,+42%,+42%,-2,,B,,,,,,,,,"['France', 'Marmande']",['France'],,"['Verre', 'Bouteille']","['Bio', 'Bio européen', 'Commerce équitable', 'Point Vert', 'Fabriqué en France']",,,,
11,HUILE VIERGE DE COCO - Ethiquable - 250ml,3760091726469,Huile vierge de coco issue du commerce équitable et de l'agriculture biologique,250 ml,['Ethiquable'],['France'],"[""Huile vierge de coco issue du commerce équitable et de l'agriculture biologique""]",,,,[],,?,862,3607 kj(862 kcal),100,87,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",,100 g,en quantité élevée,87 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-0%,-0%,+2%,+2%,-100%,-100%,-100%,-100%,-100%,20,+2%,E,+2%,,,,,,,,"['Inde', 'Kerala']",['Inde'],,"['Bocal', 'Verre']","['Bio', 'Bio européen', 'Commerce équitable', 'Point Vert', 'en:IN-BIO-134', 'Symbole des Producteurs Paysans', 'AB Agriculture Biologique']",http://www.ethiquable.coop,,,
12,Chocolat au lait 41% cacao - Biocoop - 100g,3760121210616,tablette chocolat lait,100g,['Biocoop'],['France'],"['Sucre de canne roux* 37,9%', 'beurre de cacao*', 'poudre de lait entier*', ""pâte de cacao* d'Amérique Latine"", ' Cacao : 41% minimum']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2415,580,2415 kj(580 kcal),40,27,47,38,8,"0,1","0,04",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Chocolats au lait']",['Biocoop'],40 g,en quantité élevée,27 g,en quantité élevée,38 g,en quantité élevée,0.1 g,en faible quantité,+6%,+5%,+5%,+16%,+38%,-9%,-22%,+12%,-57%,-57%,22,-14%,E,-14%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['République dominicaine', 'Amérique Latine', 'Pérou']","['France', ""Route d'Avignon 84230 Chateauneuf du Pape"", 'Artisan chocolatier Castelain']",,"['étui carton', 'emballage recyclable', 'papier aluminium', 'Etui en carton']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fairtrade International', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Max Havelaar', 'Max Havelaar France', 'AB Agriculture Biologique', 'Triman']",,,,
13,Cookies tartelettes chocolat noisettes 115g - Michel et Augustin - 115g,3760122964488,,115 g,['Michel et Augustin'],['France'],"['une cuillère de farine de blé', 'du nappage au chocolat et aux noisettes 22 % [sucre', 'graisses végétales ', 'palmiste', 'coprah', 'palme*', 'chocolat en poudre 5,5% ', 'sucre', 'poudre de cacao', 'pâte de noisettes 2,2 %', 'lait écrémé en poudre', 'lactosérum en poudre', 'émulsifiant: lécithines ', 'soja', 'arôme naturel et arôme naturel de vanille]', 'une noix de beurre 17 %', 'des pépites de chocolat au lait', 'quelques noisettes hachées 3,7 %', 'un peu lait 13,4% ', ' sucre', 'lait en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiant: lécithines', 'arôme naturel de vanille', 'une cuillère de sucre roux de canne', ""un peu de jaunes d'oeufs de poules élevées en plein air 1,8 %"", 'une pincée de poudres à lever ', 'carbonates de sodium', 'phosphates de calcium', ""carbonates d'ammonium"", ' et du sel de Cuérande o,2 %']","['E322i - Lécithine', 'E322 - Lécithines', 'E502 - Carbonates']",['Huile de palme'],['Soja'],"['Huile de palme', 'Non végétalien']",4,?,529,2213 kj(529 kcal),29,17,59,32,7,"0,43","0,172",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Magasins U'],29 g,en quantité élevée,17 g,en quantité élevée,32 g,en quantité élevée,0.43 g,en quantité modérée,,+12%,+11%,+39%,+68%,-8%,+8%,+8%,-27%,-27%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
14,Farine de blé T65 bio - Mon fournil - 1kg,3760130560498,farine blé,1 kg,['Mon fournil'],['France'],['blé'],,,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,340,1423 kj(340 kcal),"1,5","0,2",69,5,11,0,0,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65']",['Carrefour'],1.5 g,en faible quantité,0.2 g,en faible quantité,5 g,en quantité modérée,0 g,en faible quantité,,-1%,-1%,+27%,+1%,-2%,+187%,-2%,-100%,-100%,-4,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,['sachet papier'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",https://www.monfournil.fr/produits/farine-t65/,,,
15,Soupe Courgette Parmesan Noisettes 1L - GreenShoot - 1L,3760132081243,"Soupe de légumes, flash pasteurisée, réfrigérée",1 L,['GreenShoot'],['France'],"['Eau de source', 'courgette 22,7%', 'brocoli', 'fromage frais ', 'lait écrémé', 'babeurre', 'crème', 'sel', 'babeurre déshydraté', 'protéines laitières', 'ferments lactiques', 'oignons', 'parmesan 2,7% ', 'lait de vache', 'sel', 'présure de veau', 'noisettes 1,5%', 'arôme naturel', ""huile d'olive""]",,,"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,61,255 kj(61 kcal),"4,9","2,1","1,5","1,1","2,3","0,65","0,26",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['Monoprix'],4.9 g,en quantité modérée,2.1 g,en quantité modérée,1.1 g,en faible quantité,0.65 g,en quantité modérée,,+49%,+48%,+183%,+274%,-67%,-43%,+147%,-0%,-0%,3,+111%,C,+111%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['France', 'Loiret']",,,"['Brique en carton', 'Bouchon']","['Sans arômes artificiels', 'en:FSC', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'AOP']",,,,
16,Biscottes Authetiques - La Chantéracoise - 370g,3760178790093,Biscottes,370 g,['La Chantéracoise'],['France'],"['Farine de blé ', 'gluten', 'huile de coco non hydrogénée', 'sucre', 'levure boulangère', ' sel', ""malt d'orge "", 'gluten']",,,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,369,1544 kj(369 kcal),"7,7","6,6",62,"4,9",11,"1,5","0,6",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,7.7 g,en quantité modérée,6.6 g,en quantité élevée,4.9 g,en faible quantité,1.5 g,en quantité modérée,,-6%,-6%,+15%,+259%,-9%,-16%,-7%,+29%,+29%,13,+108%,D,+108%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,"['France', 'Périgord']",,"['Carton', 'boîte', 'Plastique']","['Fabriqué en France', 'Sans conservateurs', 'en:palm-oil-free']",,,,
17,Yaourt Bio Nature 4 x 125 g - Invitation à la Ferme - 500g,3770000451719,Yaourt bio nature,500 g,['Invitation à la Ferme'],['France'],"['Lait* de nos vaches pasteurisé et non homogénéisé ', 'lait écrémé en poudre*', 'ferments lactiques  ', 'lactobacillus bulgaricus', 'streptococcus thermophilus']",,,['Lait'],['Non végétalien'],3,301,72,301 kj(72 kcal),"4,1","2,7","3,8","3,8","3,9","0,133","0,053",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",,4.1 g,en quantité modérée,2.7 g,en quantité modérée,3.8 g,en faible quantité,0.133 g,en faible quantité,+9%,0%,+1%,+14%,+16%,-22%,-14%,-6%,+11%,+11%,0,-100%,B,-100%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,['France'],['France'],"['FSC-C134452', 'FR 50.554.006 CE', 'Saint-Senier-sous-Avranches (Manche, France)']","['Pot', 'Plastique']","['Bio', 'Bio européen', 'FR-BIO-09', 'FR-BIO-10', 'Point Vert', 'AB Agriculture Biologique']",,,,
18,Avoine blé riz - Good gout - 200g,3770002327739,Céréales instantanées pour bébé,200 g,['Good gout'],"['France', 'La Réunion']","['50% farine complète de blé bio', '30% farine de riz bio', ""20% farine complète d'avoine bio"", 'vitamine B1']",,,"['Gluten', 'Avoine']",['Sans huile de palme'],1,?,374,1565 kj(374 kcal),"2,8","0,5","72,7","0,5",11,"0,008","0,003",,"['Aliments pour bébé', 'Céréales pour bébé', 'Dès 6 mois']",,,,,,,,,,,+5%,+19%,+23%,-31%,+15%,-96%,+49%,-85%,-85%,,,,,,,,,,,,,,,"['Plastique', 'Gourde']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Sans sucre ajouté', 'AB Agriculture Biologique']",https://www.goodgout.fr/bebe/recette-bebe-6-mois/avoine-ble-riz-49.html,,,
19,300G Sauce Nappage Pizza Tomatoland - Soleillans - 300g,3770003725022,,300 g,['Soleillans'],['France'],"['Purée de tomates de Provence g0%', 'oignon*', ""huile d'olive vierge extra de France 1,30%"", 'sel de Camargue', 'huile de tournesol*', ""herbes aromatiques d'origine 100% Provence 0,13%"", 'ail*', ' * Origine France']",,,,[],3,?,63,264 kj(63 kcal),"2,2",0,9,9,"1,9","0,62","0,248",B,"['Epicerie', 'Sauces', 'Sauces pour pizzas']",,2.2 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,0.62 g,en quantité modérée,,+12%,+1%,+82%,-100%,+25%,+64%,+19%,-20%,-20%,2,-2%,B,-2%,53.1%,21.8%,10.0%,9.2%,6.0%,0.0%,93,,,"['EMB 84031C', 'Carpentras (Vaucluse, France)']",,['Sans colorants'],,,,
20,Barre Original Chocolat Noix de Coco - Feed - 100g,3770007832238,,100 g,['Feed'],['France'],"[""Sirop d'agave"", 'protéines végétales ', 'pois', 'soja', 'riz', 'chocolat noir 10% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'noix de coco râpée 7', '2%', 'huile de colza', 'amandes 5,4%', ""fibres de maïs et d'acacia"", 'farine de pois chiche', 'stabilisant : glycérine', 'graines de sarrasin 3,6%', 'germes de maïs toastés', 'isomaltulose', 'sels minéraux ', 'phosphate de calcium', 'carbonate de potassium', 'carbonate de magnésium', 'citrate de magnésium', 'gluconate de zinc', 'gluconate de cuivre', 'sélénium', 'gluconate de fer', 'gluconate de manganèse', 'chlorure de chrome', 'iodure de potassium', 'arôme', 'vitamines ', 'A', 'D3', 'E', 'C', 'B1', 'B2', 'B3', 'B6', 'B8', 'B9', 'B12', 'B8', 'B5', 'K', 'conservateur : sorbate de potassium', ""correcteur d'acidité : acide malique"", 'anti-oxydants : tocophérois de soja et extrait de romarin', ' À conserver dans un endroit sec et frais', ' Poids net : 100g']","['E322i - Lécithine', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique']",,"['Fruits à coque', 'Soja']","['Végétalien', 'Végétarien']",4,?,383,1602 kj(383 kcal),19,"5,9",30,13,23,"0,68","0,272",,['Barre-repas'],,19 g,en quantité modérée,5.9 g,en quantité élevée,13 g,en quantité élevée,0.68 g,en quantité modérée,,,,,,,,,,,9,,C,,,,,,,,,,['France'],,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,
21,Barre Original Chocolat Banane - Feed - 100g,3770007832245,,100 g,['Feed'],['France'],"[""Sirop d'agave "", ' protéines végétales ', 'de pois', 'de SOJA et de riz', ' ', ' chocolat noir 10%', ' flocons de bananes séchées 6,6%', ' huile de colza ', ' AMANDES 5,4% ', "" fibres de maïs et d'acacia "", ' farine de pois chiche ', ' stabilisant : glycérine ', ' graines de sarrazin 3', '6% ', ' germes de maïs toastés ', ' isomaltulose ', "" cubes d’écorces d'oranges confites "", ' sirop de glucose-fructose', ' sucre', ' conservateurs : sorbate de potassium', "" correcteur d'acidité : acide citrique "", ' sulfites', ' sels minéraux ', ' arôme ', ' vitamines A', 'B3', 'E', ' C', ' BI', ' BZ PP', ' 85', ' 86', ' B8', ' B9', 'B12 : acides aminés : L-Lysine', 'L-Tryptophate', '—eur : sorbate de potassium ', "" correcteur d'acidité : acides malique "", ' anti-oxydants : tocophérols de SOJA et extrait de romarin']","['E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E307c - Tocophérol']",,"['Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']","['Végétalien', 'Végétarien']",4,?,359,1502 kj(359 kcal),15,"5,9",36,"17,9",24,"0,5","0,2",B,"['Snacks', 'Snacks sucrés', 'Plats préparés', 'Barres', 'Substituts de repas']",,15 g,en quantité modérée,5.9 g,en quantité élevée,17.9 g,en quantité élevée,0.5 g,en quantité modérée,,+10%,+13%,+59%,+186%,+10%,+31%,+17%,-37%,-37%,,,,,62.5%,17.1%,9.5%,6.2%,3.7%,1.0%,84,,,,['Sachet'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France', 'Sans lactose']",https://shop.feed.co/fr/barre-banane-chocolat,,,
22,«Pâtes noisettes» - Leimer - 200g,4000186032204,,200g,['Leimer'],"['France', 'en:Deutschland']","['farine de froment', 'huile de palme', 'poudre de lactosérum', 'farine de maïs', 'sel', 'poudre à lever ', 'E450', 'E500', 'amidon', ""poudre d'œuf entier""]","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,"['Œufs', 'Gluten', 'de:Süßmokenpulver']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2145,514,2145 kj(514 kcal),30,"15,9",51,4,"8,7","3,3","1,32",,"['Epicerie', 'Condiments', 'Assaisonnements', 'de:backerbsen']",['Kaufland'],30 g,en quantité élevée,15.9 g,en quantité élevée,4 g,en faible quantité,3.3 g,en quantité élevée,+110%,+152%,+138%,+224%,+1142%,+141%,-57%,+108%,-65%,-65%,26,+134%,E,+134%,,,,,,,,,,,"['05 PP', '♷', 'Beutel', 'produkt']",['de:knusprig & zart'],,,,
