,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,nova_score,additives,quantity,traceability_code,packaging,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner
0,Soufflé de saint jacques - Comtesse du Barry,3660806017892,['Comtesse du Barry'],['France'],[],[],?,139,582 kj(139 kcal),"9,4","6,5","6,1","2,9","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fondant de crustacés aux girolles et Noilly Prat - Comtesse du Barry,3660806017908,['Comtesse du Barry'],['France'],[],[],?,153,640 kj(153 kcal),"9,6",6,"7,2","1,6","9,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bloc de foie gras de canard - Comtesse du Barry,3660806018080,['Comtesse du Barry'],['France'],[],[],?,502,2100 kj(502 kcal),"52,4","27,5","2,9","1,83","4,6",1,"0,4",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",52.4 g,en quantité élevée,27.5 g,en quantité élevée,1.83 g,en faible quantité,1 g,en quantité modérée,,+2%,+3%,+4%,+28%,+37%,+38%,-25%,-18%,-18%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
3,Confits de gesiers - Comtesse du Barry,3660806018271,['Comtesse du Barry'],['France'],[],[],?,760,3180 kj(760 kcal),"5,4","2,1",0,0,33,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lasagnes de poulet - Comtesse du Barry,3660806018431,['Comtesse du Barry'],['France'],"['Garniture {poulet ', '45 % de la garniture', 'courgettes', 'tomates', 'poivrons rouges', 'poivrons verts}', 'sauce béchamel au fromage {eau', 'crème ', 'lait', 'fromage de brebis des Pyrénées ', 'lait', ' ', '15% de la sauce béchamel', 'fromage de brebis ', 'lait', 'amidon de blé ', 'gluten', 'ail', 'sel', 'arôme naturel', 'oignons', 'paprika', 'thym', 'poivre', 'ras el hanout', 'muscade}', 'pâte ', 'semoule de blé ', 'gluten', 'eau', 'œufs', 'sel}']","['Non végétalien', 'Non végétarien']",?,165,690 kj(165 kcal),"9,8","4,7","9,2","2,7","10,1",1,"0,4",,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées']",9.8 g,en quantité modérée,4.7 g,en quantité modérée,2.7 g,en faible quantité,1 g,en quantité modérée,,+23%,+24%,+62%,+84%,-26%,+3%,+62%,+28%,+28%,5,+112%,C,+112%,,,,,,,,"['Sans colorants', 'Sans conservateurs']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
5,Terrine de pintade aux pommes et au calvados - Comtesse du Barry,3660806018547,['Comtesse du Barry'],['France'],[],[],?,245,1025 kj(245 kcal),"19,8","7,82",3,"1,68","13,6","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rillettes de porc au piment d'espelette et jambon de Bayonne - Comtesse du Barry,3660806018585,['Comtesse du Barry'],['France'],[],[],?,304,1272 kj(304 kcal),"24,9","8,6","5,8","1,5","14,2","1,5","0,6",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",24.9 g,en quantité élevée,8.6 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,,-23%,-23%,-32%,-39%,+1046%,+341%,-10%,+17%,+17%,17,-13%,D,-13%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
7,Terrine de canard aux figues - Comtesse du Barry,3660806018653,['Comtesse du Barry'],['France'],"[""' viande et gras de porc "", 'origine France', 'viande et gras de canard', 'origine France', ' 32 %', 'figues ', 'figues sèches,dextrose', ' 4% ,œuf', 'échalote', 'eau', 'sel ,gélatine,arôme naturel', 'poivre']","['Non végétalien', 'Non végétarien']",?,313,1310 kj(313 kcal),26,"8,6","2,8","2,2",16,"1,4","0,56",D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,-1%,-9%,+63%,+255%,+13%,-8%,-8%,17,-5%,D,-5%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Œufs'],4,['E428 - Gélatine'],,,,,,,,,,
8,Terrine de canard aux figues - Comtesse Du Barry,3660806018660,['Comtesse Du Barry'],['France'],[],[],?,313,1310 kj(313 kcal),26,"8,6","2,8","2,2",16,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,2.2 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,-1%,-9%,+63%,+255%,+13%,-8%,-8%,17,-5%,D,-5%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,
9,Terrine de Foie de volaille au jus de truffe - Comtesse du Barry,3660806018752,['Comtesse du Barry'],['France'],"['MRÉDATS:viandeet gras de confits la graisse de canard', ' réoosporum', '0', '9 poivre', "" Porc,pc 'let et canard"", 'Otig:ne ', ' YMW', 'COHTESSEDUBARRY', 'COH']","['Non végétalien', 'Non végétarien']",?,285,1192 kj(285 kcal),24,"8,6","2,7","1,2",15,"1,3","0,52",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de foie de volaille']",24 g,en quantité élevée,8.6 g,en quantité élevée,1.2 g,en faible quantité,1.3 g,en quantité modérée,,-6%,-6%,-11%,-17%,+81%,+117%,+9%,-13%,-13%,16,-12%,D,-12%,,,,,,,,,,,,,,,,,,,,,
10,Confit de canard du Sud-Ouest - Comtesse Du Barry,3660806020595,['Comtesse Du Barry'],['France'],"['INGRÉDIENTS MIS EN ŒUVRE : Cuisses de canard issues de canards fermiers élevés en plein air du Sud-Ouest', 'graisse de canard', 'piquillos', 'sel de Guérande', ""piment d'Espelette 0,1 %""]","['Non végétalien', 'Non végétarien']",?,329,1377 kj(329 kcal),"27,9","8,2","0,4",0,19,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Le parmentier de boudin noir aux deux pommes - Comtesse Du Barry,3660806020625,['Comtesse Du Barry'],['France'],"[""LNGREDIEVI'S Pomme de terre 46 %"", 'boudin noir 22 % ', 'viande de porc 55 sang de porc 45 %', 'oignons', 'lait', 'complet boudin noir ', 'lactose', 'sel', 'protéines de lactosérum', 'arômes naturels', 'dextrose', 'épices', 'plantes aromatiques', 'acidifiant : lactate de potassium', 'épices', 'oignons', 'crème', 'pomme Granny Smith 8 graisse de canard', 'sel', 'muscade', 'poivre', ""piment d'Espelette"", 'curcumtu']",['Non végétalien'],?,237,992 kj(237 kcal),19,8,"9,8","3,4","6,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,['E326 - Lactate de potassium'],,,,,,,,,,
12,Le Chapon Aux Marrons - Comtesse Du Barry,3660806021585,['Comtesse Du Barry'],['France'],[],[],?,153,640 kj(153 kcal),"9,1",3,"4,9","0,5",12,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,
13,Le foie gras de canard entier - Comtesse Du Barry - 90g,3660806022261,['Comtesse Du Barry'],['France'],"['Foie gras de canard', 'sel de Guérande', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+4%,-9%,-33%,-1%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Sans nitrite de sodium'],,3,,90 g,,,,,,,,,
14,Foie gras de canard entier - Comtesse du Barry,3660806022278,['Comtesse du Barry'],['France'],[],[],?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-32%,-0%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
15,Délices au foie gras de canard - Comtesse Du Barry,3660806023459,['Comtesse Du Barry'],['France'],"['4 délices de foie gras ', 'eau', 'viande et gras ', 'le porc', 'foie gras ', 'le canard I', 'YYO', 'viande de poulet', 'poudre ', 'le lait ent ier ', 'étnulsiflan', ' : lécithine ', '10 soja', 'farine ', 'le blé ', 'soja', 'sésanw?', ' oignons confits la graisse ', 'le canard', 'arôrne naturel', 'gélatine', 'e', ' ', 'le bisporus', ' 2,806', ""l'orto rouge"", 'échalote', 'chatnpignons noirs ', 'Auricularia polilriea', ' 1,7%', 'lutile ', 'le tournesol', 'altii', 'lon tnodifié ', ""le tnai's"", 'arôtnc ', 'arnidon ""10difiq\'?', ""f',ojntne de glu "", 'en', ""arotne 'naturel"", 'gel', 'gélatine', 'ail', 'poivre', ' Pore', 'cat poulet', ' ', 'rigine : France,']","['Non végétalien', 'Non végétarien']",?,193,808 kj(193 kcal),15,"6,5","7,3","2,6","7,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],"['Gluten', 'Soja']",4,"['E322i - Lécithine', 'E428 - Gélatine']",,,,,,,,,,
16,La volaille fermière mousseline de potimarron aux châtaignes - Comtesse du Barry - 280g,3660806023473,['Comtesse du Barry'],['France'],"['Potimarron 49 %', 'haut de cuisse de poulet fermier assaisonné 28 % ', 'haut de cuisse de poulet fermier', 'sel', 'thym', 'arôme naturel', 'pommes de terre', 'châtaignes 8%', 'crème', 'beurre', 'miel', 'sel', 'poivre', 'muscade', ' Poulet', 'Origine : France']","['Non végétalien', 'Non végétarien']",?,100,418 kj(100 kcal),"5,2","2,5","5,6","0,9","7,3","0,6","0,24",D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",5.2 g,en quantité modérée,2.5 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en quantité modérée,,-33%,-32%,-12%,+49%,-59%,-54%,-9%,-29%,-29%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Lait'],4,,280 g,,,,,,,,,
17,Terrine de legumes d'été - Comtesse du Barry,3660806023756,['Comtesse du Barry'],['France'],[],[],?,63,264 kj(63 kcal),"2,6","0,4","4,1","3,1","4,8","0,8","0,32",B,"['Terrines', 'Terrines de légumes']",2.6 g,en faible quantité,0.4 g,en faible quantité,3.1 g,en faible quantité,0.8 g,en quantité modérée,,-63%,-63%,-80%,-82%,-44%,+58%,+6%,-36%,-36%,1,-80%,B,-80%,56.4%,20.2%,7.8%,8.1%,4.3%,3.1%,89,,,,,,,,,,,,,,
18,Mini toasts nature - Comtesse Du Barry - 90g,3660806505993,['Comtesse Du Barry'],['France'],"['Farine de blé ', 'gluten', 'huile de coco non hydrogénée', 'sucre', 'levure boulangère', 'sel', ""malt d'orge "", 'gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,368,1540 kj(368 kcal),8,6,67,5,11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,90 g,,,,,,,,,
19,Chutney de mangue au poivre de Sechouan - Soglowek - 300g,3660806506624,['Soglowek'],['France'],"['Blanc de poulet ', '80%', 'eau', 'fécule de pomme', 'de terre', 'sel,épices', 'Conservateurs: E326', 'E250', 'protéine de soja', 'maltodextrine', 'dextrose', 'Épaississants: E407a', 'E410', 'Stabilisant: E451i', 'Amidon modifié: E1442', 'céleri', 'antioxygène: E316', ' Contient du soja et du céleri', ' Peut contenir de la moutarde', ' Importé en exclusivité par: TAL SARL', ' 111/129 rue Benoit Frachon 93000 Bobigny', 'FRANCE', ' Tel: 01', '57', '14', '04', '04', ' Fax: 01', '48', '95', '83', '74', ' Distribué par: SARL ERETS', ' 92 rue Diderot', '93500']","['Non végétalien', 'Non végétarien']",?,216,904 kj(216 kcal),"0,5","0,1",52,52,"0,6","0,2","0,08",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Chutneys de mangue']",0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.2 g,en faible quantité,,+21%,+19%,+23%,+29%,+21%,+29%,+11%,-82%,-82%,7,-42%,C,-42%,,,,,,,,['Fabriqué en France'],"['Céleri', 'Soja']",4,"['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E451i - TPP', 'E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E316 - Érythorbate de sodium']",300 g,,,,,,,,,
20,Rillettes de homard 100G - Comtesse du Barry,3660806506846,['Comtesse du Barry'],['France'],[],[],?,148,619 kj(148 kcal),"9,4","6,4","3,6","1,4","12,2","1,1","0,44",,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de crustacés', 'Rillettes de homard']",9.4 g,en quantité modérée,6.4 g,en quantité élevée,1.4 g,en faible quantité,1.1 g,en quantité modérée,,-2%,-1%,-4%,+19%,+16%,-1%,+7%,-3%,-3%,11,+28%,D,+28%,,,,,,,,,,,,,,,,,,,,,
21,Coeur de filet de saumon - Comtesse du Barry,3660806506938,['Comtesse du Barry'],['France'],[],[],?,191,799 kj(191 kcal),"10,8","1,3",1,"0,5","22,8",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nougat - Comtesse du Barry,3660806508406,['Comtesse du Barry'],['France'],[],[],?,440,1841 kj(440 kcal),16,"1,6",65,50,8,"0,03","0,012",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",16 g,en quantité modérée,1.6 g,en quantité modérée,50 g,en quantité élevée,0.03 g,en faible quantité,,-2%,-2%,-3%,-19%,-1%,-8%,+12%,-60%,-60%,16,0%,D,0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
23,Collection de 25 biscuits fins assortis - Comtesse du Barry,3660806508475,['Comtesse du Barry'],['France'],[],[],?,508,2125 kj(508 kcal),24,14,65,28,8,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Billes de chocolat au lait - Comtesse du Barry,3660806508574,['Comtesse du Barry'],['France'],[],[],?,580,2427 kj(580 kcal),41,"16,5",38,35,12,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Rillettes de rouget barbet - Comtesse du Barry,3660806508666,['Comtesse du Barry'],['France'],[],[],?,178,745 kj(178 kcal),13,"6,9","3,5","0,7",12,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Les crackers pavot & poivre - Comtesse Du barry,3660806508963,['Comtesse Du barry'],['France'],"['Farine de blé 85,5 %', 'huile de colza', 'sel', 'poudres à lever : tartrates de potassium', 'carbonates de sodium', 'graines de pavot 2 %', 'poivre 0,4 %', ' Fabriqué dans un atelier qui utilise : œufs', 'poudre de lait', 'fruits à coques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,486,2033 kj(486 kcal),"18,8","2,3",67,1,10,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,"['E336 - Tartrates de potassium', 'E500 - Carbonates de sodium']",,,,,,,,,,
27,Les sardines à l'huile d'olive - Comtesse du Barry,3660806508994,['Comtesse du Barry'],['France'],[],[],?,202,845 kj(202 kcal),"11,5","2,5",1,1,"24,6",1,"0,4",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",11.5 g,en quantité modérée,2.5 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,,-18%,-18%,-35%,-35%,+212%,+376%,+15%,+10%,+10%,3,-47%,C,-47%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Fabriqué en Espagne'],,,,,,,,,,,,,
28,Moutarde trésor saveur de truffe blanche - Comtesse du Barry,3660806509304,['Comtesse du Barry'],['France'],[],[],?,223,933 kj(223 kcal),"20,2","1,6","4,5","0,8","7,6","5,3","2,12",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",20.2 g,en quantité élevée,1.6 g,en quantité modérée,0.8 g,en faible quantité,5.3 g,en quantité élevée,,+31%,+31%,+87%,+95%,-35%,-79%,+16%,+13%,+13%,13,+12%,D,+12%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
29,Rillettes de sardine au piment d'Espelette - Comtesse du Barry - 65g,3660806509809,['Comtesse du Barry'],['France'],"['Sardines 63 %', 'crème liquide ', 'crème', 'stabilisant : carraghénanes', 'eau', ""huile d'olive"", 'farine de blé', 'échalotes', 'protéines de lait et lactose', 'sel', ""piment d'Espelette 0"", '1%', 'poivre', ' Sardina pilchardus', 'pěché en Atlantique Nord Est', ' Traces éventuelles de mollusques', 'crustacés', 'céleri', 'moutarde']","['Non végétalien', 'Non végétarien']",?,246,1029 kj(246 kcal),20,"7,4","2,6","0,7",14,"0,95","0,38",D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de sardine', 'en:preparations-made-from-fish-meat']",20 g,en quantité modérée,7.4 g,en quantité élevée,0.7 g,en faible quantité,0.95 g,en quantité modérée,,+8%,+8%,+11%,+0%,+22%,-37%,+1%,-9%,-9%,14,+15%,D,+15%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,"['Poisson', 'Gluten', 'Lait']",4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",65 g,,,,,,,,,
30,Rillettes de saumon - Comtesse du Barry - 65g,3660806509816,['Comtesse du Barry'],['France'],[],[],?,190,795 kj(190 kcal),14,"5,6",3,"0,7",17,"0,84","0,336",E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",14 g,en quantité modérée,5.6 g,en quantité élevée,0.7 g,en faible quantité,0.84 g,en quantité modérée,,-14%,-14%,-19%,+16%,+35%,-23%,+26%,-26%,-26%,5,-43%,C,-43%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,65 g,"['FR 56.069.005 CE', 'Groix (Morbihan, France)']",,,,,,,,
31,Bobun au Bœuf - Tafa - 450g,3660813201178,"['Tafa', 'Davima']",['France'],[],[],?,191,799 kj(191 kcal),"6,5","1,9","24,6","2,4","7,6","0,1","0,04",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Plats préparés réfrigérés', 'Bò bún']",6.5 g,en quantité modérée,1.9 g,en quantité modérée,2.4 g,en faible quantité,0.1 g,en faible quantité,,+5%,+6%,-29%,-33%,+66%,+11%,+1%,-90%,-90%,-1,-120%,A,-120%,,,,,,,,,"['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Arachides', 'Graines de sésame', 'Soja']",,,450 g,"['FR 93.027.080 CE', 'Courneuve (Seine-Saint-Denis, France)']","['Frais', 'Plastique']",['France'],,,,,,
32,Bobun - Daily Monop,3660813201505,['Daily Monop'],['France'],"['Bobun au boeuf /350g # PÇ60LP de riz 3 de riz', 'ma ioc', 'se}', ' {Viandes cie pou}et hachés SOH', ' verrniceitie= eau\\', 'pommes terre oignons', ""carot'±es râpées"", 'és', 'sucre', 'poivre', 'huiEe sésame', 'Gauca Foisson sucre', 'cie votait}e « M » ', 'se}', ' Pue', 'graisse de pcuEet', 'viande de peule', '*cidifiant', ' de céierì', 'antiexycjar:t: extrait de farine riz', 'set* eau', 'beef 17 e', 'sel', 'poivrei Maggi {seti sirop de gfi', ' de de pouve', 'extrait de ievure', 'ail rant', ' aramel', 'acidifiant ', ' acide extrait de 2', 'satacie', 'cacahuète', 'soja', ""oignons 'oce poisson {extrait d'anchoisè se}"", 'sucré} sucre carotte', 'sel', 'piment rouge', ' Céleri', 'Sésame', 'Arachides', ' 08/2017']",[],?,191,799 kj(191 kcal),"6,5","1,9","24,6","2,4","7,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],"['Céleri', 'Arachides', 'Graines de sésame', 'Soja']",,,,,,,,,,,,
33,Spaghetti Al Dente en 3 minutes - Lustucru - 2 * 500g (1kg),3660861018766,['Lustucru'],['France'],['100% semoule de blé dur de qualité supérieure'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1505,?,1505 kj(360 kcal),"1,9","0,3",70,6,13,"0,02","0,008",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Spaghetti', 'Spaghettis de blé dur']",1.9 g,en faible quantité,0.3 g,en faible quantité,6 g,en quantité modérée,0.02 g,en faible quantité,+0%,,+1%,+11%,-11%,-1%,+82%,+7%,+22%,+22%,-3,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Fabriqué en France'],['Gluten'],1,,2 * 500 g (1 kg),,"['Sachet', 'Plastique']",['France'],Pâtes alimentaires de qualité supérieure,,,,,
34,L. 2 Nouil. Cuis. Rap. - Lustucru,3660861018827,['Lustucru'],['France'],"['7\' voirsur le r rancee uriqué P"" NIADEFROM 1 Aq/HEAT GREDIENT: 100% high qualitY durum wheat semolina Naturally contains gluten', ' Produced in a fact0ry that uses eggs store in a dry cool place', ' Best betore end: see the /eftside ofthe packaging', ' Made in France', ' VALEuqs NUTRITIONNELLES DE SÈCHES/ NUÌRmoNVALUES FOR4C', 'sa-nnWPASTA']",[],?,150,628 kj(150 kcal),"1,9","0,44",72,6,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
35,"Pâtes Lustucru Coquillettes, Oeufs Frais - 250g",3660861019916,['Lustucru'],['France'],"['Semoule de blé dur de qualité supérieure', 'œufs frais 13,5%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,372,1556 kj(372 kcal),"3,5","0,8",70,6,"13,5","0,064","0,026",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes aux œufs']",3.5 g,en quantité modérée,0.8 g,en faible quantité,6 g,en quantité modérée,0.064 g,en faible quantité,,+11%,+10%,-15%,-29%,+18%,+135%,+3%,-73%,-73%,-3,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Fabriqué en France'],['Œufs'],1,,250 g,"['EMB 60150', 'Chiry-Ourscamp (Oise, France)']",['boîte'],,,,,,,
36,Macaroni aux Oeufs Frais,3660861019978,,['France'],[],[],?,372,1556 kj(372 kcal),"3,5","0,8",70,6,"13,5","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Torsettes cuisson rapide 500gx3 - Lustucru - 500g,3660861021063,['Lustucru'],['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,3",70,"4,5",13,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,['Packet'],,,,,,,
38,Coudes Rayes Aux Oeufs Frais Lustucru,3660861021285,['Lustucru'],['France'],[],[],?,372,1556 kj(372 kcal),"3,5","0,8",70,6,"13,5","0,064","0,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tortill'ettes aux oeufs - Lustucru - 250g,3660861021438,['Lustucru'],['France'],[],[],?,372,1556 kj(372 kcal),"3,5",0,70,70,"13,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,250 g,,,,,,,,,
40,Coquillettes RIVOIRE & CARRET,3660861021858,['Rivoire carret'],['France'],"['Pâtes alimentaires de q alité supérieure / Deegwaren van uitstekende kwaliteit Ingrédient : 100% semoule de blé dur de qualité supérieure', ' Contient du gluten', ' Fabriqué dans un atelier qui utilise des oeufs', ' / Ingrediënt: 100% harde tarwegriesmeel van uitstekende kwaliteit Bevat gluten', ' Geproduceerd in een werkplaats die gebruik maakt van eieren']",[],?,355,1485 kj(355 kcal),"1,9","0,44",70,6,"12,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,['Magasins U'],,,,
41,Torsettes - Rivoire & Carret - 500g,3660861021889,['Rivoire & Carret'],['France'],['100% semoule de blé dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,355,1485 kj(355 kcal),"1,9","0,44",72,6,"12,5","0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",1.9 g,en faible quantité,0.44 g,en faible quantité,6 g,en quantité modérée,0.02 g,en faible quantité,,-0%,-1%,-5%,-1%,+3%,+92%,0%,-27%,-27%,-3,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Fabriqué en France'],"['Œufs', 'Gluten']",1,,500 g,,['Carton'],,,['Magasins U'],,,,
