,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,nova_score,additives,quantity,traceability_code,packaging,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner
244,Brochettes de boeuf haché nature x 4 - Marque Repère - 400g,3661112850340,"['Marque Repère', 'Férial']",['France'],"['Viande de boeuf ', '75%', 'eau', 'fecule de pomme de terre', 'fibre de bambou', 'sel', 'arome', 'poudre de betterave rouge', 'antioxydant : e301', 'poivre', ' {traces}traces de soja', '{/traces}']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,272,1138 kj(272 kcal),24,11,"2,1",0,12,1,"0,4",,"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Brochettes', 'Plats au bœuf', 'Brochettes de viande', 'Brochettes de bœuf']",24 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+70%,+74%,+174%,+255%,+75%,-100%,-27%,+73%,+73%,17,+608%,D,+608%,,,,,,,,,,4,['E301 - Ascorbate de sodium'],400 g,,,,,['Leclerc'],,,,
245,"Sunny Delight Saveur Pina Colada - 1,250cl",3661138600608,['Sunny Delight'],['France'],"['Boisson rafraîchissante aux extraits de fruits aromatisé Pina Colada', ' Flash pasteurisé au rayon frais\rIngrédients : eau', 'sucre,jus de fruits à base de concentrés 5% ', 'ananas 2,5%', 'mandarine 1,5% pomme 1%', ' acidifiant : acide citrique', ""stabilisant : gomme d'acacia"", 'vitamines ', 'C,E,A', ' épaississant gomme guar', 'arôme naturel colorant : luteine']",[],151,36,151 kj(36 kcal),"0,1","0,1","8,4","8,1",0,"0,01","0,004",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",0.1 g,en faible quantité,0.1 g,en faible quantité,8.1 g,en quantité élevée,0.01 g,en faible quantité,-66%,-58%,-59%,-73%,-40%,-58%,-56%,-100%,-73%,-73%,12,+1%,E,+1%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,4,"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E412 - Gomme de guar', 'E161b - Lutéine']","1,250 cl",,['bouteille plastique'],['France'],Boisson rafraîchissante aux extraits de fruits aromatisée Piña Colada,['Intermaché'],,,,
246,Ice tea/thé noir infusé fraise citron vert,3661138600851,,['France'],[],[],?,30,126 kj(30 kcal),0,0,7,7,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,nectarine blanche - 500g,3661150010201,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,500 g,,,,,,,,,
248,Melon de Guadeloupe Le Flamboyant - Boyer - 1fruit,3661156109503,['Boyer'],['France'],['Melon'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Fruits frais', 'Melons', 'Fruits français', 'Melons frais', 'Melon de Guadeloupe']",,,,,,,,,,,,,,,,,,,,,,,70.3%,0.0%,0.0%,12.0%,10.7%,7.0%,93,['IGP'],,1,,1 fruit,,['Aucun'],,,['Cora'],"['France', 'Guadeloupe']",,,
249,prune rouge variété stanley - Boyer sas - 1kg,3661156242644,['Boyer sas'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,
250,Saucisson,3661202100768,,['France'],[],[],?,2,8 kj(2 kcal),3,1,2,"0,5",4,"0,5","0,2",,"['Viandes', 'Charcuteries', 'Saucissons']",3 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,,-99%,-100%,-90%,-92%,-7%,-62%,-84%,-88%,-88%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
251,Jus de pomme,3661218001905,,['France'],[],[],?,51,213 kj(51 kcal),"0,2","0,2",13,12,"0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Golden delicious -,3661218115251,,['France'],[],[],?,54,226 kj(54 kcal),"0,3",0,12,0,"0,3",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,+50%,+53%,-3%,-100%,+44%,-100%,-80%,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,,
253,Ananas - Ana'dou - 1fruit,3661273099008,"[""Ana'dou"", 'SCB Premium', 'SCB']",['France'],['Ananas'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",,,,,,,,,,,,,,,,,,,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,1,,1 fruit,,['Sans emballage'],,,['Netto'],['Costa Rica'],,,
