,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
10,Cafe Tasse White Chocolate Lemon 45 g (Pack Of 5),5400219515503,E,45 g,,['Café-Tasse'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats au citron', 'Chocolats blancs au citron']",,,['France'],"['Sucre', 'lait entier en poudre', 'beurre de cacao', 'zestes de citrons ', '1,64%', 'arome naturel ', 'citron', 'vanille', ' émulsifiant ', 'lécithine de soja', 'sirop de glucose-fructose', ""correcteur d'acidité "", 'acide citrique', ' Allergènes: lait et soja', "" Peut contenir des traces d'oeufs"", 'de fruits à coques et de gluten']","['E322i - Lécithine', 'E330 - Acide citrique']",['Soja'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,32 g,en quantité élevée,20 g,en quantité élevée,58 g,en quantité élevée,0.25 g,en faible quantité,?,,546,-3%,2284 kj(546 kcal),-3%,32,-11%,20,-7%,58,+9%,58,+15%,"6,4",-4%,"0,25",-3%,"0,1",-3%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,,,
11,Arachides coques grillees -  - 1000g,5400247032881,,1000 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,619,,2590 kj(619 kcal),,50,,9,,"7,3",,"4,7",,31,,"0,1",,"0,04",,,,,,,,,,,,,,,"['EMB 13117E', 'Vitrolles (Bouches-du-Rhône, France)', 'EMB 13117', 'Vitrolles (Bouches-du-Rhône, France)']",,,,,,
12,Fruit Mix Bonbons - Carrefour,5400265025933,,,,['Carrefour'],,,['Carrefour'],['France'],['mélk'],,,[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,0,,0,,97,,70,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
13,Domino - Caramel / Kaffepads Mit Karamel-geschmack,5400337004477,,,,['Domino'],,,,['France'],"['café torrené moulu', 'arôme de caramel ', '3%']",,,[],4,,,,,,,,,?,,4.8000001907349,,20 kj(4 kcal),,"0,1",,"0,1",,"0,64",,"0,2",,"0,69",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
14,Mendiants With Raisins - Delhaize - 200gr,5400601052074,,200gr,['sachet plastique'],['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",,['Delhaize'],"['Belgique', 'France']","['raisins secs Thompson Flame 40 ', 'raisins secs', 'huile de tourneso!', 'raisins secs Golden 20% [raisins secs', 'huile de tournesol', 'conservateur: anhydride sulfureux ', 'suintes', ']', 'cacahuètes 17%', 'amandes 12%', 'cerneaux de noi ', 'noix de cajou 5%', ',']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Fruits à coque', 'Arachides']",[],3,21 g,en quantité élevée,2.5 g,en quantité modérée,46 g,en quantité élevée,0.1 g,en faible quantité,?,,451,+34%,1887 kj(451 kcal),+34%,21,+204%,"2,5",+11%,52,-10%,46,+6%,11,+168%,"0,1",+14%,"0,04",+14%,2,-58%,B,-58%,,,,,,,,['Non Union Européenne'],,,,,,,,
15,BIO Chia Samen 400G Vegan / Rohkostqualität / Aus Peru - Purasana - 400g,5400706613330,,400 g,,['Purasana'],,['Bio'],,['France'],"['100% graines de chia ', 'Salvia hispanica', ' bruts et biologiques du Pérou']",,,[],,,,,,,,,,?,,444,,1858 kj(444 kcal),,"31,4",,"3,8",,"4,9",,"0,8",,"21,2",,0,,0,,,,,,,,,,,,,,,,,,,,,
16,Epicerie / Boissons Et Vins / Boissons Instantanées - Purasana - 200g,5400706615112,,200 g,,['Purasana'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",,['France'],"['poudre de protéines de chanvre* ', '28%', 'carotte*', 'protéines de pois*', 'betterave rouge*', 'tomate*', 'graines de chanvre* ', '8,5%', 'graines de lin* ', '5,5%', 'agave*', 'inuline*', 'gomme arabique*', 'arôme naturel de citron*', ' ', ""*produit issus de l'agriculture biologique""]","[""E414 - Gomme d'acacia""]",,"['Végétalien', 'Végétarien']",4,,,,,,,,,?,,385,,1611 kj(385 kcal),,10,,"1,2",,39,,16,,29,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,
17,Coeur de saumon fumé - Vendsyssel - 100g,5400742900944,E,100 g,,['Vendsyssel'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,['France'],"['cocuabE SAUMON NORVÉGIEN FUMÉ : Ingté&Kts : SAUMON atlantique ', 'Salmo solar élevé en Norvège', ' 97%', 'sol']",,['Poisson'],"['Non végétalien', 'Non végétarien']",,10.6 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,2.5 g,en quantité élevée,?,,182,-2%,761 kj(182 kcal),-2%,"10,6",+1%,3,+46%,"0,2",-60%,"0,2",-40%,"21,7",-2%,"2,5",-11%,1,-11%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,
18,Foppies,5400787025411,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,366,,1531 kj(366 kcal),,0,,0,,91,,52,,"1,6",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,
19,Huile de noix de coco - Nutridia,5400910105034,,,,['Nutridia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']","['Bio', 'Bio européen', 'BE-BIO-02']",,['France'],[],,,[],,99.9 g,en quantité élevée,90.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,"99,9",+3%,"90,5",+7%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,,
