,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
495,330G Coeurs D'artichaut a L'huile,8009004809055,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",,,['France'],[],,,[],,12 g,en quantité modérée,1.4 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,?,,137,+174%,573 kj(137 kcal),+177%,12,+594%,"1,4",+486%,43,+843%,"0,7",-43%,"1,5",-14%,"1,1",+28%,"0,44",+28%,1,,B,,,,,,,,,,,,,,,,,
496,Pici Toscani - Pastificio Morelli - 500g,8009167012095,,500g,,['Morelli'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,75,,"4,8",,11,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
497,Rubata al Sesame - Qualitalia,8009273002188,,,,['Qualitalia'],,,,['France'],"['SOJA', 'Conserver au ra18 et au sec', ' In redienti: farina di GRANO tenero O', '5E9sAM0 Ilevlto farina dl ageiutto,']",,['Soja'],[],,,,,,,,,,?,,447,,1870 kj(447 kcal),,"15,6",,"3,9",,"64,3",,"2,5",,"10,3",,"1,975",,"0,79",,,,,,,,,,,,,,,,,,,,,
498,Risotto 4 fromages - Nostra,8009736818882,B,,,['Nostra'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risotto aux fromages']",,,['France'],"['riz Carnaroli 85%', 'fromages déshydrates ', 'en proportion variable', ' 11% ', 'emmental', 'parmesan', 'Zola', 'pecorino', 'lactosérum', 'ï assaisonnement aux légumes ', 'sel', 'fécule de pomme de terre', 'extrait de levure', 'maltodextrine de pomme de terre', 'légumes déshydratés: oignon - carotte - céleri - persil', 'huile de tournesols gingembrey noix de muscade', 'arômes naturels', '$ oignon déshydraté', 'SANS GLUTEN Allergènes: céleri/lait A consommer après cuisson']",,"['Céleri', 'Gluten', 'Lait']",['Non végétalien'],4,3 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en faible quantité,1.98 g,en quantité élevée,?,,338,+50%,1414 kj(338 kcal),+56%,3,-26%,"0,5",-72%,68,+86%,"1,7",+11%,"5,9",-2%,"1,975",+114%,"0,79",+114%,12,+161%,D,+161%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,,,,
499,Riz Arborio Pour Risotto - Nostraterra,8009736848889,,,,"['Nostraterra', 'Taureau Ailé']",,"['en:gluten-free', 'Fabriqué en Italie']",,['France'],"['riz Carnaroli ', '95%', 'assaisonnement au pesto basilic 5% ', 'basilic et ail déshydratés ', 'en proportions variables', 'sel', 'farine de riz', 'sucre', 'fromage Pecorino', 'huile de tournesol', 'extrait de levure', ' SANS GLUTEN Allergènes: lait A consommer après cuisson']",,['Gluten'],['Non végétalien'],,,,,,,,,,?,,351,,1469 kj(351 kcal),,"0,5",,"0,5",,79,,"1,6",,"6,6",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,
500,Filet d'anchois de sicile,8009867000828,B,,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,['France'],[],,,[],,12.9 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,15 g,en quantité élevée,?,,290,+43%,1213 kj(290 kcal),+40%,"12,9",+2%,3,+24%,0,-100%,0,-100%,"30,2",+45%,15,+121%,6,+121%,15,+20%,D,+20%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,
501,Mini Gressins - Linea Vecchio Mulino S R L,8009958000218,B,,,['Linea Vecchio Mulino S R L'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,['France'],[],,,[],,8.5 g,en quantité modérée,4 g,en quantité modérée,2.5 g,en faible quantité,2 g,en quantité élevée,?,,392,-7%,1640 kj(392 kcal),-7%,"8,5",-21%,4,+77%,67,+0%,"2,5",0%,"9,5",-17%,2,+5%,"0,8",+5%,12,-6%,D,-6%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
502,Succo di limone di Sicilia - Conad,80038443,D,,,['Conad'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,,24,-11%,100 kj(24 kcal),-11%,"0,1",-30%,0,-100%,"5,6",+57%,2,+20%,"0,2",-41%,0,-100%,0,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
503,Fusilli a la carbonara - Auchan,8010205010041,,,,['Auchan'],['Plats préparés'],,['Auchan'],['France'],[],,,[],,9.6 g,en quantité modérée,2.3 g,en quantité modérée,8.5 g,en quantité modérée,3.4 g,en quantité élevée,?,,402,+150%,1682 kj(402 kcal),+151%,"9,6",+34%,"2,3",+1%,64,+378%,"8,5",+309%,13,+86%,"3,4",+261%,"1,36",+261%,18,+357%,D,+357%,,,,,,,,,,,,,,,,
504,Tomate Pelees Giaguaro Bte 4 / 4,8010706330112,,,,['Giaguaro'],,,,['France'],"['C,ESCFA1tF']",,,[],,,,,,,,,,?,,22.200000762939,,93 kj(22 kcal),,"0,2",,0,,"3,4",,"3,4",,"1,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
505,Sugo Alla Bolognese - Riscossa,8011780042359,,,,['Riscossa'],,,,['France'],[],,,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,"2,4",,"0,7",,"6,3",,"5,6",,"2,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
506,Crema Nocciole,8012012131704,,,,,,"['en:gluten-free', 'Fabriqué en Italie']",,['France'],[],,,[],,,,,,,,,,?,,554,,2318 kj(554 kcal),,35,,"5,1",,50,,48,,"7,5",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,
507,Farfalle Integrali Di Farro - La terra e il cielo,8013034005509,,,,['La terra e il cielo'],,,,['France'],"['biélogico ', 'triticum dicoccurn', ' complè: biologique']",,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"2,2",,"0,5",,"62,3",,"1,6",,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
508,Pâtes de semoule de blé dur complet biologiques - Castagno - 500g,8013885030224,,500 g,,['Castagno'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Pâtes de blé dur entier ou semi-entier', 'es:Pastas de trigo duro integrales o semi-integrales']","['Bio', 'Bio européen']",,"['France', 'Espagne']","['semoule complet de blé dur biologique*', 'eau']",,,[],1,2.7 g,en faible quantité,0.6 g,en faible quantité,5 g,en quantité modérée,0 g,en faible quantité,?,,344,-1%,1439 kj(344 kcal),-1%,"2,7",+38%,"0,6",+50%,64,+9%,5,+92%,12,-2%,0,-100%,0,-100%,-5,,A,,,,,,,,,,,,,,,,,
509,Biologico - Crème de vinaigre balsamique - CASA DEL BALSAMICO,8014599012445,,,,['CASA DEL BALSAMICO'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']","['Bio', 'Bio européen', 'IT-BIO-006']",,['France'],"['Moût cuit de raisin', 'vinaigre balsamique de Modena 40%', 'amidon de mais']",,,[],,0 g,en faible quantité,0 g,en faible quantité,50.8 g,en quantité élevée,0.07 g,en faible quantité,?,,234,+10%,979 kj(234 kcal),+10%,0,-100%,0,-100%,"55,3",+11%,"50,8",+21%,"0,8",+20%,"0,07",-45%,"0,028",-45%,12,+10%,D,+10%,,,,,,,,,,,,,,,,
510,Caputo Flour 00 Pizza Chef 1KG - 1kg,8014601026354,,1 kg,,['Caputo'],,['Fabriqué en Italie'],,['France'],"['farine de ble tendre ""450 Bestandeils: weichweizenmehl type ""405"" - fngredientes: harina de trigo blando T-45 Senza aggiunta di additivi ed enzimi', ' Pub contenere tracte di SQiÀ', 'G1utine', ' Without adding additives and enzyrnes Sons ajouter les additifs et enzymes Ohne zugabe von zusatzstoffen und enzymen - Sin anadir aditivos y enzimas It may contain traces of soy', 'gluten - Peut des traces de soya', 'gluten Es kann sìuren von soja', 'gluten Puede trazas de soja', 'gluten Umidità massima 15,503% Hunidity 15,50 % - Humidite Luftfeuchtigkeit 15,50 - Himedad 15,b0 Conservareinluog itescoeasciutto Storeinacoolanddry-Mag dans unendroitfraisèfset cken?G rentrescoyseÉo Kuhlundtrc centrol utaimpressa di preferibilment Bestbefore', 'tseede date Aliqxees', 'xk*dupaquet de preference la datt hdtbar', 'siehe Oben packung - Cons nir']",,,[],4,,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,5",,"0,3",,70,,1,,13,,"0,018",,"0,007",,,,,,,,,,,,,,,,,,,,,
511,Spaghetti Bio Classique,8015197054783,,,,,,['Bio'],,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,"1,8",,"1,8",,"71,8",,30,,"11,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
512,Loggia Dei Grani Gigli Tricolori - Dalla Costa - 500g,8016419300206,B,500 g,"['Sachet', 'Plastique', 'Carton']","['Dalla Costa', 'Loggia dei Grani']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes sèches aromatisées et colorées']",['Point Vert'],['Auchan'],"['Autriche', 'France', 'États-Unis']","['Semoule de blé dur', 'tomate déshydratée 1,5%', 'épinards déshydratés 1,5%']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.91 g,en faible quantité,0.36 g,en faible quantité,3.64 g,en faible quantité,0 g,en faible quantité,1516,+0%,345,-3%,1516 kj(345 kcal),+1%,"0,91",-45%,"0,36",-1%,"76,36",+7%,"3,64",+4%,"10,91",-10%,0,-100%,0,-100%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Italie'],Pâtes de semoule de blé dur à la tomate et aux épinards,,http://www.dallacostalimentare.it/prodotti/loggia-dei-grani/gigli/,,['Italie'],Porterhouse Entertainment,,
513,Il Pinguino alla Gianduja,8016953001317,,,,,,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,283,,1184 kj(283 kcal),,"17,8",,10,,"25,1",,"24,6",,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
514,Gressins - Prato,8017716003012,B,,,['Prato'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']","['Fabriqué en Italie', 'en:palm-oil-free']",,"['France', 'Italie']","['gradizione di eccella CON OUO ln redienti: farina di po Erno olio di qirasolej olio di Oliva ', 'b', 'lievito di birrat sate aroma aturale', ' Pub con enere tracce di latte Contient glutne Conservare in luoso fresco e {iutto', ' Non esporre ai raggi del so!e e a fonti di Glore', ' Da consumarsi ntro la data impressa Sulla confezione', ' READSTICVS WITH AND OIL ngredients: soft ET HUILE farine de hu & tournesol', 'hui!e ', '3%', 'de bière', 'sel', 'arôm> traces & lait Contient Conserver en lieu frais et sec et é l', "" de prérerence èvènt 1?: voir là dète indiquée 'REÂIuI"", 't', ' GRISS!NI UND OUVENOL Weizenmehl', 'Bam Im gebacken und handgemacht PRODOTTO IN ITALIA MADE']",,,['Sans huile de palme'],,18.3 g,en quantité modérée,4 g,en quantité modérée,2.2 g,en faible quantité,1.77 g,en quantité élevée,?,,465,+10%,1946 kj(465 kcal),+11%,"18,3",+69%,4,+77%,"58,2",-13%,"2,2",-12%,"16,4",+44%,"1,775",-7%,"0,71",-7%,15,+17%,D,+17%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
515,Bitter. cl. 10x6 Biz Rosso Pola,8018005111012,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,13,,13,,1,,"0,035",,"0,014",,,,,,,,,,,,,,,,,,,,,
516,Risotto al Tartufo - Casale fresco - 300g,8018370001819,,300 g,,['Casale fresco'],,,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,399,,1669 kj(399 kcal),,"0,5",,"0,1",,90,,"0,02",,"8,2",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
517,Riz Noir Venere - 300g,8018370002304,,300 g,,,,,,"['France', 'Japon', 'Suisse']",[],,,[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,2,,"0,3",,63,,"0,8",,"7,7",,0,,0,,,,,,,,,,,,,,,,,,,,,
518,Prosciutto crudo artigianale,8019440002927,,,,,,,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,287,,1201 kj(287 kcal),,19,,7,,0,,0,,29,,"4,9",,"1,96",,,,,,,,,,,,,,,,,,,,,
519,Capperi all aceto,8020454006320,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,29,,121 kj(29 kcal),,"1,1",,"0,4",,1,,"0,1",,"1,7",,"3,9",,"1,56",,,,,,,,,,,,,,,,,,,,,
520,Burratina,8022213016014,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,"19,1",,"12,9",,"1,2",,"1,1",,"17,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
521,Mozzarella Di Bufala Ciuffo 250GR Campa - 250g,8023074000013,D,250 g,['Plastique'],,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,"['France', 'Pays-Bas']",[],,,[],,21 g,en quantité élevée,14 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,247,-5%,1033 kj(247 kcal),-4%,21,+1%,14,0%,"0,5",-51%,"0,5",-34%,14,-17%,"0,6",-11%,"0,24",-11%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
522,Bulk Deal 12 X Bio Italia Organic Chick Peas - Bioitalia,8024046004206,,,['boîte'],['Bioitalia'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"['pois chiches biologiques', 'eau', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,163,,682 kj(163 kcal),,2,,"0,2",,"25,2",,3,,"7,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
523,Huile de sésame Premiere pression à froid - 500ml,8024358903280,C,500 ml,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",['Bio'],,['France'],[],,,[],,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-4%,3464 kj(828 kcal),-4%,92,-4%,14,-5%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-4%,D,-4%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,
524,Sauce noire à la truffe - 80g,8025386004864,,80 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,36,,"4,1",,"4,7",,"0,9",,"2,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
525,Linguette Flatbread,8025848131329,,,,,,['Fabriqué en Italie'],,['France'],[],,,[],,,,,,,,,,?,,125,,523 kj(125 kcal),,3,,0,,22,,1,,3,,"1,125",,"0,45",,,,,,,,,,,,,,,,,,,,,
526,Mozzarella di bufala campana - Ponte Reale - 125g,8027480000506,D,125 g,,['Ponte Reale'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,,['France'],[],,,[],,22 g,en quantité élevée,16 g,en quantité élevée,0.6 g,en faible quantité,0.39 g,en quantité modérée,?,,256,-4%,1071 kj(256 kcal),-4%,22,-5%,16,+1%,"0,69",-7%,"0,6",-2%,14,-3%,"0,39",-36%,"0,156",-36%,9,-12%,C,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['IT 15 543 CE'],,,,,,
527,Mortad. bologna Igp GR. 100 Neg. - Negroni,8028257011473,,,,['Negroni'],,['Arômes naturels'],['Magasins U'],['France'],"['Itrajana klobasa', ' Brez glutena', ' Sestavine: svinjsko meso', 'sviniski tètimlxa in aromatilne rastline', 'konzervansi: natrjev nitrit', ' Lafiko cetdo', 'estômago', 'sal', 'sacarosa', 'aromas naturales', ""antioxidantes: 'ito de sodio"", ' Puede contener pistachos', ' kJ A Valorinutrizionalimedi/Averagenutritional per100g values/ Nirin svarde/Ravintosisàltô 1103 kJ Energia / Energy / Energi / Energia']",,,[],4,,,,,,,,,?,,25,,105 kj(25 kcal),,22,,"8,3",,"8,3",,0,,17,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,
528,Cantucini con cioccolato fondente - Antonio Mattei - 250g,8028700000153,,250g,,['Antonio Mattei'],,,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,15,,"1,3",,67,,35,,"9,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
529,Artichaud avec tiges - Biorganica Nuova,8029689004446,,,,['Biorganica Nuova'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,424,,1774 kj(424 kcal),,"0,9",,"0,9",,"1,1",,"0,2",,"1,9",,"1,67",,"0,668",,,,,,,,,,,,,,,,,,,,,
530,Coeurs d'Artichauts à l'Huile - Biorganica nuova,8029689004545,,,,['Biorganica nuova'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]","['Bio', 'Bio européen', 'IT-BIO-006', 'Fabriqué en Italie']",['Ekoplaza'],"['France', 'Pays-Bas']","['Artichauts*', '62,68% huille de tournesol* 28,57%', ""huile d'olive vierge extra*"", '7,14%', 'sel', ""vinaigre de vin* persil'"", 'basilic*', "" 'Issus de l'agriculture biologique""]",,,[],3,1.6 g,en faible quantité,0.9 g,en faible quantité,0.2 g,en faible quantité,1.67 g,en quantité élevée,?,,103,+106%,431 kj(103 kcal),+108%,"1,6",-8%,"0,9",+277%,"1,1",-76%,"0,2",-84%,"1,9",+9%,"1,67",+94%,"0,668",+94%,2,,B,,,,,,,,,,,,,,,,,
531,Fruits de câpres au vinaigre - 190g,8029689005023,,190 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,25,,105 kj(25 kcal),,"0,7",,"0,1",,"1,8",,"0,5",,"1,5",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,
532,Olivade d'olives vertes - Biorganica nuova,8029689006013,,,,['Biorganica nuova'],,"['Végétarien', 'Végétalien']",,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,126,,527 kj(126 kcal),,"10,7",,"1,9",,3,,"0,01",,3,,"1,31",,"0,524",,,,,,,,,,,,,,,,,,,,,
533,Grissini sesamo,8031771000922,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,['France'],[],,,[],,20.3 g,en quantité élevée,6.68 g,en quantité élevée,0.58 g,en faible quantité,1.26 g,en quantité modérée,?,,422,+0%,1766 kj(422 kcal),+0%,"20,26",+88%,"6,68",+196%,"58,12",-13%,"0,58",-77%,"6,84",-40%,"1,26",-34%,"0,504",-34%,16,+25%,D,+25%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
534,Crema mussini,8032181001943,,,,['Mussini'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,35.5 g,en quantité élevée,0.05 g,en faible quantité,?,,176,-17%,736 kj(176 kcal),-17%,0,-100%,0,-100%,41,-18%,"35,5",-15%,"0,55",-17%,"0,05",-61%,"0,02",-61%,9,-17%,C,-17%,,,,,,,,,,,,,,,,
535,Risotto a la Truffe -,8032542743802,,,,,"['Plats préparés', 'Plats à base de riz', 'Risottos']",,,"['France', 'Suisse']","['riz carnaroli 92%', 'sel marin', 'tromage ', 'contient lait', 'truffes 1% ', 'Tuber destivum', 'farine de riz', 'oignon', 'céleri', 'carotte', 'persil', 'huile d’olive extra vierge', 'amidon de mais', 'miso ', 'soja', 'riz', 'eau', 'sel', 'koji', 'extrait de levure', 'épices', 'arômes']",,"['Céleri', 'Lait', 'Soja']",[],4,1.2 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,2.3 g,en quantité élevée,?,,371,+65%,1552 kj(371 kcal),+71%,"1,2",-70%,"0,1",-94%,82,+125%,"0,4",-74%,"7,3",+22%,"2,3",+149%,"0,92",+149%,13,+183%,D,+183%,,,,,,,,,,,,,,,,
536,Taralli,8032610810467,,,,,,['Fabriqué en Italie'],,['France'],[],,,[],,,,,,,,,,?,,476.79998779297,,1995 kj(476 kcal),,"20,1",,"2,9",,"62,83",,"1,9",,"2,66",,"9,81",,"3,924",,,,,,,,,,,,,,,,,,,,,
537,Crema gianduja,8032700031024,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,37,,"5,1",,48,,31,,11,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,
538,Fusilli Caserecci,8032715810119,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,"1,2",,"0,26",,"70,6",,"3,53",,14,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
539,minchiette,8032727110108,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,368,,1540 kj(368 kcal),,"0,18",,"0,07",,"77,5",,"2,7",,12,,"0,078",,"0,031",,,,,,,,,,,,,,,,,,,,,
540,Grissinotti alle Olive - TD Grissini,8032732650286,,,,['TD Grissini'],,,,['France'],[],,,[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,14,,"1,4",,61,,"2,7",,"7,8",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
541,Goccioti,8032755321118,,,,,,['en:palm-oil-free'],,['France'],[],,,['Sans huile de palme'],,,,,,,,,,?,,462,,1933 kj(462 kcal),,16,,"4,2",,70,,22,,8,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,
542,Farine de riz semi-complet,8032880710061,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']","['Bio', 'Bio européen', 'IT-BIO-014']",,['France'],[],,,[],,1.9 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,349,-1%,1460 kj(349 kcal),-1%,"1,9",+9%,"0,5",+15%,80,+4%,"0,5",-8%,"6,7",-2%,0,-100%,0,-100%,0,,B,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,,,
543,Crema all aceton balsamico Di Modena ijp -,8033210891702,,,,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,['France'],"['moût de raisin cuit', 'Vinaigre Balsamique de Modène ', '39%', ' ', 'vinaigre de vin', 'mout de raisin cuit', 'vinaigre de vin', 'amidon de mais', ' Contient des sulfites']",,['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0.01 g,en faible quantité,?,,251,+18%,1050 kj(251 kcal),+18%,0,-100%,0,-100%,"60,1",+20%,54,+29%,"0,3",-55%,"0,01",-92%,"0,004",-92%,13,+19%,D,+19%,,,,,,,,,,,,,,,,
544,Burrata -,8033373201547,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",,,['France'],[],,,[],,20.5 g,en quantité élevée,14.2 g,en quantité élevée,1.7 g,en faible quantité,0.06 g,en faible quantité,?,,251,+2%,1050 kj(251 kcal),+2%,"20,5",-2%,"14,2",+6%,"2,2",+55%,"1,7",+35%,"14,4",+19%,"0,06",-89%,"0,024",-89%,8,-16%,C,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['IT 16-389 CE'],,,,,,
545,La Fabbrica Della Pasta - Calamarata Rigata Tricolore - Grangnano - 500g,8033406265829,,500g,,['Grangnano'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,5",,"0,4",,"72,8",,"1,7",,13,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
546,Delidor -,8033520511413,,,,,,,,['France'],"['Sugar', 'vegetable oils ', 'palm', 'rapeseed and sunflower', 'hazelnuts 13%', 'low-fat Cocoa powder', 'skimmed milk powder 5,5%', 'whey powder', 'lactose', ' Emulsifier: sunflower lecithin', ' flavours', ' May contain traces of soy', 'peanuts and tree nuts', ' Store dry and cool', ' Best before: see on the cover']",['E322i - Lécithine'],"['Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,528,,2209 kj(528 kcal),,"29,2",,10,,"58,4",,"57,3",,"6,1",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,
547,FUMO,8033928641545,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,900,,3766 kj(900 kcal),,90,,9,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
