,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
0,Salgam - Kemal kukker - 750,8694748815037,750,['Kemal kukker'],['tr:İçeçek'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ciliegie - Zuegg,80242338,,['Zuegg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",['France'],[],[],?,156,0,"37,4","0,6",C,"['Bio', 'Bio européen', 'en:gluten-free', 'DE-ÖKO-006']",0 g,en faible quantité,0 g,en faible quantité,35.7 g,en quantité élevée,,-30%,653 kj(156 kcal),-30%,-100%,0,-100%,-30%,"35,7",-30%,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,
2,10 Oeufs Frais,3573202330116,,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,506,"0,5",4,12,D,,0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+283%,2117 kj(506 kcal),+280%,-95%,"0,5",-79%,+489%,0,-100%,-2%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.01 g,en faible quantité,"0,01",-96%,"0,004",-96%,1,,B,,,,,,,,,,,,,,,
3,Filets de poulet Extra tendres - Volandrie,3564706609181,,"['Volandrie', 'Marque Repère']","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],?,101,"1,9",0,21,C,"['Nutriscore', 'Nutriscore B']",1.9 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,,-23%,423 kj(101 kcal),-22%,-34%,"0,6",-20%,-100%,0,-100%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.1 g,en quantité modérée,"1,1",+47%,"0,44",+47%,0,,B,,['Barquette'],['France'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Leclerc'],,,,,,,,,,
4,Aper'olives - Tokapi - 250g (150g égoutté),3564706612853,250 g (150 g égoutté),"['Tokapi', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",['France'],[],[],?,141,14,"1,2","1,1",B,"['Nutriscore', 'Nutriscore C']",14 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,,-1%,590 kj(141 kcal),-1%,+1%,"2,1",-9%,-37%,"0,5",+102%,0%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,3.4 g,en quantité élevée,"3,4",-2%,"1,36",-2%,10,-11%,C,-11%,"['Sachet', 'Plastique']",,"['EMB 34301B', 'Sète (Hérault, France)']",['Leclerc'],['Maroc'],,,,,,,,,
5,Infusion énergie tonifiante,3510130620100,,,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
6,Canaillou émincé en gelée pour chat,3250392415235,,,,['France'],[],[],?,50,5,6,6,,,,,,,,,,,209 kj(50 kcal),,,3,,,5,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
7,Oeuf - Auchan,3596710479306,,"['Auchan', 'Groupe Auchan', 'Auchan Production']","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol']",['France'],[],[],?,140,"9,8","0,5",13,D,"['Nutriscore', 'Nutriscore A']",9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,,0%,586 kj(140 kcal),-1%,-2%,"2,6",+4%,-8%,"0,5",+14%,+3%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.3 g,en quantité modérée,"0,3",+7%,"0,12",+7%,-1,,A,,,,,['Auchan'],,,,,,,,,,
8,Conchiglie tricolore - Sacla - 500g,8001060035393,500 g,['Sacla'],,['France'],[],[],?,358,"1,5",73,"11,5",,,,,,,,,,,1498 kj(358 kcal),,,"0,3",,,"3,5",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
9,Salsa pronta di pomodoro ciliegino,8003140801331,,,,['France'],[],[],?,40,"0,25","7,3","0,6",,,,,,,,,,,167 kj(40 kcal),,,"0,05",,,6,,,,,,,,,,,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,
10,Beurre d'Isigny doux - Itinéraire des saveurs - 250g,3250392858438,250 g,['Itinéraire des saveurs'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",['France'],"['Beurre [crème* pasteurisée ', 'Origine : France', 'ferments lactiques*]', ' *dont lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,743,82,"0,5","0,7",D,['AOP'],82 g,en quantité élevée,57.5 g,en quantité élevée,0.5 g,en faible quantité,,+2%,3109 kj(743 kcal),+2%,+1%,"57,5",+4%,-33%,"0,5",-26%,+2%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,0.04 g,en faible quantité,"0,04",-35%,"0,016",-35%,19,+2%,E,+2%,,,"['FR 50.298.001 CE', 'Méautis (Manche, France)']",,,['Lait'],2,,,,,,,
11,Penne rigate - 500g,8008343102667,500 g,,,['France'],[],[],?,366,"1,3",0,0,,,,,,,,,,,1531 kj(366 kcal),,,"0,2",,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
12,Sardinas en escabech,8436007959560,,,,['France'],[],[],?,175,10,0,21,,,,,,,,,,,732 kj(175 kcal),,,"2,6",,,0,,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,
13,Smoked BBq MIX beans & Peanuts - Snacks of The World,8711299020656,,['Snacks of The World'],,"['Belgique', 'France']",[],[],?,543,"35,8",24,24,,,,,,,,,,,2272 kj(543 kcal),,,"5,7",,,"5,4",,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,
14,Baby bio - 4x 100g,3560071281083,4 x 100 g,,,['France'],[],[],?,58,"0,5",12,0,,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'Sans sucre ajouté']",,,,,,,,,243 kj(58 kcal),,,"0,2",,,11,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
15,Miel de romero,8431523100212,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Graine de Chanvre Decortiquée,3770013742026,,,,['France'],[],[],?,584,"47,4",8,"31,3",,"['Bio', 'Bio européen', 'Sans gluten']",,,,,,,,,2443 kj(584 kcal),,,"4,8",,,1,,,,,,,,,,,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,
17,Piri-Piri Extra Forte - Gallo,5601252116003,,['Gallo'],"['Epicerie', 'Sauces', 'Sauces chili']",['France'],"['Azeite ', '52%', 'oleos vegetais ', '38%', ' ', 'colza e girassol', 'extratos: piri piri ', '9,2%', ' e alho', 'corante: extrato de paprika', 'aromas: limão', 'molho tabasco ', 'mostarda e aipo', ' e rosmaninho', 'antioxidante: alfa-tocoferol']",[],?,0,?,?,?,,,,,,,,,,-100%,0 kj(0 kcal),-100%,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,,,,,,,
18,Baby banana - 250g,3700353615803,250 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vinaigre de cépage Chardonnay,3165353320254,,,,['France'],[],[],?,4,"0,1","0,9","0,1",,,,,,,,,,,17 kj(4 kcal),,,0,,,"0,9",,,,,,,,,,,,0,,0,,,,,,"['Bouteille', 'Bouteille']",,,,,,,,,,,,,
20,"""50CL Rhum Ambre Guilly 40 ° """,3245390084774,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,['Bouteille'],,"['EMB 62549', 'Marconne (Pas-de-Calais, France)']",,,,,,,,,,,
21,Vegan burger soy with red lentils - Prozis,5600499586594,,['Prozis'],,['France'],[],"['Végétalien', 'Végétarien']",?,223,"9,6",16,15,,"['Végétarien', 'Végétalien']",,,,,,,,,933 kj(223 kcal),,,"1,3",,,"2,6",,,,,,,,,,,,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,
22,Knusper,20238131,,,,['France'],[],[],?,531,"30,4","53,5","8,8",,,,,,,,,,,2222 kj(531 kcal),,,"18,5",,,"37,6",,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,
23,Maitre jruffout,9002859062438,,,,['France'],[],[],?,519,31,52,"5,6",,,,,,,,,,,2171 kj(519 kcal),,,20,,,50,,,,,,,,,,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,
24,Poire conférence origine Belgique-poids 1kg - 1kg,7311041050781,1 kg,,,['France'],[],[],?,53,"0,2","10,8","0,4",,,,,,,,,,,222 kj(53 kcal),,,0,,,"10,4",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
25,Habañero kessel chips - Pepper-King - 125g,4260168310076,125 g,['Pepper-King'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Chips de pommes de terre', 'Entrées']","['France', 'Allemagne']","['69% Kartoffeln', 'Sonnenblumenöl', 'Speisesalz', 'Paprika', 'Gewürzextrakte', '0,8% Habañero-Chili', 'Zucker', 'Knoblauch', 'natürliches Aroma', 'Rauchsalz']",[],2041,488,24,59,"6,6",B,,24 g,en quantité élevée,2.5 g,en quantité modérée,3.4 g,en faible quantité,+89%,+109%,2041 kj(488 kcal),+116%,+89%,"2,5",+9%,+199%,"3,4",+16%,+31%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,2.2 g,en quantité élevée,"2,2",+106%,"0,88",+106%,17,+183%,D,+183%,"['Tüte', 'PP']",,,['Kaufland'],,,4,,,,,,,
26,Garniture à Crème Glacée (caramel) - Smucker's,0051500051955,,"[""Smucker's""]",,['France'],"['gredients: glucose', 'glucose ose', 'skim milk powder', 'fugose', 'modified starch', 'modified milk ingredients', 'salt natural flavour ', 'from eggs', 'potassium sorbate', 'folisorbate 60', 'sodium citrate', 'sodium phosphate', 'caramel', 'iacial flavour', 'colours unget yellow and allura redi', ' eredients: glucose', 'bucose fructose', 'poudre de at ecreme', 'fructose', 'amidon nodifie', 'substances laitières modifies', 'sel', 'essence aturelle ', 'provenant des deufs', 'sorbate de potassium', 'polysorbate 60', 'citrate de sodium', 'phosphate disodique', 'oramel', 'essence artificielle', 'colorants ', 'iaune soleil et rouge allura', ' booge: remove foil seal completes azaanbs puo das a llioation: enlever completeme remettre l caution do not heat', ' serrer attion rgerate']",['Non végétalien'],?,366.66666666667,0,90,"3,333",,,,,,,,,,,1534 kj(366 kcal),,,0,,,50,,,,,,,,,,,,"0,75",,"0,3",,,,,,,,,,,,4,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition']",,,,,,
27,Vitality - Tropicana,8001160006477,,['Tropicana'],,['France'],[],[],?,51,"0,7","10,7","0,3",,,,,,,,,,,213 kj(51 kcal),,,0,,,"8,7",,,,,,,,,,,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
28,A.C.E. Paradiso,4388860404586,,,,['France'],['durchschnittliche nährwertangaben pro 100ml %-rm* pro 100 ml energie'],[],?,42,0,"9,8",0,,,,,,,,,,,176 kj(42 kcal),,,0,,,"9,8",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
29,Oeuf Auchan,3596710479283,,['Auchan'],,['France'],[],[],?,140,"9,8","0,5",13,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,586 kj(140 kcal),,,"2,6",,,"0,5",,,,,,,,,,,,"0,31",,"0,124",,,,,,,,,['Auchan'],,,,,,,,,,
30,Oliven - Feinkost Dittmann - 400g,4002239414500,400 g,['Feinkost Dittmann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,148,"14,4","0,1","1,3",A,"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans lactose']",14.4 g,en quantité modérée,2.4 g,en quantité modérée,0.1 g,en faible quantité,,-23%,619 kj(148 kcal),-22%,-22%,"2,4",-14%,-95%,"0,1",-64%,-2%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,2.1 g,en quantité élevée,"2,1",-40%,"0,84",-40%,12,-2%,D,-2%,['Glas'],,,,,,,,,,,,,
31,6 Œufs plein air - Auchan,3596710479344,,['Auchan'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",['France'],[],[],?,140,"9,8",13,"0,5",D,"['Nutriscore', 'Nutriscore E']",9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,,+1%,586 kj(140 kcal),+1%,-2%,"2,6",+6%,+1993%,"0,5",-0%,-96%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.3 g,en quantité modérée,"0,3",+10%,"0,12",+10%,4,,C,,,,,['Auchan'],,,,,,,,,,
32,Green country okra (orkas dans uns sauce d'oignon et de tomate),5201119002403,,,,['France'],[],[],?,436,"7,5","4,6","2,1",,,,,,,,,,,1824 kj(436 kcal),,,"1,3",,,"2,6",,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
33,Mint-schoko Kugeln - Aldi,29012060,,['Aldi'],,['France'],[],[],?,479,"21,1","68,7","3,9",,,,,,,,,,,2004 kj(479 kcal),,,"13,1",,,"53,5",,,,,,,,,,,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,
34,JUS SAPPY,8606108750490,,,,['France'],[],[],?,41,"0,02","9,8","0,03",,['Sans conservateurs'],,,,,,,,,172 kj(41 kcal),,,"0,003",,,"9,6",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
35,Les grandes tranches dégraissées - Aoste - 0.1kg,3449865298486,0.1 kg,"['Aoste', 'Grandes Tranches']",,['France'],"['Jambon de porc origine France', 'sel', 'Présence possible de fruits à coques et de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",975,233,"12,6","0,9",29,,"['Viande Française', 'Viande Porcine Française', 'Sans conservateurs']",,,,,,,,,975 kj(233 kcal),,,5,,,"0,4",,,,,,,,,,,,"6,2",,"2,48",,,,,,,,"['EMB 38012', 'Aoste (Isère, France)', 'FR 38.012.001 CE', 'Aoste (Isère, France)']",,,['Lait'],,,Jambon sec traditionnel,,,,,
36,Dés de Chorizo doux - Monique Ranou - 100g,3250392881641,100g,['Monique Ranou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['France'],[],[],1313,315,"22,3","3,9","24,8",D,"['Point Vert', 'Fabriqué en Espagne', 'Nutriscore', 'Nutriscore E']",22.3 g,en quantité élevée,7.3 g,en quantité élevée,2.7 g,en faible quantité,-25%,-23%,1313 kj(315 kcal),-23%,-34%,"7,3",-43%,+34%,"2,7",+51%,+8%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,4.51 g,en quantité élevée,"4,51",+20%,"1,804",+20%,20,-16%,E,-16%,['Sachet'],['Espagne'],['ES 10.20053/CR CE'],['Intermarché'],['Espagne'],,,,,,,,,
37,Fiorfiore - Coop,8001120901941,,['Coop'],,['France'],[],[],?,229,15,0,24,,,,,,,,,,,958 kj(229 kcal),,,7,,,0,,,,,,,,,,,,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,
38,Steak de thon albacor - Casino,3222477237308,,['Casino'],"['Produits de la mer', 'Poissons', 'Thons']",['France'],[],[],?,115,"0,7","2,2",25,D,"['Pêche durable', 'Pêche durable MSC']",0.7 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en faible quantité,,-37%,481 kj(115 kcal),-37%,-93%,"0,5",-72%,+158%,"1,8",+327%,+16%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,0.11 g,en faible quantité,"0,11",-89%,"0,044",-89%,-4,-230%,A,-230%,,,,['Casino'],,,,,,,,,,
39,Pates panzani macaroni 3 kg - 3000g,3038359009648,3000 g,['Panzani'],,['France'],"['100% semoule de BLÉ dur de qualité supérieure', "" Si le numéro de lot contient la lettre N: peut contenir de l'œuf""]",[],1531,361,2,72,12,,,,,,,,,,,1531 kj(361 kcal),,,"0,3",,,"3,7",,,,,,,,,,,,"0,01",,"0,004",,,,,,"['sachet plastique', 'Sac']",,,,,"['Œufs', 'Gluten']",,,Pâtes alimentaires de qualité supérieure,,,,,
40,Choco block,80884293,,,,['France'],[],[],?,544,36,52,"5,8",,['en:gluten-free'],,,,,,,,,2276 kj(544 kcal),,,19,,,49,,,,,,,,,,,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,
41,Ingefær Kurkuma Latte Ø Sonnentor,9004145098312,,['Sonnentor'],,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'AT-BIO-301']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Raisins sans pépins var. Sugraone,6009635191019,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Olio di Oliva E Peperoncino - Monini,80481553,,['Monini'],,['France'],[],[],?,828,92,0,0,,,,,,,,,,,3464 kj(828 kcal),,,14,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
44,Squeeze & go golosa crema al gusto di vaniglia - Granarolo,8002670017984,,['Granarolo'],,['France'],[],[],?,89,"2,6",0,"2,4",,['Sans conservateurs'],,,,,,,,,372 kj(89 kcal),,,"1,6",,,0,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
45,Brocolis,8436040900550,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lentille verte du Puy - 1kg,3709526100016,1 kg,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']",['France'],[],[],?,331,"1,2",49,25,B,,1.2 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,,+13%,1385 kj(331 kcal),+14%,-2%,"0,2",-11%,+24%,"1,4",+9%,+10%,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,0 g,en faible quantité,0,-100%,0,-100%,-1,,A,,,,,,,,,,,,,,,
47,Mini vienoiseries,0260215024936,,,,['France'],[],[],?,374,"15,5","46,7","6,3",,,,,,,,,,,1565 kj(374 kcal),,,"12,2",,,"18,7",,,,,,,,,,,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,
48,Cumin - Rochambeau,3439495104554,,['Rochambeau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cumin', 'Cumin en poudre']",['France'],[],[],?,?,?,?,?,B,,,,,,,,,,,,,,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,,,,,,,,,,,,,,,,,,,,,,,
49,4 / 4 Olive Noire Avec Noyau 22 / 25 En Cuisine - 800g,3560070159628,800 g,['En Cuisine'],,['France'],[],[],?,0,16,0,"1,1",,,,,,,,,,,0 kj(0 kcal),,,"2,6",,,0,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,"['EMB 34010A', 'Aniane (Hérault, France)']",,,,,,,,,,,
50,Tomates cerise allongées - Casino,3222477366244,,"['Casino', 'Casino Bio']",,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'ES-ECO-003-AN']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,,
51,Goyave  orange,3760096960769,,,,['France'],[],[],?,49,"0,03","11,62","0,11",,,,,,,,,,,205 kj(49 kcal),,,"0,01",,,"11,57",,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
52,Graines de Chanvre - Ananda & Cie - 200g,3760200870120,200g,['Ananda & Cie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Snacks', 'Condiments', 'Snacks salés', 'Apéritif', 'Plantes condimentaires', 'Chènevis', 'Graines de chanvre', 'Graines de plantes']",['France'],['Graines de Chanvre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,553,49,9,31,,"['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'Omega-3', 'Végétalien', 'FR-BIO-01', 'Cultivé en France', 'Riche en fibres', 'Riche en Oméga-3', 'Riche en protéines', 'Riche en acides gras polyinsaturés', 'Riche en vitamine B1', 'Source de fer', 'Source de vitamine E', 'Agriculture France', 'Produit en Savoie']",49 g,en quantité élevée,4.5 g,en quantité modérée,1.5 g,en faible quantité,,+10%,2314 kj(553 kcal),+10%,+33%,"4,5",+6%,+32%,"1,5",-21%,+8%,,,,,,,,0 g,en faible quantité,0,-100%,0,-100%,1,-85%,B,-85%,"['Sec', 'Papier', 'Sachet', 'Kraft']","['France', 'Creuse']",,['Biocoop'],"['Savoie', 'Entrelacs']",,3,,Graines de chanvre biologique,http://www.anandaetcie.org/nos-produits/,,,,
53,Organic Bananas - Delmonte,0717524111258,,['Delmonte'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],['Banane'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,88.2353,0,"22,794","0,735",B,['Bio'],0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité modérée,,-10%,369 kj(88 kcal),-10%,-100%,0,-100%,+5%,"12,5",-16%,-39%,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,0 g,en faible quantité,0,-100%,0,-100%,-2,,A,,,,,,,,1,,,,,,,
54,Fruchtpüree Wassermelone-erdbeere-apfel-birne-reis,4260133233799,,,,['France'],[],[],?,59,"0,5",12,"0,7",,,,,,,,,,,247 kj(59 kcal),,,"0,1",,,"9,1",,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
55,Carottes râpées - Crous Languedoc Roussillon - 150g,00011945,150 g,"['Crous Languedoc Roussillon', ""Crous Resto'""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Carottes']",['France'],"['Carottes 81%', 'sauce type vinaigrette ', 'eau', 'huile de colza', ""vinaigre d'alcool"", 'MOUTARDE [eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel]', 'sel', 'épaississants: E415-E412', 'arômes', 'conservateur : E202']",[],?,61,"3,5",5,1,B,,3.5 g,en quantité modérée,0.2 g,en faible quantité,4.5 g,en faible quantité,,+61%,255 kj(61 kcal),+66%,+455%,"0,2",+129%,-17%,"4,5",+17%,-4%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,0.7 g,en quantité modérée,"0,7",+111%,"0,28",+111%,-4,,A,,['Barquette plastique'],,,['Crous Languedoc Roussillon'],,,4,"['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
56,La quiche lorraine,3770007763976,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",['France'],[],[],?,281,20,13,"12,2",D,,20 g,en quantité modérée,12 g,en quantité élevée,2.1 g,en faible quantité,,+6%,1176 kj(281 kcal),+7%,+23%,12,+38%,-33%,"2,1",-9%,+31%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,0.5 g,en quantité modérée,"0,5",-52%,"0,2",-52%,15,+6%,D,+6%,,,,,,,,,,,,,,
57,Poules elevees au sol - Auchan - 720g,3596710479238,720g,['Auchan'],['en:oeufs'],['France'],"['12 oeufs de catégorie A de poules élevées au sol', 'datés du jour de ponte Calibre moyen ou gros']",[],?,140,"9,8","< 0,5",13,,"['Nutriscore', 'Nutriscore A']",9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,,,586 kj(140 kcal),,,"2,6",,,"< 0,5",,,,,,,,,,0.31 g,en quantité modérée,"0,31",,"0,124",,-1,,A,,['Carton'],['France'],,['Auchan'],,,,,,,,,,
58,La potion détoxifiante,3770011861309,,,,['France'],[],[],?,3,"0,1","0,8","0,5",,,,,,,,,,,13 kj(3 kcal),,,0,,,"0,7",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
59,Pois chiche - Mosaïque,3700483800124,,['Mosaïque'],,['France'],[],[],?,488,"4,1","79,4",0,,,,,,,,,,,2042 kj(488 kcal),,,0,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
