,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
240,3 biscuits cranberry saveur amande - Gerblé,3175681265004,,['Gerblé'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Farine de blé* 68,3%', 'huile de tournesol oléique""', 'sucre de canne*', 'cranberries* 5,3%', 'son de blé""', 'arôme naturel de framboise avec autres arômes naturels', 'poudres à lever ', 'acide citrique', 'carbonates de sodium', ""huile essentielle d'amande amère"", ' Fabriqué dans un atelier qui utilise des fruits à coque', 'du lupin', 'du lait', 'du sésame et du soja', "" *Ingrédients issus de l'agriculture biologique""]",[],?,443,15,66,"8,1",C,"['Bio', 'Nutriscore', 'Nutriscore B']",15 g,en quantité modérée,1.4 g,en faible quantité,18 g,en quantité élevée,,-7%,1854 kj(443 kcal),-7%,-28%,"1,4",-86%,+3%,18,-39%,+25%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,0.29 g,en faible quantité,"0,29",-51%,"0,116",-51%,0,-100%,B,-100%,,,,,,['Gluten'],4,"['E330 - Acide citrique', 'E500 - Carbonates de sodium']",,,,,,
241,Keloges Frostes - - Kellogg's - 500g,4003994124154,500 g,"[""Kellogg's""]",,['France'],[],[],?,375,"0,6",87,"4,5",,,,,,,,,,,1569 kj(375 kcal),,,"0,1",,,37,,,,,,,,,,,,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,
242,Furikake Rice Seasoning,4902820101119,,,,['France'],[],[],?,11,"0,58","0,55","0,998",,,,,,,,,,,46 kj(11 kcal),,,"0,55",,,"0,17",,,,,,,,,,,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,
243,Pomme de Terre Marilyn,3424851026243,,,,['France'],[],[],?,0,?,?,?,,['Point Vert'],,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Ottogi Honey Plum Tea 35oz. ( 1KG),8802783203232,,['Ottogi'],,['France'],[],[],?,429,0,64,0,,,,,,,,,,,1795 kj(429 kcal),,,0,,,56,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,
245,Rote Curry Paste - Asia Green Garden - 195g,4061458033060,195 g,['Asia Green Garden'],"['Epicerie', 'Sauces', 'Pâtes de curry']","['France', 'Allemagne']","['Wasser ', '20,4%', 'Sojabohnenöl ', '20%', 'Schalotten ', '10,5%', 'Knoblauch ', '9,3%', 'Zitronengras ', '8,7%', 'getrocknete rote Chili ', '8,7%', 'Thai-Ingwer ', '8,2%', 'Salz ', '6,3%', 'Zucker ', '5,1%', 'Koriandersamen ', '1%', 'Kaffernlimettenschale ', '0,7%', 'weißer Pfeffer ', '0,4%', 'Farbstoff: Paprikaextrakt ', '0,4%', 'Kreuzkümmel ', '0,2%', 'Säureregulator: Citronensäure']",[],1135,274,22,14,2,,,22 g,en quantité élevée,3.7 g,en quantité modérée,7.6 g,en quantité modérée,+61%,+42%,1135 kj(274 kcal),+42%,+79%,"3,7",+82%,+9%,"7,6",+44%,-39%,,,,,,,,5.1 g,en quantité élevée,"5,1",-26%,"2,04",-26%,17,+36%,D,+36%,"['Glas', 'Glas/Gläser']",,,,,['Soja'],4,['E330 - Acide citrique'],,,,,,
246,Sägespänekuchen - Kathi - 680g,4013109011828,680 g,['Kathi'],,['France'],[],[],?,409,26,39,"4,6",,,,,,,,,,,1711 kj(409 kcal),,,12,,,24,,,,,,,,,,,,"0,63",,"0,252",,,,,,['Carton'],,,,,,,,,,,,,
247,Mélange sambahia,2600223022964,,,,['France'],[],[],?,465,18,"65,9",8,,,,,,,,,,,1946 kj(465 kcal),,,"6,6",,,"12,7",,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
248,Bonbon de chocolat aux lait - Carrefour BIO - 130g,3560071290122,130 g,['Carrefour BIO'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons de chocolat au lait']",['France'],"['sucre de canne', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'poudre de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,573,38,50,"6,7",,"['Bio', 'Bio européen', 'FR-BIO-10', 'Nutriscore', 'Nutriscore E', 'Pur beurre de cacao', 'AB Agriculture Biologique']",38 g,en quantité élevée,23 g,en quantité élevée,49 g,en quantité élevée,,+5%,2397 kj(573 kcal),+5%,+14%,23,+25%,-7%,49,-3%,+8%,,,,,,,,0.21 g,en faible quantité,"0,21",+2%,"0,084",+2%,26,+2%,E,+2%,['Plastique'],,,['Carrefour'],,['Lait'],3,,,,,,,
249,Olives noires a la grecque -,3101150000623,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']","['France', 'Suisse']","['olives', 'sel', 'huile de tournesol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,B,,,,,,,,,,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,,,,,3,,,,,,,
