,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,link,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,generic_name,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner
649,Ice tea,3858884609201,,['France'],[],[],?,31,130 kj(31 kcal),0,0,"7,7","7,6","0,03","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Confiture de cassis -,3858885871928,,['France'],[],[],?,245,1025 kj(245 kcal),0,0,61,60,"0,4",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,,,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,,,,+7%,+7%,-100%,-100%,+12%,+16%,-34%,,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
651,confiture de fraises -  - 860g,3858885871935,,['France'],[],[],?,?,,?,,?,,?,,,860 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,,,,,,,,,,,,,,,,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
652,Confiture de framboises - Sans marque - 720ml (860g),3858885871959,,['France'],"['Sucre', 'framboises', 'épaississant : pectine', ""régulateur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1044,?,1044 kj(250 kcal),0,0,61,60,"0,4",0,0,720 ml (860 g),"['Bocal', 'Verre']","['Sans marque', 'Marinada']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,4,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,+10%,,+11%,-100%,-100%,+14%,+17%,-41%,-100%,-100%,12,+36%,D,+36%,C,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,"['E440 - Pectines', 'E330 - Acide citrique']",,,,['Croatie'],['Noz'],,
653,Confiture de cerises,3858885873984,,['France'],[],[],?,270,1130 kj(270 kcal),0,0,67,66,"0,4",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0 g,en faible quantité,,+22%,+22%,-100%,-100%,+24%,+28%,-38%,-100%,-100%,12,+22%,D,+22%,D,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,
654,confiture de cerise,3858885873991,,['France'],[],[],?,270,1130 kj(270 kcal),0,0,67,66,"0,4",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0 g,en faible quantité,,+22%,+22%,-100%,-100%,+24%,+28%,-38%,-100%,-100%,8,-19%,C,-19%,D,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,
655,Datulje,3858886176565,,['France'],[],[],?,305,1276 kj(305 kcal),"0,5","0,03",69,69,"2,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Yaourt a boire,3858886273745,,['France'],[],[],?,85,356 kj(85 kcal),"2,4","1,7","12,8","12,2","2,8","0,13","0,052",,,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,,2.4 g,en quantité modérée,1.7 g,en quantité modérée,12.2 g,en quantité élevée,0.13 g,en faible quantité,,+18%,+17%,+59%,+80%,+13%,+14%,-3%,+23%,+23%,20,+25%,E,+25%,E,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,,
657,Yogurt Chia Blackcurrant Blueberry,3858886273820,,['France'],[],[],?,73,305 kj(73 kcal),"1,6","0,8","11,1","9,6","3,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Edamac,3858886934899,,['France'],[],[],?,330,1381 kj(330 kcal),26,19,1,1,23,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Tradicionalni musli komadici cokolade,3858887249947,,['France'],[],[],?,436,1824 kj(436 kcal),"8,5","3,6",76,17,"9,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Pirulo Watermelon - Nestlé - 73ml /67g,3858888678210,"['Sans arômes artificiels', 'Sans colorants artificiels', 'Déconseillé aux enfants de moins de 4 ans']",['France'],"['Eau', 'sucre', 'jus de fruit ', '7,6 %', ' ', 'jus de pomme 5,6 % et de pastèque 2 % à base de jus concentré', 'jus de glucose déshydraté', 'morceaux au cacao ', '0,7 %', ' ', 'huile végétale ', 'coco', 'palme', 'sucre', 'cacao maigre en poudre ', '0,1 %', 'émulsifiant ', 'lécithine de soja', 'arôme naturel', 'jus de carotte concentré', 'stabilisants ', 'E412', 'E410', ""correcteur d'acidité "", 'acide citrique', 'arômes naturels', 'concentrés de spiruline et de carthame', 'colorant ', 'caroténoïdes']",['Huile de palme'],346,?,346 kj(83 kcal),"0,4","0,3","19,3","14,5","0,1",0,0,73 ml /67 g,"['surgelé', 'Sachet', 'Plastique']",['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', ""Glaces à l'eau""]",,['Soja'],4,0.4 g,en faible quantité,0.3 g,en faible quantité,14.5 g,en quantité élevée,0 g,en faible quantité,+2%,,-5%,-16%,+2%,-1%,-17%,-72%,-100%,-100%,4,+2%,C,+2%,B,45.8%,21.9%,8.3%,10.5%,8.6%,4.9%,91,"['E322i - Lécithine', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",,Glace à l'eau pastèque et glace à l'eau pomme avec des morceaux de cacao,,,,['Huile de palme'],
661,Pirulo Sparkly 60G / 0.54DL Limonadijääpuikko - Nestlé,3858890179842,,['France'],"[""ge Tra tse tourrée d'une preparation "", 'rocou', 'arôme naturel', 'bonbons pétillants ', '1 ', 'sucre', 'sirop de glucose', 'graines de arômes naturels', 'colorant: caroténoïdes', ' Peut contenjr: oeuf', 'fruits à I tiytetti _ja poreìlevia makeisia', 'Ainekset: vesi', 'sokeri', 'glukoosisiirappi', 'appelsiininmakuinen tâyte ', '5,5%', ' ', 'rapsioljy', 'sokefl', 'laktoosi', 'porejlevat makejset ', '1,306', ' ', 'sokeri', 'glukoosisiirappi', 'laktoosi', 'hiilidioksidi', 'happo ', 'sitruunahappo', 'mansikkasose ', '0,36', 'johanneksenleipàpuujauhe', 'luontaiset aromitt vari ', 'karotenoidit', ' Saattaa sisâltü kananmunaaja pâhkinü', ' ennen', ' ', 'med apelsin- jordgubbssmak', 'fyllning med apelsinsmak brusande godis', ' Ingredienser: vatten', 'socker', 'emulgerjngsmedei ', 'sojalecitin', 'fârgâmne ', 'anoattoextrakt', 'naturlig arom', '/ brusande godis ', '1,3%', ' ', 'socker', 'glukcss', 'rap', 'laktos', 'svartmorotsjuicekoncentrat', 'stabiliseringsmedel ', 'guarkârnmjôl', 'fruktkirnmjôl', 'naturliga aromer', 'firgàmne ', 'karotener', ' Kan innehàl\\']",['Non végétalien'],?,118,494 kj(118 kcal),"2,8","0,2",23,18,0,0,0,,,['Nestlé'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E160b - Rocou', 'E160 - Caroténoïdes']",,,,,,,
662,Chocolat à l'orange - Adria,3858890265095,,['France'],[],[],?,590,2469 kj(590 kcal),"40,1","26,11","47,55","30,3","8,69","0,3","0,12",,,['Adria'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",,,,40.1 g,en quantité élevée,26.1 g,en quantité élevée,30.3 g,en quantité élevée,0.3 g,en quantité modérée,,+12%,+12%,+17%,+26%,+10%,-19%,+29%,+671%,+671%,24,+12%,E,+12%,C,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,,,
663,Jana collagegen beauty,3858890872620,,['France'],[],[],?,11,46 kj(11 kcal),0,0,"2,9","2,9","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Pulpe de tomates - Auchan - 240g,3859563472765,"['Bio', 'Bio européen', 'Agriculture UE', 'Point Vert', 'IT-BIO-007', 'AB Agriculture Biologique', 'Triman']",['France'],"['Pulpe de tomates*', 'jus de tomates"" ""biologiques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,22,92 kj(22 kcal),"0,2",0,"3,5","3,5","1,2","0,05","0,02",240 g,"['Conserve', 'Métal']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",,,1,0.2 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.05 g,en faible quantité,,-19%,-16%,-17%,-100%,-16%,-1%,+1%,-75%,-75%,-5,,A,,A,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,,Pulpe de tomates au jus de tomates biologique,,['Italie'],['Auchan'],,
665,Istrske Tagliatele - 250g,3859888499973,,['France'],[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Miel a la nigelle,3859888851672,,['France'],[],[],?,304,1272 kj(304 kcal),0,0,"84,2","84,2","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Oeuf,3859889055185,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Truffles et olive,3859889179669,,['France'],[],[],?,172,720 kj(172 kcal),"17,2",3,"0,2","0,2","1,5","1,57","0,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Figue sécher,3859891232444,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",,,,,,,,,,,,,,,,,,,,,,,,,,D,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,,,
670,Cherry brandy - Stella croatica - 100ml,3859891232451,,['France'],[],[],?,?,,?,,?,,?,,,100 ml,,['Stella croatica'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Suncokret,3859891427666,,['France'],[],[],?,594,2485 kj(594 kcal),"47,4","5,2","4,3","1,7",23,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Čokolada-Chocolate,3859892475536,,['France'],[],[],?,586,2452 kj(586 kcal),"39,85","24,13","47,34","30,2","8,6","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Huile d'Olive Truffe - Natura Tartufi - 25cl e,3859892583026,,['France'],"['Extra virgin olive oil 98 %', 'white truffle aroma 1,3 %']",[],?,891,3728 kj(891 kcal),99,14,0,0,0,0,0,25 cl e,"['Bouteille', 'Verre', '71', 'GL', '21', 'PAP', '41', 'Aluminium', 'métal']",['Natura Tartufi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'Huiles aromatisées', 'Huiles aromatisées à la truffe']",,,,99 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+2%,+2%,+15%,,,-100%,-100%,-100%,6,-29%,C,-29%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
674,Quinoa -  - 500g,3859892617240,"['Bio', 'Bio européen']",['France'],[],[],?,355,1485 kj(355 kcal),"5,94","0,53","62,44","1,6","12,19","0,3","0,12",500 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",,,,5.94 g,en quantité modérée,0.53 g,en faible quantité,1.6 g,en faible quantité,0.3 g,en quantité modérée,,+8%,+8%,+10%,-19%,+13%,-37%,+3%,+84%,+84%,0,,B,,B,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,
675,Taralini,3859892622954,,['France'],[],[],?,466,1950 kj(466 kcal),18,12,63,"9,8","8,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Sureau,3859892734459,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","6,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Framboise,3859892734466,,['France'],[],[],?,28,117 kj(28 kcal),0,0,7,"6,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Citron,3859892734473,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","5,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Agroposta Sauge,3859892734480,,['France'],[],[],?,26,109 kj(26 kcal),0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Lavande,3859892734497,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","6,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Menthe,3859892734510,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","6,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Jambon cru Krasicka sunka,3859892811884,,['France'],[],[],?,296,1238 kj(296 kcal),20,"8,5","0,2","0,2",27,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Baklava - Layla - 190g,3859892847012,"['Kascher', 'Sans OGM', 'Sans colorants artificiels', 'Sans conservateurs', 'Croatia Chief rabbi Kotel Da-Don', 'Sans sirop de maïs']",['France'],"['Farine de blé', 'sucre inverti', 'beurre émulsionné ', 'huile de colza', 'matières grasses laitières anhydres', 'colorant : carotène E160i', 'noix ', '8,8 %', 'noix de cajou ', '7,5 %', 'amidon de maïs modifié', 'amidon de maïs', 'beurre clarifié ', 'lait', 'huile de tournesol', 'sirop de glucose', 'sel', 'sucre', 'glucose', 'acide ascorbique ', 'E300', 'antioxydant : vitamine E ', 'E306', 'émulsifiant : lécithine de soja ', 'E322']",['Non végétalien'],1898,?,1898 kj(454 kcal),"20,5","5,4",65,"32,7","8,1",1,"0,4",190 g,"['Carton', 'Plastique']","['Layla', 'Ezdo', 'New Bakery']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,20.5 g,en quantité élevée,5.4 g,en quantité élevée,32.7 g,en quantité élevée,1 g,en quantité modérée,,,+14%,+50%,+43%,+8%,+7%,+41%,+283%,+283%,20,+34%,E,+34%,D,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,"['E160a - Carotènes mélangés', 'E306 - Extrait riche en tocophérols', 'E322i - Lécithine', 'E322 - Lécithines']",,,,['Croatie'],,,
684,Polleo ProSeries Protein Oatmeal Chocolate - 85g,3859893008863,,['France'],[],[],?,?,,?,,?,,?,,,85 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Polleo ProSeries Protein Oatmeal Raspberry - 85g,3859893008870,,['France'],[],[],?,?,,?,,?,,?,,,85 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Grissini Classic Sésame - Good Food,3859893108006,,['France'],[],[],?,398,1665 kj(398 kcal),"7,3","2,07","74,88","2,65","8,42","1,6","0,64",,,['Good Food'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,7.3 g,en quantité modérée,2.07 g,en quantité modérée,2.65 g,en faible quantité,1.6 g,en quantité élevée,,-5%,-5%,-32%,-8%,+12%,+6%,-26%,-16%,-16%,13,+2%,D,+2%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,
687,Coquillettes,38508561,['Bio'],['France'],[],[],?,354,1481 kj(354 kcal),15,"0,1",72,"3,5","11,8","0,025","0,01",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']",,,,15 g,en quantité modérée,0.1 g,en faible quantité,3.5 g,en faible quantité,0.025 g,en faible quantité,,-1%,-1%,+711%,-74%,+2%,+13%,-1%,+21%,+21%,-1,,A,,,,,,,,,,,,,,,,,
688,Gnocchis à poeler,3860931542348,,['France'],[],[],?,183,766 kj(183 kcal),"2,7","0,3",33,1,5,"1,1","0,44",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,,,2.7 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+9%,+97%,-20%,-0%,-17%,+19%,-3%,-3%,3,-16%,C,-16%,B,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,
689,Poilane,3861435101161,,['France'],[],[],?,427,1787 kj(427 kcal),20,"12,8","54,3","23,05","5,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Cailles - Caillor - 720g,3861915550496,"['EAC', 'Origine France']",['France'],['100% Caille'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",899,?,899 kj(215 kcal),"15,6","4,45",0,0,"18,9","0,18","0,072",720 g,"['Frais', 'Plastique', 'Surgelé']",['Caillor'],"['Viandes', 'Surgelés', 'Volailles', 'Caille', 'Volailles surgelées']",,,1,15.6 g,en quantité modérée,4.45 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,,+23%,+51%,+39%,-100%,-100%,+6%,-69%,-69%,1,-57%,B,-57%,,,,,,,,,,"['FR 40.288.001 CE', 'Sarbazan (Landes, France)']",,['France'],['France'],['Noz'],,
691,Barre énergétique Mangue Noix de Cajou - MULEBAR,3863349375249,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'GB-ORG-05']",['France'],"['Sirop de riz', 'Mangue séchée 28%', 'Avoine 10%', 'Noix de Cajou 9%', 'Riz soufflé ', 'Farine de Riz', 'Sucre de canne', 'Huile de Tournesol', 'Farine d’Orge malté', ' 9%', 'Flocons d’avoine 6%', 'Eau*', 'Farine de Soja', 'Amarante soufflée 2%', 'Huile de Tournesol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,353,1477 kj(353 kcal),8,2,62,36,"6,6","0,07","0,028",,,['MULEBAR'],,,"['Gluten', 'Fruits à coque', 'Avoine', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Barre énergétique Abricot Noix - mulebar,3863349375256,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'GB-ORG-05']",['France'],"['MuleBar is totally natur gearupto basecatnp in nutritious apticots-all< I 0:1', "" *Èo-r inclixiinq eu'@n"", 'see trgÏERd', 'ents in tX', 'ld', 'carbohdt t 01 hhichs Statxiltds', 'total 45:3 V !nnpkQ1this fibre Ptotein']","['Végétalien', 'Végétarien']",?,338,1414 kj(338 kcal),6,"0,7",62,29,6,"0,06","0,024",,,['Mulebar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Barres De Céréales - Mule Bar,3863349375263,"['Bio', 'Bio européen', 'GB-ORG-05']",['France'],"['PaWœne Sugar ,0Sunf10TEr Liquoriœ Pia2S 4 0 ', 'Mo—', 'Flwri', 'Corn Z', 'Fennel 2%', 'Sunflcper Oille FO irouding Els gluten', 'ee ij—ients in bold', ' iÉ rzural bar nibin piES cf es', ' GB-0005 EU / - rm•ElJ Agriwtüe OvaltyGr0M1', ' ln makingfrisyodl', 'zt Yae mirimie bifi rus', 'p,ra,']",[],?,406,1699 kj(406 kcal),16,11,56,32,6,"0,08","0,032",,,['Mule Bar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Mule bar,3863349375287,,['France'],['Share Jim ra v'],[],?,351,1469 kj(351 kcal),4,1,70,40,6,"0,06","0,024",,,['Mule Bar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Barre énergétique Pomme Raisins Cannelle -,3863349375294,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'GB-ORG-05']",['France'],[],"['Végétalien', 'Végétarien']",?,357,1494 kj(357 kcal),6,1,66,35,7,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Raspberry Blackcurrznt,3863349375300,,['France'],[],[],?,300,1255 kj(300 kcal),5,"0,6",55,30,7,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Peanut & raspberries,3863349375317,,['France'],[],[],?,432,1807 kj(432 kcal),14,"2,5",64,"40,6","10,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,"Epicerie / Epicerie Sucrée / Barres De Céréales, Fruits",3863349375645,,['France'],[],[],?,386,1615 kj(386 kcal),10,"2,7",63,25,7,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Mule bar almond and Cocoa - Groupe GNG SAS,3863349375652,,['France'],[],[],?,455,1904 kj(455 kcal),25,4,34,19,21,"0,4","0,16",,,['Groupe GNG SAS'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Mule bar almond and Cocoa - Groupe GNG SAS,3863349375652,,['France'],[],[],?,455,1904 kj(455 kcal),25,4,34,19,21,"0,4","0,16",,,['Groupe GNG SAS'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Protein Bar Almond & Strawberry,3863349375669,,['France'],[],[],?,397,1661 kj(397 kcal),13,1,44,31,25,"0,5","0,2",,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,,,13 g,en quantité modérée,1 g,en faible quantité,31 g,en quantité élevée,0.5 g,en quantité modérée,,+7%,+7%,0%,-83%,+35%,+133%,-15%,+2%,+2%,12,+17%,D,+17%,,,,,,,,,,,,,,,,
702,3864018874704,3864018874704,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Chocolat noir - Leader Price,3867852201118,,['France'],"['Chocolat Noir Pâte de cacao - sucre erulsifiants : lécithines de tournesol', 'E476 - arôme vanille', ' Crac : 50% minimum', ' Traces de fruits à coques', 'de gluten et de lait']",[],?,514,2151 kj(514 kcal),28,17,55,50,7,"0,03","0,012",,,['Leader Price'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,,,,['Leader Price'],,
704,Bande De Flan - E.Leclerc,38621574,,['France'],[],[],?,205,858 kj(205 kcal),8,"4,9",30,19,"3,3","0,22","0,088",,,['E.Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Pousse de bambou - 140g,38640438,,['France'],[],[],?,67,280 kj(67 kcal),"0,2",0,"2,3",0,"1,2",,,140 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",,,,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,+148%,+159%,-50%,-100%,-6%,-100%,-18%,,,,,,,B,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,,,,
706,Rillettes de canard,3870001000111,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
707,Elif sucuk,3870114000220,,['France'],[],[],?,450,1883 kj(450 kcal),38,"16,8",2,"0,2",25,"2,89","1,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Step Max,3870135005419,,['France'],[],[],?,285,1192 kj(285 kcal),"0,1","0,1","38,7","0,1","0,1","0,1","0,04",,,['Step'],['Boissons'],,,,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,+409%,+395%,-71%,-15%,+242%,-99%,-80%,+141%,+141%,11,+44%,E,+44%,,,,,,,,,,,,,,,,
