,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,link,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,generic_name,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner
10,Le coquin sablé au citron sans gluten,3770008815018,"['Bio', 'en:gluten-free', 'Fabriqué en France', 'Sans colorants']",['France'],[],[],?,438,1833 kj(438 kcal),"24,91","14,49","47,77","24,5","4,33","0,11","0,044",,,,['Sablés au citron'],,,,24.9 g,en quantité élevée,14.5 g,en quantité élevée,24.5 g,en quantité élevée,0.11 g,en faible quantité,,,,,,,,,,,20,,E,,,,,,,,,,,,,,,,,
11,L’envoûtant : sablé aux noisettes sans gluten - M’zelle Sans Gêne,3770008815056,"['Bio', 'en:gluten-free']",['France'],"['Beurre* ', 'LAIT', ' ', '24%', ' sucre glace*', 'farines de riz semi complète et complète* ', 'fécule de pomme de terre*', 'poudre de NOISETTES* ', '10%', 'ŒUFS frais*', 'farine coco*', 'sucre de canne*', ""cannelle* *Produits issus de l'agriculture biologique"", ' Fabriqué dans un atelier utilisant fruits à coque', 'chocolat à base de lécithine de soja', 'produits contenant lait', 'Œufs et sésame']",['Non végétalien'],?,480,2008 kj(480 kcal),"25,4","15,2","57,2","30,32","4,06","0,38","0,152",,,['M’zelle Sans Gêne'],,,"['Œufs', 'Lait', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L'élégant,3770008815063,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,495,2071 kj(495 kcal),"28,8","2,68","46,38","42,91","10,99","0,126","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kombucha -,3770008826021,['Bio'],['France'],[],[],?,10,42 kj(10 kcal),"0,1","0,1",2,2,"0,1","0,1","0,04",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']",,,,,,,,,,,,,-44%,-44%,+108%,+258%,-48%,-42%,+37%,+400%,+400%,4,-30%,C,-30%,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
14,Kefir de fruits - Probiobul,3770008827028,,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,5","0,9","0,4","0,2","0,1","0,04",,,['Probiobul'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AQUARADE - 12x 250ml = 3L,3770008830004,,['France'],"['Eau de source', 'vitamines ', 'C', 'B3', 'B5', 'B6', 'arômes naturel,', ' édulcorant: glycosides de stéviols ', 'extraits de stévia', 'acidifiant: acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,12 x 250 ml = 3 L,,['Aquarade'],"['Boissons', 'Boissons édulcorées']",,,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique']",,,,,,,
16,Aquarade - 250ml,3770008830011,,['France'],"['Eau de source', 'vitamines ', 'C', 'B3', 'B5', 'B6', 'arômes naturel,', ' édulcorant: glycosides de stéviols ', 'extraits de stévia', 'acidifiant: acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,250 ml,['Gourde'],['Aquarade'],"['Boissons', 'Boissons édulcorées']",,,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique']",,,,,,,
17,Spiruline en dragées,3770008839045,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,0,5,2,"0,8",,,,"['Compléments alimentaires', 'Spiruline']",,,,1 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,-100%,-100%,-73%,-22%,-90%,-100%,-90%,+74%,+74%,5,+2%,C,+2%,E,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,
18,Brouillade de truffes,3770008860346,,['France'],[],[],?,345,1443 kj(345 kcal),"32,4","12,4","3,2","0,2","1,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bière ambrée -,3770008866027,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées']",,,,,,,,,,,,,-98%,-98%,+900%,+11905%,-72%,+112%,+111%,+4754%,+4754%,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,
20,Noir 73% - La Parisienne - 100g,3770008883000,"['Fabriqué en France', 'Sans additifs', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,546,2284 kj(546 kcal),"42,8","25,9","32,2",27,"7,9","0,01","0,004",100 g,,['La Parisienne'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,42.8 g,en quantité élevée,25.9 g,en quantité élevée,27 g,en quantité élevée,0.01 g,en faible quantité,,-2%,-2%,+9%,+12%,-17%,-15%,+3%,-79%,-79%,21,-1%,E,-1%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
21,Crackers de lentilles ail et poivre,3770008905009,['Bio'],['France'],[],[],?,386,1615 kj(386 kcal),10,"1,3",59,"1,5","12,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tendre coeur miel,3770008907171,,['France'],[],[],?,402,1682 kj(402 kcal),"0,05",0,"98,9",81,"0,06","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Gianduja,3770008914001,,['France'],[],[],?,573,2397 kj(573 kcal),39,"11,5","47,5",43,"8,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Madeleines - Affaires Pâtissières - 235g,3770008914018,,['France'],[],[],?,378,1582 kj(378 kcal),"3,1",3,"79,1","43,6","6,8","2,1","0,84",235 g,,['Affaires Pâtissières'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,3.1 g,en quantité modérée,3 g,en quantité modérée,43.6 g,en quantité élevée,2.1 g,en quantité élevée,,-14%,-14%,-86%,-57%,+50%,+59%,+20%,+159%,+159%,24,+30%,E,+30%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,
25,Genoise - 75g,3770008914032,,['France'],[],[],?,375,1569 kj(375 kcal),"1,7","1,5",91,"44,7","1,4","0,9","0,36",75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Financiers - 235g,3770008914056,,['France'],[],[],?,426,1782 kj(426 kcal),"14,6","1,2","54,5","41,8","14,7","0,2","0,08",235 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Extranut,3770008914124,,['France'],[],[],?,366,1531 kj(366 kcal),"7,8","4,7","67,4","11,1","12,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
