,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,quantity,labels,traceability_code,markets,nova_score,manufacturing,additives,generic_name,ingredients_origins,link,brand_owner,allergens
10,Pic sain loup,3395940906763,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Crème de marrons,3760045461231,,['France'],[],[],?,261,1092 kj(261 kcal),"0,8","0,2",61,48,"1,3","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bouillon en poudre Goût Tomate,6044000036076,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ginger finger biscuits,5010282011026,,['France'],[],[],?,444,1858 kj(444 kcal),13,"5,6",76,36,"5,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,confit de petales de bleuets,3770005484576,,['France'],[],[],?,275,1151 kj(275 kcal),"0,27",0,"68,01",68,"0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Multi Women - Body&fit,8718774020644,['Body&fit'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vinaigre de cidre,76640810,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Vinaigres', 'Vinaigres de cidre']",,,,,,,,,,,,,,,,,,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,['Bouteille'],,,,,,,,,,,,
17,Mixed fruit bar,080004780699001,,['France'],[],[],?,384,1607 kj(384 kcal),"12,6","2,7","35,5","25,3","27,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Confiture de myrtille - 340g,3425471312228,,['France'],[],[],?,241,1008 kj(241 kcal),0,0,58,53,0,"0,02","0,008",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.02 g,en faible quantité,,+10%,+10%,-100%,-100%,+9%,+4%,-100%,+20%,+20%,12,+30%,D,+30%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,340 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
19,Confiture Fraise Rhubarbe Thym,3760133530078,,['France'],[],[],?,230,962 kj(230 kcal),"0,5","0,1",55,54,"0,6","0,06","0,024",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Légumes tiges', 'Confitures et marmelades', 'Confitures', 'Rhubarbes', 'Confitures de fruits rouges', 'Confitures de fraises']",0.5 g,en faible quantité,0.1 g,en faible quantité,54 g,en quantité élevée,0.06 g,en faible quantité,,+12%,+10%,+233%,+228%,+4%,+7%,+50%,+576%,+576%,12,+12%,D,+12%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
20,Noisettes crues avec coques,8000337039454,,['France'],[],[],?,628,2628 kj(628 kcal),"60,7","4,5","16,7","4,3","14,9","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yellow Split Fava - 500g,5200300103059,,['France'],[],[],?,317,1326 kj(317 kcal),"1,7","0,7",60,8,25,"0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
22,SantoNuts,5200116480047,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Huile d'olive vierge extra arome Fenouil,3027102371255,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
24,creoes bretonnes,3029330085430,,['France'],[],[],?,375,1569 kj(375 kcal),10,"6,5",64,30,"6,5","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Caramel,3498751003482,,['France'],[],[],?,100,418 kj(100 kcal),"10,1","6,3","76,6","44,4","3,8","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,+ wake&joy,5902221668319,,['France'],[],"['Végétalien', 'Végétarien']",?,117,490 kj(117 kcal),3,"2,3","20,9","13,3","1,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,
27,Chifferini Rigati (Pâtes),0096729534001,,['France'],[],[],?,310,1297 kj(310 kcal),1,"0,2",64,3,9,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,
28,Pokka coffee black,8888196125729,['Pokka'],['France'],[],[],?,3,13 kj(3 kcal),0,0,"0,8",0,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Galataki chocolate,5290129000066,,['France'],[],[],?,64,268 kj(64 kcal),"1,8","0,7","8,7","8,7","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Opti3 Omega-3 Algenolie 60 Vegetarian Capsules,5060351380119,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['biodegradable-bottle'],,,,,,,,,,,,
31,Mango / Peach Soy Yoghurt DF GF,9313672000614,,['France'],[],[],?,87,364 kj(87 kcal),"3,5","0,5","9,5","5,9","4,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,
