,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,brand,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,packaging,allergens,nova_score,additives,manufacturing,markets,ingredients_origins,palm_ingredients,link,brand_owner
1695,Baby Kiwi - Nergi - 125g,20582555,['France'],"['Baby kiwi', 'variété ""Actinidia Arguta Hortgem""']",[],?,?,?,?,?,,,,,,['Nergi'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Baby Kiwi']",,,,,,,,,,,,,125 g,,,,,,,,,,,,,,,,,,,"['EMB 40132D', 'Labatut (Landes, France)']",,"['Barquette', 'Plastique']",,,,,['LIDL'],['France'],,,
1696,Confiture  fraise-mangue - Maribel - 260g,20586508,['France'],"['50 % fruits ', '34% fraises', '16% mangues', 'sucre', 'sirop de glucose-fructose', 'gélifiant : pectines', ' acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",926,?,"0,2",53,"0,4","0,03","0,012",926 kj(221 kcal),"< 0,1",52,['Maribel'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",-0%,,-24%,-1%,-23%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,260 g,,0.2 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.03 g,en faible quantité,-0%,+101%,+2%,+29%,+29%,11,+18%,D,+18%,,Confiture aux fruits,['Bocal en verre'],,4,"['E440 - Pectines', 'E330 - Acide citrique']",,"['Lidll', 'Lidl']",,,,
1697,FILET DINDE - Lidl - 1,20592981,['France'],[],[],?,108,"1,3","0,5",24,"0,13","0,052",452 kj(108 kcal),"0,5","0,5",['Lidl'],,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,['LIDL'],,,,
1698,Bio yaourt nature - Milbona - 4,20593571,['France'],[],[],?,?,?,?,?,,,,,,"['Milbona', 'Carrefour Bio']",,,,,,,,,,,,,,,4,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,"['Lidl', 'Carrefour']",,,,
1699,Verrines sucrees - Lidl,20593704,['France'],[],[],?,279,"19,2","21,8","3,8","0,09","0,036",1167 kj(279 kcal),"12,4","18,5",['Lidl'],,"['Desserts', 'Surgelés', 'Desserts glacés']",,+38%,+126%,-22%,+56%,,,,,,,,,['Fabriqué en France'],19.2 g,en quantité modérée,12.4 g,en quantité élevée,18.5 g,en quantité élevée,0.09 g,en faible quantité,+37%,+126%,-22%,-25%,-25%,17,+50%,D,+50%,,,,,,,,,,,,
1700,Risotto Agli Spinaci - ITALIAMO - 450g,20617332,['France'],"['48% riz à grains moyens', 'eau', '10% cheddar ', 'lait', 'sel', 'ferments lactiques', 'présure microbienne', '10% épinard', 'crème ', 'lait', 'oignons', 'ail', 'amidon de riz', 'sel', 'extrait de levure ', 'céleri', ""huile d'olive vierge extra"", 'extrait de légumes ', 'oignon', 'tomate', 'ail', 'poivre noir']",['Non végétalien'],?,155,"9,9","10,2","5,5","0,8","0,32",649 kj(155 kcal),"4,7","2,1",['ITALIAMO'],,"['Plats préparés', 'Plats à base de riz', 'Risottos']",,-31%,+144%,-72%,-8%,,,,,,,,450 g,,9.9 g,en quantité modérée,4.7 g,en quantité modérée,2.1 g,en faible quantité,0.8 g,en quantité modérée,-29%,+164%,+37%,-13%,-13%,5,+9%,C,+9%,,Risotto aux épinards,"['Plastique', 'Type 7', 'Surgelé']","['Céleri', 'Lait']",3,,['Italie'],['LIDL'],,,,
1701,Tuna Salad,20617387,['France'],[],[],?,133,5,"9,4",11,1,"0,4",556 kj(133 kcal),"0,6","2,8",,,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon']",,-12%,-40%,+20%,+37%,,,,,,,,,,5 g,en quantité modérée,0.6 g,en faible quantité,2.8 g,en faible quantité,1 g,en quantité modérée,-9%,-33%,+39%,+3%,+3%,0,-100%,B,-100%,,,,,,,,,,,,
1702,Greek Dried Figs - Figues Séchées Grecques - Eridanous - 300g,20620929,['France'],"['Figues ', 'conservateur : Anhydride sulfureux']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,274,"0,6","58,2","3,2","0,59","0,236",1146 kj(274 kcal),"0,1","48,6","['Eridanous', 'Lidl', 'LIDL']",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",,-1%,-61%,+1%,-2%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,300 g,,0.6 g,en faible quantité,0.1 g,en faible quantité,48.6 g,en quantité élevée,0.59 g,en quantité modérée,-0%,-65%,+3%,+331%,+331%,4,+35%,C,+35%,,Figues séchées,"['Plastique', 'Sachet']",['Anhydride sulfureux et sulfites'],3,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",['Grèce'],"['Lidl', 'LIDL']",,,,
1703,"Sondey Buttergebäck , Kirsche",20621018,['France'],[],[],?,501,23,67,"5,5","0,88","0,352",2096 kj(501 kcal),16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Amandes cappuccino - Favorina - 200g,20625306,['France'],"['sucre', '20% amandes', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'cacao maigre en poudre', 'arôme naturel', 'crème en poudre ', 'lait', 'dextrose', 'émulsifiant: lecithines ftournesol', ' ', ' amidon de blé', 'graisse de sal', 'extrait de vanille', ' Chocolar au lait: cacao: 30 % min ', ' matière sèche issue du lait: 25% min', ' Chocolal Dlanc:beurre de cacao: 27 % min ', "" matière sèche issue du lait: 23% mil Traces éventuelles d'autres fruits à coques"", ""d'arachides"", ""d'euf et de soja""]",['Non végétalien'],?,?,?,?,?,,,,,,['Favorina'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,,,,,,,,,,200 g,['Lidl'],,,,,,,,,,,,,,,,,,,,['Sachet'],['Lait'],4,['E322 - Lécithines'],,['Lidl'],,,,
