,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,brand,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,packaging,allergens,nova_score,additives,manufacturing,markets,ingredients_origins,palm_ingredients,link,brand_owner
0,Queu de cerise,3701185700378,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dark chocolate,01414032,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pastel de feijao,5600340610010,['France'],[],[],?,372,"12,5",56,"7,8","0,16","0,064",1556 kj(372 kcal),"2,9","51,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Grüne Oliven, Ohne Kern",80082354,['France'],[],[],?,176,17,"3,8",1,"2,5",1,736 kj(176 kcal),"2,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huile d'Olive de Provence A.O.C,3760225201527,['France'],[],[],?,981,100,0,0,0,0,4105 kj(981 kcal),15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Galettes framboise - Biscuiterie des iles,3373030001390,['France'],[],[],?,517.4,"31,3","46,7","7,9","0,8","0,32",2165 kj(517 kcal),"14,4","38,45",['Biscuiterie des iles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Daily pea protein & super greens plus,0840093110640,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gelée de cassis,3760269641518,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Croissant pain au chocolat,0208565025913,['France'],[],[],?,461,26,48,"8,2","1,1","0,44",1929 kj(461 kcal),17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,teriyaki senbei shoyu,4978041024131,['France'],[],[],?,373,"0,9","84,3","6,8","2,06","0,824",1561 kj(373 kcal),"0,08","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Noix de macadamia,2412572008465,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Graine de courge,2227633012202,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Flocons d'avoine,2227640018631,['France'],[],[],?,?,?,?,?,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Poulet sauce à la provençale & riz de Camargue -  - 300g,3245360002272,['France'],[],[],?,118,"4,2",11,"8,7","0,8","0,32",494 kj(118 kcal),1,"0,9",,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats au poulet']",,-24%,-8%,-42%,+34%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,300 g,"['Nutriscore', 'Nutriscore A']",4.2 g,en quantité modérée,1 g,en faible quantité,0.9 g,en faible quantité,0.8 g,en quantité modérée,-22%,-35%,-39%,+0%,+0%,-1,-158%,A,-158%,,,,,,,,,,,,
14,Rooibos de Noël BIO,3665206108232,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Infusion sans théine KUSMI TEA Only Spices BIO,3585810078823,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,['Kusmi Tea'],,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sardineta Espinaler En Oli D'oliva 14 / 16,8427230905271,['France'],[],[],?,199,"12,3","0,3",22,"1,3","0,52",833 kj(199 kcal),3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Corde,8718964007639,['France'],[],[],?,312,0,77,0,0,0,1305 kj(312 kcal),0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pasteque,0206384013715,['France'],[],[],?,16,0,"1,7","0,8",0,0,67 kj(16 kcal),0,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Candyplanet - Shneider’s,0838948003872,['France'],[],[],?,345,"0,5",84,"2,3",,,1443 kj(345 kcal),"0,1",77,['Shneider’s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sauce soja,3743035330304,['France'],[],[],?,77,0,"3,2",10,12,"4,8",322 kj(77 kcal),0,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sorbet fraise,3061432103162,['France'],[],[],?,114,"0,5",27,"0,5",,,477 kj(114 kcal),"0,1",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"TABOULET Tomates, Basilic - Tipiak",17342476,['France'],[],[],?,368,"4,7","60,4","16,7","2,4","0,96",1540 kj(368 kcal),"0,6","4,4",['Tipiak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Roulade de Paris,7424605733126,['France'],[],[],?,201,19,"2,5","3,2","2,3","0,92",841 kj(201 kcal),"1,6",1,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sablés Milan Cœur Myrtille,3760202510499,['France'],[],[],?,453,"18,1","64,4","6,5","0,11","0,044",1895 kj(453 kcal),"11,4","34,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4 chaussons aux pommes,0208424016731,['France'],[],[],?,292,16,31,"3,8",0,0,1222 kj(292 kcal),10,10,,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,-7%,-11%,-6%,-3%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,16 g,en quantité modérée,10 g,en quantité élevée,10 g,en quantité modérée,0 g,en faible quantité,-7%,-13%,-6%,-100%,-100%,14,-18%,D,-18%,,,,,,,,,,,,
26,Romarin,3700819702948,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Quinoa & Boulgour,59899808,['France'],[],[],?,170,"2,9",27,7,,,711 kj(170 kcal),"0,4","2,6",,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tarti'Aubergine,3664959003085,['France'],[],[],?,302,30,"7,1","0,6",3,"1,2",1264 kj(302 kcal),"3,4","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Proteine - The Protein Works,5060339303918,['France'],[],[],?,50,"1,6",3,20,"0,23","0,092",209 kj(50 kcal),"0,7","2,7",['The Protein Works'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sorbet fraise,3760312670069,['France'],[],[],?,114,0,29,"0,31",0,0,477 kj(114 kcal),0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Origan,3700819703617,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Lemon rice powder,8906002081226,['France'],[],[],?,199,2,91,6,3,"1,2",833 kj(199 kcal),1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sarriette,3700819703600,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Boissons chaudes', 'Boissons à base de végétaux', 'Plantes aromatiques', 'Herbes aromatiques', 'Infusions', 'Sarriette']",,-100%,-100%,-100%,-100%,43.4%,0.0%,30.7%,8.2%,17.7%,0.0%,46,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,
34,amandes grillées à sec et salées,2609882061994,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All butter fudge,5021039029669,['France'],[],[],?,472,"16,8","77,3","2,8","0,4","0,16",1975 kj(472 kcal),"10,6","73,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Poulet cuit fumé,0285847047566,['France'],[],[],?,185,11,"0,5",21,"1,3","0,52",774 kj(185 kcal),"3,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fromage tomme de montagne grise du Jura,2092158040678,['France'],[],[],?,366,30,1,23,"1,2","0,48",1531 kj(366 kcal),21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Galette de maïs,3560780689897,['France'],[],[],?,381,"3,2",77,"9,1","0,27","0,108",1594 kj(381 kcal),"1,4","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Carotte rapee,2040077010562,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pesto Genovese,9800001267690,['France'],[],[],?,482,46,11,6,"3,8","1,52",2017 kj(482 kcal),9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Diablless,3770002926147,['France'],[],[],?,543,5,2,8,5,2,2272 kj(543 kcal),5,2,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Coupe profiterole,0206413052159,['France'],[],[],?,177,10,20,"1,4","0,44","0,176",741 kj(177 kcal),"7,5",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,tomate,3564706631915,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pate à tartiner noisette - Maison Francis Miot,3396745003640,['France'],[],[],?,541,33,56,"6,4",,,2264 kj(541 kcal),"5,5",53,['Maison Francis Miot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Au lait cru MORBIER,2402495015879,['France'],[],[],?,357,23,29,1,"1,3","0,52",1494 kj(357 kcal),20,1,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,+1%,-20%,+3632%,-96%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,23 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,+1%,+3%,+141%,-9%,-9%,19,+28%,E,+28%,"['FR 25.041.001 CE', 'Bannans (Doubs, France)']",,,,,,,,,,,
46,Morceaux choisi de poulet recette Paprika,0215673024738,['France'],[],[],?,193,12,"3,1",18,"0,93","0,372",808 kj(193 kcal),"3,2",0,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jambon supérieur cuit au bouillon porc français,2228586045729,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Limonade pomme d’amour,2010000341148,['France'],[],[],?,30,0,8,0,0,0,126 kj(30 kcal),0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Apenta malna light,5998821502368,['France'],[],[],?,1,0,"0,5",0,,,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sumo 100% Maca,5604260193752,['France'],[],[],?,46,"0,5",11,"0,5",,,192 kj(46 kcal),"0,1","9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Caramels au beurre salé,3555080091259,['France'],[],[],?,398,"8,5",78,"2,5","1,1","0,44",1665 kj(398 kcal),6,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mini beignet,0203034024930,['France'],[],[],?,0,24,45,"6,8","0,72","0,288",0 kj(0 kcal),"9,5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Baguette Meunier,0209602006230,['France'],[],[],?,287,"0,8",59,11,"1,8","0,72",1201 kj(287 kcal),"0,2","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Smicy Vanille,3564706628410,['France'],[],[],?,295,18,31,2,"0,17","0,068",1234 kj(295 kcal),15,25,['Smicy'],,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Terrine aux chanterelles,3507170220254,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2 filets de poulet fermier,2860294028146,['France'],[],[],?,?,?,?,?,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Houmous Tomates Epices indiennes,3770002982051,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Whey Protein Concentrate,5056142604526,['France'],[],[],?,400,"8,3","8,2","0,94","2,3","0,92",1674 kj(400 kcal),"4,8","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Vegan Pancake Mix,5056142604120,['France'],[],[],?,343,3,"57,3","4,1",2,"0,8",1435 kj(343 kcal),"0,9","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Omine soyvean drink,4711347003017,['France'],[],[],?,135,"3,8",8,6,,,565 kj(135 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sauce salade,7290015042369,['France'],[],[],?,437,"46,7","2,2",0,"5,35","2,14",1828 kj(437 kcal),"7,5","0,1",,D,"['Epicerie', 'Sauces', 'Sauces salades']",,+30%,+40%,-60%,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,46.7 g,en quantité élevée,7.5 g,en quantité élevée,0.1 g,en faible quantité,5.35 g,en quantité élevée,+32%,+121%,-97%,+182%,+182%,22,+53%,E,+53%,,,,,,,,,,,,
62,Griss d'or,0203098031882,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Géant chocolat  cookies - Cora,3257987023349,['France'],[],[],?,314,18,33,"3,8","0,23","0,092",1314 kj(314 kcal),13,27,['Cora'],,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Lay's sabor Ovos Rotos com presunto,8410199020475,['France'],[],[],?,507,"28,5","53,2","6,4","1,3","0,52",2121 kj(507 kcal),"3,6","3,2","[""Lay's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Caramel,3760303620035,['France'],[],[],?,194,"9,63",26,"2,2","0,3","0,12",812 kj(194 kcal),"6,03",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jambon torchon DD,0202001022115,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sucre blond,6181100600759,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mini cristal découverte - Sushi Gourmet,3701292609335,['France'],[],[],626,149,"3,5",24,"4,8",,,626 kj(149 kcal),"0,9","0,8",['Sushi Gourmet'],C,"['Plats préparés', 'Sushis et makis', 'Sushis', 'Sushis au saumon', 'Sushis au thon']",+2%,-5%,-17%,+0%,-15%,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,3.5 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,,,-3%,-5%,-82%,,,,,,,,3 cristal saumon fromage masago + 3 cristal surimi + 3 cristal thon,['Barquette plastique'],"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Soja']",,,,,,,,
69,Vinaigrette (italienne) - Kraft,0068100041422,['France'],[],[],?,266.66666666667,"23,333","6,667",0,"2,25","0,9",1116 kj(266 kcal),"3,333","6,667",['Kraft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tourist,7616500660038,['France'],[],[],?,529,31,54,"7,2","0,17","0,068",2213 kj(529 kcal),16,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tartelette citron,0200676012790,['France'],[],[],?,357,14,53,"4,1",,,1494 kj(357 kcal),"1,9",34,,D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes au citron']",,-6%,-19%,+7%,-15%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,14 g,en quantité modérée,1.9 g,en quantité modérée,34 g,en quantité élevée,,,-5%,-82%,+12%,,,,,,,,,,,,,,,,,,
72,Pavé  en tournedos,0204551030046,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tartinable d’algues patate douce sarrasin,3467740037739,['France'],[],[],?,212,"18,9","7,4","1,8","0,73","0,292",887 kj(212 kcal),"3,2","2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Olives lucques en saumure,2609833035166,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Yaourt nature,3330331787132,['France'],[],[],?,62,"2,51","5,33","4,45",0,0,259 kj(62 kcal),"2,51",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sangaria Anatano Ocha - 340g,4902179015082,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bière artisanale la brasserie beaujolais,3770016233002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tropical mix fizz,8410525249969,['France'],[],[],?,326,0,79,4,"0,1","0,04",1364 kj(326 kcal),0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Kallisté Alfarenca huile d’olive vierge extra,3257150820089,['France'],[],[],?,824,"91,5",0,0,0,0,3448 kj(824 kcal),"15,2",0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,-3%,-3%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,91.5 g,en quantité élevée,15.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-3%,+11%,,,,7,+15%,C,+15%,,,,,,,,,,,,
80,Mayonnaise - Bénédicta,3334603004118,['France'],[],[],?,653,71,2,"1,2","1,4","0,56",2732 kj(653 kcal),"5,4","1,3",['Bénédicta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Cheese zip,5010338155209,['France'],[],[],?,283,21,13,"9,5","4,4","1,76",1184 kj(283 kcal),"8,5","8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Château de sarenceau saint emilion 2016,3760183333681,['France'],[],[],?,?,?,?,?,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kanro Matcha Candy 3.52 Oz,4901351014776,['France'],[],[],?,251.16279069767,"5,581","93,488",0,"0,14","0,056",1051 kj(251 kcal),"1,86",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Spray irisé bleu,3700392442910,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Fizzy cola bottles,5032860020084,['France'],[],[],?,356,"0,2",80,"8,5",,,1490 kj(356 kcal),0,"48,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Poudre de Baobab ""l'arbre de vie"" Marque Wara",0745114677686,['France'],[],[],?,279,"0,8","79,1","2,1","0,5","0,2",1167 kj(279 kcal),"0,7",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0059966103492,0059966103492,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20+5 offerts Fonds de tartes ronds pour flammekueches - 25x 120g,3464011000201,['France'],[],[],?,294,"4,9","53,4","7,6","1,59","0,636",1230 kj(294 kcal),"0,59","3,4",,,,,,,,,,,,,,,,25 x 120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,40 Fonds de tartes ronds pour flammekueches,3464011000300,['France'],[],[],?,246,"4,6","46,7","7,5","1,25","0,5",1029 kj(246 kcal),"0,56",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Gelée de miel aux framboises,0842161007944,['France'],[],[],?,225,0,60,0,0,0,941 kj(225 kcal),0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Cuisse de poulet nourri aux grains de blé,0215057025450,['France'],[],[],?,844,15,0,17,"0,2","0,08",3531 kj(844 kcal),"4,3",0,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,+342%,+21%,-100%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Nutriscore', 'Nutriscore B']",15 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,+341%,+28%,-100%,-74%,-74%,14,+297%,D,+297%,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,,,,,,,,,,
92,5283004010304,5283004010304,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Tomme de montagne,2056331031297,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Chips Bio Lentilles corail & Tomate - Super Pap's,3770016021036,['France'],[],[],?,376,2,"8,1",15,"0,25","0,1",1573 kj(376 kcal),"0,4","8,1","[""Super Pap's""]",,['Chips de lentilles'],,-10%,-84%,-85%,+18%,,,,,,,,,"['Bio', 'Nutriscore', 'Nutriscore A']",2 g,en faible quantité,0.4 g,en faible quantité,8.1 g,en quantité modérée,0.25 g,en faible quantité,-9%,-71%,+315%,-86%,-86%,1,-89%,B,-89%,,,,,,,,,,,,
95,Double concentré de tomates,3560781050115,['France'],[],[],?,93,1,15,"4,8","1,6","0,64",389 kj(93 kcal),"0,2",15,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates', 'en:Canned-double-concentrate-tomato-paste']",,+1%,+61%,-1%,+5%,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,1 g,en faible quantité,0.2 g,en faible quantité,15 g,en quantité élevée,1.6 g,en quantité élevée,+1%,+38%,+6%,+147%,+147%,4,,C,,,,,,,,,,,,,
96,Chips Bio Pois cassés & Panais,3770016021043,['France'],[],[],?,367,"2,4",71,13,"0,57","0,228",1536 kj(367 kcal),"0,5","5,2",,,,,,,,,,,,,,,,,"['Bio', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pêches,3662117000112,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Thé vert menthe - Baronny's,3700496335637,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,"[""Baronny's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Philobio barres Vegan,3563785810473,['France'],[],[],?,377,"15,4","39,3","10,4",,,1577 kj(377 kcal),"1,3","20,5",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Eau,9789059603301,['France'],[],[],?,?,?,?,?,,,,,,,,"['Boissons', 'Non alimentaire', 'Eaux', 'Eaux de sources']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
