,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
209,Nestle Milo Breakfast Cereal Chocolate Malt Flavoured 25 G.,4800361028004,D,25 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Petit-déjeuners', 'Céréales et dérivés', 'Légumes et dérivés', 'Céréales pour petit-déjeuner']",['Halal'],,"['France', 'Hong Kong', 'Nouvelle-Calédonie', 'Thaïlande']","['NESTLE MILO Breakfast Cereal: Cereal Grains [Whole Grain Wheat Flour ', '28', '2%', 'Wheat Flour', 'Corn Semolina]', 'Sugar', 'Malt Extract ', 'Malted Barley', 'Tapioca Starch', 'Fat-Reduced Cocoa Powder', 'Palm Oil', 'Minerals ', 'Calcium Carbonate', 'Reduced Iron', 'Skimmed Milk Powder', 'iodized Salt ', 'Sodium Chloride', 'Potassium iodate', 'Emulsifier ', 'Soya lecithin E322', 'Flavourings ', 'Chocolate and Vanillin', 'Antioxidant ', 'Tocopherols Concentrate', 'Mixed E307b', 'Vitamins ', 'B3/Nicotinamide', 'B5/Calcium Pantothenate', 'B6', 'B2', 'B9/Folic Acid', '\rContains gluten and may contain traces of tree nuts']","['Huile de palme', 'Non végétalien']",2.9 g,en faible quantité,1.2 g,en faible quantité,29.2 g,en quantité élevée,0.15 g,en faible quantité,?,,363,-9%,1519 kj(363 kcal),-9%,"2,9",-67%,"1,2",-45%,76,+14%,"29,2",+75%,8,-14%,"0,15",-58%,"0,06",-58%,2,-63%,B,-63%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,Breakfast cereals,"['Cardboard', 'Box', 'Plastic', 'Bag']","['Nestlé', 'เนสเล่', 'ไมโล']",['Gluten'],4,,['Malaysia'],"['E322 - Lécithines', 'E307b - Tocophérol concentré']",,,,,
210,Grenade & Pomme,4850001113638,,,,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],,,,,,,,,?,,49.200000762939,,206 kj(49 kcal),,0,,0,,"12,3",,"11,5",,0,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,
211,Pur Jus de Grenade - Yan - 250mL,4850001113645,C,250 mL,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de grenade']","['Bio', 'Bio européen', 'Kascher', 'Agriculture non UE', 'en:AM-BIO-112', 'Point Vert', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'en:Orthodox Union Kosher', 'Pur jus']",,['France'],['Pur jus de grenades'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,16 g,en quantité élevée,?,,67,+20%,280 kj(67 kcal),+19%,0,-100%,0,-100%,16,+20%,13,+6%,"0,25",-39%,16,+119303%,"6,4",+119303%,19,+175%,E,+175%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Verre', 'Bouteille']",['Yan'],,1,,['Arménie'],,,,,,
212,Sauce soja aux champignons,4892936168055,B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8.1 g,en quantité modérée,0 g,en faible quantité,?,,76,-31%,318 kj(76 kcal),-31%,0,-100%,0,-100%,"14,1",-21%,"8,1",-35%,"4,6",-28%,0,-100%,0,-100%,-1,-109%,A,-109%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,,,
213,Kikkoman - Less Salt Soy Suace,4901515118883,,,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,0,,0,,"3,8",,"3,8",,"9,9",,"3,808",,"1,523",,,,,,,,,,,,,,,['Kikkoman'],,,,,,,,,,
214,Gyokuro Garden Green Tea boisson instantanée à base de matcha - ?,4901518710459,,,"['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"['SUCRE', 'THE VERT MATCHA 11%', ' CI IRS NUTRITIONNELLES MOYENNES POUR 100 G : ENERGIE 167']",[],0.8 g,en faible quantité,0.09 g,en faible quantité,89 g,en quantité élevée,0 g,en faible quantité,?,,400,+371%,1674 kj(400 kcal),+352%,"0,8",+113%,"0,09",-46%,96,+385%,89,+386%,"2,5",+364%,0,-100%,0,-100%,20,+68%,E,+68%,,,,,,,,,,['?'],,,,,,,,,,
215,Japanese Limonade Ramune - JP,4902179004536,,,['Boissons'],,,['France'],"['gras saturé: Og', 'Glucide: log', 'dont sucre: log', ' Protéine: Og', ""Sel: Og POIDS NET : 200ml IMPORTATEUR: SARL LX FRANCE 12 BIS RUE DES OLIVIERS - 94320 THIAIS FRANCE 58 73 88 08 FAX: 58 73 88 09 A CONSOMMER DE PREFERENCE AVANT LE : ANNEE/ MOIS/ JOUR VOIR SUR L'EMBALLAGE PRODUrr DE JAPON""]",[],0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,40,-29%,167 kj(40 kcal),-31%,0,-100%,0,-100%,10,-12%,10,+6%,0,-100%,0,-100%,0,-100%,13,+70%,E,+70%,,,,,,,,,,['JP'],,,,,,,,,,
216,Pâte de soja - Hanamaruki,4902401504551,,,,,,['France'],"['PÂTE SOJA ', 'SHINSHJ HI so', ' POIDS NET:400 G INCREDIENTS', ' GRAINES SOJA RIZ', 'ÉTHYLIQUE']",[],,,,,,,,,?,,190,,795 kj(190 kcal),,"6,4",,"0,9",,20,,"7,2",,11,,"11,6",,"4,64",,,,,,,,,,,,,,,['Hanamaruki'],['Soja'],,,,,,,,,
217,Nouille De Ble Udon Sans Sauce 5PCS-1KG -  - 1kg,4902817755103,,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées', 'Nouilles chinoises']",,,"['France', 'Espagne']","['Nouilles: farine de BLE', ' sel', 'acidifiant', 'acide lactique de fermentation', 'eau 2']",[],,,,,,,,,?,,127,-49%,531 kj(127 kcal),-50%,"0,9",-83%,"0,1",-95%,25,-40%,0,-100%,"3,3",-54%,0,-100%,0,-100%,,,,,,,,,,,,,['Plastique'],,['Gluten'],3,,,['E270 - Acide lactique'],,,,,
218,Yamasa Soy Sauce Less Salt -  - 500ml,4903001917802,B,500 ml,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['Point Vert'],,"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,8.3 g,en quantité élevée,449,-3%,107,-3%,449 kj(107 kcal),-2%,0,-100%,0,-100%,"8,7",-51%,2,-84%,"8,9",+39%,"8,3",-31%,"3,32",-31%,11,-2%,D,-2%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,"['Gluten', 'Soja']",,['Japon'],,,,,,,
