,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
688,Petit Vache Trio,3358605211008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Sauce Vinaigrette Normande à la Pomme,3760155880489,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Mayonnaise - 235g,3760269910218,['France'],[],[],?,650,2720 kj(650 kcal),"70,4",5,"3,5","0,8","0,6",,,,,,,,,,,,,,,,,,,,,,,"1,29",,"0,516",,,,,,,,,,,,,235 g,['Bocal en verre'],,,,,,,,,
691,Havarti,3760269910294,['France'],[],[],?,321,1343 kj(321 kcal),25,16,0,0,24,,,,,,,,,,,,,,,,,,,,,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,
692,Lipton ice tea mangue,3502103010087,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,6","4,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,"Couscous de blé complet, raisins secs, carottes, menthe",3770013019272,['France'],[],[],?,347,1452 kj(347 kcal),"2,2","0,4","66,5","8,9","11,5",,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
694,Candy Planet Fizz - Shneider’s,0838948007993,['France'],[],[],?,350,1464 kj(350 kcal),"0,5","0,1",81,69,"6,6",,['Shneider’s'],,,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
695,Baktat Chillies & Peperonie,8690804334016,['France'],[],[],?,27,113 kj(27 kcal),"0,2","0,1","4,2","0,4","0,5",,,,,,,,,,,,,,,,,,,,,,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,
696,"Riz et quinoa, tomates, ail, origan",3770013019500,['France'],[],[],?,353,1477 kj(353 kcal),"3,6","0,6","66,8","6,1","10,6",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
697,Mel com propolis,5603844000110,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,La croqueuse,3770011779000,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Pain apéritif,3608737778727,['France'],[],[],?,281,1176 kj(281 kcal),11,"6,7",37,"1,8","7,6",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,
700,51/50 pre workout,0854255008690,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Confiture d'abricot,0036336359536,['France'],[],[],?,198,828 kj(198 kcal),0,0,53,51,"0,6",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,0 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0 g,en faible quantité,,-10%,-10%,-100%,-100%,-0%,+1%,+20%,0,-100%,0,-100%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
702,Jambon sec de porc cul noir,2444062044615,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
703,Grandlait,9156171625007,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2",,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
704,Muesli,8009361065163,['France'],[],[],?,408,1707 kj(408 kcal),"11,9","6,5","60,8","13,7","11,3",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,11.9 g,en quantité modérée,6.5 g,en quantité élevée,13.7 g,en quantité élevée,0.1 g,en faible quantité,,-2%,-2%,-9%,+96%,+0%,-19%,+15%,"0,1",-43%,"0,04",-43%,14,+185%,D,+185%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,
705,Bourgeons de sapin - Apiflor - 200g,3380840405225,['France'],[],[],?,402.4,1684 kj(402 kcal),"0,05",0,"98,9",81,"0,06",,['Apiflor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
706,Confirure framboise groseille,3770003760115,['France'],[],[],?,250,1046 kj(250 kcal),"0,5","0,1",60,60,"0,5",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
707,Miel d'acacia,3665009370027,['France'],[],[],?,?,,?,,?,,?,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
708,Pâte à tartiner noir pistache,05654619,['France'],[],[],?,569,2381 kj(569 kcal),40,"7,5",41,39,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Pruneaux d'Agen - 500g,2009464000005,['France'],[],[],?,?,,?,,?,,?,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,500 g,,,,,,,,,,
710,Sauce bulgare,3250005000,['France'],[],[],?,285,1192 kj(285 kcal),"28,1",2,"6,8","5,2","1,2",,,,,,,,,,,,,,,,,,,,,,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,
711,Sauce pommes frites,3250006000,['France'],[],[],?,326,1364 kj(326 kcal),"31,1","2,4","10,6","6,5","0,7",,,,,,,,,,,,,,,,,,,,,,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,
712,Chocolate peanut vegan bar - 9x 40g,8719881004602,['France'],[],[],?,373,1561 kj(373 kcal),"17,7","4,9","18,5",13,"25,5",,,,,,,,,,,,,,,,,,,,,,,"0,86",,"0,344",,,,,,,,,,,,,9 x 40 g,,,,,,,,,,
713,Lard cuit 4 tranches 158gr,2425798026373,['France'],[],[],?,311,1301 kj(311 kcal),"25,6","9,5","1,2","0,2",19,,,,,,,,,,,,,,,,,,,,,,,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,,,
714,Sauce caesar,3250008000,['France'],[],[],?,440,1841 kj(440 kcal),"49,9","4,1","8,9","7,2","1,5",,,,,,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,
715,Museau de porc avec langues 156gr,2418368018045,['France'],[],[],?,256,1071 kj(256 kcal),"20,3","6,7","1,3","0,4",17,,,,,,,,,,,,,,,,,,,,,,,"1,59",,"0,636",,,,,,,,,,,,,,,,,,,,,,,
716,Abricots,3257986780007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
717,COOKIE SALTED CARAMEL CARNAGE,5060455519309,['France'],[],[],?,363,1519 kj(363 kcal),12,5,41,5,30,,,,,,,,,,,,,,,,,,,,,,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,
718,Mikado - 3x 25g,5628610795618,['France'],[],[],?,464,1941 kj(464 kcal),18,11,65,32,"6,6",,,,,,,,,,,,,,,,,,,,,,,"1,25",,"0,5",,,,,,,,,,,,,3 x 25 g,,,,,,,,,,
719,Chai Impérial - Palais des Thés,2700771003313,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
720,Pâte d'Arachide - Kao,6186000312016,['France'],['100% Arachide'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,388,1623 kj(388 kcal),30,10,20,9,9,C,['Kao'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,"[""Intolérance à l'arachide""]",1,30 g,en quantité élevée,10 g,en quantité élevée,9 g,en quantité modérée,42.5 g,en quantité élevée,,-35%,-35%,-38%,+20%,+39%,+42%,-63%,"42,5",+7874%,17,+7874%,9,-18%,C,-18%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,['Ingrédients naturels'],Pâte d'Arachide 100% Arachide,"[""Côte d'Ivoire""]",,,,
721,Confiture extra figue - 50g,3760245670532,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,
722,The whey - 30.0g,5056185787378,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0 g,['Product'],,,,,,,,,
723,Sauce poivre,3250010000,['France'],[],[],?,475,1987 kj(475 kcal),"49,9","3,9",5,"2,9","0,7",,,,,,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,
724,Pâte d'Akpi - Kao - 100g,6186000312030,['France'],"[""Pas d'ajout d'ingrédients"", ' Produit 100% purs sans additif alimentaire ni conservateur']",[],?,530,2218 kj(530 kcal),"48,7",,25,,24,,['Kao'],['Epicerie'],,"[""Pas d'intolérance connue""]",,48.7 g,en quantité élevée,,,,,,,,+151%,+151%,+238%,,+116%,,+766%,,,,,,,,,,,,,,,,100 g,,,,['Ingrédients naturels'],,"[""Côte d'Ivoire""]",,,,
725,Boîte coeur bonbons mk,2080310120016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
726,Vinaigrette a la moutarde,32503928800100000,['France'],[],[],?,255,1067 kj(255 kcal),"25,9","1,9","4,4","2,2","0,8",,,,,,,,,,,,,,,,,,,,,,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,
727,Sauce barbecue,32503928800200000,['France'],[],[],?,115,481 kj(115 kcal),"0,4","0,1","28,1","21,2","0,4",,,,,,,,,,,,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,
728,Huile de bourrache/onagre,3535400023566,['France'],[],[],?,1,4 kj(1 kcal),18,15,15,0,15,,,,['Bio'],,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
729,Vinaigrette balsamique,32503928800300000,['France'],[],[],?,246,1029 kj(246 kcal),24,"2,06","7,48","7,34","0,11",,,,,,,,,,,,,,,,,,,,,,,"2,31",,"0,924",,,,,,,,,,,,,,,,,,,,,,,
730,Crème fraîche épaisse,3760081780075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Pané de cochon,2457307019613,['France'],[],[],?,241,1008 kj(241 kcal),42,16,38,0,21,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,
732,Vinaigrette tomate sechee,32503928800400000,['France'],[],[],?,320,1339 kj(320 kcal),"32,11","3,15","7,15","5,92","0,71",,,,,,,,,,,,,,,,,,,,,,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,
733,Original Kombucha,03015328,['France'],[],[],?,14,59 kj(14 kcal),0,0,"3,4","3,4",0,C,,"['Boissons', 'Boissons au thé', 'Kombuchas']",,,,0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,0 g,en faible quantité,,-22%,-21%,-100%,-100%,-11%,-1%,-100%,0,-100%,0,-100%,5,-13%,C,-13%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,
734,Pavé de saumon au risotto crémeux au citron - Lechef,3701222802119,['France'],[],[],?,182,761 kj(182 kcal),11,"6,4",11,"1,7","8,7",,['Lechef'],,,,,,,,,,,,,,,,,,,,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,
735,Noix de coco séchée râpée - 400g,3330313004172,['France'],[],[],?,678,2837 kj(678 kcal),"65,1","57,1","9,3","7,3","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,
736,Citron beldi - 600g,9111448004855,['France'],[],[],?,31,130 kj(31 kcal),"0,22",0,"6,52",0,"0,61",,,,,,,,,,,,,,,,,,,,,,,"8,72",,"3,488",,,,,,,,,,,,,600 g,,,,,,,,,,
737,Salade et penné poulet parmesan et sa sauce caesar - Monique Ranou - 250g,3250392937812,['France'],[],[],?,116,485 kj(116 kcal),"5,7","1,6","8,6","1,3","6,8",D,"['Monique Ranou', 'Intermarché']","['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Salades de pâtes', 'Plats à la volaille', 'Plats au poulet']","['Nutriscore', 'Nutriscore A']",,,5.7 g,en quantité modérée,1.6 g,en quantité modérée,1.3 g,en faible quantité,0.63 g,en quantité modérée,,-29%,-29%,-32%,+7%,-38%,-37%,+5%,"0,63",-18%,"0,252",-18%,-1,-219%,A,-219%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,250 g,,,,,,,,,,
738,Jesus barquette,2857143017659,['France'],[],[],?,1250,5230 kj(1250 kcal),23,8,"0,5","0,5",23,,,,,,,,,,,,,,,,,,,,,,,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,
739,Duo carotte et celeri finement rapes,2253026008866,['France'],[],[],?,132,552 kj(132 kcal),15,"0,9",4,"2,6",1,,,,,,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
740,Poulet cuit et fumé,2633750039105,['France'],[],[],?,200,837 kj(200 kcal),12,"3,4","0,5","0,5",23,,,,,,,,,,,,,,,,,,,,,,,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,,,,
741,Jambon Serrano,3367651008548,['France'],[],[],?,260,1088 kj(260 kcal),11,"1,9",29,"3,9","8,7",,,,,,,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,
742,Champignons bonduelle,01170474,['France'],[],[],?,?,,?,,?,,?,,['Bonduelle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Dés de jambon,0212148012078,['France'],[],[],?,134,561 kj(134 kcal),"5,4",2,"0,9","0,7","20,3",,,,,,,,,,,,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,"['FR 25.361.020 CE', 'Malbuisson (Doubs, France)']",,,,,,,,
744,Gorgonzola Mascarons 36%,0205103011612,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Echte Basler Leckerli,7616700001112,['France'],[],[],?,398,1665 kj(398 kcal),7,"0,6",74,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Boulgour bio - 500g,3398240083363,['France'],[],[],?,?,,?,,?,,?,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
747,Tomato frito,8437016781715,['France'],[],[],?,95,397 kj(95 kcal),"5,89","0,81","7,85","5,76","1,26",,,,,,,,,,,,,,,,,,,,,,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,
748,Comté,0239995020933,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+3%,+3%,+1%,+6%,+333%,+87%,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
749,4 blinis frais,3438330140184,['France'],[],[],?,158,661 kj(158 kcal),"2,8","1,3",27,"5,1","6,3",,,,,,,,,,,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
750,Jus d'Ananas,9940242310042,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
751,Fromage fermier de brebis,3760281140488,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Melange vitalite,2600292056082,['France'],[],[],?,328,1372 kj(328 kcal),"2,4","0,3","67,8","59,4","4,2",,,,,,,,,,,,,,,,,,,,,,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,
753,Café royal,7617014197300,['France'],[],[],?,?,,?,,?,,?,,['Café Royal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Cup Gourmandises,3266054123059,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Flocons de riz complet - Moulin des moines - 500g,3347431912319,['France'],[],[],?,352,1473 kj(352 kcal),"2,2","0,6","74,1","0,6","7,8",,['Moulin des moines'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
756,Trsarevna - Kusmi Tea,3585810036960,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,['Kusmi Tea'],,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
757,Patate douce Carotte Poivre Timut - baouw - 63g,3760267400896,['France'],"['Purée de patate douce* 73,27%', 'jus d’orange*', 'purée de carotte* 6,65%', 'farine de patate douce* 4,89%', 'huile d’olive vierge extra*', 'jus de fruit de la passion*', 'sel de Guérande 0,5%', 'estragon en poudre*', 'curcuma en poudre*', 'poivre timut en poudre* 0,05%', 'jus de citron concentré*']","['Sans huile de palme', 'Végétalien', 'Végétarien']",536,128,536 kj(128 kcal),"4,8","0,7",19,"4,7","1,5",A,['Baouw'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Purée de fruits sans sucres ajoutés', 'Purée nutritionnelle']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'en:palm-oil-free']",,3,4.8 g,en quantité modérée,0.7 g,en faible quantité,4.7 g,en faible quantité,1.14 g,en quantité modérée,,+86%,+85%,+515%,+483%,+50%,-54%,+168%,"1,14",+22700%,"0,456",+22700%,1,,B,,37.4%,25.4%,14.3%,13.6%,7.2%,2.0%,96,63g,['Gourde'],,,['France'],,,https://www.baouw-organic-nutrition.com/,,,
758,Premier Milk Plastic Bottle 2 Litre,5011024002463,['France'],[],[],?,64,268 kj(64 kcal),"3,5","2,2","4,7","4,7","3,4",,,,,,,,,,,,,,,,,,,,,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,
759,6111258222534,6111258222534,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Whey isolate xp - Body&fit,8718774014940,['France'],[],[],?,357,1494 kj(357 kcal),"0,3","0,1","0,5","0,5",88,,['Body&fit'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,,0.3 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,,-4%,-4%,-93%,-94%,-93%,-84%,+24%,"0,5",-33%,"0,2",-33%,1,-77%,B,-77%,,,,,,,,,,,,,,,,,,
761,Préparation culinaire de vinaigre à la pulpe de Mojito,3700600312158,['France'],[],[],?,384,1607 kj(384 kcal),0,0,22,20,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
762,Cocktail crevettes,0207165021714,['France'],[],[],?,180,753 kj(180 kcal),13,"2,4","7,6","4,7","8,1",,,,,,,,,,,,,,,,,,,,,,,"0,99",,"0,396",,,,,,,,,,,,,,,,,,,,,,,
763,Cactus,3605510310723,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,"Guerin freres, Pineau des Charentes rose, l'unite 1L",3242890001669,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,YUKA_oignon,3250392886127,['France'],[],[],?,331,1385 kj(331 kcal),"26,5","2,26","17,7","6,3","3,23",,,,,,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,
766,Gatorade G2 Low Calorie Electrolyte Beverage Grape,0052000204063,['France'],[],[],?,50,209 kj(50 kcal),0,0,13,12,0,,['Gatorade'],,,,,,,,,,,,,,,,,,,,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,
767,DANKEK - Ülker,8690504064473,['France'],[],[],?,399,1669 kj(399 kcal),19,"8,8",51,27,"5,5",,['Ülker'],,,,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
768,Jardin de roses 10 pièces,3700840171607,['France'],[],[],?,568,2377 kj(568 kcal),"35,7","17,2","55,2","42,7","6,4",,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
769,Emmental râpé,0413337032826,['France'],[],[],?,377,1577 kj(377 kcal),29,20,2,2,27,,,,,,,,,,,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
770,Layered Cookies n cream - Myprotein,5056307320483,['France'],[],[],?,365,1527 kj(365 kcal),13,4,27,4,34,,['Myprotein'],,,,,,,,,,,,,,,,,,,,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,
771,Limoncello,8001305334601,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Monster Punch Khaos,0070847811831,['France'],[],[],?,33,138 kj(33 kcal),0,0,"8,45","7,8",0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
773,Pain aux figues,0276671008861,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Complètement alimentaire pour chevaux,4260209230011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Foot&Fizz,3116740036678,['France'],[],[],?,344,1439 kj(344 kcal),0,0,79,66,"4,8",,,,,,,,,,,,,,,,,,,,,,,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,
776,CHICKEN LOUISIANE STEAKHOUSE - Burger King - 304.4g,,['France'],[],[],?,271,1130 kj(271 kcal),"15,5","3,94","20,4","3,55","12,1",E,['Burger King'],"['Sandwichs', 'Hamburgers', 'Burger au poulet', 'Hamburgers de fast food']",,"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde']",,15.5 g,en quantité modérée,3.94 g,en quantité modérée,3.55 g,en faible quantité,1.71 g,en quantité élevée,,+10%,+10%,+23%,-20%,+6%,-1%,-8%,"1,71",+41%,"0,683",+41%,13,+31%,D,+31%,92.4%,3.3%,1.1%,0.9%,0.5%,1.9%,15,304.4 g,,,['Burger King'],,,,https://www.burgerking.fr/produit/chicken-louisiane-steakhouse,,,
777,Pain hamburger,0203033009778,['France'],[],[],?,0,0 kj(0 kcal),"9,7","4,1",52,"8,8",12,,,,,,,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
778,Osterkekse,2009010050898,['France'],[],[],?,470,1966 kj(470 kcal),20,11,65,37,6,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
779,POIVRONS Aigres-doux - Polonia,3760013720162,['France'],[],[],?,42,176 kj(42 kcal),"0,3","0,1","7,9","7,9","0,9",,['Polonia'],,,,,,,,,,,,,,,,,,,,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
