,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
150,Miel de fleurs crémeux,3770010032137,['France'],[],[],?,?,,?,0,?,,?,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
151,Saucisson sec pur porc - Salaisons du Mâconnais,3280960011019,['France'],[],[],?,441,1845 kj(441 kcal),37,15,2,2,25,D,['Salaisons du Mâconnais'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']","['Bio', 'Bio européen', 'FR-BIO-01']",,,37 g,en quantité élevée,15 g,en quantité élevée,2 g,en faible quantité,4.8 g,en quantité élevée,,+7%,+7%,+13%,+17%,-14%,+31%,-8%,"4,8",+3%,"1,92",+3%,25,+3%,E,+3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,"['FR 71.350.001 CE', 'Pierreclos (Saône-et-Loire, France)']",,,,,,,,
152,Arachides grillées enrobés de sucre cyit,2609848040803,['France'],[],[],?,532,2226 kj(532 kcal),28,19,55,44,15,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
153,Biscuits salé,3556940902272,['France'],[],[],?,448,1874 kj(448 kcal),13,"5,5",73,22,"7,6",,,,,,,,,,,,,,,,,,,,,,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,
154,Limande enrobage meunière bio,3061433029836,['France'],[],[],?,197,824 kj(197 kcal),"8,1",1,"18,4","2,4","12,3",,,,['Bio'],,,,,,,,,,,,,,,,,,,"0,6",,"0,24",,,,,,,,,,,,,,['Barquette en plastique'],,,,,,,,,
155,2018 - Pierres Fendues - 750ml,3760127872474,['France'],"['Sauvignon', 'Grenache', 'sulfites']",['Sans huile de palme'],?,?,,?,,?,,?,B,['Pierres Fendues'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', ""Pays d'Oc""]",['IGP'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,750 ml,"['Bouteille verre', 'Point vert']","['EMB 66065E', 'Elne (Pyrénées-Orientales, France)']",,['France'],Vin blanc,,,,,
156,Pain de campagne,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Red Grape (Jus de raisin),5290074003242,['France'],[],[],?,65,272 kj(65 kcal),"0,5",0,"14,3",14,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Follow Your Heart Miso Ginger,0049568671352,['France'],[],[],?,268,1121 kj(268 kcal),23,"1,9",13,11,"2,6",,,,,,,,,,,,,,,,,,,,,,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,
159,Jul,3578420000520,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Pavés de bœuf - Migros - 394g,738047,['France'],[],[],?,?,,?,,?,,?,,['Migros'],,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394 g,,,['Migros'],,,,,,,
161,2051765039550,2051765039550,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,
162,2052824021196,2052824021196,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,
163,Coupes gelee a la saveur de fruits,4711269682611,['France'],[],[],?,86,360 kj(86 kcal),0,0,22,21,0,,,,,,,,,,,,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
164,Acérola poudre bio - Fructivia,3760159375110,['France'],[],[],?,392,1640 kj(392 kcal),"0,4",0,"95,6","11,5","2,1",,['Fructivia'],,['Bio'],,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
165,Infusion de Menthe Poivrée - Whittard - 40g,5022032125297,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,['Whittard'],,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,40 g,,,,,,,,,,
166,Sauce tomate ail basilic,3700780202317,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Palm Oil AliBaba,8050519873208,['France'],[],[],?,892,3732 kj(892 kcal),"98,8","44,02","0,77","0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Queue de crevette crue congelee,3379144102152,['France'],[],[],?,82,343 kj(82 kcal),"0,87","0,3","0,93","0,58","17,79",,,,,,,,,,,,,,,,,,,,,,,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,,,
169,Préparation pour Fondant aux amandes - 340g,3760312180148,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,
170,Cannaoa green candy,3770014914217,['France'],[],[],?,1409,5895 kj(1409 kcal),0,0,75,50,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Farine  T55,3522080000581,['France'],[],[],?,344,1439 kj(344 kcal),"3,8","0,3",71,"1,9","9,8",,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
172,Muffin citron,0202810022962,['France'],[],[],?,354,1481 kj(354 kcal),17,"2,5",45,22,"5,7",,,,,,,,,,,,,,,,,,,,,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,
173,Origan,3546941101477,['France'],[],[],?,368,1540 kj(368 kcal),"0,5","0,5",92,48,"0,5",,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
174,Taralli - 300g,8019027100039,['France'],[],[],?,472,1975 kj(472 kcal),"18,1","2,1","68,9","1,8","8,3",,,,,,,,,,,,,,,,,,,,,,,"2,1",,"0,84",,,,,,,,,,,,,300 g,,,,,,,,,,
175,Escalope de dinde,2865524020938,['France'],[],[],?,465,1946 kj(465 kcal),1,"0,3","0,2",0,25,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,+284%,+286%,-24%,-26%,-93%,-100%,+9%,"0,1",-82%,"0,04",-82%,0,,B,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['Film en plastique', 'Barquette']",,,,,,,,,
