,name,bar_code,brand,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,manufacturing,palm_ingredients,link,brand_owner,origin_detail,producer_info
1559,Dessert brassé fraise baby - Baby Dessert,3596710420674,['Baby Dessert'],,['France'],"['Latt entier 65X ', 'origine France', 'eau', 'lait écrémé reconstitué ', 'origine France', 'sucre de canne', 'purée/e fraises amidon de mais', 'huiles végétales ', 'huile de colza', 'huile de tournesol', 'arôme naturel', ""correcteur d'acidité : acide citrique"", "" épaississants 'i pectines"", 'farine de graines de caroube ', ' jus de carotte concentré', 'ferments lactiques ', 'contient lalt', ""i Ce produit est fabriqué en France avec des ingrédients qui ne sont pas d'origine exclusivement fran aise""]",['Non végétalien'],?,93,389 kj(93 kcal),"3,4","2,1","12,6","8,6","2,6","0,08","0,032",,,,,,['Fabriqué en France'],,['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E410 - Gomme de caroube']",,,,,,,
1560,Galette des rois frangipane - Auchan - 600g,3596710421701,['Auchan'],,['France'],"['Pâte ', '57,3 %', ' : farine de blé ', 'contient gluten', 'beurre ', 'contient lait ', '18,9 %', 'eau', 'sel', '\r Garniture ', '41,7 %', ' : sucre', ""poudre d'amandes "", 'fruits à coque', ' blanchies ', '8,7 %', 'beurre ', 'contient lait', ' ', '8,1 %', 'oeuf', 'lait entier', 'farine de blé ', 'contient gluten', 'amidon de blé ', 'contient gluten', 'arômes', '\r Dorure ', '1 %', ' : oeuf']",['Non végétalien'],1708,410,1708 kj(410 kcal),28,15,32,"9,9","6,7","0,61","0,244",D,"Pâte feuilletée surgelée au beurre, galette garnie de frangipane, prête à cuire",600 g,"['Carton', 'Surgelé']","['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés', 'Galettes des rois']",['Produit en braille'],,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,28 g,en quantité élevée,15 g,en quantité élevée,9.9 g,en quantité modérée,0.61 g,en quantité modérée,+19%,+22%,+21%,+63%,+64%,-17%,-61%,+33%,+123%,+123%,19,+21%,E,+21%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,['Auchan'],,,,,,
1561,Pignons de pin - Auchan - 50g,3596710422197,['Auchan'],,['France'],['Pignons de pin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2869,?,2869 kj(686 kcal),"65,4","4,6","5,6","3,6","16,1","0,02","0,008",D,,50 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Pignons de pin', 'Pignons de pin décortiqués']",['Point Vert'],,,1,65.4 g,en quantité élevée,4.6 g,en quantité modérée,3.6 g,en faible quantité,0.02 g,en faible quantité,,,+8%,+7%,-14%,-25%,+8%,-12%,+27%,+27%,7,-31%,C,-31%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,['Auchan'],,,,,,
1562,Pâte d'amande - Auchan - 100g,3596710422395,['Auchan'],,['France'],"['sucre', 'amandes douces et amandes amères 20% ', 'fruits à coque', 'stabilisants : sorbitol', 'invertase ', ' sirop de sucre inverti', 'épaississant : gomme cellulosique', 'acidifiant : acide citrique', ""arôme naturel d'amande amère "", 'fruits à coque', 'colorant : carmins']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1760,418,1760 kj(418 kcal),"10,7","1,1","75,7","72,9","3,6",0,0,E,,100 g,"['Film', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Massepain', ""Pâtes d'amande""]",,,['Fruits à coque'],4,10.7 g,en quantité modérée,1.1 g,en faible quantité,72.9 g,en quantité élevée,0 g,en faible quantité,-4%,-5%,-5%,-36%,-39%,+16%,+20%,-42%,-100%,-100%,16,+3%,D,+3%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,"['E420 - Sorbitol', 'E1103 - Invertase', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', 'E120 - Acide carminique']",['Auchan'],,,,,,
1563,Préparation pour cookie - Auchan,3596710422487,['Auchan'],,['France'],[],[],?,490,2050 kj(490 kcal),"23,7","10,6","61,5","37,9","5,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
1564,Cappuccino - Auchan,3596710422753,['Auchan'],,['France'],"['lait entier en poudre', 'sucre', 'emulsllta[lt ? Traces éventuelles de gluten et de soja Conseils de cotÈervation : avant ouverture : craint la chaleur et @ Café molido de tueste natural y leche en polvo azucarada', ' Envasado en atmosf protectora', ' uso doméstico de la marc*scafé ? Dolce Gtstoe?']",['Non végétalien'],?,469,1962 kj(469 kcal),18,11,56,22,19,"0,1","0,04",D,,,,"['Produits laitiers', 'Laits']",,,,,18 g,en quantité modérée,11 g,en quantité élevée,22 g,en quantité élevée,0.1 g,en faible quantité,,+611%,+616%,+774%,+824%,+830%,+305%,+435%,-19%,-19%,19,+3204%,E,+3204%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Auchan'],,,,,,
1565,Cidre bouché de Normandie doux - Vergers du patrimoine - 75cl,3596710423224,['Vergers du patrimoine'],,['France'],[],[],?,?,,?,,?,,?,0,0,B,,75cl,['Bouteille en verre'],"['Boissons', 'Boissons alcoolisées', 'Boissons gazeuses', 'Cidres', 'Cidres doux']",,['France'],,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,['Auchan'],['France'],,,,,
1566,Saucisson Sec - Auchan - 200g,3596710424382,"['Auchan', 'Mmm!']",,['France'],"['INGR DIEN•rs Viande de porc ', 'origine France', 'noisettes ', 'fruits à coque', ' 8%', 'sel', 'dextrose', 'lactose ', 'lait', 'ail', 'poivre', 'muscade', 'conservateur: nitrate de potassium', 'ferments ', 'lait', ' Boyau naturel de porc', ' 135g de viande utilisée pour 100g de produit fini', ' Produit sujet à dessiccation']","['Non végétalien', 'Non végétarien']",?,412,1724 kj(412 kcal),34,14,"1,5","1,5",25,"4,425","1,77",D,,200 g,['Barquette'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']","['Viande-francaise', 'Viande Porcine Française']",,"['Lait', 'Fruits à coque']",4,34 g,en quantité élevée,14 g,en quantité élevée,1.5 g,en faible quantité,4.42 g,en quantité élevée,,0%,+0%,+4%,+9%,-36%,-2%,-8%,-5%,-5%,25,+3%,E,+3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Auchan'],,,,,,
1567,Boudins blancs aux morilles - Auchan - 375g,3596710424696,['Auchan'],"['EMB 67348B', 'Obernai (Bas-Rhin, France)']",['France'],"['{liagtffents Viande de porc 46%', 'eau', 'gras de porc', 'amidons', 'sirop de glucose', 'lait écrémé en poudre', 'morilles 2%', 'sel', 'protéines de lait', 'dextrose', ""correcteur d'acidité citrates de sodium"", 'arômes', 'épices et ', ' acétates de aromates', 'conservateur sodium', 'blanc d œuf en poudre', ""extrait d'épice"", ' Boyau naturel de porc', ' Traces éventuelles de gluten', 'céleri', 'moutarde', 'soja', 'pistaches', 'sulfites', ' Elaboré à partir de porc Origine France et kde lait Origine UE']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,262,1096 kj(262 kcal),22,8,"7,8","3,3","9,2","1,7","0,68",D,,375 g,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['Fabriqué en France'],,['Lait'],4,22 g,en quantité élevée,8 g,en quantité élevée,3.3 g,en faible quantité,1.7 g,en quantité élevée,,+8%,+7%,+9%,+2%,+81%,+68%,-11%,+14%,+14%,17,+6%,D,+6%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,['E331 - Citrates de sodium'],['Auchan'],,,,,,
1568,Mini bouchées au citron - Auchan - 210g,3596710424771,"['Auchan', 'Mmm !']",,['France'],"['Sucre roux de canne', 'blancs d’œufs', 'beurre 17% ', 'Contient lait', 'farine de blé ', 'contient gluten', ""poudre d'amande 9,5% "", 'fruits à coque', 'purée de citron 5%', 'stabilisant: sorbitols', 'arôme naturel de citron 0,28%', 'œufs entiers', 'poudres à lever : diphosphates - carbonates de sodium', 'amidon de blé ', 'contient gluten', 'arômes ', 'contient alcool']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,441,1845 kj(441 kcal),"23,1","12,1","47,8","31,8","7,4","0,25","0,1",,Petits gâteaux pur beurre à l'amande et au citron,210 g,"['Sachet', 'Plastique']",['Biscuits et gâteaux'],"['Point Vert', 'Produit en braille', 'Pur beurre']",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,23.1 g,en quantité élevée,12.1 g,en quantité élevée,31.8 g,en quantité élevée,0.25 g,en faible quantité,,+3%,+2%,+21%,+42%,-16%,+9%,+25%,-56%,-56%,23,+24%,E,+24%,,,,,,,,"['E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Auchan'],,,,,,
