,name,bar_code,brand,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,manufacturing,palm_ingredients,link,brand_owner,origin_detail,producer_info
0,Assortiment découverte - Henri Raffin,3375220501673,['Henri Raffin'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",['France'],[],[],?,384,1607 kj(384 kcal),"29,5",11,4,2,26,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Les mini buchettes tomates herbes de provence - Galibier - 130g,3375220502380,['Galibier'],"['FR 73.215.001 CE', 'Rochette (Savoie, France)']",['France'],"['Viande de porc ', '195 g mis en œuvre pour 100 de produit fini', 'sucres ', 'LACTOSE', 'dextrose', 'saccharose', 'sel', 'tomates 1,2%', 'épices', 'plantes aromatiques dont Herbes de Provence 0,2%', 'arômes ', 'dont LAIT', ' conservateurs : nitrate de potassium nitrite de sodium', 'ferments']","['Non végétalien', 'Non végétarien']",?,504,2109 kj(504 kcal),"38,5","13,5",11,"9,5",28,4,"1,6",D,Saucisson sec aux tomates et herbes de Provence,130 g,['Plastique'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['en:gluten-free', 'Point Vert', 'Sans colorants']",['Union européenne'],['Lait'],4,38.5 g,en quantité élevée,13.5 g,en quantité élevée,9.5 g,en quantité modérée,4 g,en quantité élevée,,+25%,+25%,+22%,+10%,+393%,+593%,+1%,-14%,-14%,28,+17%,E,+17%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,
2,Compote fraiche - Biochamps,3375610000458,['Biochamps'],"['FR 09.167.001 CE', 'Lézat-sur-Lèze (Ariège, France)']",['France'],[],[],?,105,439 kj(105 kcal),"0,6","0,1",25,21,0,"0,025","0,01",B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes châtaigne']",['Bio'],,,,0.6 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.025 g,en faible quantité,,-3%,-4%,+41%,-17%,+2%,+4%,-100%,+11%,+11%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,
3,Le cassoulet aux cuisses de canard - Maison Riviere,3375644006341,['Maison Riviere'],,['France'],"['Haricots blancs 37,370', 'bouillon [eau', 'légumes frais 1,470 du produit fini ', 'poireaux', 'carottes', 'oignons', 'tomates', 'graisse de canard', 'pulpe d’ail', 'gras de porc', 'arôme naturel de poivre', 'épices', 'arômes de fumée', 'cuisses de canard', 'saucisses de Toulouse grillées 12,5%']","['Non végétalien', 'Non végétarien']",?,153,640 kj(153 kcal),"9,2","3,8","5,7","0,49","9,5","0,56","0,224",D,,,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,,4,9.2 g,en quantité modérée,3.8 g,en quantité modérée,0.49 g,en faible quantité,0.56 g,en quantité modérée,,-36%,-36%,-44%,-29%,+1158%,+190%,-56%,-59%,-59%,1,-91%,B,-91%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
4,Lentilles au canard - Maison Riviere,3375644006372,['Maison Riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],"['Lentilles au canar : [eau', 'amidon modifi6', 'concentré de tomatq oignon', 'aromates]', 'manchong canard 15% ', 'manchons de oriâne : UE', 'paisse de sel', 'lentilla vertŒ 170 louverturc : carottes e es oyezLuapour 100 g :']",[],?,149,623 kj(149 kcal),"8,2","3,1","7,7","0,5","9,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Les lentilles au canard et saucisses de Toulouse - Maison Rivière,3375644006952,['Maison Rivière'],,['France'],"['Lentilles au canard et saucisses de Toulouse ', 'eau', 'amidon modifié', 'concentré de tomate', ""pulpe d'ail eau"", 'ail déshydrat 1570 ', ' manchons te canard porc', 'sel', 'clou de girofle', 'arômes', 'arôme oignon', 'aromates', 'manchons de canar grigne : UE', 'raisse de canar • 4070', 'saucisses de Toulouse grilles 12,57 ', "" dd' sel"", ""' lentilles vertes sèches 12,5% "", ""pourcentage à l'ouverture o vian e de porc origine : France"", 'gras de porc', 'sel', 'poivre', 'boyau naturel de porc • racleurs']","['Non végétalien', 'Non végétarien']",?,149,623 kj(149 kcal),"8,2","3,1","7,7","0,5","9,8","0,9","0,36",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E14XX - Amidons modifiés'],,,,,,,
6,le tajine de légumes - Maison riviere - 630g,3375644007218,['Maison riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],"['Courgettes 24%', 'tomates 20%', 'carotte 12,5% poivrons rouges 12,5%', 'oignons 7,6%', 'concentré de tomate', 'pois chiches cuits', 'raisins secs', ""huile d'olive vierge extra"", 'amidon de maïs', 'sucre', 'tomate poudre', 'sel', ""pulpe d'ail "", 'ail', 'huile de tournesol', 'sel', 'jus concentré de citron', 'miel', 'raz el hanout', 'jus concentré de citron', 'coriandre', 'cannelle', 'poivre', ' Traces de céleri']",['Non végétalien'],?,105,439 kj(105 kcal),"4,6","0,4","11,1","4,4","3,7","0,3","0,12",,tajine de légumes,630 g,['Bocal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Tajine']",,,,3,4.6 g,en quantité modérée,0.4 g,en faible quantité,4.4 g,en faible quantité,0.3 g,en quantité modérée,,+13%,+11%,+31%,-35%,+12%,+2%,+4%,-62%,-62%,-5,-26555%,A,-26555%,,,,,,,,,,,,,,,
7,Le poulet basquaise et son riz de Camargue IGP - Maison riviere,3375644007720,['Maison riviere'],"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",['France'],[],[],?,108,452 kj(108 kcal),"6,2","1,4",4,"2,3","9,2","0,8","0,32",D,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Poulets basquaise']",['IGP'],,,,6.2 g,en quantité modérée,1.4 g,en faible quantité,2.3 g,en faible quantité,0.8 g,en quantité modérée,,-7%,-7%,+65%,+58%,-65%,+29%,+22%,-7%,-7%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Magasins U'],,,,,,
8,Gesiers de canard,3375644007775,,,['France'],[],[],?,155,649 kj(155 kcal),"3,5","1,4","1,5","1,5",30,"0,29","0,116",,,,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,,,,3.5 g,en quantité modérée,1.4 g,en faible quantité,1.5 g,en faible quantité,0.29 g,en faible quantité,,-17%,-16%,-44%,-32%,+491%,+757%,+4%,-80%,-80%,-2,-132%,A,-132%,,,,,,,,,['Magasins U'],,,,,,
9,Jambon serrano chiffonade,3375824970509,,,['France'],[],[],?,230,962 kj(230 kcal),"13,1","3,6","0,19","0,1","26,8","3,5","1,4",E,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,,,13.1 g,en quantité modérée,3.6 g,en quantité modérée,0.1 g,en faible quantité,3.5 g,en quantité élevée,,-4%,-4%,+4%,-23%,-74%,-78%,-12%,-25%,-25%,15,-9%,D,-9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,
10,Quenelle pur beurre - Desmaris - 270g,3376160000073,['Desmaris'],"['FR 69.298.001 CE', 'Toussieu (Rhône, France)']",['France'],"['Oeufs entiers', 'farine de blé', 'beurre tracé bloc 15%', 'eau', 'sel', 'lactosérum doux', 'dextrose', 'arôme naturel']",['Non végétalien'],?,220,920 kj(220 kcal),?,"7,14",?,"13,3","6,7","1,58","0,632",B,,270 g,['Plastique'],"['Plats préparés', 'Quenelles', 'Quenelles nature']","['Entreprise du Patrimoine Vivant', 'Maître artisan']","['France', 'Toussieu']",['Gluten'],4,,,7.14 g,en quantité élevée,13.3 g,en quantité élevée,1.58 g,en quantité élevée,,-2%,-1%,,+69%,,+1500%,-0%,+50%,+50%,,,,,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,,['Leclerc'],,,,,,
11,Abricot - La Fleur du Verger - 500g,3376201504119,['La Fleur du Verger'],"['EMB 66210C', 'Thuir (Pyrénées-Orientales, France)']",['France'],['Abricots biologiques origine France'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,500 g,"['Barquette', 'Carton', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Abricots']","['Bio', 'Bio européen', 'Catégorie II', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,
12,Bolivie Pur Arabica VILLA ORIENTE - Lobodis - 250g,3376221111137,['Lobodis'],,['France'],['Café moulu pur arabica bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,Café moulu pur arabica bio équitable de Bolivie,250 g,['Sachet'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar', 'en:produced-in-bretagne']",['Bolivie'],,1,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,['Carrefour'],,,,,,
13,Capsules Espresso grand cru Bolivie - Lobodis - 10dosettes,3376221113469,['Lobodis'],,['France'],['Café'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,10 dosettes,['Carton'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar', 'Agriculture non UE', 'AB Agriculture Biologique']",['Bolivie'],,1,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,"['Auchan', 'Magasins U']",,,,,,
14,Café - Lobodis - 250g,3376221115661,['Lobodis'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['IGP'],,,,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,
15,pur arabica tanzanie - Lobodis,3376221115685,['Lobodis'],,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
16,Sirop de Framboise,3376377374608,,,['France'],[],[],?,330,1381 kj(330 kcal),0,0,83,64,0,0,0,B,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de framboise']",,,,,,,,,,,,,,+19%,+17%,-100%,-100%,+15%,-9%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
17,Raclette au lait cru - Cartry - 350g,3376963467875,['Cartry'],"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",['France'],"['Lait cru de vache', 'sel', 'ferments ', 'Lait', 'coagulant', 'conservateur de croûte ', 'E235']",['Non végétalien'],?,367,1536 kj(367 kcal),30,20,1,0,22,"1,7","0,68",B,,350 g,['Plastic'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes', 'Fromages en tranches']",,['France'],['Lait'],3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+6%,+7%,+9%,+8%,+36%,-100%,-7%,+1%,+1%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['E235 - Natamycine'],,,,,,,
18,Saucisson sec grand feu - Maison Fourgassié Frères - 250g,3377440000929,['Maison Fourgassié Frères'],"['FR 81.124.008 CE', 'Lacaune (Tarn, France)']",['France'],[],[],?,?,,?,,?,,?,,,D,,250 g,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,
19,Ma pâte à tartiner,3377799600009,,,['France'],[],[],?,398,1665 kj(398 kcal),"22,8",14,"42,68","36,7","4,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Raisins Secs Sultanines - Carrefour Bio - 250g,3378730101050,['Carrefour Bio'],,['France'],"['!rgrédients *Raisin sultanine*', ' hui19 touffiesol désodorisée ', ""0 ' '"", ""ngrédic:rtt issu de 5'agricu\\tJ'i+ Sec '4?A SÉLECTIONNE LES VARIÉTÉS LES PLUS GÉNÉREUSES EN ET PRODUCTRICES RECONNUES POUR LA QUALITÉ ET DE SOUCIEUX DE CONJUGUER PROGRÈS AVEC RESPECT DE ENVIRONNEMENT"", 'VIJAYA INSCRIT SON ET PERMET À t', ' DE VIVRE DU DE LEUR TRAVAIL,']",[],?,303,1268 kj(303 kcal),"0,6","0,2",68,59,3,"0,05","0,02",C,,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,0.6 g,en faible quantité,0.2 g,en faible quantité,59 g,en quantité élevée,0.05 g,en faible quantité,,-2%,-2%,+8%,+52%,-5%,-7%,+7%,-13%,-13%,7,+35%,C,+35%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,['Carrefour'],,,,,,
21,Noisettes Decortiquees 250G Italie Récolte - Lindt - 250g,3378730106055,['Lindt'],,['France'],[],[],?,680,2845 kj(680 kcal),63,"4,5",7,"4,3","16,4",,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Lentille Corail - Vijaya - 500g,3378730225046,['Vijaya'],,['France'],[],[],?,328,1372 kj(328 kcal),"0,8","0,14","44,9","1,3","27,7","0,13","0,052",B,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['Turquie'],,,0.8 g,en faible quantité,0.14 g,en faible quantité,1.3 g,en faible quantité,0.13 g,en faible quantité,,-2%,-3%,-51%,-43%,-7%,-27%,+11%,+358%,+358%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,['France'],,,,,
23,Blancs de dinde fumé au bois de hêtre - ID'HALAL - 120g,3378740848822,"[""ID'HALAL""]","['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",['France'],"['Filets de dinde 63 %', 'eau', 'amidon de maïs', 'sel', 'antioxydants : lactate de sodium et ascorbate de sodium', 'dextrose', 'protéines de soja', 'stabilisants : diphosphates et triphosphates', 'arômes naturels', 'épaississant : carraghénanes', 'conservateur : nitrite de sodium', 'fumée naturelle']","['Non végétalien', 'Non végétarien']",389,92,389 kj(92 kcal),"1,5","0,4","3,6","0,7",16,"2,93","1,172",C,,120 g,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']","['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']","['Halal', 'Viande-francaise', 'Volaille-francaise']",['France'],['Soja'],4,1.5 g,en faible quantité,0.4 g,en faible quantité,0.7 g,en faible quantité,2.93 g,en quantité élevée,-10%,-10%,-9%,-7%,-22%,+140%,-19%,-20%,+49%,+49%,11,+110%,D,+110%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E325 - Lactate de sodium', 'E301 - Ascorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,['France'],,,,,
24,Cordon de volaille - ID Halal - 1kg (8codons bleus),3378740856704,['ID Halal'],"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",['France'],"['viande de dinde separee mecaniquement traitee en salaison ', 'viande separee mecaniquement de dinde ', 'origine France', ' 55%', 'peau de volaille', ' eau', 'fibres de bambou', 'amidon de mais', 'dextrose', 'proteines de SOJA', 'sel', ' Panure 24% ', 'eau', ' farine de BLE', 'sel', 'levures', 'epices: curcuma et paprika', ' Viande de dinde separee mecaniquement traitee en salaison gout fume 12% ', 'viande separee mecaniquement de dinde ', 'origine France', ' eau', 'sel', ' fibres de bambou', 'amidon de mais', 'dextrose', 'arome de fumee', 'conservateur : E250', 'proteines de SOJA', ' FROMAGE fondu ', 'FROMAGE/ eau', 'LAIT ecreme en poudre', 'amidons modifies de pomme de terre', ' de riz et de mais', 'LACTOSERIJM', 'proteines de IAL sels de fonte : E339ë E452 et E331', ' gelifiant : sel', ' Huile de tournesol']","['Non végétalien', 'Non végétarien']",?,258,1079 kj(258 kcal),17,"4,2",13,"1,3",10,"1,15","0,46",D,cordon bleu,1kg (8 codons bleus),"['Frais', 'Plastique']","['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",['Halal'],,"['Gluten', 'Lait', 'Soja']",4,17 g,en quantité modérée,4.2 g,en quantité modérée,1.3 g,en faible quantité,1.15 g,en quantité modérée,,+0%,+1%,+4%,-2%,-8%,-13%,-17%,-12%,-12%,8,-30%,C,-30%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium']",,"['saint jean brevelay', 'Morbihan', 'France']",,,,,
25,Blanc de poulet -,3378740887807,,"['EMB 56222', 'Saint-Jean-Brévelay (Morbihan, France)']",['France'],"['BLANC DE POULET TRAITÉ EN SALAISON', 'CUIT', 'QUALITÉ STANDARD', ' Ingrédients à la mise en œuvre : Viande de filets de poulet ', 'origine France', ' 77%', 'eau', 'sel', 'protéines de SOJA', 'antioxydants : lactate de sodium et ascorbate de sodium', 'dextrose de blé', 'arômes naturels', 'stabilisants : diphosphates et triphosphates', 'épaississant : carraghénanes', ' Fabriqué dans un atelier utilisant du lait', ' VALELIRS']","['Non végétalien', 'Non végétarien']",?,114,477 kj(114 kcal),"3,9",1,"1,7","0,7",18,"2,4","0,96",D,,,,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']","['Halal', 'Certification mosquée Évry Courcouronnes']",,['Soja'],4,3.9 g,en quantité modérée,1 g,en faible quantité,0.7 g,en faible quantité,2.4 g,en quantité élevée,,+7%,+7%,+90%,+65%,+57%,-18%,-13%,+30%,+30%,11,+147%,D,+147%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E325 - Lactate de sodium', 'E301 - Ascorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['superU'],,,,,,
26,Champignon Noir Seche FI,3379140101425,,,['France'],[],[],?,199,833 kj(199 kcal),"2,4","0,7","67,5","0,1","10,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Vermicelles de Longkou - Sea Dragon,3379140108929,['Sea Dragon'],,['France'],[],[],?,320,1339 kj(320 kcal),0,0,"79,3",0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Soupe De Nouilles VEJIA Boeuf CT,3379140116436,['Vejia'],,['France'],"['pour les nouilles: Farine de blé tendre', 'huile de palme', 'sel', 'pouqre à lever', "" Ingrédients en pourdre du sachet d'assaisonnement: Sel"", 'arôme naturel', 'exhausteurs de goût E621', 'E627', 'E631', 'sauce soja déshydratée', 'poivre', 'piment', 'protéine végétale hydrolysée ', 'soja', 'sucre', 'caramel', 'oignon', 'ciboulette déshydratée', 'anis']",['Huile de palme'],?,492,2059 kj(492 kcal),"26,4","10,7","54,8",2,"10,1","2,175","0,87",,,,,,,,['Soja'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,,['Huile de palme'],,,,
29,Cacahuete grillée - 1kg,3379140141261,,,['France'],[],[],?,582,2435 kj(582 kcal),"46,2","8,6","13,5","6,7","23,1",0,0,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Dried Noodles - Swing - 454g,3379140212923,['Swing'],,['France'],[],[],?,358,1498 kj(358 kcal),"1,3","0,4","70,9","1,2","14,3","0,085","0,034",,,454 g,,,['Entrepreneurs + Engagés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Farine De Riz,3379140602441,,,['France'],[],[],?,346,1448 kj(346 kcal),0,0,78,0,8,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pousses de haricot mungo - PSP - 410g (200g égoutté),3379140604308,['PSP'],,['France'],"['Eau', 'pousse de haricot mungo 48,54 %', 'acide citrique ', 'E330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,17,71 kj(17 kcal),0,0,"2,3","0,5","1,1","0,3","0,12",B,,410 g (200 g égoutté),['Conserve'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Pousses', 'Pousses en conserve', 'Pousses de légumineuses en conserve', 'Haricots mungos germés', 'Pousses de haricot mungo en conserve']",,,,1,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en quantité modérée,,-26%,-27%,-100%,-100%,-18%,-72%,-33%,-40%,-40%,-1,-638%,A,-638%,48.2%,26.5%,12.1%,6.3%,3.3%,3.6%,78,['E330 - Acide citrique'],,['Thaïlande'],,,,,
33,Vermicelles De Riz Eaglobe L,3379140614901,['Eaglobe'],,['France'],['Farine de riz 90% eau10%'],[],?,356,1490 kj(356 kcal),"0,8","0,3","80,3",0,7,"0,02","0,008",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",,,,,0.8 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,+7%,+7%,+25%,+17%,+17%,-100%,+43%,-93%,-93%,0,-100%,B,-100%,,,,,,,,,,,,,,,
34,Bâtonnets de SURIMI - Réunion Pélagique - 250g,3379141200318,['Réunion Pélagique'],,['France'],[],[],?,?,,?,,?,,?,,,B,Préparation à base de chair de poisson saveur crabe,250g,['Surgelé'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']",,['Chine'],,,,,,,,,,,,,,,,,,,,,,,,,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,,
35,Thon morceaux au naturel - EMB-97407 - O,3379141202688,['EMB-97407 - O'],,['France'],"['Thon ', 'Katsuwonus pelan:s', ' eau', 'sel DLUO : voir couvercle']","['Non végétalien', 'Non végétarien']",?,118,494 kj(118 kcal),"0,5","0,3",0,0,"28,4",1,"0,4",E,,,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,,['Poisson'],,0.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,-67%,-36%,-100%,-100%,+13%,-4%,-4%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,,,,,
36,Biscuit porte bonheur Fortune Cookies - PSP - 12 * 5g (60g),3379141407571,['PSP'],,['France'],"['Eau', 'farine de froment', 'sucre', 'margarine', 'oeufs']","['Sans huile de palme', 'Non végétalien']",1586,380,1586 kj(380 kcal),"7,9",0,"84,5",36,6,"0,009","0,004",C,,12 * 5 g (60 g),"['Sachet', 'Plastique', 'Carton']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['Œufs', 'Gluten']",3,7.9 g,en quantité modérée,0 g,en faible quantité,36 g,en quantité élevée,0.0088 g,en faible quantité,-21%,-20%,-20%,-62%,-100%,+32%,+22%,-8%,-99%,-99%,11,-44%,D,-44%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Cora'],['Malaisie'],,,,,
37,Krill paste - 225g,3379141804769,,,['France'],[],[],?,130,544 kj(130 kcal),1,"0,2","12,8","10,8","16,4","17,2","6,88",,,225 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Supermarché Asie'],,,,,,
