,name,bar_code,eco_score,quantity,brand,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,labels,ingredients_origins,manufacturing,nova_score,additives,palm_ingredients,allergens,generic_name,link,producer_info,origin_detail,brand_owner
1509,Risotto à la truffe blanche d’été - L’italie des saveurs - 300g,8059070741032,,300g,['L’italie des saveurs'],,,['France'],"['riz 63%', 'béchamel 12% ', ' eau', 'LAIT entler', 'amidon de pomme de terre', 'fibres allmentaires', 'arômes', 'sel', 'huile de tournesol', 'CREME', 'sauce à la truffe 10% [champignons de Paris ', 'famille Agaricus bisporus', 'huile de tournesol', ""truffes blanches d'été 5% "", 'Tuber aestivum vitt', 'olives noires', 'sel', 'ail', 'persil', 'aróme truffe]', 'Grana Padano ', 'LAIT', 'sel', 'présure', ""conservateur:lysozyme d'OEUF"", 'oignon', 'bouillon [sel', 'extralt de mais-SJA', 'Iégumes en proportions varlables ', 'carotte', 'olgnon', 'CELERI', 'huile de tournesol]', 'BEURRE', ""truffes blanches d'áté 0,5 % "", 'Tuber aestivum vitt', 'sel', 'Conditionné sous atmosphère prote ctrice', ' RISOTTO MET WITTE ZOMERTRUFFEL 1% Gekookte rijst met bechameisaus en saus met witte zomertruffel', ' - Ingredianten: rijst 63%', 'bechameisaus 12% ', 'water', 'volle MELK', 'aardappeizetmeel', 'vezeis', ""aroma's"", 'zout', 'zonnebloemolle', 'ROOM', 'truffeisaus 10% [champignons ', 'famlle Agarlcus bisporus', 'zonnebio molle', 'witte zomertruffels 5% ', 'Tuber aestivum vitt', 'zwarte olven', 'zout', 'knofiook', 'peterselle', 'truffelaroma]', 'Grana Padano ', 'MELK', 'zout', 'stremsel', 'conserveermiddel: Ellysozym', 'ul', 'boulllon Rout', 'extract van mais-SOJA', 'groentan in wisselende verhouding ', 'wortelen', 'ui', 'SELDERIJ', 'zonnebloemolie]', 'BOTER', 'witte zomertruffals 0,5 % ', 'Tuber aestivum vitt', 'zout', ' L18022']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,185,,774 kj(185 kcal),,"9,6",,3,,21,,"0,8",,"3,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,4,['E1105 - Lysozyme'],,"['Céleri', 'Œufs', 'Lait', 'Soja']",,,,,
1510,Civet de lapin - 300g,3021690028966,,300 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au lapin ou lièvre', 'Civets', 'Plats au lapin', 'Civets de lapin']",,['France'],[],[],3.6 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,83,-42%,347 kj(83 kcal),-39%,"3,6",-14%,"1,8",+1%,"7,4",+64%,"0,5",-75%,"5,3",-57%,"0,8",-16%,"0,32",-16%,2,+6%,B,+6%,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
1511,Salted crunchy edamame - Mitsuba - 150g,8711299009699,,150 g,['Mitsuba'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Légumes séchés']",,"['Belgique', 'France']",[],[],15.9 g,en quantité modérée,2.2 g,en quantité modérée,4.9 g,en faible quantité,1.3 g,en quantité modérée,?,,416,+91%,1741 kj(416 kcal),+92%,"15,9",+43%,"2,2",+61%,"13,6",-20%,"4,9",-55%,"45,9",+988%,"1,3",-54%,"0,52",-54%,-2,-141%,A,-141%,,,,,,,,['Plastic'],['Carrefour'],,,,,,,,,,,,
1512,Hipp Kartoffeln Mit Mildem Rahm-gulasch 220G,4062300200388,,,['Hipp'],"['Aliments pour bébé', 'Dès 8 mois']",,['France'],[],[],,,,,,,,,?,,324,+195%,1356 kj(324 kcal),+259%,3,+57%,"1,2",+138%,"8,7",-31%,"2,4",-40%,"9,3",+238%,"0,05",-56%,"0,02",-56%,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
1513,3245414653108,3245414653108,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Croquetas cheddar bacon - Blini - 120g,3292070009824,,120g,['Blini'],,,"['Afghanistan', 'France']","['Farine de blé - Préparation de cheddar 16 % ', 'Fromage Cheddar 11%', 'eau', 'babeurre', 'proteine de lat', 'antioxydant E331', 'poudre de lactoserum', 'sel', 'colorants : E160a et E160c', '-eau pates de blé dur 12% - lait UHT-huile de tournesol - amidon de blé bacon cuit 4% ', 'viande de porc 3%', 'sel', ""regul ateur d'acidité : E326"", 'antioxydants : E301 et E331', 'conservateurs: E250 et E262', ""extraits d'epices"", 'fumée', '-fromage à pâte dure ', 'contient lait', ' - farine de maïs - amidon modifié de maïs-fromage en poudre ', 'contient lait', ""-sel - fécule de pomme de terre - vinaigre en poudre - farine de blé fermentée-gluten de ble - caséinate de sodium -  protéine d'œuf en poudre - levure - dextrose - épices - oeuf entier en poudre - épaississant : E461 - persil - antioxydant: E392 - poudres à lever : E450 et E500 - extraits d'épices""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,294,,1230 kj(294 kcal),,"13,9",,"5,2",,"30,5",,"1,8",,"10,6",,"2,26",,"0,904",,,,,,,,,,,,,,,,,,4,"['E331 - Citrates de sodium', 'E160a - Carotènes mélangés', 'E160c - Extrait de paprika', 'E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E14XX - Amidons modifiés', 'E461 - Méthylcellulose', 'E392 - Extrait de romarin', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,"['Gluten', 'Lait']",,,,,
1515,Dansk Smor - Lurpak - 200g,5740900403383,,200 g,['Lurpak'],,,['France'],"['16665 sk dansk Smør', 'Min', '80% fedt', 'INGREDIENSER: Melk', 'mælkesyrekultur', 'salt', 'NÆRINGSINDHOLD pr', '100 g: Energi ud under smør til 3038 kJ/']",[],,,,,,,,,?,,739,,3092 kj(739 kcal),,82,,52,,"0,7",,"0,7",,"0,6",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1516,"Schweizer Alpenkräutertee mit Hanf - Migros - 31,2g",7613312263068,B,"31,2 g",['Migros'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-50%,4 kj(1 kcal),-33%,0,-100%,0,-100%,"0,2",-26%,0,-100%,"0,1",+22%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Migros'],"['Bio', 'Bio européen', 'CH-BIO-004']",,,,,,,,,,,
1517,Haribo Lakritz-parade - 200g,4001686215067,,200 g,['Haribo'],"['Aliments et boissons à base de végétaux', 'Snacks', 'Snacks sucrés', 'Confiseries']",,"['France', 'Allemagne']","['Glukosesirup', ' brauner Zuckersirup', ' Zucker', ' Weizenmehl', 'Stärke', 'Süßholzextrakt ', '3 % bezogen auf den Lakritzanteit Aroma', ' Kochsalz', ' Milchzucker', ' Dextrose', ' Kokosraspeln', ' Magermilchpulver', ' Palmfett', ' Säuerungsmittel: Citronensäure', ' Gelatine', ' Frucht - und Pflanzenkonzentrate: Saflor', 'Apfel', 'Karotte', 'Rote Beete', 'Paprika', 'Zitrone', 'Spirulina', 'Hibiskus', '70kater K tolunderbeere', 'Orange', 'Schwarze Johannisbeere', 'Mango', 'Passionsfrucht', 'Aronia', 'Traube', ' Farbstoff: Titandioxid', ' Überzugsmittel: Bienenwachs weiß und gelb', 'Carnaubawachs', ' Holunderbeerextrakt', 'Karamellsirup', ' Invertzuckersirup']","['Huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.3 g,en faible quantité,56 g,en quantité élevée,0.9 g,en quantité modérée,1435,-22%,338,-20%,1435 kj(338 kcal),-18%,"< 0,5",-97%,"0,3",-95%,82,+23%,56,+13%,"1,3",-69%,"0,9",+512%,"0,36",+512%,17,-7%,D,-7%,,,,,,,,"['Tüte', 'Kunststoff']",,,,,4,"['E330 - Acide citrique', 'E428 - Gélatine', 'E171 - Oxyde de titane', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,"['Gluten', 'Lait']",,,,,
1518,Fromage frais,3304820407054,,,,,"['FR 01.163.002 CE', 'Foissiat (Ain, France)']",['France'],[],[],,,,,,,,,?,,91,,381 kj(91 kcal),,6,,"4,2",,"4,3",,"3,3",,"4,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Pizza Proscuiutto - Migros,7613404101254,,,['Migros'],,,['France'],"['Farlne de blé', 'mozzarella 21%', 'eau', 'jambon 12% ', 'viande de porc [Suisse', 'eau', 'sel nitrité pour saumure ', 'sel de culsine', 'conservateur: E250]', 'arômes', 'stabi - lisant: E450', 'glucose', 'condiment', 'sucre', 'antioxydants: extraits de romarln et E301', 'concentré de tomate 6%', 'protéine de blé', 'levure', 'sel de cuisine iodé', 'semoule de blé dur', 'amidon de maïs modifié', ""huile d'olive"", 'amidon de mais', 'épices', 'Sucre', 'huile de colza', ""extraits d'épices "", 'avec ail', 'condiments en poudre ', 'avec riz', 'jus de citron concentré', ""farine de malt d'orge"", 'arôme naturel de basilic', 'agent de traitement de la farine: aclde ascorbique', ' Peut contenir poissons', ' Pasta lievitata di frumento precotta con mozzarella', 'prosciutto e pomodori', ' Ingredienti: farina di frumento', 'mozza - rella 21%', 'acqua', 'prosciutto 12% ', 'carne dì maìale [Svìzzera', 'acqua', 'sale nitritato per salamoia ', 'sale da cucina', 'conser - vante: E250]', 'aromi', 'stabilizzante: E450', 'glucosìo', 'condimento', 'zucchero', 'antiossidanti: estratti di rosmarino ed E301', 'concentrato di pomodoro 6%', 'proteina di frumento', 'lievito', 'sale da cucina iodato', 'semola di grano duro', 'amido di granoturco modificato', 'olio d’oliva', 'amido di granoturco', 'spezie', 'zucchero', 'olio di colza', 'estratti di spezie ', 'con aglio', 'condimenti in polvere ', 'con riso', 'succo dì limone concentrato', ""farina di malto d'orzo"", 'aroma naturale del basilico', 'agente di trattamento della farina: acido ascorbico', ' Può contenere pesce', ' Zubereitung | Préparation | Preparazione']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,234,,979 kj(234 kcal),,"7,3",,"3,7",,28,,"3,6",,13,,"1,5",,"0,6",,,,,,,,,,,,,,['Migros'],,,,4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,"['Gluten', 'Lait']",,,,,
1520,Tomaten Mark - Mondo Italiano - 200g,4316268518369,A,200 g,['Mondo Italiano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,"['France', 'Allemagne']","['Tomaten', 'Säureregulator: Citronensäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,15.4 g,en quantité élevée,0.15 g,en faible quantité,497,+28%,118,+27%,497 kj(118 kcal),+28%,"0,3",-53%,"0,1",-18%,"18,5",+21%,"15,4",+11%,"5,7",+27%,"0,15",-82%,"0,06",-82%,-9,,A,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,"['Tube', '41-ALU']",['Netto Marken-Discount'],,,,1,['E330 - Acide citrique'],,,,,,,
1521,Cammino Doro Mozzar. rape 200G - Cammino D'Oro - 200g,4008432027110,D,200 g,"[""Cammino D'Oro""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['DE BY-301 EG'],"['République tchèque', 'France']","['Mozzarella ', 'lait de vache pasteurisé', 'sel', 'prisurz microbienne', 'ferments lactiques ', 'contient du lait', ' 1,8 % amidon']","['Non végétalien', 'Végétarien']",25 g,en quantité élevée,17.5 g,en quantité élevée,0.7 g,en faible quantité,1.1 g,en quantité modérée,1401,+32%,337,+30%,1401 kj(337 kcal),+30%,25,+21%,"17,5",+25%,"2,5",+143%,"0,7",-7%,"25,5",+52%,"1,1",+63%,"0,44",+63%,13,+27%,D,+27%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Plastic'],['Globus'],"['Végétarien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Végétarien', 'Sans lactose']",,['Německo'],3,,,['Lait'],,,,,
