,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,packaging,categories,ingredients_origins,manufacturing,traceability_code,additives,eco_score,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,generic_name,link,palm_ingredients,brand_owner
1805,Lucozade 6 Pack Wrapper - Coop,5000128833813,"['Coop', 'Lucozade']","['France', 'Royaume-Uni']",[],[],?,88,368 kj(88 kcal),"0,5","0,1",14,"4,2","4,7","0,5","0,2",,,['steel-can'],"['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']",,,,,A,,,0.5 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,0.5 g,en quantité modérée,,-3%,+1%,-13%,-12%,+14%,+71%,-5%,-35%,-35%,1,,B,,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,,,,,
1806,Cheetos,5900259087126,['Cheetos'],['France'],[],[],?,493,2063 kj(493 kcal),"10,2","0,9",7,"2,2","0,5","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Avena Calcium - NaturGreen - 1l,8437002932800,['NaturGreen'],"['France', 'Espagne']","['Agua', 'avena* ', '11%', 'aceite de girasol prensado en frío*', 'alga marina calcárea: Lithothamnium calcareum ', '0,4%', 'aroma natural de vainilla* y sal marina']",[],?,45,188 kj(45 kcal),"1,5","0,2",7,"3,5","0,7","0,1","0,04",1 l,"['Bio', 'Bio européen', 'ES-ECO-024-MU', 'Agriculture UE', 'en:FSC', 'FSC Mix', 'Point Vert', 'Sans sucre ajouté', 'Sans lactose', 'Sans soja']",['Tetra Pak'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",,['España'],['R.G.S.A.: 26.06660/MU'],,A,"['Gluten', 'es:Avena', 'es:avena']",4,1.5 g,en quantité modérée,0.2 g,en faible quantité,3.5 g,en quantité modérée,0.1 g,en faible quantité,,-6%,-6%,+16%,-3%,-11%,-32%,-9%,+6%,+6%,0,-100%,B,-100%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,['Carrefour'],Bebida de avena. Sin edulcorantes. Sin azúcates añadidos. Contiene azúcares naturalmente presentes.,https://naturgreen.es/product/bebida-de-avena-ecol-gica-enriquecida-en-calcio/,,
1808,Sauce piment doux vert gingembre,3262720555155,,['France'],[],[],?,84,351 kj(84 kcal),"4,4","0,5",10,7,"0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,American Volkorn Sandwich Sandwich Complet - Quality Bakers - 750g,95412061,['Quality Bakers'],['France'],"['Farine de blé complet 57%', 'eau', 'farine de blé', 'levure', 'huile de tournesol', 'sucre', 'sel', ""correcteur d'acidité "", 'acétates de sodium', 'conservateur ', 'acide sorbique', 'arôme', 'éthanol']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,246,1029 kj(246 kcal),"3,5","1,2",42,2,"8,5","1,1","0,44",750 g,['Fabriqué en Allemagne'],['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",,['Allemagne'],,"['E262 - Acétates de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E1510 - Éthanol']",B,['Gluten'],4,3.5 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,1.1 g,en quantité modérée,,-5%,-5%,-18%,+93%,-2%,-60%,-4%,-4%,-4%,3,,C,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,
1810,3454772050294,3454772050294,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,04526162,04526162,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Comte 5mois - Le Palais des Saveurs - pointe 20g,3760019791463,['Le Palais des Saveurs'],['France'],"['LAIT cru de vache', 'sel', 'présure animale', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,pointe 20g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,"['FR 71.157.001 CE', 'Cuiseaux (Saône-et-Loire, France)', 'FR 71.157.012 CE', 'Cuiseaux (Saône-et-Loire, France)']",,D,['Lait'],3,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1813,Mtn Dew - Mt dew - 355ml,0012000130311,['Mt dew'],"['France', 'États-Unis']",[],[],?,48,201 kj(48 kcal),"0,1","0,1",12,12,"0,1","0,015","0,006",355ml,,['Canned'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",,,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.015 g,en faible quantité,,+78%,+73%,+144%,+926%,+77%,+82%,+82%,+8%,+8%,15,+63%,E,+63%,,,,,,,,"['Walmart', 'Foodlion', 'Dollar general']",,,,
1814,Torta nueces - 380g,8413908500459,,['France'],[],['Sans huile de palme'],?,376,1573 kj(376 kcal),"15,8","2,5","49,8","2,5","6,9","0,55","0,22",380 g,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Corn Thins - Flax & Soy,0671959001020,,['France'],[],[],?,389,1628 kj(389 kcal),"5,56","1,11","66,67",0,"11,11","0,194","0,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Torta turron de alicante - Millor,8412080021226,['Millor'],['France'],[],[],?,557,2330 kj(557 kcal),35,3,45,40,12,"0,05","0,02",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,,,,E,,,35 g,en quantité élevée,3 g,en quantité modérée,40 g,en quantité élevée,0.05 g,en faible quantité,,+4%,+4%,+5%,+6%,+6%,+7%,-13%,+41%,+41%,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,
1817,Thé noir Yunnan Tuocha au Ginseng,70429114,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Mimolette Kroon Jeune,0205018019758,,['France'],[],[],?,321,1343 kj(321 kcal),24,16,0,0,26,"2,6","1,04",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,,,,D,,,24 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,,0%,+0%,-0%,-2%,-100%,-100%,+1%,+2%,+2%,19,+3%,E,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1819,Delicieuse mangue - Koupé - 100g,3701104800394,['Koupé'],['France'],[],[],?,64,268 kj(64 kcal),"0,31","0,07","13,7","11,3","0,62","0,013","0,005",100 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Mangues']",,,,,E,,,0.31 g,en faible quantité,0.07 g,en faible quantité,11.3 g,en quantité modérée,0.013 g,en faible quantité,,0%,+1%,-13%,+65%,-4%,-8%,+1%,-2%,-2%,-3,,A,,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,,,,,
1820,Boudin blanc de rethel -,3760039217417,,['France'],[],[],?,292,1222 kj(292 kcal),"26,9","11,4","0,9","0,9","0,1","1,99","0,796",,"['Sans colorants', 'Sans conservateurs', 'IGP']",,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté', 'Boudin blanc de Rethel']",,,,,D,,,26.9 g,en quantité élevée,11.4 g,en quantité élevée,0.9 g,en faible quantité,1.99 g,en quantité élevée,,+7%,+6%,+12%,+12%,-15%,+7%,-99%,+33%,+33%,21,+14%,E,+14%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,
