,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
496,Saint Nectaire,2816946018508,['France'],[],[],?,?,?,?,?,,,,,,,['AOP'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Physiolac 2 - Gilbert,3518646086328,['France'],"['Ingredientscoprah', 'ma todextr nesisirop de glucose : galacto-oligo act aides ', 'GO', '4%', 'yosyiale disodique', 'phosphate dipotassique', 'bicarbonate de ptassm', 'chte de tami bate de sodium,aceilate de retinol', 'cholecaliferol', 'mononr-odlants alpha-tocopherol', 'almtate de L - ascorbyle', 'L-neeme: lactoserum demineralise']",[],?,?,?,?,?,['Gilbert'],,,,0,0,,,,,,,,,,,,,,,,,,,,,['E307 - Alphatocophérol'],,,,,,,,,,,,,,,,,,,,,,,,
498,Schakalode - Vantastic Foods,4260430652309,['France'],[],"['Végétalien', 'Végétarien']",?,540,32,58,"2,9",['Vantastic Foods'],2259 kj(540 kcal),18,35,"0,16","0,064","['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Reglisse - 17 Sachets - Yogi Tea,4012824400177,['France'],"['Réglisse ', '38%', 'cannelle *', 'gingembre *', ""zeste d'orange"", 'cardamome', 'poivre noir', 'chicorée torréfiée', ""malt d'orge"", 'clous de girofle *', ""extrait d'orange"", 'extrait de vanille *', ' *agriculture biologique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,?,?,?,['Yogi Tea'],,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,
500,Chèvre Panier,2485230022899,['France'],[],[],?,216,"16,8",4,"12,5",,904 kj(216 kcal),"12,3","1,8","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Love and peace keys,2099901556783,['France'],[],[],?,350,"0,5",87,"0,1",,1464 kj(350 kcal),"0,1",50,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Cerises Citriques 100G - 16g,5411951000028,['France'],[],[],?,394,0,97,0,,1648 kj(394 kcal),0,"58,2","0,01","0,004",,16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,pamplemousse rosé - Auchan - un litre,14427446,['France'],[],[],?,?,?,?,?,['Auchan'],,,,,,"['Nutriscore', 'Nutriscore C']",un litre,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",['Auchan'],,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Brick'],,,,,,,,,,,,,,,,,,,,,,,,,,,
504,B.you - 250ml,8016168002550,['France'],[],[],?,42,0,10,0,['B.you'],176 kj(42 kcal),0,10,0,0,['Sans conservateurs'],250ml,,"['Boissons', 'Boissons énergisantes']",,,+17%,-100%,+25%,-100%,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.00025 g,en faible quantité,+18%,-100%,+38%,-100%,-100%,13,+20%,E,+20%,,,,,
505,Le Comptoir D'herboristerie Tisane Articulations Bio 80G,3481899005012,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Natrol Melatonin Time Release Tablets,0047469004583,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Tomate cerise bio - 250g,8437016501986,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-003-AN', 'Agriculture UE']",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Boisson saveur chocolat - Suchard,3664346305099,['France'],[],[],?,381,"3,2","76,6","7,9",['Suchard'],1594 kj(381 kcal),2,"74,9","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Poulet roti - Cipressi in Chianti - 80g,8032891541388,['France'],[],[],?,143,"5,2","2,1",22,['Cipressi in Chianti'],598 kj(143 kcal),"1,8",0,"1,5","0,6",['en:gluten-free'],80g,D,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",,,+34%,+154%,+94%,+6%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,5.2 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,+34%,+197%,-100%,-19%,-19%,3,-33%,C,-33%,,,,,
510,Jox - 570g,2099901290656,['France'],[],[],?,373,0,"93,2",0,,1561 kj(373 kcal),0,"93,2",0,0,,570 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Vin de bordeaux,3306380134388,['France'],[],[],?,?,?,?,?,,,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
512,Pois choche - Meray,4251032603202,['France'],[],[],?,902,"69,2",3,18,['Meray'],3774 kj(902 kcal),6,3,"0,007","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Nuss genuss,8680569000035,['France'],[],[],?,387,24,"5,5","16,1",,1619 kj(387 kcal),5,"1,08","2,78","1,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,"Glengoyne 10 Yo 0,7 L",5010852026634,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Pate d'amande,8719639011692,['France'],[],[],?,415,"10,7","75,3","3,6",,1736 kj(415 kcal),"1,7","72,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Saucisses de Strasbourg - 1kg,3606525533527,['France'],[],[],?,352,33,1,12,,1473 kj(352 kcal),12,1,"2,1","0,84",,1 kg,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,+28%,+36%,-30%,-5%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,33 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,2.1 g,en quantité élevée,+28%,+30%,-12%,+8%,+8%,23,+20%,E,+20%,,,,,
517,Suze,3047101976831,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,"Les minis originales, chorizo & aux herbes - Madrange - 300g (12mini saucisses)",3273625827230,['France'],"[""CHIPOLATAS : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 95%"", 'sel', 'arômes naturels', 'poivre', ' Boyau naturel de mouton', ""\rCHIPOLATAS SAVEUR CHORIZO : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 90%"", 'épices', 'sel', ""poudre de vinaigre d'alcool"", 'plantes aromatiques', 'arômes naturels', ' Boyau naturel de mouton', ""\rCHIPOLATAS AUX HERBES : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 94%"", 'sel', 'arômes naturels', 'herbes aromatiques 0,4% ', 'thym', 'persil', 'romarin', 'poivre', ' Boyau naturel de mouton']","['Non végétalien', 'Non végétarien']",1021,246,20,"1,5",15,['Madrange'],1021 kj(246 kcal),7,"< 0,5",2,"0,8","['Sans antibiotique', 'Viande Française', 'Sans antibiotique après sevrage', 'Viande Porcine Française', 'Sans additifs', 'Sans conservateurs', 'Porcs élevés sans antibiotique', 'Porcs élevés sans antibiotique après sevrage', 'Qualité supérieure', 'Sans additif ajouté']",300 g (12 mini saucisses),E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Viandes fraîches', 'Chipolatas', 'Chipolatas aux herbes']",,-2%,-2%,-0%,+18%,0%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,"['Barquette', 'Opercule', 'Plastique']",,,,,4,20 g,en quantité modérée,7 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,-2%,-9%,-19%,+13%,+13%,17,-1%,D,-1%,,"Les minis originales, chorizo & aux herbes",https://www.madrange.fr/nos-produits/les-minis-originales-chorizo-aux-herbes/,,
519,Zephyr,3770012351021,['France'],[],[],?,74,"0,4","14,9","1,6",,310 kj(74 kcal),"0,1","12,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Cuisses de poulet confites,2450145044281,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Pulco citron vert,8723480185235,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Teapigs Chamomile Flowers 15 Tea Temples 20% Off! - 22.5g,5060136750137,['France'],[],[],?,?,?,?,?,,,,,,,,22.5 g,,,,,,,,,,,,,,,,,,['FSC-C101867'],,,,,,,,,,,,,,,,,,,,,,,,,
523,Gariguettes,3760169601186,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Trio Crudités,3334320008802,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Sainte maure de Touraine - Valcrest - 250g,2701070035098,['France'],[],[],?,?,?,?,?,['Valcrest'],,,,,,['AOP'],250 g,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Sainte-Maure de Touraine']",,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Fresenius Kabi Fresubin,40860626,['France'],[],[],?,?,?,?,?,"['Fresenius Kabi', 'Fresubin']",,,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Yaourt au lait du jour,3384075000019,['France'],[],[],?,133,"6,4",13,"5,5",,556 kj(133 kcal),"3,3",13,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,KitKat Raspberry Blast,6294003583088,['France'],[],[],?,503,"24,9",61,"7,5",['KitKat'],2105 kj(503 kcal),"15,04","53,3","0,09","0,036",['Cocoa-plan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Comte AOP 12 mois,0205424024209,['France'],[],[],?,?,?,?,?,,,,,,,['AOP'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Cordon bleu,3596690136701,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,,,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Framboise biologique -  - 125g,3664641001764,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-003-AN', 'FR-BIO-01', 'Code producteur Bi2480']",125 g,,,,,,,,,,,,,,,,['plastique biodégradable'],,['ES V21340302'],,,,,,,,,,,,,,,,,,,,,['Espagne'],,,,
532,Gâteau tout choco -,3770013044083,['France'],"['Chocolat noir à 75% ', 'cacao cru*', 'sucre noix coco', 'beurre de cacao*', ""lait d'amandes"", 'oeufs', 'huile colza', 'farine de ', ""miel d'acacia"", 'sucre de fleur de coco *Ingredients biologiques origine Amazonie']",['Non végétalien'],?,250,16,19,"5,6",,1046 kj(250 kcal),"9,1",10,"0,1","0,04","['en:gluten-free', 'Nutriscore', 'Sans lactose', 'Nutriscore C']",,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,-43%,-32%,-61%,-3%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,,,"['Œufs', 'Fruits à coque']",3,16 g,en quantité modérée,9.1 g,en quantité élevée,10 g,en quantité modérée,0.1 g,en faible quantité,-43%,+15%,-68%,-81%,-81%,14,-24%,D,-24%,,,,,
533,280g,46011961,['France'],[],[],?,?,?,?,?,,,,,,,['Fabriqué en France'],280 g,,,,,,,,,,,,,,,,,,"['FR 13.005.028 CE', 'Aubagne (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,
534,fond poulet - Knorr - 220ml,8711200397396,"['Belgique', 'France']","['ingredents Bouillon de poulet concentré 98,7% ', 'eau', 'extrait de viande de poulet 0', '6%', 'viande de poulet 0,4%', 'graisse de poulet', 'peau de poulet', ' sel', 'arôme naturel', 'sucre', 'curcuma', 'amidon de mais', ""concentre de jus d'oignon"", 'poivre macis']","['Non végétalien', 'Non végétarien']",?,11,"0,5","0,9",1,['Knorr'],46 kj(11 kcal),"0,1","0,5","0,95","0,38",,220 ml,,['en:chicken stock'],,,,,,,,,,,,,,['Bouteille'],,,,,4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.95 g,en quantité modérée,,,,,,4,,C,,,,,,
535,Dessert glacé,87825633,['France'],[],"['Végétalien', 'Végétarien']",?,255,17,22,"2,4",,1067 kj(255 kcal),13,17,"0,19","0,076","['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Confiture de framboise bio - Les Comtes de Provence,13666354,['France'],[],[],?,175,0,42,"0,8",['Les Comtes de Provence'],732 kj(175 kcal),0,42,"0,04","0,016","['Bio', 'Bio européen']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,-22%,-100%,-21%,+19%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,0 g,en faible quantité,0 g,en faible quantité,42 g,en quantité élevée,0.04 g,en faible quantité,-22%,-100%,-18%,+88%,+88%,10,+13%,C,+13%,,,,,
537,Pain au chocolat au beurre x2,2090000175202,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Farine de seigle 100% - Vajra,5425006848800,['France'],[],"['Végétalien', 'Végétarien']",?,323,"1,7","60,7","9,5",['Vajra'],1351 kj(323 kcal),"0,3","0,9","0,01","0,004","['Bio', 'Végétarien', 'Végétalien', 'Bio-dynamie', 'Demeter']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de seigle']",,,-2%,+15%,-5%,+6%,61.8%,2.4%,14.7%,15.3%,5.9%,0.0%,95,,,,,,,1.7 g,en faible quantité,0.3 g,en faible quantité,0.9 g,en faible quantité,0.01 g,en faible quantité,-2%,+37%,-56%,-60%,-60%,-1,,A,,,,,,
539,Spiruline comprimés bio,3373020054702,['France'],[],[],?,?,?,?,?,,,,,,,['Bio'],,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Houmous,3760051725228,['France'],[],[],?,310,27,"6,9","6,2",,1297 kj(310 kcal),"4,3","0,2","0,95","0,38",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Poulain ligne gourmande au cacao,7613035378704,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Pressade,04247825,['France'],[],[],?,?,?,?,?,['Pressade'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Moutarde aux salicornes de Noirmoutier,3760101408002,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Erdbeerschnüre (aardbeiveters),8713600191239,['France'],[],[],?,363,3,79,"3,3",,1519 kj(363 kcal),"1,5",52,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Baguette de tradition française - 250g,3289669064203,['France'],[],[],?,?,?,?,?,,,,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Maliban Tea Time Biscuit Assortment,4791034029018,['France'],[],[],?,488,"19,5",72,6,,2042 kj(488 kcal),"9,8",27,"0,5","0,2",,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Assortiments de biscuits']",,,-1%,-16%,+13%,-4%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,19.5 g,en quantité modérée,9.8 g,en quantité élevée,27 g,en quantité élevée,0.5 g,en quantité modérée,-1%,-24%,-12%,-12%,-12%,22,-4%,E,-4%,,,,,
547,Miel Châtaigner,3372920000109,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Bloc de foie gras de canard des Landes,3442780013929,['France'],[],[],?,511,"52,4","0,9",9,,2138 kj(511 kcal),"21,1",0,"1,23","0,492",,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,+4%,+4%,-58%,+47%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,52.4 g,en quantité élevée,21.1 g,en quantité élevée,0 g,en faible quantité,1.23 g,en quantité modérée,+5%,-2%,-100%,+1%,+1%,21,+3%,E,+3%,,,,,
549,Torsade feuilletée pépite chocolat - Auchan,2090000190526,['France'],[],[],?,?,?,?,?,['Auchan'],,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Lotus 28 Moments 1X28PCS X6,5410126057300,['France'],[],[],?,449,"22,5","56,5",5,['Lotus'],1879 kj(449 kcal),"10,4","31,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Remia Salata Dressing,8710448694052,['France'],[],[],?,36,0,8,0,['Remia'],151 kj(36 kcal),0,7,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,"Turkish delight fudge, raisin & chocolate",5000234051736,['France'],[],[],?,371,"6,3","74,1","2,7",,1552 kj(371 kcal),"3,4","62,4","0,1","0,04",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,+5%,+220%,-9%,+180%,,,,,,,,,,,,,,6.3 g,en quantité modérée,3.4 g,en quantité modérée,62.4 g,en quantité élevée,0.1 g,en faible quantité,+5%,+584%,-1%,-50%,-50%,17,+27%,D,+27%,,,,,
553,Saucisse Artisanale Le Jastrou,3594320001351,['France'],[],[],?,425,33,"5,9",31,,1778 kj(425 kcal),"13,2","1,3","4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Mimolette jeune moulin d'or - Auchan,2093187024073,['France'],"['MIMOLETTE JEUNE MOULIN D OR 25 % MG sur poids totalvache0rigine : FranceIngredients : LAIT pasteurise de vache', 'sel', 'ferments lactiques', 'colorant: E160b', 'conservateur: E1105 ', 'oeUF', ' Croute non consommable']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,['Auchan'],,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes']",['Auchan'],,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['E160b - Rocou', 'E1105 - Lysozyme']","['Œufs', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,
555,Thé vert - 40g,4985636949045,['France'],[],[],?,331,"4,7","47,7","24,5",,1385 kj(331 kcal),"0,4",0,0,0,,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,chipolatas supérieures,00020282,['France'],[],[],?,204,"14,3","2,3","16,6",,854 kj(204 kcal),"5,8","0,4","1,87","0,748",,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,-15%,-24%,+97%,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,"['FR 31.091.010 CE', 'Bruguières (Haute-Garonne, France)']",,,,14.3 g,en quantité modérée,5.8 g,en quantité élevée,0.4 g,en faible quantité,1.87 g,en quantité élevée,-15%,-20%,-37%,+4%,+4%,15,-10%,D,-10%,,,,,
557,Crème de cassis de Dijon,3252569800615,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Crèmes de cassis']",,,,,,,63.1%,4.5%,22.9%,6.4%,2.0%,1.1%,36,['Bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Jambonneau superieur - 180g,3453890002017,['France'],[],[],?,155,"7,52","0,4","21,5",,649 kj(155 kcal),"2,93","0,4","2,2","0,88",,180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Instant noodles chicken flavour,8710998424253,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Falafel Tamatim - Eden Gourmet - 5g,3760059040910,['France'],[],[],?,176,"8,2","18,2","5,5",['Eden Gourmet'],736 kj(176 kcal),"0,9","2,3","1,3","0,52",,5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Sushi Tataki mixte 7pièces -  - 80g,3357190011963,['France'],"['thon 60% ', 'thunnus albacares', 'saumon atlantique 40% ', 'salmo salar élevé en Norvège', ' ', 'poisson', 'chapelure ', 'farine blé', 'seigle', 'gluten', 'huile de colza', 'farine de fève', 'persil', 'pavot', 'sauce soja ', 'eau', 'soja', 'blé', 'gluten', 'sel', 'sucre', 'alcool', ' Peut contenir des traces de gluten', 'crustacé', 'oeuf', 'poisson', 'arachide', 'soja', 'lait', 'fruit à coque', 'céleri', 'moutarde', 'sésame', 'sulfite', 'mollusque']","['Non végétalien', 'Non végétarien']",?,137,"7,3","4,2","14,9",,573 kj(137 kcal),"1,4","0,8","1,25","0,5",,80 g,,"['Produits de la mer', 'Poissons', 'en:raw-fishes']",,,-4%,+2%,+48%,-9%,,,,,,,,,,"['FR 06.084.001 CE', 'Mouans-Sartoux (Alpes-Maritimes, France)']",,"['Poisson', 'Gluten', 'Soja']",4,7.3 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en faible quantité,1.25 g,en quantité modérée,-9%,+4%,+29%,+69%,+69%,2,,B,,,,,,
562,Lapin en chocolat DENNER,7616500647633,['France'],[],[],?,561,34,58,5,['Denner'],2347 kj(561 kcal),20,57,"0,14","0,056",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,,+1%,-1%,+8%,-23%,,,,,,,,,,,,,,34 g,en quantité élevée,20 g,en quantité élevée,57 g,en quantité élevée,0.14 g,en faible quantité,+2%,-4%,+9%,-28%,-28%,27,+3%,E,+3%,,,,,
563,Fruits confits Bigarreaux rouges,3612646107219,['France'],[],[],?,320,"0,5",78,"0,9",,1339 kj(320 kcal),"0,5",57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Kiwi BIO,3664641000934,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Aphrodisiaque Naturelle,6114000349534,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Buzet,3222472930150,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Carrefour,2227694034441,['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,"['Pêche durable', 'Pêche durable MSC']",,,"['Produits de la mer', 'Poissons', 'Filets de poissons']",['Carrefour'],,,,,,,,,,,,,,,['MSC-C-53395'],,,,,,,,,,,,,,,,,,,,,,,,,
