,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
10,Le filet tranché de poulet cuisson express,2449376032471,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jus de pomme de montcuq,3760068000103,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Peanut butter,8717163725887,['France'],[],[],?,618,51,18,8,,2586 kj(618 kcal),13,13,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Epicerie / Epicerie Sucrée / Chocolat,3760222060189,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Mousse pur canard - Intermarché - 0,191kg",0209091012996,['France'],"['Foie maigre de canard ', '40%', ' graisse de canard ', '30%', 'eau', 'creme fraiche ', 'LAIT', ' Porto', 'poudre de LAIT', 'amidon de mais', 'sel', 'sucre', 'épices', 'colorant caroténoides conservateur ascorbate de sodium ', ' antioxydant', ' nitrite de sodium', ' Graisse de couverture : saindoux', 'colorant : caroténoides']","['Non végétalien', 'Non végétarien']",?,402,"39,4","3,2","8,7",['Intermarché'],1682 kj(402 kcal),"14,5","2,4","1,66","0,664",,"0,191 kg",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['Intermarché'],,0%,+2%,+1%,-6%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,['sous atmosphère protectrice'],['Pontivy'],"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']",['Lait'],4,39.4 g,en quantité élevée,14.5 g,en quantité élevée,2.4 g,en faible quantité,1.66 g,en quantité élevée,+1%,+3%,+24%,+13%,+13%,22,+8%,E,+8%,,,,,
15,Salame Sorgentino doux,2247369006191,['France'],[],[],?,335,23,"1,2","30,7",,1402 kj(335 kcal),10,1,"4,06","1,624","['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Confiture,5410986032417,['France'],[],[],?,266,0,66,"0,4",,1113 kj(266 kcal),0,60,0,0,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Rôti de porc de pays confit - Oberti,3349010003807,['France'],[],[],?,144,"6,1","0,4","22,1",['Oberti'],602 kj(144 kcal),"2,2","0,4","1,9","0,76",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Infusion aromatisée mélange Agelina - Angelina - 40g,3392070013699,['France'],[],[],?,?,?,?,?,['Angelina'],,,,,,,40 g,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Mandarine Murcott, calibre 2/3 catégorie 2 - U - 1kg",3256225998081,['France'],[],[],?,?,?,?,?,"['U', 'U Bio']",,,,,,['Bio'],1 kg,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Mandarines fraîches']","['Magasins U', 'Super U']",,,,,,,,,,,,,['Girsac'],,,,,,,,,,,,,,,,,,,,,,,['Espagne'],,,,
