,name,bar_code,quantity,brand,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,ingredients_origins,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,palm_ingredients,link,brand_owner
561,Epinards en branche à la crème - PATRICK VERRIERE - 400g,3760024686037,400 g,['PATRICK VERRIERE'],,,['France'],"['Ingrédients Epinard branche 75', '3%', 'CREME 22', '6%', 'farine de BLE', 'sel', 'BEURRE', 'huile de tournesol', 'épices', ' Traces possibles : oeufs', 'celeri']",['Non végétalien'],?,152,636 kj(152 kcal),"12,4","7,6","3,7","1,7","4,6","['Plastique', 'Frais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Épinards']",,"['Gluten', 'Lait']",3,12.4 g,en quantité modérée,7.6 g,en quantité élevée,1.7 g,en faible quantité,1 g,en quantité modérée,,+311%,+324%,+1038%,+1740%,+92%,+181%,+57%,1,+168%,"0,4",+168%,5,,C,,['Sans colorants'],,B,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,Cuisine Traditionnelle,,,,,,
562,Nectar Poire Williams Bio Vallée du Rhône -,3760024886956,,,"['EMB 74289B', 'Vallières (Haute-Savoie, France)']",,['France'],[],[],?,59,247 kj(59 kcal),0,0,"13,4","12,7","0,5",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",,,,0 g,en faible quantité,0 g,en faible quantité,12.7 g,en quantité élevée,0 g,en faible quantité,,+9%,+9%,-100%,-100%,+4%,+6%,+77%,0,-100%,0,-100%,18,+18%,E,+18%,['Bio'],,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
563,Pavé de truite sauce pyréneenne,3760024900133,,,,,['France'],[],[],?,155,649 kj(155 kcal),"8,9","4,33","6,61","1,59","12,25",,,,,,,,,,,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,
564,Raisin blond,3760025041668,,,,,['France'],[],[],?,605,2531 kj(605 kcal),54,"4,7","4,9","3,9",20,,,,,,,,,,,,,,,,,,,,,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,
565,PAPAYE RED SOLO DU CAMERON EN TRANCHES SECHEES - Biofruitsec - 100g,3760025650051,100 g,['Biofruitsec'],,['Biocoop Caluire'],"['Canada', 'France']",[],[],?,289,1209 kj(289 kcal),"0,6","0,2","62,1","25,4","3,4",['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,
566,Lucques vertes - Saveurs et Traditions du midi - 700g g,3760025970166,700 g g,['Saveurs et Traditions du midi'],,,['France'],[],[],?,166,695 kj(166 kcal),"17,1","2,77","0,9","0,01","1,4",,,,,,,,,,,,,,,,,,,,,,"4,27",,"1,708",,,,,,,,,,,,,,,,,,,,,,
567,confit de canard - Bijou - 600g,3760026192895,600 g,['Bijou'],,,['France'],"['Farine de blé', 'œufs frais 22 %', 'sucre', 'beurre pâtissier ', 'soit 22 % en beurre reconstitué', 'chocolat au lait 18 % ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme', 'sirop de glucose-fructose', 'stabilisant : glycérol', 'lait écrémé en poudre', 'sel', 'poudres à lever : carbonates de sodium - diphosphates ', 'blé', 'émulsifiants : mono et diglycérides d’acides gras', 'arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,480,2008 kj(480 kcal),27,17,52,34,"6,6","['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat', 'Madeleines longues']","['E322 - Lécithines', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait', 'Soja']",4,27 g,en quantité élevée,17 g,en quantité élevée,34 g,en quantité élevée,1 g,en quantité modérée,,+9%,+10%,+27%,+389%,-5%,+21%,+17%,1,+19%,"0,4",+19%,26,+60%,E,+60%,"['Pur beurre', 'Pur beurre de cacao']",,D,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,['France'],,https://www.bijou.com/achat-de-biscuits/madeleines-221/longues-chocolait-2265.html,
568,Gâteau basque à la Cerise noire -,3760026380193,,,"['EMB 64495D', 'Saint-Pée-sur-Nivelle (Pyrénées-Atlantiques, France)']",,['France'],[],[],?,419,1753 kj(419 kcal),15,"9,7","65,4","38,7","4,5",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,15 g,en quantité modérée,9.7 g,en quantité élevée,38.7 g,en quantité élevée,0.35 g,en quantité modérée,,+4%,+4%,-23%,+27%,+32%,+39%,-17%,"0,35",-42%,"0,14",-42%,23,+28%,E,+28%,,,,,,,,,,,,,,,,,
569,Chocolat Noir Orange - Le Clos de l'Arche,3760027470251,,"[""Le Clos de l'Arche""]",,,['France'],[],[],?,549,2297 kj(549 kcal),"39,4","24,9","32,9","24,5",10,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",,,,39.4 g,en quantité élevée,24.9 g,en quantité élevée,24.5 g,en quantité élevée,0.038 g,en faible quantité,,+4%,+4%,+15%,+20%,-24%,-34%,+49%,"0,038",-2%,"0,015",-2%,16,-25%,D,-25%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,B,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,,
570,Keepcan-energy Drink -mojito-490ml-france,3760027560006,,['Keepcan'],,,['France'],[],[],?,47,197 kj(47 kcal),0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,
571,Terrine forestière - Saveurs de Cocagne,3760028710271,,['Saveurs de Cocagne'],,,['France'],[],[],?,453,1895 kj(453 kcal),43,16,"2,7",0,12,,['Terrines'],,,,43 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+50%,+52%,+67%,+69%,+24%,-100%,-14%,"1,6",+5%,"0,64",+5%,22,+24%,E,+24%,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,,,,
572,Rillettes pur canard,3760028712824,,,,,['France'],[],[],?,489,2046 kj(489 kcal),46,14,"1,4","0,2",17,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,46 g,en quantité élevée,14 g,en quantité élevée,0.2 g,en faible quantité,1.8 g,en quantité élevée,,+22%,+22%,+25%,+12%,+142%,-20%,+5%,"1,8",+31%,"0,72",+31%,23,+19%,E,+19%,['Sans conservateurs'],,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
573,Galettes fines au beurre frais - La Bien Nommée,3760029241095,,['La Bien Nommée'],,,['France'],[],[],?,457,1912 kj(457 kcal),"23,6",17,"55,4","26,7","4,9",,,,,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,"['Sans additifs', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,
574,La baguette paysanne - Pain d'or - 250g,3760029422081,250 g,"[""Pain d'or""]",,['Intermarché'],['France'],"['Farine de blé', 'eau', 'levain', 'sel', 'levure', 'gluten de blé', 'levain de blé dévitalisé', 'farine de blé malté toasté', 'levure désactivée', 'farine de blé malté', 'ferments', 'agent de traitement de la farine: acide ascorbique']",['Sans huile de palme'],?,227,950 kj(227 kcal),1,"0,3",57,2,10,['Papier plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains blancs']",['E300 - Acide ascorbique'],['Gluten'],4,1 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,1.4 g,en quantité modérée,,-23%,-23%,-83%,-77%,+13%,-14%,+18%,"1,4",+11%,"0,56",+11%,3,-33%,C,-33%,,['France'],,,,,,,,,,,,['Carros'],,,
575,Bière French IPA - Ninkasi - 33cl,3760029980833,33 cl,['Ninkasi'],,,['France'],"['Eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,0,?,0,?,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'en:Ales', 'en:Indian Pale Ales']",,['Gluten'],3,,,,,,,,,,,,,-100%,,-100%,,,,,,,,,,['Fabriqué en France'],"['France', 'Alsace']",B,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,['France'],,,
576,Moutarde,3760030140127,,,,,['France'],[],[],?,149,623 kj(149 kcal),"11,5","0,8","3,2","2,7","7,2",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,11.5 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,,-12%,-12%,+6%,-2%,-54%,-30%,+10%,"6,5",+38%,"2,6",+38%,11,-5%,D,-5%,,,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,
577,Cup ananas - Auchan,3760032892659,,['Auchan'],,['Auchan'],['France'],['Ananas'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,54,226 kj(54 kcal),"0,5","0,1",11,10,"0,5",,,,,,,,,,,,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,
578,Cup a la noix de coco - Auchan,3760032892666,,['Auchan'],"['EMB 94021D', 'Chevilly-Larue (Val-de-Marne, France)']",['Auchan'],['France'],[],[],?,365,1527 kj(365 kcal),34,30,"7,2","6,2","3,6",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,
579,YUSHOI - CALBEE,3760033590035,,['CALBEE'],,,"['France', 'Allemagne', 'Royaume-Uni']","['Green Peas ', '72%', 'Rapeseed Oil', 'Rice Flour', 'SweetChilli and Lemon Seasoning [Sugar', 'Salt', 'Spices', 'Tomato Powder', 'Yeast Extract ', 'Yeast Extract', 'Maltodextrin', 'Maltodextrin', 'Spirit Vinegar Powder ', 'Maltodextrin', 'Spirit Vinegar', 'Onion Powder', 'Garlic Powder,FLavourings', 'Spice Extracts', 'Acid ', 'Citric Acid', 'Sunflower Oil', 'Colour ', 'Paprika Extract', 'Firming Agent ', 'Calcium Carbonate', ' DE ZUTATEN-Grüne Erbsen ', '72%', 'Rapsöl', 'Reismehl', 'Würze von sweet Chili und Zitrone [Zucker', 'Salz', 'Gewürze', 'Tomatenpulver', 'Hefeextrakt ', 'Hefeextrakt', 'Maltodextrin', ' Maltodextrin', 'Weinessig-Puder ', 'Maltodextrin', 'Weinessig', 'Zwiebelpulver', 'Knoblau Aroma', 'Gewürzextrakt', 'Säuerungsmittel ', 'Citronensäure', 'Sonnenblumenöl', 'Farbs Paprikaextrakt', ']', 'Festigungsmittel ', 'Calciumcarbonat']","['Végétalien', 'Végétarien']",?,88,368 kj(88 kcal),3,"0,2","0,9","0,2","19,2",,,"['E330 - Acide citrique', 'E160c - Extrait de paprika', 'E170i - Carbonate de calcium']",,4,,,,,,,,,,,,,,,,,"1,375",,"0,55",,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,
580,Pur Jus de Poire - Terres Saint Martin,3760034609064,,['Terres Saint Martin'],,,['France'],[],[],?,58,243 kj(58 kcal),0,0,"15,5",15,0,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",,,,0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,,+14%,+16%,-100%,-100%,+34%,+51%,-100%,0,-100%,0,-100%,9,+99%,D,+99%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
581,6 Galettes De Blé Noire - La Galetiere,3760036410064,,['La Galetiere'],"['FR 53.107.003 CE', 'Gorron (Mayenne, France)']",,['France'],"['galettes de blé noir GALETIERE Eau', 'SARRASi N 100% Français', 'sel', 'traces ', 'GLUTEN', 'lait', 'œufs', ' evenfuell Valeurs lill„ltfirïltionnelles pour 100g ', ' Eneraie ou']",['Non végétalien'],?,187,782 kj(187 kcal),"1,2","0,1","38,2","1,1","5,9",,,,['Gluten'],4,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,
582,Bardo Zym Amandes Probiotiques Bio - 500G - De Bardo,3760036481903,,,,,['France'],[],[],?,344,1439 kj(344 kcal),"6,46","0,01","29,69","17,55","27,2",,,,,,,,,,,,,,,,,,,,,,"2,5",,1,,,,,,['Bio'],,,,,,,,,,,,,,,,
583,Crevettes Décortiquées - Delicemer,3760036820030,,['Delicemer'],,,['France'],[],[],?,60,251 kj(60 kcal),"0,5","0,2",0,0,"13,7",,,,,,,,,,,,,,,,,,,,,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,
584,Rouleau de surimi saveur crabe -,3760036822560,,,"['FR 35.288.009 CE', 'Saint-Malo (Ille-et-Vilaine, France)']",,['France'],[],[],?,124,519 kj(124 kcal),"4,9","0,5",13,"2,4","6,7",,,,,,,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,
585,Terrine Bio FIGATELLU,3760036840403,,,,,['France'],[],[],?,364,1523 kj(364 kcal),37,"14,5","0,1",0,"14,2",,,,,,,,,,,,,,,,,,,,,,"1,75",,"0,7",,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,
586,Les p'tits burdignants,3760037390020,,,,,['France'],[],[],?,20,84 kj(20 kcal),5,1,5,2,1,,,,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,
587,Ravioles au 2 jambons,3760037490072,,,,,['France'],[],[],?,231,967 kj(231 kcal),5,"2,1",35,"1,3","9,9",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",,,,5 g,en quantité modérée,2.1 g,en quantité modérée,1.3 g,en faible quantité,1 g,en quantité modérée,,-9%,-10%,-50%,-65%,+21%,-21%,-10%,1,-24%,"0,4",-24%,3,-76%,C,-76%,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,
588,Confit d'oignons au miel,3760037521042,,,,,['France'],[],[],?,259,1084 kj(259 kcal),"12,6","1,3",34,31,"1,3",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,,12.6 g,en quantité modérée,1.3 g,en faible quantité,31 g,en quantité élevée,0.4 g,en quantité modérée,,+54%,+54%,+668%,+392%,-3%,-4%,+31%,"0,4",-36%,"0,16",-36%,6,-9%,C,-9%,,,,,,,,,,,,,,,,,
589,sel de Camargue piment d'espelette AOC et baies roses - Notre Terre - 110g,3760037592950,110 g,['Notre Terre'],,['Leclerc'],['France'],"['Sel alimentaire de Camargue naturel non raffiné et sans additif 95,3 %', 'chlorure de sodium', 'chlorure de magnésium', 'calcium', 'sulfate de soude', 'oligo-éléments et iode', ""piment d'Espelette AOC* 2"", '47 %', 'baies roses* 1', '90%', 'piment*', 'eau', "" *Produits issus de l'agriculture biologique""]",[],?,11,46 kj(11 kcal),"0,2","0,02",1,"0,4","0,4","['Verre', 'Moulin', 'Plastique']","['Epicerie', 'Condiments', 'Assaisonnements']",['E514ii - Sulfate acide de sodium'],,1,0.2 g,en faible quantité,0.02 g,en faible quantité,0.4 g,en faible quantité,88 g,en quantité élevée,,-95%,-95%,-98%,-98%,-95%,-96%,-90%,88,+833%,"35,2",+833%,10,-10%,C,-10%,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Sans additifs', 'Fabrication artisanale']","['France', 'Camargue']",,,,,,,,,,,,"['Var', 'France']",,,
590,huile olive vierge bio - Notre Terre,3760037593117,,['Notre Terre'],,,['France'],[],[],?,892,3732 kj(892 kcal),"99,9","19,7","0,03","0,03","0,01",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges""]",,,,99.9 g,en quantité élevée,19.7 g,en quantité élevée,0.03 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+5%,+41%,,,,0,-100%,0,-100%,7,+14%,C,+14%,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
591,Les gourmandises,3760037597474,,,,,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",97,65,"0,5",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
592,Carottes - La Belle du Jardin - 2kg e,3760038600197,2 kg e,['La Belle du Jardin'],,['Auchan'],['France'],['Carottes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,33,138 kj(33 kcal),0,0,"6,7","6,5","0,4","['Sachet', 'Plastique', '05', 'PP']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Carottes fraîches']",,,1,0 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité modérée,0 g,en faible quantité,,-6%,-4%,-100%,-100%,-1%,+61%,-48%,0,-100%,0,-100%,-7,,A,,"['Fruits et Légumes de France', 'Catégorie I', 'Point Vert', 'Légumes de France']",['France'],A,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,['France'],,,
593,Rillettes de porc noir de bigorre,3760039288738,,,,,['France'],[],[],?,409,1711 kj(409 kcal),"37,4","15,4","0,5","0,5","18,2",,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,37.4 g,en quantité élevée,15.4 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,+4%,+4%,+2%,+9%,-1%,+47%,+15%,"1,3",+2%,"0,52",+2%,20,+3%,E,+3%,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
594,Pur jus de pommes Bio - Vergers De Clazay,3760039405012,,['Vergers De Clazay'],,,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,0%,+6%,-100%,0,-100%,0,-100%,5,+20%,C,+20%,['Bio'],,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
595,Zikiro,3760041100011,,['Zikiro'],,,['France'],"['Recette du Pays Basqué Agiter avant usage A consommer de préférence avant la date figurant sur la bouteille : huile de blanco,aps']",[],?,379,1586 kj(379 kcal),38,0,"3,5",0,1,,,,,,,,,,,,,,,,,,,,,,"1,225",,"0,49",,,,,,,,,,,,,,,,,,,,,,
596,Saucisse de foie - Thierry Schweitzer,3760041602942,,['Thierry Schweitzer'],,,['France'],[],[],1550,374,1550 kj(374 kcal),"35,9",12,"0,9","0,9","11,7",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de foie']",,,,35.9 g,en quantité élevée,12 g,en quantité élevée,0.9 g,en faible quantité,2.03 g,en quantité élevée,,+12%,+12%,+26%,+17%,-67%,-36%,-25%,"2,03",-20%,"0,812",-20%,23,+12%,E,+12%,,,E,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,,,,,,
597,Croquet orange,3760043030316,,,,['Magasins U'],['France'],[],[],?,304,1272 kj(304 kcal),"0,4","0,1","71,2","53,3","3,5",,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,
598,Tapenade Noire - Bronzini - 90g,3760043590070,90g,['Bronzini'],,,['France'],[],[],?,285,1192 kj(285 kcal),"30,3","4,1","0,3","0,3","0,7",,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,,,30.3 g,en quantité élevée,4.1 g,en quantité modérée,0.3 g,en faible quantité,2.9 g,en quantité élevée,,+4%,+4%,+13%,+17%,-90%,-36%,-60%,"2,9",-7%,"1,16",-7%,17,+15%,D,+15%,,,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,
599,Violettes cristallisées - Le Jardin d'Elen,3760043781485,,"[""Le Jardin d'Elen""]",,,['France'],"['Sucre', ""Agent enrobage : Gomme d'acacia"", 'fleur nat de violettes 1%', 'Col E120 / E133', 'arômes']",[],?,360,1506 kj(360 kcal),"0,3",0,"94,6","9,4","0,2",,"['Snacks', 'Snacks sucrés', 'Confiseries']","[""E414 - Gomme d'acacia"", 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,4,0.3 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité modérée,9.9 g,en quantité élevée,,-14%,-14%,-98%,-100%,+42%,-81%,-95%,"9,9",+6635%,"3,96",+6635%,16,-12%,D,-12%,,,,,,,,,,,,,,,,,
600,La Violette - Douceur de Toulouse,3760043781584,,,,,['France'],[],[],?,358,1498 kj(358 kcal),0,0,89,"67,2",0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
601,Jus de Pomme,3760043850006,,,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
602,Galettes ardéchoises,3760045460456,,,,,['France'],[],[],?,524,2192 kj(524 kcal),26,16,62,25,"8,7",,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,
603,Champignon bruns - Les Petits Renaud,3760045772566,,['Les Petits Renaud'],,,['France'],[],[],?,21,88 kj(21 kcal),"0,36","0,067","1,33","1,06","2,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Apres repasEpicerie / Epicerie Sucrée / Confiserie Bio,3760046253811,,,,,['France'],[],[],?,359,1502 kj(359 kcal),"0,43",0,"87,69",0,"1,12",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,['Bio'],,,,,,,,,,,,,,,,
605,Grog Au Miel De Montagne Bio - 130G - Aagaard,3760046254313,,['Aagaard'],,,['France'],"['de de citron* 3}', 'zmcn', ' zeste', 'eucalyptus4 huiles']",[],?,327,1368 kj(327 kcal),"0,1",0,"81,25","79,8","0,41",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,['Bio'],,,,,,,,,,,,,,,,
606,Jus pomme cassis,3760048260077,,,,,['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,"11,8","9,7",0,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,,0.1 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,,+9%,+9%,-41%,-100%,+11%,0%,-100%,0,-100%,0,-100%,4,+5%,C,+5%,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
607,Rubis de rhubarbe - Le Pressoir Des Moine,3760048306003,,['Le Pressoir Des Moine'],,,['France'],[],[],?,36,151 kj(36 kcal),"0,5","0,1",9,9,"0,2",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
608,Ail doux au naturel,3760048386029,,,,,['France'],[],[],?,14,59 kj(14 kcal),"0,5",0,"1,6",0,"1,7",,,,,,,,,,,,,,,,,,,,,,"7,5",,3,,,,,,,,,,,,,,,,,,,,,,
609,Mélange canadien (épices pour grillades) - TIPI - 160g,3760048570855,160 g,['TIPI'],,,['France'],[],[],?,283,1184 kj(283 kcal),"2,9","0,4","64,8","36,3","6,4",['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,2.9 g,en faible quantité,0.4 g,en faible quantité,36.3 g,en quantité élevée,17.5 g,en quantité élevée,,+116%,+104%,-14%,-37%,+234%,+393%,+68%,"17,5",+272%,7,+272%,,,,,,['en:produit du Canada'],,,,,,,,,,,,,,,
610,MULBERRIES BLACK and WHITE BIO - Uberti,3760048990516,,['Uberti'],,,['France'],[],[],?,312,1305 kj(312 kcal),2,"0,1",49,"40,5",8,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,
611,Uberti Le Goji,3760048990554,,['Uberti'],,,['France'],[],[],?,347,1452 kj(347 kcal),"3,2","0,8","63,3","52,6","11,1",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",,,,3.2 g,en quantité modérée,0.8 g,en faible quantité,52.6 g,en quantité élevée,1.4 g,en quantité modérée,,+3%,+3%,-54%,-65%,+9%,+21%,+170%,"1,4",+1496%,"0,56",+1496%,10,+109%,C,+109%,,,,,,,,,,,,,,,,,
