,name,bar_code,quantity,brand,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,ingredients_origins,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,palm_ingredients,link,brand_owner
10,Crème dessert sans lactose - Carrefour,3560071094126,,['Carrefour'],,['Carrefour'],['France'],"['Lait entier', 'sucre', 'amidon modifié de maïs ou de tapioca', 'gélatine porcine', 'arôme', 'lactase', 'colorant caroténoïdes,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),3,"1,9",17,15,"3,2",,,"['E14XX - Amidons modifiés', 'E428 - Gélatine', 'E160 - Caroténoïdes']",['Lait'],4,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,['Sans lactose'],,,,,,,,,,,,,,,,
11,Creme dessert chocolat - Carrefour,3560071094157,,['Carrefour'],,['Carrefour'],['France'],"['Dessert lacté au chocolat', 'moins de delactose', ' Ingrédients t%Lait entier', 'sucre', 'cacao en poudre 2,8%', 'amidon modifiéde maïs ou de tapioca', 'chocolat 2,2% ', 'pâte de cacao', 'sucre', 'maigre en poudre', '$ gélatine porcine', 'cacao maigre']","['Non végétalien', 'Non végétarien']",?,128,536 kj(128 kcal),4,"2,6",19,16,"3,8",,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",,,3,4 g,en quantité modérée,2.6 g,en quantité modérée,16 g,en quantité élevée,0.1 g,en faible quantité,,-5%,-5%,-12%,-10%,+2%,0%,+5%,"0,1",-33%,"0,04",-33%,3,-37%,C,-37%,['Sans lactose'],,B,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,,,,,
12,Tartelette meringuee aux framboises - Carrefour,3560071094683,,['Carrefour'],"['EMB 66164D', 'Rivesaltes (Pyrénées-Orientales, France)']",['Carrefour'],['France'],[],[],?,319,1335 kj(319 kcal),14,"8,3",44,29,5,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,,,14 g,en quantité modérée,8.3 g,en quantité élevée,29 g,en quantité élevée,0.13 g,en faible quantité,,-10%,-12%,+7%,+21%,-20%,-2%,+28%,"0,13",-43%,"0,052",-43%,17,+8%,D,+8%,,,D,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,
13,Préparation pour cookies aux pépites de chocolat noir - Carrefour Sélection,3560071095291,,"['Carrefour Sélection', 'Carrefour']","['EMB 33063', 'Bordeaux (Gironde, France)']",['Carrefour'],['France'],"['Farine de blé 44%', 'chocolat noir 31% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille', 'sucre de canne', 'poudres à lever : diphosphates et carbonates de sodium']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,427,1787 kj(427 kcal),14,"8,3",65,32,7,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']","['Gluten', 'Soja']",4,14 g,en quantité modérée,8.3 g,en quantité élevée,32 g,en quantité élevée,0.53 g,en quantité modérée,,-10%,-10%,-33%,-18%,+2%,+8%,+8%,"0,53",-10%,"0,212",-10%,22,+11%,E,+11%,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
14,"Millefeuille saumon gravlax, yuzu et citron vert - Carrefour",3560071095420,,['Carrefour'],"['EMB 62014', 'Aire-sur-la-Lys (Pas-de-Calais, France)']",['Carrefour'],['France'],"['Saumon gravlax assaisonné 33% ', 'saumon gravlax 30,9% [saumon Atlantique 26,2%', 'sel', 'sucre roux', 'sucre', 'aneth', ""huile d'olive vierge extra"", 'échalote', 'aneth', 'mascarpone 12,4% ', 'crème de lait pasteurisé', ""correcteur d'acidité : acide citrique"", 'crème liquide 12,4% ', 'crème de lait', 'stabilisant : carraghénanes', 'fromage frais 12,4%', 'beurre', 'farine de blé ', 'contient farine de bÏé malté', 'gluten de blé', 'amande grillée 1,9%', 'œuf entier', 'jus de yuzu 1 jus de citron vert 1,2%', ""écorce d'orange broyée"", 'écorce de citron broyée 0,9%', 'herbes aromatiques', 'graines de sésame dorées', 'amidon de maïs', 'sel', ' Peut contenir des traces de : mollusques', 'crustacés', 'céleri', 'soja', 'moutarde', 'autres fruits à coque']","['Non végétalien', 'Non végétarien']",?,323,1351 kj(323 kcal),24,13,15,2,11,,,"['E330 - Acide citrique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,
15,Pain surprise Etoile - Carrefour,3560071095451,,['Carrefour'],"['EMB 47091A', 'Estillac (Lot-et-Garonne, France)']",['Carrefour'],['France'],"['8 Sandwichs garnis de fromage frais', 'jambon Serrano et figue séchée', 'sur pain de mie noir Pain de mie noir cacao 17', '7 % ', '[farine de farine de malté', 'eau,huile de  tournesol & poudre de cacao maigre alcalinisé 0,396', 'sucre', 'farine de fève', ""gluten de blé,sel,levure,malte d'orge torréfié émulsifiants mono - et diglycérides d'acide gras ,acide ascorbique et stéaroyl-2-lactylate de sodium"", ' antioxydant ', ' actoe fromage frais foisonné 6,3% ', 'fromage [babeurre', 'lait écrémé', 'protéines de deshydrate,ferments lactiques,sel', 'crème fraîche', 'jambon Serrano 3,5% ', 'jambon de porc', 'sel', 'conservateurs nitrate de potassiurn de sodium', 'antioxydant : ascorbate de sodium', 'figue séchée 1,5% ', 'figue', ' farine de riz', 'amidon tao?oca épaississants : farine de graines de caroube et gomme xanthane', 'protéines de 8 Sandwichs garnis de saumons', 'ciboulette et jus de citron concentré', 'sur pain de mie la tomate de mie à la tomate 16,2% ', '[farine de blé', 'farine de malté', 'eau', 'concentré de tomate tournesol', 'levure', 'sucre', 'lait écrémé en poudre', 'sel', 'farine de fève', 'gluten de blé', 'origan', ""émuisifiants mom - diglycérides d'acide gras et stéaroyl-2-lactylate de sodium"", 'basilic', 'antioxydant acide ascorbique', 'saumon fumé 4,4% ', 'saumon ', 'Salmo salar', 'sel', 'crème fraîche', 'saumon cuit 2,6% ', 'Salmo salar', 'cibou}ette O Lyas citron concentré amidon modifié de tapioca', 'épaississants : farine de graines de caroube et gomme protéines de lait', 'poivre', ' 8 Sandwichs garnis de fromage blanc', 'concombres', 'aneth', 'sur pain de mie aux épinards s', ' Pain de me aux épinards 13% ', '[farine de blé', 'gluten de blé', 'farine de blé malté]', 'eau', 'épinard 1 *8% [épinard', 'eakL sel', 'de tourneso', 'levure', 'sucre', 'écrémé en poudre', 'sel', 'farine de fève', 'émulsifiants mono - et diglycéfides d acide et stéaroyl-2-lactylate de sodium', 'acidifiant acide citrique', 'antioxydant acide ascorbique', 'b\\', 'arc concombre 4,7%', 'fraîche', 'huile de tournesol', 'jus de citron vert', 'aneth amidon modifié de tapoca', ' épaississants : farine de graines de caroube et gomme xanthane', 'protéines de sel', 'persil', 'ail deshydrate 0,014V mélange 5 baies en poudre ', 'poivre noir', 'poivre blanc', 'piment du Mexique', 'poivre vert', 'baies roses', ""v Les pourcentages sont exprimés sur l'assortiment de 24 sandwichs garnis"", ' Ce produit contient du jambon Serrano fabriqué à partir de viande de porc origine Espagne', ' Peut contenir des traces de : oeuf', 'soja', 'fruits à coque', 'crustacés', 'graines de sésame', 'céleri', 'moutarde']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,232,971 kj(232 kcal),"9,1","4,5",27,"3,7","8,9",,"['Sandwichs', 'Pains surprise']","['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E330 - Acide citrique']","['Poisson', 'Gluten', 'Lait']",4,9.1 g,en quantité modérée,4.5 g,en quantité modérée,3.7 g,en faible quantité,1.5 g,en quantité modérée,,-10%,-9%,-14%,+6%,-8%,-11%,-3%,"1,5",+23%,"0,6",+23%,10,+1%,C,+1%,,,,,,,,,,,,,,,,,
16,Cake aux fruits - Grand Jury - 300g,3560071096120,300 g,"['Grand Jury', 'Carrefour']","['EMB 49333', 'Seiches-sur-le-Loir (Maine-et-Loire, France)']","['Carrefour', 'Proxi', '8 à Huit']",['France'],"['Fruits confits et secs 32% [raisins secs 12%', 'cerises confites 11,5% ', 'cerises', 'sirop de glucose-fructose', 'sucre', 'jus concentrés de fruits et de végétaux', ""correcteur d'acidité : acide citrique"", 'conservateur : anhydride sulfureux', 'pastèque confite 6% ', 'pastèque', 'sirop de glucose-fructose', 'sucre', 'conservateurs : sorbate de potassium et anhydride sulfureux', ""correcteur d'acidité : acide citrique"", 'colorant : carmins', ""écorces d'orange confites 2,5% "", ""écorces d'orange"", 'sirop de glucose-fructose', 'sucre', ""correcteur d'acidité : acide citrique"", ']', 'farine de blé 22%', 'œufs frais 14,9%', 'huile de colza', 'sucre', 'stabilisant : glycérol', ""émulsifiant : mono - et diglycérides d'acides gras"", 'amidon modifié de maïs', 'sel', 'poudres à lever : diphosphates et carbonates de sodium', ""arôme naturel d'orange"", 'épaississant : gomme xanthane', 'conservateur : sorbate de potassium', 'acidifiant : acide citrique', ' Peut contenir des traces de lait', 'de graines de sésame', 'de fruits à coque et de soja', ' Malgré le soin apporté au dénoyautage des cerises', 'le gâteau peut contenir un noyau']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,377,1577 kj(377 kcal),14,"1,5",57,29,"4,2",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']","['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']",4,14 g,en quantité modérée,1.5 g,en quantité modérée,29 g,en quantité élevée,0.49 g,en quantité modérée,,-3%,-3%,-9%,-66%,+1%,-13%,-13%,"0,49",-17%,"0,196",-17%,11,-34%,D,-34%,['Fabriqué en France'],,C,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,"Cake aux fruits confits et aux raisins secs, tranché.","Ce cake aux fruits confits et secs est fabriqué à Seiches-sur-le-Loir dans le Maine-et-Loire (49) avec des cerises et de la pastèque d'origine française, des raisins de Turquie, des écorces d'orange et desoeufs frais de l'Union Européenne, de la farine de blé française.",Fabriqué en France par EMB 49333 pour Interdis,,,,
17,Jambon de paris - Grand Jury,3560071096328,,['Grand Jury'],"['EMB 56140A', 'Moréac (Morbihan, France)']","['Proxi', '8 à Huit']",['France'],[],[],?,110,460 kj(110 kcal),4,2,"1,5","1,5",17,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,4 g,en quantité modérée,2 g,en quantité modérée,1.5 g,en faible quantité,1.7 g,en quantité élevée,,-17%,-16%,-17%,+9%,+124%,+152%,-19%,"1,7",-9%,"0,68",-9%,4,-43%,C,-43%,"['Viande Française', 'Viande Porcine Française']",,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
18,Purée de marron & courge butternut - Carrefour Sélection,3560071096403,,"['Carrefour Sélection', 'Carrefour']","['EMB 19246A', 'Saint-Viance (Corrèze, France)']",['Carrefour'],['France'],"['marron et de courge butternut', 'surgelée', ' en galets de 15-20 g environ', 'Ition s : Marron 39%', 'courge butternut 26,7%', 'beurr terre', 'crème fraîche liquide', 'oignon', 'échalote', 'sel', 'po lir des traces de gluten', 'soja', 'fruits à coques', 'céleri', 'mo AUantité désirée dans un plat adapté', 'au four micro àtlâiSsez réchauffer en position cuisson pendant 4 mil Watts', 'Remuez de temps en temps', 'Patipn À conserver 3 jours dans le compartiment à git leur', 'plusieurs mois - 180C dans Iner']",['Non végétalien'],?,170,711 kj(170 kcal),"9,8","6,1",17,"4,1","1,4",,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,
19,Empanadas,3560071096489,,,,,['France'],[],[],?,329,1377 kj(329 kcal),18,"3,7",30,"1,3",10,,,,,,,,,,,,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
