,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
228,Plumdrink,4713105918588,['France'],[],[],?,60,251 kj(60 kcal),0,0,15,15,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Donuts cracker,4713227250139,['France'],[],[],?,220,920 kj(220 kcal),12,1,26,2,2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Hoopy Triple - Formosa Brewing Co. - 33cl,4713249690203,['France'],"['Eau', 'malt', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières artisanales', 'Bière triple']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre']",['Formosa Brewing Co.'],['Déconseillé aux femmes enceintes'],['Taïwan'],,,3,,,['Gluten'],,,,
231,Boisson Aloe Vera 450ML - Mizumi,4713338000555,['France'],"['Eau', ""Jus d'Alce Vera"", ""Pulpe d'Aloe Vera"", 'Sucre', ""Jus d'herbe de blé"", 'Acide Citrique', 'Vitamine C', 'Acésulfame K', 'E950', 'Tartrazine', 'E102', 'Bleu brillant FCF ', 'El 33', ' Contenance :450ml Product of I Produit de : Taiwan']",[],?,27,113 kj(27 kcal),0,0,7,7,0,"0,03","0,012",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées']",0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,0.03 g,en faible quantité,,+80%,+92%,-100%,-100%,+160%,+199%,-100%,-14%,-14%,9,+109%,D,+109%,,,,,,,,,,['Mizumi'],,,,"['E330 - Acide citrique', 'E950 - Acésulfame K', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,,,,,,
232,Oat and adlay cereal,4713398110232,['France'],[],[],?,390,1632 kj(390 kcal),"2,1","0,3","84,7","42,1","8,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Porridge Igname & Céréale - GREENMAX,4713398110720,['France'],"['CEREALES MULTI-GRAINS 27,2% ', 'RIZ EN POUDRE', 'MAIS', 'BLE TENDRE', 'RIZ SORGHO', 'SESAME BLANC', 'AVOINE', 'HARICOT MUNGO', 'RIZ GLUANT NOIR', 'IGNAME', 'LARMES DE JOB', 'GRAINES DE LOTUS', 'GERMES DE BLE', 'GRAINES DE POTIRON', 'HUILE VEGETALE ', 'SIROP DE GLUCOSE', 'HUILE DE PALME', 'HUILE DE SOJA', 'PROTEINE DE SOJA CONCENTREE', 'PROTEINE DE BLE CONCENTREE', 'EMULSIFIANT ', '471', 'ANTIAGGLOMERANT ', 'E551', 'CHOU', 'ALGUES', 'CAROTTE', 'CHAMPIGNONS EN POUDRE', 'CELERI', 'EPINARD', 'FECULE DE POMME DE TERRE', ""FIBRE D'AVOINE"", 'SEL', 'VITAMINES ', 'A', 'BI', 'B2', 'B6', 'B12', 'C', 'E', 'MINERAUX ', 'CARBONATE DE CALCIUM', 'PYROPHOSPHATE FERRIQUE', 'SAUCE DE SOJA EN POUDRE ', 'SOJA', 'SEL', 'SIROP DE GLUCOSE', 'EAU', 'MALTODEXTRINE', 'EXHAUSTEURS DE GOUT ', 'E631', 'E627', 'COLORANT ', 'E160a', 'POIVRE', ' PEUT CONTENIR DES TRACES DE: LAIT', 'ARACHIDE']",['Huile de palme'],?,386,1615 kj(386 kcal),"6,6","3,7","73,4","10,9","8,3","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['GREENMAX'],,,,"['E551 - Dioxyde de silicium', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E160a - Carotènes mélangés']",4,,,"['Céleri', 'Gluten', 'Lait', 'Avoine', 'Arachides', 'Graines de sésame', 'Soja']",,,,['Huile de palme']
234,Vermicelle - Vermicelli,4713780244163,['France'],"[""L'amidonde Poinines dé Terre"", 'Mungo Haricots', 'Eau Conditions de stockage : Endroit Frais et Sec']",[],?,209,874 kj(209 kcal),"0,2",0,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vermicelli'],,,,,,,,,,,,
235,Stroopwafels Karamell-Waffenn - Pâtisserie,4714465110605,['France'],"['Gaufres ', 'siròpde blé', 'huile de soja', 'E471 citrique', 'vanillé Bouffon']",[],?,424,1774 kj(424 kcal),16,9,66,36,"3,5","0,63","0,252",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au caramel']",16 g,en quantité modérée,9 g,en quantité élevée,36 g,en quantité élevée,0.63 g,en quantité modérée,,-8%,-8%,-21%,-20%,+2%,0%,-6%,+6%,+6%,22,-9%,E,-9%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,['Pâtisserie'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,
236,Minicube,4716503774244,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Premium variety nuts,4718050341085,['France'],[],[],?,430,1799 kj(430 kcal),"16,1","2,3","49,7",13,"21,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Velouté de bolets - Knorr,4718510631404,['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,3","3,8","0,5","0,7","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,
239,Vinaigre balsamique de Modène,4719042441639,['France'],[],[],?,99,414 kj(99 kcal),0,0,24,0,0,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-33%,-33%,-100%,-100%,-25%,-100%,-100%,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,
240,Shortbread highlanders - Walkers - 200g,47241442,['France'],[],[],?,514,2151 kj(514 kcal),"26,9","16,8","61,7","23,5","5,2","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,['Walkers'],,,,,,,,,,,,
241,47251823,47251823,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Chocolat noir equateur - J.D. Gross,47255562,['France'],[],[],?,638,2669 kj(638 kcal),"55,3",34,"20,6","15,8",9,"0,01","0,004",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",55.3 g,en quantité élevée,34 g,en quantité élevée,15.8 g,en quantité élevée,0.01 g,en faible quantité,,+15%,+15%,+40%,+47%,-47%,-50%,+17%,-79%,-79%,20,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['J.D. Gross'],['Bio'],,,,,,,,,,,
243,مريم رطب مضافتى Maryam Fresh Date - République Islamique d'Iran - Variable (entre 20et 25),47260528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variable (entre 20 et 25),,"[""République Islamique d'Iran""]",,,,,,,,,,,,
244,CLUSTERS - Nestlé,4733254364395,['France'],"['Pépites Clusters natures ', '80% céréales ', ""flocons d'avoine complète "", '23,1 h pétales de blé complet ', '16,2%', 'farine complète dlavoine ', '6,2%', 'sucre', 'sirop de sucre inverti', 'mélasse', 'pépites croquantes de riz ', 'semoule de riz ', '518%', 'farine de blé ', '1,6%', 'sucre', ""farine de malt d'orge"", 'sel', 'pétales de blé ', 'blé ', '6,7%', ""extrait de malt d'orge"", 'émulsifiant ', 'lécithine de tournesol', 'huile de tournesol ', 'antioxydant ', 'extrait riche en tocophérols', 'sirop de glucose en poudre', 'poudre de cacao maigre ', '0,2%', ' arôme naturel Pépites Clusters enrobees de chocolat ', '20%', ': céréales ', 'avoine ', '1,9%', 'farine de blé ', '0,9%', 'farine de riz ', '0,3%', 'farine dtavoine ', '0,3%', 'sucre', 'fibres dlavoine', 'sirop de glucose', 'huiles végétales ', 'palme et colza', 'sucre glace', 'amidon de maïs et de tapioca', 'miel ', '0,1%', ""extrait de malt d'orge"", 'sirop de sucre invertir antioxydant ', 'extrait riche en tocophérols', 'sel', 'arôme naturel', 'poudre à lever ', 'carbonate de sodium', 'chocolat ', '9,2%', ' ', 'pâte de cacao', 'sucre', 'matière grasse laitière', 'émulsifiant ', 'lécithine de soja', 'arome naturel de vanille', ""agent d'enrobage "", 'gomme arabique', 'épaississant ', 'polydextrose', 'Sirop de glucose', ' Peut contenir du soja et des fruits à coques']","['Huile de palme', 'Non végétalien']",?,426,1782 kj(426 kcal),"12,5","3,3","66,2","22,9",8,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,"['E322i - Lécithine', 'E306 - Extrait riche en tocophérols', 'E500i - Carbonate de sodium', ""E414 - Gomme d'acacia"", 'E1200 - Polydextrose']",4,,,"['Gluten', 'Avoine', 'Soja']",,,,['Huile de palme']
245,Houmous gourmet - Eden Gourmet,47314511,['France'],[],[],?,307,1284 kj(307 kcal),26,"3,5",13,"0,5",7,"1,1","0,44",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",26 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,+17%,+17%,+29%,+42%,+23%,-63%,+8%,+6%,+6%,6,+20%,C,+20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,['Eden Gourmet'],,,,,,,,,,,,
246,Kamatahvel,4740012032779,['France'],[],[],?,542,2268 kj(542 kcal),34,30,53,36,"6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Chocolat au lait goût tiramisu avec biscuit,4740012034704,['France'],[],[],?,537,2247 kj(537 kcal),32,20,54,40,"8,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
248,Mesikäpp Dops Šokolaad,4740012036289,['France'],[],[],?,136,569 kj(136 kcal),34,0,54,50,"6,5","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
249,Nurr - Orkla - 70g,4740012051183,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 g,,['Orkla'],['Sans conservateurs'],,,,,,,,,,,
250,Raisin au cacao,4740012051633,['France'],[],[],?,349,1460 kj(349 kcal),1,0,82,54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
251,Rosinaküpsis,4740012375524,['France'],[],[],?,429,1795 kj(429 kcal),13,"5,3",70,18,8,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Energize me !,4740029052791,['France'],[],[],?,60,251 kj(60 kcal),"0,3",0,13,12,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Super Smoothie Smushie,4740073072622,['France'],[],[],?,87,364 kj(87 kcal),2,"1,6",14,9,"0,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'EE-ÖKO-02', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,
254,Smushie - 170g,4740073072639,['France'],[],[],?,81,339 kj(81 kcal),0,0,17,15,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,,
255,Mental Performance,4740098082811,['France'],[],[],?,0,0 kj(0 kcal),0,0,"4,8","4,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Aura fruit thé,4740098088479,['France'],[],[],?,25,105 kj(25 kcal),0,0,"6,1","6,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Kéfir Maasika-banaani - Gefilus,4740125321074,['France'],"['ET', ' MAASIKA-BANAANI- KEEFIR', 'Ikg Koostisosadt piim 88%', 'suhkur', 'maastkad 1,2%', 'banaanid 1,2%', 'modifitseeritud tirklist happesuse regulaator ', 'sidrunhape', 'lôhna-ja maitseained', 'toiduvârv ', 'peediounane', 'l juuretis', 'pijmahappebakter Lactobacillus rhamnosus GG', 'D']",[],?,75,314 kj(75 kcal),"2,2","1,5",11,11,"2,8","0,09","0,036",D,"['Produits laitiers', 'Laits']",2.2 g,en faible quantité,1.5 g,en quantité modérée,11 g,en quantité modérée,0.09 g,en faible quantité,,+14%,+15%,+7%,+26%,+83%,+103%,-21%,-27%,-27%,2,+248%,B,+248%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Gefilus'],,,,,,,,,,,,
258,Kiirpuder Mustika,4740281006358,['France'],[],[],?,360,1506 kj(360 kcal),"4,8","0,8","70,8","30,7","8,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,organic almond gingerbread biscuit - Pagar Vataks,4740436000033,['France'],"['Koostisosad: nisujahu*', 'vôi*', 'roosuhkur*', 'odralinnasesiirup* ', 'oder', 'suhkur', 'vesi', 'mandlijahu* 10%', 'kaneel*', 'ingver*', 'apelsinikoore pasta*', 'küpsetuspulber* ', 'maisitârklis* ', 'sidrunhape', 'kergitusaine kaaliumtar - traat ', 'sôôgisooda', ' *Kontrollitud mahepôllumajandusest']",[],?,524,2192 kj(524 kcal),"28,6","15,5","56,7",20,"7,29","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pagar Vataks'],"['Bio', 'Bio européen', 'EE-ÖKO-02']",,,,,,,,,,,
260,Organic coconut biscuits - Pagar Vataks,4740436001276,['France'],"['egg*', 'cane sugar*', 'butter* ', 'coconut shavings* 17%', 'rice flour*', 'baking powder* ', 'corn starch*', 'citric acid ', 'leavening agent potassium tartrate', 'bicarbonate soda', ' \r*Controlled organic farming']",['Non végétalien'],?,448,1874 kj(448 kcal),"29,3","20,7","39,4","20,7","5,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pagar Vataks'],['Bio'],,,"['E330 - Acide citrique', 'E336ii - Tartrate dipotassique', 'E500ii - Carbonate acide de sodium']",,,,"['Œufs', 'Lait']",,,,
261,TEXAS BBQ RIBI - Oskar,4740569010480,['France'],[],[],?,215,900 kj(215 kcal),"14,9","4,6","1,3","1,3","18,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Oskar'],,,,,,,,,,,,
262,Sea-buckthorn blueberry nectar,4742040000225,['France'],[],[],?,36,151 kj(36 kcal),"0,73","0,2","7,2","5,7","0,3","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Cha Thé Noir Pure Black Bio 25 Sachets,4742758000050,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
264,Cha Thé Vert Citrus Agrumes Bio 25 Sachets - Moulin De Charbonniere,4742758000272,['France'],[],[],?,0,0 kj(0 kcal),0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Moulin De Charbonniere'],['Bio'],,,,,,,,,,,
265,Cha Thé Blueberry Myrtilles Bio 25 Sachets,4742758000418,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
266,Piparkoodig,4742824012277,['France'],[],[],?,431,1803 kj(431 kcal),14,"9,8",71,14,6,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'EE-ÖKO-02']",,,,,,,,,,,
267,teriyaki,4742903484445,['France'],[],[],?,123,515 kj(123 kcal),3,1,6,4,23,2,"0,8",,"['Epicerie', 'Sauces', 'Sauces Teriyaki']",3 g,en quantité modérée,1 g,en faible quantité,4 g,en faible quantité,2 g,en quantité élevée,,-28%,-27%,+618%,+1561%,-79%,-83%,+576%,-68%,-68%,4,-76%,C,-76%,,,,,,,,,,,,,,,,,,,,,,
268,Evergreen - Hey Day,4743315100015,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,3",6,"0,4",0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0 g,en faible quantité,,-52%,-53%,-100%,-100%,-44%,-36%,-19%,-100%,-100%,8,+4%,D,+4%,,,,,,,,,,['Hey Day'],['Bio'],,,,,,,,,,,
269,Sunbeam - Hey Day,4743315100022,['France'],"[""Jus d'orange* 37 0%"", ""jus d'ananas* 30 % Jus de pomme* 29,2 0%"", 'jus de citron* 3 Z Jus de menthe poivrée* 0,8 1 Icu!ture biologique']",[],?,42,176 kj(42 kcal),0,0,10,9,"0,4",0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-25%,-27%,-100%,-100%,-12%,-5%,-19%,-100%,-100%,12,+57%,E,+57%,,,,,,,,,,['Hey Day'],['Bio'],,,,,,,,,,,
270,Jus Bio & pressé à froid - Hey Day,4743315100039,['France'],"[""gusde carotte* 20 t lus de baies d'argousier' 8 lus de curcuma* e leagriculture biologique""]",[],?,44,184 kj(44 kcal),"0,6","0,2","9,1","8,4","0,5","0,2","0,08",,['Boissons'],0.6 g,en faible quantité,0.2 g,en faible quantité,8.4 g,en quantité élevée,0.2 g,en quantité modérée,,-21%,-24%,+73%,+69%,-19%,-11%,+1%,+382%,+382%,13,+70%,E,+70%,,,,,,,,,,['Hey Day'],['Bio'],,,,,,,,,,,
271,Deep Forest - Hey Day,4743315100046,['France'],"[""gus de pomme* 26 % jus d'ananas* 26% jus d'orange* 26 % jus d'airelle* 15 %"", 'Jus de betterave* 7 %', "" Issu de l'agriculture biologique contrôlée""]",[],?,45,188 kj(45 kcal),0,0,"10,7","9,4","0,4",0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,,-20%,-22%,-100%,-100%,-5%,-0%,-19%,-100%,-100%,14,+83%,E,+83%,,,,,,,,,,['Hey Day'],['Bio'],,,,,,,,,,,
272,Bio & pressé a froid,4743315100602,['France'],[],[],?,49,205 kj(49 kcal),0,0,12,"10,5","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
273,Jus frais Pomme Carotte Citron,4743315100619,['France'],[],[],?,42,176 kj(42 kcal),0,0,"9,8","9,1","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
274,Miel - Nordic food products - 120g,4744169010116,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,120g,,['Nordic food products'],,,,,,,,,,,,
275,Belief,4744433011597,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Belief'],,,,,,,,,,,,
276,Belief Eau Energisante,4744433012341,['France'],"['eau minérale carbonée', 'acide citrique', 'arômes naturels de citron', 'caféine', ' Information nutritionnelle ', 'moyenne pour 100 ml']",[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,01","0,004",,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-76%,-76%,0,-100%,B,-100%,,,,,,,,,,['Belief'],,,,['E330 - Acide citrique'],4,,,,,,,
277,Belief energy water,4744433015670,['France'],[],[],?,17,71 kj(17 kcal),0,0,"4,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Amandes,4744497010260,['France'],[],[],?,575,2406 kj(575 kcal),"45,2",4,"6,2","3,6","19,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,,,
279,Saumon à la ciboulette - 200g,4748475573945,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,['Sachet plastique'],,,,,,,,,,,,,
280,Smarties - Nestlé - 38g,47453463,['France'],"['Sucre', 'pâte de cacao', 'petit-lait en poudre', 'beurre pâtissier', 'beurre de cacao', 'lait écrémé en poudre', 'farine de blé', 'amidon', 'émulsifiant ', 'lécithine de tournesol', 'concentrés de fruits et de plantes ', 'carthame', 'radis', 'carotte noire', 'citron', 'hibiscus', 'chou rouge', 'concentré de spiruline', ""agents d'enrobage "", 'cire de carnauba', ""cire d'abeille"", 'sirop de sucre inverti']","['Sans huile de palme', 'Non végétalien']",?,464,1941 kj(464 kcal),"18,9","10,8",68,"62,7",5,"0,15","0,06",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons dragéifiés']",18.9 g,en quantité modérée,10.8 g,en quantité élevée,62.7 g,en quantité élevée,0.15 g,en faible quantité,,+10%,+11%,+58%,+66%,-11%,+10%,+61%,+38%,+38%,25,+30%,E,+30%,,,,,,,,38 g,"['Tube', 'Carton', 'Plastique']",['Nestlé'],"['Sans colorants artificiels', 'Sans colorants']",,,"['E322i - Lécithine', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",4,,,"['Gluten', 'Lait']",,,,
281,Tagad,4750001949896,['France'],[],[],?,513,2146 kj(513 kcal),29,16,58,52,5,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Tagad - Laima,4750001950601,['France'],[],[],?,511,2138 kj(511 kcal),29,16,57,52,"5,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Laima'],,,,,,,,,,,,
283,Dark chocolate - Laima,4750001950809,['France'],"['cukurs', 'kakao masa', 'kakao sviests', 'emulgators amonija fosfatidi', 'aromatizētājs', ' Var saturēt riekstu', 'zemesriekstu', 'piena', 'kviešu lipekļa un olu daļiņas', ' Kakao saturs vismaz 52%']",['Non végétalien'],?,529,2213 kj(529 kcal),35,21,48,47,"5,4",0,0,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",35 g,en quantité élevée,21 g,en quantité élevée,47 g,en quantité élevée,0 g,en faible quantité,,-5%,-5%,-11%,-9%,+24%,+48%,-30%,-100%,-100%,26,+23%,E,+23%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Laima'],,,,,4,,,,,,,
284,KAFIJAS KRAUKŠĶI - Coffee crips - Laima 1870 - 100g,4750001950960,['France'],"['Chocolat noir 100 g aux éclats de café', ' Ingrédients : sucre', 'pâte de cacao', 'beurre de cacao', 'saveur café 10% ', 'sucre', 'farine de blé', 'amidon de ble,café en poudre 10%', 'graisses végétales ', 'noix de coco', 'tournesol', 'arômes', 'lait écrémé en poudre', 'sucre caramélisé', 'émulsfiant ', ""phosphatides d'ammonium"", 'arômes', ' Cacao 52% min']",['Non végétalien'],?,518,2167 kj(518 kcal),31,19,55,54,"4,7","0,03","0,012",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",31 g,en quantité élevée,19 g,en quantité élevée,54 g,en quantité élevée,0.03 g,en faible quantité,,-6%,-6%,-15%,-10%,+19%,+31%,-35%,-78%,-78%,26,+11%,E,+11%,,,,,,,,100 g,['Plaquette'],['Laima 1870'],,,,"[""E442 - Phosphatides d'ammonium""]",4,,,['Gluten'],,,,
285,Biscuits Selga Gingerbread With Pearl Sugar 170G 1 / 14 2.5KG / Box,4750007789922,['France'],"['Farine de blé', 'sucre', 'beurre', 'perles de sucre', 'mayonnaise', 'sucre', 'sel', 'correcteur d’acidité', 'sorbate de potassium']",['Non végétalien'],?,450,1883 kj(450 kcal),15,6,73,36,"5,7","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Selga'],,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,"['Gluten', 'Lait']",,,,
