,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
10,Ptichye Moloko bonbons,4601021020051,['France'],[],[],?,449,1879 kj(449 kcal),23,12,57,51,"2,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Makfa Buck Wheat (800 G) - 800г,4601780005399,['France'],[],[],?,309,1293 kj(309 kcal),"3,3","0,6","57,1","1,4","12,6","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Gruau', 'Sarrasin', 'Gruau de sarrasin', 'ru:Крупа гречневая ядрица быстроразваривающаяся ГОСТ Р 55290-2012']",3.3 g,en quantité modérée,0.6 g,en faible quantité,1.4 g,en faible quantité,0.01 g,en faible quantité,,-12%,-13%,+9%,-8%,-15%,-13%,+6%,-48%,-48%,-2,,A,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,800 г,,['Makfa'],,,,,,Крупа гречневая ядрица быстроразваривающаяся ГОСТ Р 55290-2012,['Пятёрочка'],,,,,
12,Thé rouge,4601788010289,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mini Sucette - Chupa Chups,4601797464486,['France'],"['GOÛTS ASSORTIS: Fraise', 'Pomme', 'orange ingrédients ', 'pour sucettes goûts fraise', 'pomme et orange', ': sucre', 'sirop de glucose', 'de fruits cerise', 'framboise', 'ananas', 'citron vert', 'citron', 'fraise', 'pèctw bananer orange', 'myrtille', 'mûre', 'mangue', 'pastèque', 'kiwi', ' acidifiants ', 'acide lactique', 'acide mallquej acide citrique', ' arômes', 'colorants ', 'EIOO', 'E160Ç ', 'pout sucettes goût cola', ': sucre', 'sirop de glucose', 'acidifiants acide malique de']",[],?,0,0 kj(0 kcal),0,0,96,79,0,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chupa Chups'],,,,"['E270 - Acide lactique', 'E160c - Extrait de paprika', 'E296 - Acide malique']",4,,,,,,,
14,Lait concentré,4602986010514,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits laitiers', 'Laits concentrés']",,,,,,,,,,,,,,,,,,,,,,,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,,,,,,,,,,,,,,
15,4603014001009,4603014001009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Barre chocolatee aux noisettes,4603731115041,['France'],[],"['Végétalien', 'Végétarien']",?,558,2335 kj(558 kcal),44,16,32,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
17,Chocolat - Русский шоколад - 90г,4603955001830,"['France', 'Russie']",[],[],?,560,2343 kj(560 kcal),38,"24,8",38,"30,1",0,"0,01","0,004",,"['ru:Шоколад горький', 'ru:Шоколад горький пористый']",38 g,en quantité élevée,24.8 g,en quantité élevée,30.1 g,en quantité élevée,0.01 g,en faible quantité,,,,,,,,,,,22,,E,,,,,,,,,90 г,,['Русский шоколад'],,,https://shop.alenka.ru/product/shokolad_russkiy_shokolad_elitnyy_gorkiy_poristyy_90_gr_/,,,Шоколад горький,['Перекрёсток'],,,,,
18,Benco,4604584003103,['France'],[],[],?,375,1569 kj(375 kcal),"2,1","1,2",82,78,"4,6","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Benco'],,,,,,,,,,,,
19,Soupe de poulet,4605496017417,['France'],[],[],?,450,1883 kj(450 kcal),"19,7","8,6",58,"0,7","5,22","3,24","1,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
