,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,additives,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,brand_owner
10,2205798005895,2205798005895,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Caramaniac - Caramany - 5l,3700613200350,,5l,,['Caramany'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Champignons secs,3700789600664,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons séchés', 'Mélanges de champignons secs']",,,,,['France'],[],,[],,?,,301,+8%,"3,9",+32%,"42,7",+49%,"35,6",+55%,,,,,,,,,,,1259 kj(301 kcal),"0,75","0,5","0,13","0,052",3.9 g,en quantité modérée,0.75 g,en faible quantité,0.5 g,en faible quantité,0.13 g,en faible quantité,+9%,+77%,-90%,+45%,+45%,-7,,A,,,,
13,Courge muscade,2803740013785,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Buche de chevre -,3760013201739,E,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",['Bio'],,,,['France'],[],,[],,?,,265,-8%,21,-8%,3,+110%,19,+2%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['FR 47.185.035 CE', 'Montayral (Lot-et-Garonne, France)']",,,1109 kj(265 kcal),15,"0,5","1,2","0,48",21 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,-8%,-7%,-15%,-15%,-15%,13,-6%,D,-6%,,,
15,Nuggets de poulet - Aljadid Professionnel - 800g,3760114530400,E,800 g,"['Sachet', 'Plastique', 'Surgelé']",['Aljadid Professionnel'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']","['Halal', 'Fabriqué en France', 'Sans VSM']",['Union européenne'],['France'],,['France'],"['71% filet de Poulet halal traitée en salaison ', 'filet de poulet* halal et peau de volaille halal', 'eau', 'gluten de blé', 'dextrose', 'sel arômes', 'antioxydant: E316', 'pâte à beignet: 25% ', 'farine de blé', 'farine de maïs', 'eau', 'sel', 'protéine de lait', 'lactose', 'huile végétale ', 'palme', 'agents levants: E450', 'E500ii', 'amidon de blé', 'E170', 'huile de tournesol 5%', ' *viande origine UE-viande reconstituée assemblée après hachage']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,206,-8%,"9,9",-12%,16,-5%,13,+2%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,"['FR 41.053.002 CE', 'Choue (Loir-et-Cher, France)']",,"['E316 - Érythorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E170 - Carbonates de calcium']",862 kj(206 kcal),"1,7","2,8","1,7","0,68",9.9 g,en quantité modérée,1.7 g,en quantité modérée,2.8 g,en faible quantité,1.7 g,en quantité élevée,-8%,-15%,+114%,+45%,+45%,5,+36%,C,+36%,['Huile de palme'],,
16,El verd,8437016286029,,,,,,,,,,['France'],[],,[],,?,,41,,"0,3",,"7,8",,"0,6",,,,,,,,,,,,172 kj(41 kcal),"0,1","7,2",0,0,,,,,,,,,,,,,,,,,,,,
17,Olives noires entières à la grecque - Sans marque - 314gr,2609831014231,B,314 gr,,['Sans marque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives entières', 'Olives noires entières']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5 brochettes chocolat - Leclerc - 250g,,C,250 g,['Plastique'],['Leclerc'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,
19,terre & volup'the - 100g,3770003138280,,100g,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Olivenöl - 250ml,3857500029027,D,250 ml,['Flasche'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,,,"['France', 'Allemagne']",[],,[],,?,,?,,?,,?,,?,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8008180858390,8008180858390,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fraise savoureuse,3483640004633,,,,,,['Fabriqué en France'],,,,['France'],[],,[],,?,,167,,"6,6",,23,,"2,9",,,,,,,,,,,,699 kj(167 kcal),"4,8",18,"0,07","0,028",,,,,,,,,,,,,,,,,,,,
23,U -,8412276217372,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chocolat au lait - Daniel Stoffel,3367270016085,,,,['Daniel Stoffel'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Micro pousse de pois vert,0656272565084,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Graine de Chia - Celnat,3273199028378,D,,,['Celnat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,,,,['France'],[],,[],,?,,386,-14%,"31,4",+2%,"9,1",-24%,"21,8",+8%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,1615 kj(386 kcal),"12,2","0,8","0,001",0,31.4 g,en quantité élevée,12.2 g,en quantité élevée,0.8 g,en faible quantité,0.001 g,en faible quantité,-14%,+291%,+45%,-96%,-96%,14,+1452%,D,+1452%,,,
27,Saumon fumé hand made belgian product,5425016571743,E,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,['France'],[],,[],,?,,224,+21%,"8,9",-15%,"23,4",+4637%,10,-55%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,937 kj(224 kcal),"5,3","1,5","1,1","0,44",8.9 g,en quantité modérée,5.3 g,en quantité élevée,1.5 g,en faible quantité,1.1 g,en quantité modérée,+21%,+157%,+349%,-61%,-61%,11,-16%,D,-16%,,,
