,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,additives,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,brand_owner
336,Jambon cuit à l'ancienne,2411843039030,E,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]","['Viande Française', 'Viande Porcine Française']",,,,['France'],[],,[],,?,,189,+24%,11,+79%,"0,6",+21%,21,-6%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,791 kj(189 kcal),"4,1","0,6","1,8","0,72",11 g,en quantité modérée,4.1 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,+24%,+70%,+23%,-8%,-8%,13,+33%,D,+33%,,,
337,Schlunder Cake Cappuccino Liqueur -,0079344002469,,,,,"['Biscuits et gâteaux', 'Gâteaux']",,,,,['France'],[],,[],,?,,394,-2%,18,-8%,52,+5%,"4,4",-19%,,,,,,,,,,,1648 kj(394 kcal),"8,2",33,"0,55","0,22",18 g,en quantité modérée,8.2 g,en quantité élevée,33 g,en quantité élevée,0.55 g,en quantité modérée,-2%,+7%,+18%,-10%,-10%,21,+17%,E,+17%,,,
338,Saucisson sec pur porc a l'ancienne,0286784054648,D,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Eminces de filet de dinde extra tendres marines crus,2447173025450,,,,,['Emince de dinde'],,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Amandes décortiquées,2600112043292,E,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,,,['France'],[],,[],,?,,645,+3%,"49,9",-3%,"21,5",+64%,"21,5",-4%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,2699 kj(645 kcal),"3,8","4,2","0,01","0,004",49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,0.01 g,en faible quantité,+3%,-5%,+7%,-57%,-57%,1,,B,,,,
341,8 mini sapins sucrés - Thiriet - 120g,3292590898212,,120 g,,['Thiriet'],,,,,,['France'],[],,[],,?,,439,,29,,37,,"6,4",,,,,,,,,,['Thiriet'],,1837 kj(439 kcal),17,21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
342,Canard du sud-ouest,2201261048543,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Fenouil Semence 50G Bio Bio,3373020000174,,,,,,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Maestri siciliani del gelato - Manguso gelati - 340gr,8009578804364,,340 gr,,['Manguso gelati'],,,,,,['France'],[],,[],,?,,265,,"16,4",,24,,5,,,,,,,,,,,,1109 kj(265 kcal),"13,4","23,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,
345,Assortiment houmous,3353820009492,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,['France'],[],,[],,?,,232,-12%,19,-6%,7,-34%,"5,5",-15%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,971 kj(232 kcal),"1,8",1,"1,16","0,464",19 g,en quantité modérée,1.8 g,en quantité modérée,1 g,en faible quantité,1.16 g,en quantité modérée,-12%,-27%,-25%,+12%,+12%,5,+0%,C,+0%,,,
346,Sel gingembre piment - Quai Sud,3760057478494,,,,['Quai Sud'],,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Ribs de boeuf,2660499054649,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,['France'],[],,[],,?,,265,,20,,"5,1",,16,,,,,,,,,,,,1109 kj(265 kcal),"9,1","4,1","1,7","0,68",,,,,,,,,,,,,,,,,,,,
348,LINDOR,7610400087476,,,,['Lindor'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,,['France'],[],,[],,?,,627,+19%,48,+50%,43,-18%,"4,8",-18%,,,,,,,,,,,2623 kj(627 kcal),36,42,"0,11","0,044",48 g,en quantité élevée,36 g,en quantité élevée,42 g,en quantité élevée,0.11 g,en faible quantité,+19%,+107%,-12%,-28%,-28%,26,+7%,E,+7%,,,
349,Crème glacée Rocher Praliné,3528161506515,,,,,,,,,,['France'],[],,[],,?,,216,,"8,6",,31,,3,,,,,,,,,,,,904 kj(216 kcal),"4,8",26,"0,13","0,052",,,,,,,,,,,,,,,,,,,,
350,Paves saumon bio - Sacrebleu - 250g,0206998042644,,250 g,['France'],['Sacrebleu'],"['Produits de la mer', 'Poissons']","['Bio', 'Bio européen', 'FR-BIO-01']",['Norvège'],['Norvège'],,['France'],['Poisson frais'],,[],,?,,?,,?,,?,,?,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Glorietta, Zitrone",4014086011603,,,,,,,,,,['France'],[],,[],,?,,33,,"0,5",,8,,"0,5",,,,,,,,,,,,138 kj(33 kcal),"0,1",8,"0,01","0,004",,,,,,,,,,,,,,,,,,,,
352,Le Thé du Palais Bourbon - 125g,3011111015439,,125 g,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Sardine a L'huile Vegetale Grand Jury,3245392479776,D,,,['Grand Jury'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,,,,['France'],[],,[],,?,,234,+7%,15,+8%,0,-100%,25,+17%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,"['Proxi', '8 à Huit']",,979 kj(234 kcal),4,0,1,"0,4",15 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,+8%,+22%,-100%,+10%,+10%,4,+8%,C,+8%,,,
354,3360319819838,3360319819838,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Filets de poulet rotis,0211791022960,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Bergen 150G Chocolate Sriped Peanut Cookies Box,5902379764857,,,,,,,,,,['France'],[],,[],,?,,516,,27,,55,,12,,,,,,,,,,,,2159 kj(516 kcal),10,"25,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,
357,Tunina solata,3830046450845,,,,,,,,,,['France'],[],,[],,?,,99,,"2,5",,"9,4",,"8,6",,,,,,,,,"['EMB 62448', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",,,414 kj(99 kcal),"0,2","4,4","1,58","0,632",,,,,,,,,,,,,,,,,,,,
358,Huile d'olive - L'Oulibo,3548670007792,D,,,"[""L'Oulibo""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,['France'],[],,[],,?,,899,+5%,100,+5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,3761 kj(899 kcal),14,0,0,0,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,0%,,-100%,-100%,6,-2%,C,-2%,,,
359,Dinkelkaffee - Biopur - 100g,4000799109805,,100g,,['Biopur'],,,,,,['France'],"['80% Dinkel', '20% Zichorie']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,349,,"0,1",,74,,"5,9",,,,,,,,,,,,1460 kj(349 kcal),"0,1",32,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
360,Gobite Barbecue,6917554119697,,,,,,,,,,['France'],[],,[],,?,,495,,"25,1",,"62,9",,"4,3",,,,,,,,,,,,2071 kj(495 kcal),"11,3",2,"0,8","0,32",,,,,,,,,,,,,,,,,,,,
361,Bacon de boeuf,6191531200121,,,,,,,,,,['France'],[],,[],,?,,850,,"9,6",,"1,6",,"27,5",,,,,,,,,,,,3556 kj(850 kcal),"2,9",1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,
362,Grenade 100% pur jus,13930059,,,,,,,,,,['France'],[],,[],,?,,53,,"0,5",,12,,"0,5",,,,,,,,,,,,222 kj(53 kcal),"0,1",12,"0,01","0,004",,,,,,,,,,,,,,,,,,,,
363,Lion Peanut Snacksize 6er Multipack,7613035502345,,,,,,,,,,['France'],[],,[],,?,,499,,"25,8",,"56,6",,9,,,,,,,,,,,,2088 kj(499 kcal),"10,8","38,6","0,71","0,284",,,,,,,,,,,,,,,,,,,,
364,Crêted coq,3770003264842,,,,,,,,,,['France'],[],,[],,?,,366,,"1,99",,"75,41",,"13,3",,,,,,,,,"['EMB 11192A', 'Lasbordes (Aude, France)']",,,1531 kj(366 kcal),"0,368","4,88","0,5","0,2",,,,,,,,,,,,,,,,,,,,
365,23225626,23225626,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Raisins et chocolat noir - My bio delicious - 1,,,1,,['My bio delicious'],,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Pain proteine,4840251000123,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Almond Mandel - 1l,5411188114587,,1 l,['Karton'],,,,,,,"['France', 'Allemagne']",[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Caprice d’Alsace - Albiser - 250g,3018940006812,,250g,,['Albiser'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Brochettes de crevettes -,3760070015485,D,,,,"['Produits de la mer', 'Plats préparés', 'Crustacés', 'Crevettes', 'Brochettes', 'Brochettes de crevettes']",['Bio'],,,,['France'],[],,[],,?,,183,-8%,13,-1%,"0,5",-54%,16,+19%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,766 kj(183 kcal),"1,8","0,2","1,2","0,48",13 g,en quantité modérée,1.8 g,en quantité modérée,0.2 g,en faible quantité,1.2 g,en quantité modérée,-8%,+8%,-66%,-15%,-15%,3,-48%,C,-48%,,,
371,Olives Kalamata dénoyautées - Epikouros - 500g,5200104109110,,500g,['Plastique'],['Epikouros'],,"['Bio', 'Bio européen', 'GR-BIO-03']",['en:Grece'],['Grece'],,['France'],"['Olives*', ""huile d'olive vierge extra*"", 'sel de mer', 'herbes*', 'vinaigre*', "" *ingrédients issus de l'Agriculture Biologique""]",,[],,?,,239,,"24,9",,"1,1",,"0,9",,,,,,,,,,,,1000 kj(239 kcal),3,"0,1","2,8","1,12",,,,,,,,,,,,,,,,,,,,
372,Fusilli de pois cassés - Monoprix,3350073366099,,,,['Monoprix'],,['en:gluten-free'],,,,['France'],[],,[],,?,,343,,"2,2",,55,,22,,,,,,,,,,['Monoprix'],,1435 kj(343 kcal),"0,5","2,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,
373,Cuisses de poulet roti - Le Gaulois,0217637036542,D,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,['France'],[],,[],,?,,168,-12%,10,-19%,"0,1",-69%,19,+3%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,703 kj(168 kcal),"2,6","0,1","1,4","0,56",10 g,en quantité modérée,2.6 g,en quantité modérée,0.1 g,en faible quantité,1.4 g,en quantité modérée,-12%,-22%,-35%,+84%,+84%,5,+42%,C,+42%,,,
374,peyre blanche. cairanne - famille perrin - 750ml,3296180000696,,750 ml,,['famille perrin'],,['AOC'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Castelli Fettucia Pate Blanche 500G,8018338000687,,,,['Castelli'],,,,,,['France'],[],,[],,?,,371,,"1,51",,"74,67",,"13,04",,,,,,,,,,,,1552 kj(371 kcal),"0,277","2,67","0,006","0,002",,,,,,,,,,,,,,,,,,,,
376,Coca cola light,3348630009411,,,,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,,,,['France'],[],,[],,?,,1,0%,"0,1",+300%,"0,1",+22%,"0,05",+47%,,,,,,,,,,,4 kj(1 kcal),0,0,0,0,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+100%,-100%,-100%,-100%,-100%,1,+2%,B,+2%,,,
377,Miel cremeux de tournesol,3760264070252,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,07496939,07496939,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Biere Psychedelia - brasserie craig allan - 33cl,3760108780019,C,33cl,['bouteille de verre'],['brasserie craig allan'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blondes']",,,,,['France'],"['eau', ""malts d'orge"", 'houblons', 'sucre', 'levures']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['la louve'],,,,,,,,,,,,,,,,,,,,,,,,,,
380,CALAMARS,3760133675823,,,,,"['Produits de la mer', 'Mollusques', 'Calamars']",,,,,['France'],[],,[],,?,,158,-1%,"7,4",-21%,1,-77%,"21,8",+66%,,,,,,,,,,,661 kj(158 kcal),"0,95","0,12","1,2","0,48",7.4 g,en quantité modérée,0.95 g,en faible quantité,0.12 g,en faible quantité,1.2 g,en quantité modérée,-4%,-33%,-84%,+6%,+6%,1,-62%,B,-62%,,,
381,Snacktural,8436551190891,,,,,,['Fabriqué en Espagne'],,,,['France'],[],,[],,?,,497,,"24,8",,"58,1",,"9,6",,,,,,,,,,,,2079 kj(497 kcal),"2,3","3,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,
382,Confiture Kiwis - SARL Charly Fruits - 300g,2219,,300g,,['SARL Charly Fruits'],,['Sans conservateurs'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Volvic juicy,3057640489013,,,,['Volvic'],,,,,,['France'],[],,[],,?,,25,,"0,5",,"6,2",,"0,5",,,,,,,,,,,,105 kj(25 kcal),0,"6,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,
384,Whole dried infused cranberries,6091314910073,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,,,,['France'],[],,[],,?,,359,+7%,"0,7",-1%,"87,8",+10%,"0,27",-4%,,,,,,,,,,,1502 kj(359 kcal),"0,1",65,0,0,0.7 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,+7%,-60%,-2%,-100%,-100%,9,+25%,C,+25%,,,
385,Demi tommette brebis - Achete chez intermarche - 379gr,0285304043360,,379 gr,,['Achete chez intermarche'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,4981755292925,4981755292925,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Pain d'avoine,0205323008201,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Miel,3770007671028,B,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Egg white powder,5604550700165,,,,,,,,,,['France'],[],,[],,?,,336,,0,,0,,84,,,,,,,,,,,,1406 kj(336 kcal),0,0,"1,75","0,7",,,,,,,,,,,,,,,,,,,,
390,Granola raisin-free,6008138000064,,,,,,"['Sans sucre ajouté', 'Sans conservateurs']",,,,"['France', 'Maurice']",[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,6 oeufs des monts du lyonnais,3500066060507,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,0222164018374,0222164018374,,,,,,"['Bio', 'Commerce équitable', 'Max Havelaar']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,ACAÍ +,4260042080316,,,,,,,,,,['France'],[],,[],,?,,74,,"2,1",,"11,6",,"0,9",,,,,,,,,,,,310 kj(74 kcal),"0,5","11,3",0,0,,,,,,,,,,,,,,,,,,,,
394,Filet de porc Moelleux - Bigard,2222600030708,,,,['Bigard'],,,,,,['France'],[],,[],,?,,126,,3,,"0,8",,24,,,,,,,,,,,,527 kj(126 kcal),"0,9","0,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,
395,Sablés Au Chocolat,5024769410059,,,,,,,,,,['France'],[],,[],,?,,546,,31,,"60,8",,"5,1",,,,,,,,,,,,2284 kj(546 kcal),"18,2",20,"0,5","0,2",,,,,,,,,,,,,,,,,,,,
396,"Pain croustillant ""complet""",0200133012400,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Sauce végétarienne,3760150337490,,,,,,,,,,['France'],[],,[],,?,,81,,"5,9",,4,,"2,4",,,,,,,,,,,,339 kj(81 kcal),"0,8","3,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,
398,Boulgoure Mangue - Monoprix,3350033573260,,,,['Monoprix'],,,,,,['France'],[],,[],,?,,147,,"6,9",,15,,4,,,,,,,,,,['Monoprix'],,615 kj(147 kcal),1,"2,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,
399,Confiture extra,3558390003134,,,,,,,,,,['France'],[],,[],,?,,233,,"0,2",,"55,7",,"0,5",,,,,,,,,,,,975 kj(233 kcal),"0,04",50,"0,019","0,008",,,,,,,,,,,,,,,,,,,,
400,Confiture extra,3558390003134,,,,,,,,,,['France'],[],,[],,?,,233,,"0,2",,"55,7",,"0,5",,,,,,,,,,,,975 kj(233 kcal),"0,04",50,"0,019","0,008",,,,,,,,,,,,,,,,,,,,
401,croissants - 2,0202166007873,,2,,,,,,,,['France'],"['farine de BLE', 'BEURRE Charentes Poitou AOP 23%', 'eau', 'sucre', 'levure', 'LAIT entier en poudre', 'sel', 'gluten de BLE', 'agent de traitement de la farine ', 'E300', 'OEUFS']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,,?,,?,,?,,?,,,,,,,,,,,['E300 - Acide ascorbique'],,,,,,,,,,,,,,,,,,,,,,,,,
402,Rice Dream Vanille,0084253334112,,,,['Rice Dream'],,"['Bio', 'Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,51,,"1,1",,"10,1",,"0,1",,,,,,,,,,,,213 kj(51 kcal),"0,1","7,2","0,08","0,032",,,,,,,,,,,,,,,,,,,,
403,pain chocolat - 2,0202114009188,D,2,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,['France'],"['farine de BLE', 'BEURRE Charentes Poitou AOP 20,8%', 'eau', 'chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme naturel de vanille', 'sucre', 'levure', 'LAIT entier en poudre', 'gluten de BLE', 'sel', 'agent de traitement de la farine ', 'E300', 'OEUFS']","['Œufs', 'Gluten', 'Lait', 'Soja']",['Non végétalien'],4,?,,?,,?,,?,,?,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,"['E322i - Lécithine', 'E300 - Acide ascorbique']",,,,,,,,,,,,,,,,,,,,,,,,,
404,Mélange énergétique,04047254,,,,,,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Herbes Poisson Provence d'antan,3554740401230,,,,"[""Provence d'Antan""]",,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Ciao Carb Spagetti Low Carb Nudeln 500G,8023331041599,,,,,,,,,,['France'],[],,[],,?,,289,,1,,25,,30,,,,,,,,,,,,1209 kj(289 kcal),"0,3",1,"1,35","0,54",,,,,,,,,,,,,,,,,,,,
407,00857284,00857284,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Supermix - Germaline - 350gr,07923265,,350gr,,['Germaline'],,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'FR-BIO-01']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Muesli de base,4099200041698,,,,,,['Bio'],,,,['France'],[],,[],,?,,326,,"7,6",,56,,12,,,,,,,,,,,,1364 kj(326 kcal),1,"1,6","0,06","0,024",,,,,,,,,,,,,,,,,,,,
410,Charles & Alice,3297760019190,,,,['Charles & Alice'],,['Sans colorants'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Produits de la Cigogne,07477195,,,,['Produits de la Cigogne'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Saucisse seche de savoie - 250g,3517738128915,,250 g,,,,"['Viande Française', 'Viande Porcine Française']",,,,['France'],[],,[],,?,,440,,36,,1,,28,,,,,,,,,"['FR 73.006.003 CE', 'Aime (Savoie, France)']",,,1841 kj(440 kcal),0,0,"4,5","1,8",,,,,,,,,,,,,,,,,,,,
413,glace vanille - Toupargel,3274661047057,,,,['Toupargel'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Cantuccini Mandeln,23327153,,,,,,,,,,['France'],[],,[],,?,,441,,15,,66,,10,,,,,,,,,,,,1845 kj(441 kcal),"3,5",34,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
415,Gateau sugar free,0096086001536,,,,,,['Sans lactose'],,,,['France'],[],,[],,?,,367,,7,,0,,7,,,,,,,,,,,,1536 kj(367 kcal),"1,7",0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,
416,3198129278961,3198129278961,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Entenfond - 400ml,29020973,,400ml,['Glas'],,,,,,,"['France', 'Allemagne']",[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"Polenta Bramata, 1 Kilo, Marque Caserta-salvi",8003335101000,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,So Avoine - Sojade - 2x100g,3273227076128,,2x100g,['2x100g'],['Sojade'],['Spécialité biologique fermentée'],"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],['Noyal sur Vilaine'],,['France'],"['Eau', 'fruit 9% ', 'myrtille* 5%', 'cassis* 4%', 'sucre de canne non raffiné*', 'avoine* 3,9%', 'amande* 3,9%', 'amidon de riz', 'épaississants: agar-agar* - pectine - farine de graine de caroube*', 'arôme naturel*', 'jus concentré de citron*', ""correcteur d'acidité: citrate de calcium"", ""ferments sélectionnés *Issu de l'agriculture biologique""]","['Fruits à coque', 'Avoine']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,,82,,"2,6",,"12,5",,"1,5",,,,,,,,,,,"['E406 - Agar-agar', 'E440 - Pectines', 'E410 - Gomme de caroube', 'E333 - Citrates de calcium']",343 kj(82 kcal),"0,3",8,"0,04","0,016",2.6 g,en faible quantité,0.3 g,en faible quantité,8 g,en quantité modérée,0.04 g,en faible quantité,,,,,,2,,B,,,,
420,Olives casse au basilic,2609800013128,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Bio apfelsaft - Natur Gut,28389811,,,,['Natur Gut'],,['Bio'],,,,['France'],[],,[],,?,,48,,0,,"11,3",,"0,2",,,,,,,,,,,,201 kj(48 kcal),0,"10,8",0,0,,,,,,,,,,,,,,,,,,,,
