,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
0,Tournedos de dinde certifiée - Volandry - 250g,3564700735855,D,250 g,"['Volandry', 'Marque Repère']","['Viandes', 'Volailles', 'Dindes']","['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",['Leclerc'],['France'],"['Filet de dinde 87% min', 'barde de porc reconstituée ', 'eau', 'gras de porc', 'protéines de porc', 'gélifiant : alginate de sodium', 'sel', 'vinaigre']",['E401 - Alginate de sodium'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.7 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,494,-23%,?,,494 kj(118 kcal),-12%,"3,7",+13%,0,-100%,0,-100%,0,-100%,21,+0%,"0,3",-67%,"0,12",-67%,-3,-356%,A,-356%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
1,Jambon cru fumé de la Forêt Noire 6 tranches - Saint-Azay - 100g,3564700798300,,100 g,"['Saint-Azay', 'Marque Repère']",['D'],['DE NI-33333 EG'],['Leclerc'],['France'],"['Jambon de porc ', 'origine : UE', ' ', ' sel ', ' sirop de glucose ', ' dextrose ', "" extraits d'épices "", ' épices ', ' conservateurs : E250', 'E252', ' Fumé au bois de conifères de la Forêt Noire ', 'conformément au cahier des charges IGP']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,869,,?,,869 kj(208 kcal),,12,,"4,5",,1,,1,,24,,5,,2,,16,,D,,,,,,,,,"['Barquette', 'Barquette', 'Opercule en plastique']",['Union européenne'],['forêt noire'],,,,,,,,
2,Mélange riz basmati et 2 quinoa - Marque Repère - 400g,3564700838266,,400 g,"['Marque Repère', 'Nat&Vie']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Mélanges de céréales et légumineuses en grains']",,['Leclerc'],['France'],"['Riz basmati 60 %', 'quinoa blanc 20 %', 'quinoa rouge 20 %', ' Traces de gluten et de soja']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.2 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,0.1 g,en faible quantité,1041,-3%,?,,1041 kj(249 kcal),-13%,"3,2",-71%,"1,9",-2%,46,+39%,"0,5",-95%,"6,9",+22%,"0,1",-78%,"0,04",-78%,-8,-337%,A,-337%,,,,,,,,"['Carton', 'boîte', 'Sachet', 'Plastique']",,,"['Point Vert', 'Nouveau']",,,,,,,
3,Curry - flacon - Rustica - 42g,3564700998281,,42 g,"['Rustica', 'Marque Repère']",,,['Leclerc'],['France'],"['Curcuma', 'graines de coriandre', 'fenugrec', 'amidon de pomme de terre', 'graine de moutarde', 'oignon déshydraté', 'cardamome', 'sel', 'gingembre', 'anis', 'fenouil', 'girofle', 'ail déshydraté', 'piment de la Jamaïque', 'cannelle', 'romarin', 'sarriette', 'marjolaine', 'origan', 'basilic', 'thym']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1279,,?,,1279 kj(306 kcal),,"6,5",,"0,8",,35,,"2,9",,11,,4,,"1,6",,,,,,,,,,,,,,,,,['Moutarde'],,,,,,
4,Pain mie nature sans gluten - Marque Repère - 300g,3564706510005,B,300 g,"['Marque Repère', 'Chaque Jour Sans Gluten']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains de mie', 'Pains sans gluten', 'Pains de mie sans gluten']",,['Leclerc'],['France'],"['Eau ', ' amidon de maïs ', ' farine de maïs ', ' fécule de manioc ', ' fécule de pomme de terre ', ' huile de tournesol ', ' levure ', ' fibres solubles de psyllium ', ' humectant : glycérol ', ' farine de riz ', "" poudre de blanc d'œuf "", ' fibres de bambou ', ' épaississants : gomme guar', 'E464 ', ' sucre ', ' sel ', ' dextrose ', ' conservateur : E282', 'Traces de fruits à coque']","['E422 - Glycérol', 'E412 - Gomme de guar', 'E464 - Hydroxypropylméthylcellulose', 'E282 - Propionate de calcium']",['Non végétalien'],4,12 g,en quantité modérée,1.2 g,en faible quantité,3.2 g,en faible quantité,0.9 g,en quantité modérée,1203,+6%,?,,1203 kj(288 kcal),+12%,12,+96%,"1,2",+13%,37,-14%,"3,2",-19%,"3,7",+2%,"0,9",-20%,"0,36",-20%,0,-100%,B,-100%,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,,['en:gluten-free'],,,,,,,
5,Navettes fleur d'oranger au petit épeautre - Biscuiterie de Provence - 220g,3571376902207,B,220 g,['Biscuiterie de Provence'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],"['Farine de blé T65*', 'sucre de canne roux* ', 'beurre de baratte* ', 'œufs* ', 'farine de petit épeautre de Haute Provence IGP* 4 %', 'sel', 'poudre à lever* ', 'amidon de blé* ', 'bicarbonate de sodium', 'bitartrate de potassium', ""arôme naturel d'oranger* 0,5 %"", "" Produits issus de l'Agriculture Biologique""]",['E500ii - Carbonate acide de sodium'],['Non végétalien'],3,14.7 g,en quantité modérée,8.7 g,en quantité élevée,27.7 g,en quantité élevée,0.74 g,en quantité modérée,?,,446,-6%,1866 kj(446 kcal),-6%,"14,7",-29%,"8,7",-14%,"69,9",+9%,"27,7",-6%,"7,6",+17%,"0,74",+26%,"0,296",+26%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Boîte', 'Carton', 'Plastique']","['France', 'Haute Provence']",['France'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']","['Œufs', 'Gluten', 'Lait']",,,,,,
6,Nonnette - Saveurs D'enfance - 150g,3580280745008,,150 g,"[""Saveurs D'enfance""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",,,['France'],"['Farine de blé', ""marmelade d'orange 25% "", 'sirop de glucose-fructose', ""purée d'orange "", '5%', 'gélifiant : pectines', ""correcteur d'acidité: acide citrique"", ""huile essentielle d'orange"", 'miel 21%', 'sucre', 'sirop de sucre inverti', ""jaune d'oeuf salé "", ""jaune d'oeuf"", 'sel', 'poudres à lever ', 'carbonates de sodium', ""carbonates d'ammonium"", 'arôme']","['E440 - Pectines', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Non végétalien'],4,2.3 g,en faible quantité,0.4 g,en faible quantité,44.9 g,en quantité élevée,0.375 g,en quantité modérée,?,,338,-0%,1414 kj(338 kcal),-0%,"2,3",+16%,"0,4",-4%,"75,3",-1%,"44,9",-1%,"3,4",-8%,"0,375",-29%,"0,15",-29%,14,-7%,D,-7%,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,,,
7,Trio de lentilles - Grain de Frais - 500g,3580281320082,B,500 g,['Grain de Frais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",,['Grand Frais'],['France'],"['Lentilles vertes 40 %', 'lentilles roses 30 %', 'lentilles jaunes 30 %']",,[],,2 g,en faible quantité,0.4 g,en faible quantité,2.3 g,en faible quantité,0.01 g,en faible quantité,?,,358,+47%,1498 kj(358 kcal),+47%,2,+36%,"0,4",+54%,55,+67%,"2,3",+85%,26,+46%,"0,01",-97%,"0,004",-97%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Sachet', 'Plastique']",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
8,sauce napolitaine - Les saveurs de Savino - 350g,3580282110026,A,350 g,['Les saveurs de Savino'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces aux légumes', 'Sauces napolitaines', 'Sauces tomate aux petits légumes']",,['Grand Frais'],['France'],"['Purée et pulpe de tomate 76,7% ', 'origine France', 'oignons 10%', 'carottes 6%', 'huile de tournesol', 'sucre', 'sel', 'amidon transformé de maïs', 'épices et plantes aromatiques ', 'basilic', 'origan', 'poivre', 'laurier', 'ail', 'céleri', 'vin blanc', 'acidifiant : E330']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",4,2.4 g,en faible quantité,0.3 g,en faible quantité,6.5 g,en quantité modérée,0.9 g,en quantité modérée,249,-1%,60,+2%,249 kj(60 kcal),+2%,"2,4",-1%,"0,3",-11%,"6,5",-5%,"6,5",+17%,"1,5",+6%,"0,9",-7%,"0,36",-7%,-1,-176%,A,-176%,55.2%,17.7%,10.0%,9.7%,4.3%,3.0%,88,"['Bocal', 'Verre']",['Tomates origine France'],"['Provence', 'France']",['Cuisiné en Provence'],['Céleri'],Sauce tomate aux légumes,,,,,
9,Asperges blanches grosses - Oustadea,3580282205159,C,,['Oustadea'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges blanches', 'Asperges en conserve']",,,['France'],"['asperges blanches', 'eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,15,-21%,63 kj(15 kcal),-17%,"0,5",+117%,0,-100%,2,+6%,1,-18%,"1,3",-18%,1,+23%,"0,4",+23%,-1,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,
10,Blue detox - Kusmi Tea - 125g,3585810053042,A,125 g,['Kusmi Tea'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Boissons sans sucre ajouté']",,,['France'],"['Thé vert ', '36%', 'Graines de cynorhodon', 'Mate ', '17%', 'Rooibos', 'Menthe', 'Arôme ananas', 'Graines de guarana', 'Ortie', 'Pétales de tournesol']",,[],1,,,,,,,,,?,,4,-43%,17 kj(4 kcal),-29%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Boîte', 'Métal']",,,,,"Mélange de thé vert, maté et plantes aromatisé ananas",https://www.kusmitea.com/vente-the/melanges-bien-etre/blue-detox.html?packaging=56,,,,
11,Figuettes - Les mousquetaires,3588735903751,D,,['Les mousquetaires'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",,,['France'],[],,[],,0.7 g,en faible quantité,0.3 g,en faible quantité,13.4 g,en quantité élevée,0.3 g,en quantité modérée,?,,267,-3%,1117 kj(267 kcal),-3%,"0,7",-54%,"0,3",+6%,"60,2",+5%,"13,4",-71%,"6,1",+87%,"0,3",+119%,"0,12",+119%,-2,-167%,A,-167%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,,,,,,
12,Valda Gommes Menthe Eucalyptus - Oméga Pharma,3595890214257,,,['Oméga Pharma'],,,,['France'],"['Sirop de glucose', 'sucre', 'gélatine', 'aromatisants : menthol*', '0,4%', ' et huile essentielle dEucalyptus colorants : curcuma et bleu patenté V']",['E428 - Gélatine'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,362,,1515 kj(362 kcal),,3,,0,,"80,5",,"50,5",,"8,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
13,Kit fajitas - Auchan - 505g,3596710273478,,505g,['Auchan'],['Kits repas'],,['Auchan'],['France'],"['®T0nillas de blé', '320g', ':Farine de blé', 'contientgluten', '6ô%', 'eau', 'huile de colza', 'stabilisants: glycérol - carboxyméthyl-cellulose sodique - gomme guar', 'poudres à lever zdiphosphate disodique - carbonate acide de sodium', 'sel', 'acidifiant 1 acide malique', ""émulsifiant : mono - et diglycérides d'acides gras"", 'dextrose', 'conservateurs : sorbate de potassium - propionate de calcium']","['E422 - Glycérol', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']","[""Pourrait contenir de l'huile de palme""]",4,8 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en quantité modérée,?,,332,+40%,1389 kj(332 kcal),+39%,8,+57%,"0,9",-13%,54,+43%,"1,3",-61%,"9,3",+41%,"1,2",-26%,"0,48",-26%,4,-33%,C,-33%,,,,,,,,['boîte'],,,"['Nutriscore', 'Nutriscore C']",['Gluten'],kit fajitas,,,,,
14,Les tartes salées Poireaux aux œufs frais à la crème fraîche - Auchan - 400g,3596710275007,C,400 g,['Auchan'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Quiches', 'Quiches au poireau']","['EMB 86160A', 'Mirebeau (Vienne, France)']",['Auchan'],['France'],"['Garniture 68,5% : poireaux cuits 20%', 'crème fraîche ', 'contient lait', 'eau', 'œufs 6,5%', 'fromage blanc ', 'contient lait', 'emmental ', 'contient lait', ' 2,5%', 'farine de blé ', 'contient gluten', 'fécule de pomme de terre', 'sel', 'dextrose', 'arômes', 'paprika', '\rPâtes 31,5% : farine de blé ', 'contient gluten', 'eau', 'huile végétale de colza', 'œufs', 'farine de riz', 'lactose et protéines de lait ', 'contient lait', 'lait écrémé en poudre', 'sel']",,"['Sans huile de palme', 'Non végétalien']",4,9.9 g,en quantité modérée,5.6 g,en quantité élevée,2.6 g,en faible quantité,0.9 g,en quantité modérée,?,,201,-13%,841 kj(201 kcal),-11%,"9,9",-24%,"5,6",-23%,22,+8%,"2,6",+7%,"5,6",-3%,"0,9",+1%,"0,36",+1%,6,-46%,C,-46%,69.5%,13.3%,3.6%,3.9%,2.1%,7.7%,59,"['Surgelé', 'Carton', 'boîte', 'Plastique']",,,"['Nutriscore', 'Nutriscore C']","['Œufs', 'Gluten', 'Lait']","Tarte aux poireaux, surgelée",,,,,
15,Haddock fumé au bois de hêtre - Auchan - 3parts,3596710319053,,3 parts,['Auchan'],,,['Auchan'],['France'],"['Eg!efin ', 'Melanogrammus aeglefinus', ' iooisson', ' 97%', 'sel 3%', 'colorant : rocou']",['E160b - Rocou'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,87,,364 kj(87 kcal),,"0,8",,"0,3",,"0,5",,"0,5",,20,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,
16,Lunettes de Romans à la fraise de la Drôme - Auchan - 350g,3596710333851,B,350 g,['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits à la fraise']",,['Auchan'],['France'],[],,[],,14.3 g,en quantité modérée,12 g,en quantité élevée,31.5 g,en quantité élevée,0.2 g,en faible quantité,?,,432,+9%,1807 kj(432 kcal),+8%,"14,3",+52%,12,+192%,"71,5",-2%,"31,5",-20%,"6,1",+19%,"0,2",-50%,"0,08",-50%,22,+33%,E,+33%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sachet', 'Plastique']","['France', 'Union européenne', 'Drôme']",['France'],"['Fabriqué en France', 'Pur beurre', 'Farine de blé français']",,Lunettes de Romans à la Fraise,,,,,
17,Jambon Cuit avec Couenne - Auchan bio - 120g,3596710337620,D,120g,['Auchan bio'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['FR 67.348.008 CE', 'Obernai (Bas-Rhin, France)']",['Auchan'],['France'],"['jambon de porc*', 'couenne de porc* eau', 'sel', 'sirop de glucose*', 'sucre de canne*', 'arôme naturel', 'antioxydant : acide ascorbique ', ' conservateur : nitrite de sodium', ' *biologique']","['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,117,-11%,490 kj(117 kcal),-10%,4,-17%,"1,5",-18%,"0,5",-25%,"0,5",-16%,20,-5%,"1,7",-9%,"0,68",-9%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
18,Liégeois saveur Vanille sur lit de Caramel - Auchan - 400g,3596710340859,,400 g,['Auchan'],"['Produits laitiers', 'Desserts', 'Desserts lactés']","['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",['Auchan'],['France'],"['Lait écrémé', 'crème ', 'contient lait', ' 26 %', 'caramel 10 % ', 'sucre', 'eau', 'sirop de glucose-fructose de blé et de chicorée', 'épaississants : pectine', 'gomme xanthane', 'amidon modifié de maïs', 'sucre', 'amidon modifié de maïs', 'lactose ', 'contient lait', 'gélifiants : carraghénanes', 'gomme de guar', 'protéines de lait', 'gélatine de porc', 'arômes', ""émulsifiant : esters lactiques de mono - et diglycérides d'acides gras"", 'colorants : rocou', 'caramel ordinaire']","['E440 - Pectines', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E160b - Rocou', 'E150a - Caramel E150a']","['Non végétalien', 'Non végétarien']",4,7.9 g,en quantité modérée,5.1 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,694,+25%,169,+30%,694 kj(169 kcal),+26%,"7,9",+48%,"5,1",+51%,"21,9",+49%,20,+64%,"2,5",-46%,"0,1",-25%,"0,04",-25%,11,+157%,D,+157%,,,,,,,,['Carton'],['France'],['France'],['en:lait-francais-french-milk'],['Lait'],Dessert lacté saveur vanille sur lit de caramel,,,,,
19,Le Charcutier mousse de foie - Auchan - 200gr,3596710344789,,200 gr,"['Auchan', 'Auchan']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",['Auchan'],['France'],"['Gras de porc ', 'origine France', 'foie de porc ', 'origine France', ' 31%', 'eau', 'plantes a deshydratées', 'sel', 'dextrose', 'farine de blé ', 'contient gluten', 'arômes naturels', 'conservateu sodium', ' Gelée de couverture : eau', 'gélatine de porc', 'sel', 'arômes naturels', ' Proutfabriqué dans un atelier utilisant du lait', 'oeuf', 'moutarde', 'sésame', 'sulfites']",['E428 - Gélatine'],"['Non végétalien', 'Non végétarien']",4,35 g,en quantité élevée,13 g,en quantité élevée,1.3 g,en faible quantité,0 g,en faible quantité,?,,372,+12%,1556 kj(372 kcal),+12%,35,+13%,13,+14%,"4,3",+51%,"1,3",-17%,10,-4%,0,-100%,0,-100%,14,-28%,D,-28%,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",['Gluten'],,,,,,
20,Farfalles Au blé entier - Auchan BIO - 500g,3596710347186,B,500 g,"['Auchan BIO', ""L'oiseau"", 'Auchan']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes sèches au blé complet', 'Farfalles', 'Farfalles complètes']",,['Auchan'],['France'],['Semoule intégrale de blé dur biologique'],,[],,2 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,?,,364,+4%,1523 kj(364 kcal),+3%,2,-7%,"0,4",-4%,70,+5%,3,-9%,"12,5",-2%,"0,02",+42%,"0,008",+42%,-6,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Sachet plastique'],"['France', 'Agriculture UE']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Gluten'],Pâtes alimentaires au blé dur complet issu de l'agriculture biologique,,,,,
21,Boules de maïs au miel - Auchan,3596710408177,,,['Auchan'],,,['Auchan'],['France'],[],,[],,,,,,,,,,?,,402,,1682 kj(402 kcal),,"3,6",,"0,4",,87,,33,,"4,9",,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,,,,,
22,Lunettes de romans à la myrtille - Auchan Bio - 200g,3596710414703,C,200 g,"['Auchan Bio', 'Auchan']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits à la myrtille', 'Lunettes à la myrtille']",,['Auchan'],['France'],"['biscuit 80 % : farine de blé ', 'contient du gluten', 'sucre de canne', ""farine d'épeautre "", 'contient gluten', 'beurre concentré ', 'contient lait', 'œufs', 'huile de colza', 'poudres à lever : phosphates de calcium - carbonates de sodium', '\rFourrage myrtille 20 % : sirop de glucose', 'sucre de canne', 'purée de myrtille 4 %', 'gélifiant : pectines de fruits', 'arôme naturel', ""correcteur d'acidité : carbonate de potassium"", 'acidifiant : acide citrique']","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E501i - Carbonate de potassium', 'E330 - Acide citrique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,16.4 g,en quantité modérée,7.9 g,en quantité élevée,32.6 g,en quantité élevée,0.11 g,en faible quantité,1928,,459,+7%,1928 kj(459 kcal),+8%,"16,4",+7%,"7,9",-9%,"70,5",+6%,"32,6",+7%,"6,2",+8%,"0,11",-36%,"0,044",-36%,17,-8%,D,-8%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['boîte', 'emballage individuel', 'Carton']",,"['France', 'Romans-sur-Isère']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique', 'Triman']","['Œufs', 'Gluten', 'Lait']","Biscuits sablés fourrage 21% à la purée de myrtille, aromatisés issus de l'agriculture biologique",,,,,
23,Flageolets Verts Extra Fins - Auchan - 200g,3596710417032,B,200 g,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve', 'Flageolets en conserve']",,['Auchan'],['France'],"['Flageolets verts extra fins', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.55 g,en quantité modérée,?,,76,-12%,318 kj(76 kcal),-12%,"0,8",+13%,"0,2",+36%,10,-15%,"0,3",-46%,"4,4",-17%,"0,55",-26%,"0,22",-26%,-5,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,,Flageolets verts,,,,,
24,100% pur jus Orange Sans pulpe - Auchan - 50cl,3596710417520,D,50 cl,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus"", ""Jus d'orange sans pulpe""]",,['Auchan'],['France'],"[""Jus d'orange 100%""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,?,,42,-5%,176 kj(42 kcal),-4%,0,-100%,0,-100%,"9,4",-1%,"8,7",-3%,"0,7",+6%,0,-100%,0,-100%,2,-29%,C,-29%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Plastique', 'Bouteille', 'Bouchon']",,,['Sans sucre ajouté'],,,,,,,
25,"Plateau charcutier jambon sec, rosette et coppa - Auchan",3596710424337,,,['Auchan'],,,['Auchan'],['France'],"['Jambon sec supérieur: Jambon de porc ', 'Origine UE', 'sel', 'conservateur : nitrate de potassium', ' \rRosette: Viande de porc ', 'Origine UE', 'sel', 'lactose ', 'lait', 'épices', 'dextrose', 'sucre', 'ail', 'rhums', 'apéritif à base de vin Macardan', 'arômes naturels', 'antioxydant : acide ascorbique', ' conservateur : nitrate de potassium: ferments', ' 145g de viande utilisés pour fabriquer 100g de rosette', ' \rCoppa sel sec: Echine de porc ', 'Origine UE', 'sel', 'dextrose', 'sirop de glucose', 'arômes naturels', 'épices', 'ail', 'sucre', 'conservateurs: lactate de sodium', 'acétates de sodium', 'acide ascorbique', 'ascorbate de sodium', ' nitrate de potassium', 'nitrite de sodium', ' ferments', ' \rTraces eventuelles de fruits à coque et de lait']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,404,,1690 kj(404 kcal),,14,,"1,5",,1,,"0,5",,"4,2",,6,,"2,4",,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque']",,,,,,
