,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
564,Saumon gravlax ASC - Lidl - 400g,20302948,,400 g,['Lidl'],,['ASC-C-00026'],,['France'],[],,[],,,,,,,,,,?,,179,,749 kj(179 kcal),,"9,3",,"1,4",,"1,6",,"1,6",,"22,2",,"2,9",,"1,16",,,,,,,,,,,,,['sous atmosphère protectrice'],,,,,,,,,,
565,Assortiment de Crêpes Dentelle - Gavottes,3535800002284,,,['Gavottes'],,,,['France'],[],,[],,,,,,,,,,?,,488,,2042 kj(488 kcal),,21,,13,,68,,48,,"5,5",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,
566,Jus Ananas - Ethiquable - 75cl,3760278861433,C,75 cl,['Ethiquable'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas"", 'Jus de fruits pur jus', ""Jus d'ananas pur jus""]",,,['France'],[],,[],,0.3 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,50,0%,209 kj(50 kcal),+1%,"0,3",+46%,0,-100%,11,-6%,11,-4%,"0,4",+16%,"0,01",+56%,"0,004",+56%,5,-4%,C,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bouteille', 'Verre']",,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Symbole des Producteurs Paysans']",,,,,,,
567,Chocolat Milka au éclats de noisettes,7622201119300,E,,['Milka'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",,,['France'],"['Sucre', 'beurre de cacao', 'poudre de lait écrémé', 'pâte de cacao', 'noisettes ', '9%', 'lactosérum en poudre ', 'lait', 'beurre concentré', 'émulsifiant ', 'lécithines de soja', 'pâte de noisette', 'arôme', ' Cacao: 30% minimum dans le chocolat au lait du pays alpin', ' Peut contenir autres fruits à coque et blé']",['E322i - Lécithine'],['Non végétalien'],4,32 g,en quantité élevée,17 g,en quantité élevée,53 g,en quantité élevée,0.34 g,en quantité modérée,?,,543,-5%,2272 kj(543 kcal),-4%,32,-16%,17,-3%,54,+16%,53,+20%,"7,1",-15%,"0,34",+80%,"0,136",+80%,25,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,"['Lait', 'Fruits à coque', 'Soja']",,,,,,
568,Billes chocolat Noir - Elsy - 50gr,3770014878014,,50gr,['Elsy'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,['France'],"['Chocolat noir ', '80%', ' : pâte de cacao', 'fibres alimentaires ', 'oligofructose', 'poudre de cacao dégraissée', 'matière grasse laitière', 'sucre', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'lentilles corail*', 'riz complet*', 'sel de Guérande', ""agent d'enrobage : gomme d'acacia"", ""\r* Ingrédients issus de l'agriculture biologique""]","['E322i - Lécithine', ""E414 - Gomme d'acacia""]","['Sans huile de palme', 'Non végétalien']",4,31.7 g,en quantité élevée,18.4 g,en quantité élevée,4.7 g,en faible quantité,0.7 g,en quantité modérée,1933,-13%,462,-13%,1933 kj(462 kcal),-13%,"31,7",-1%,"18,4",+6%,"18,1",-65%,"4,7",-90%,"10,1",+72%,"0,7",+358%,"0,28",+358%,14,-43%,D,-43%,,,,,,,,"['Papier recyclable', 'Emballage papier']",,,"['Peu ou pas de sucre', 'Peu de sucre', 'Sans arômes artificiels', 'Sans gluten', 'Riche en fibres', 'Fabriqué en France', 'Sans huile de palme', 'Cocoa-horizons']",,,,,,,
569,Huile saveur emmental - Auchan,3596710473649,,,['Auchan'],,,['Auchan'],['France'],"['INGREDIENTES Pommes de terre déshydratées 52%', 'huile de tournesol 23%', 'amidon ', 'blé', 'pomme de terre', 'sirop de glucose', 'arome naturel ', 'contient lait', 'huile de colza', ""émulsifiant : mono-et diglycerides d'acide gras "", 'tournesol', 'sel']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",[],4,,,,,,,,,?,,474,,1983 kj(474 kcal),,25,,"2,6",,56,,"4,1",,"4,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,,,
570,Dattes - La Favorite - 500g,3068230016694,C,500 g,['La Favorite'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",,,['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,68 g,en quantité élevée,0 g,en faible quantité,?,,304,+4%,1272 kj(304 kcal),+3%,"0,5",+56%,0,-100%,68,+1%,68,+18%,"2,2",-4%,0,-100%,0,-100%,2,-53%,B,-53%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,['Algérie'],,,,,,,,,
571,Lentilles cuisinées - Athos - 400g,3021690029741,,400 g,['Athos'],"[""en:Aliments d'origine végétale"", 'en:Aliments et boissons à base de végétaux', 'en:Aliments à base de plantes en conserve', 'en:Conserves', 'en:Lentilles en conserve', 'en:Légumineuses', 'en:Légumineuses en conserve', 'en:Légumineuses et dérivés']","['FR 12.052.003 CE', 'Capdenac-Gare (Aveyron, France)']",,['France'],[],,[],,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.76 g,en quantité modérée,379,,90,-16%,379 kj(90 kcal),-15%,"0,5",-90%,"0,5",-36%,13,+85%,"0,5",-70%,"6,1",+6%,"0,76",+35%,"0,304",+35%,-4,-4100%,A,-4100%,,,,,,,,['Conserve'],,['France'],,,,,,,,
572,Frites de patates douces - U - 600g,3256227743085,B,600 g,['U'],"['Surgelés', 'Pommes de terre préfrites surgelées']",,['Magasins U'],['France'],"['Patate douce ', ' 88%', 'huile végétale de tournesol', 'amidon de pommes de terre modifié', 'amidon de pommes de terre', 'farine de riz', 'sel', 'dextrine', 'agents de levage: diphosphate disodique - bicarbonate de sodium', 'colorant: extrait de poivre', 'épaississant: gomme xanthane']","['E1400 - Dextrines', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,5 g,en quantité modérée,0.6 g,en faible quantité,11 g,en quantité modérée,0.48 g,en quantité modérée,606,-5%,145,-9%,606 kj(145 kcal),-9%,5,-15%,"0,6",-30%,21,-5%,11,+1587%,2,-23%,"0,48",-5%,"0,192",-5%,0,-100%,B,-100%,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,['Surgelés'],,,,,,,,,,
573,Curcuma - Kania - 45g,4056489113713,,45 g,['Kania'],"['Epicerie', 'Condiments', 'Assaisonnements']",,['Lidl'],"['France', 'Allemagne']","[""Ingrédients: curcuma issu de l'agriculture biologique""]",,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['döschen', 'Verre']",,,"['Bio', 'Bio européen', 'Agriculture non UE', 'DE-ÖKO-013']",,,,,,,
