,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,link,palm_ingredients,producer_info
1892,Filets anchois à l'huile d'olive GDJ - Grand jury - 2 * 50g,3245390157140,['France'],"[""Filet d'anchois salés 60% "", 'anchois', 'sel', ""huile d'olive 40%""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,245,17,2,21,B,2 * 50 g,['Bocal'],['Grand jury'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,,['Poisson'],3,,+21%,+35%,+39%,+1%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,"['Proxi', '8 à Huit']",1025 kj(245 kcal),"2,9",0,"15,7","6,28",17 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,15.7 g,en quantité élevée,+18%,+20%,-100%,+131%,+131%,15,+20%,D,+20%,,,,,
1893,Tzatziki - Grand Jury - 200g,3245390158468,['France'],[],[],?,169,15,"2,3","6,1",,200g,"['Pot', 'Plastique']",['Grand Jury'],"['Epicerie', 'Sauces', 'Tzatzíki']",,,,,,,+21%,+35%,-39%,+23%,,,,,,,,,"['Proxi', '8 à Huit']",707 kj(169 kcal),"1,3","2,1","0,99","0,396",15 g,en quantité modérée,1.3 g,en faible quantité,2.1 g,en faible quantité,0.99 g,en quantité modérée,+22%,-54%,-23%,+14%,+14%,3,-37%,C,-37%,,,,,
1894,Bte 1 / 4 Filet De Maquereau Sauce Moutarde Grand Jury,3245390160973,['France'],[],[],?,208,16,0,16,C,,,['Grand Jury'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']","['Pêche durable', 'Pêche durable MSC']",,,,,,-6%,-2%,-100%,-2%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,"['Proxi', '8 à Huit']",870 kj(208 kcal),"4,4",0,"1,4","0,56",16 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,-6%,+19%,-100%,+26%,+26%,12,+93%,D,+93%,,['C-BV-274522-FR'],,,
1895,Liégeois saveur vanille sur lit de caramel - Grand jury - 4 * 100g (400g),3245390161963,['France'],[],[],?,150,"6,3",21,"2,4",,4 * 100 g (400 g),"['Plastique', 'Carton']",['Grand jury'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés à la vanille']",,,,,,,+9%,+26%,+17%,-26%,,,,,,,,,"['Proxi', '8 à Huit']",628 kj(150 kcal),"4,2",19,"0,13","0,052",6.3 g,en quantité modérée,4.2 g,en quantité modérée,19 g,en quantité élevée,0.13 g,en faible quantité,+10%,+33%,+26%,-2%,-2%,8,+37%,C,+37%,,"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,,
1896,Goûters goût tout choco - Grand Jury - 330g,3245390162205,['France'],[],[],?,472,18,70,"6,4",D,330 g,"['Plastique', 'Carton']",['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Huile de palme durable', 'RSPO', 'Goût choco']",,,,,,-4%,-23%,+12%,-2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,"['Proxi', '8 à Huit']",1975 kj(472 kcal),"8,7",35,"0,71","0,284",18 g,en quantité modérée,8.7 g,en quantité élevée,35 g,en quantité élevée,0.71 g,en quantité modérée,-4%,-26%,+8%,+29%,+29%,19,-11%,E,-11%,,,,,
1897,Grand Jury - 160g,3245390165398,['France'],[],[],?,149,12,"3,2","7,2",B,160 g,['Verre'],['Grand Jury'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon', 'Moutardes fortes']",,,,,,,-6%,+4%,-12%,+0%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Proxi', '8 à Huit']",623 kj(149 kcal),"0,8","2,7","6,5","2,6",12 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,-6%,+5%,+20%,+10%,+10%,9,-17%,C,-17%,,,,,
1898,Ketchup épicé - Grand jury - 340g (320ml),3245390165893,['France'],"['Purée de tomates 67% ', '140 g de tomates fraîches pour 100 g de ketchup', 'sirop de glucose-fructose de blé', ""vinaigre d'alcool"", 'amidon modifié de maïs', 'sel', 'sucre', 'poivre', 'arôme naturel de piment de Cayenne', 'arômes']",[],?,120,"0,1",28,"1,4",B,340 g (320 ml),"['Bouteille', 'Plastique']",['Grand jury'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['Fabriqué en France'],,['France'],,4,,+13%,-59%,+23%,+8%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,"['Proxi', '8 à Huit']",502 kj(120 kcal),"0,1",20,"2,5",1,0.1 g,en faible quantité,0.1 g,en faible quantité,20 g,en quantité élevée,2.5 g,en quantité élevée,+14%,+57%,+2%,+26%,+26%,13,+7%,D,+7%,['E14XX - Amidons modifiés'],"['EMB 84029A', 'Camaret-sur-Aigues (Vaucluse, France)']",,,
1899,Ketchup Nature - Grand Jury - 340g,3245390165930,['France'],[],[],?,121,~ 0,28,"1,3",B,340 g,['Plastique'],['Grand Jury'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,,,,,+14%,-100%,+23%,0%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,"['Proxi', '8 à Huit']",506 kj(121 kcal),~ 0,20,"2,6","1,04",0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,2.6 g,en quantité élevée,+15%,-100%,+2%,+31%,+31%,15,+24%,D,+24%,,,,,
1900,"Paella (Volaille, Fruits de Mer et Chorizo) 2 personnes - Grand Jury - 710g (560g de garniture + 150g riz long étuvé)",3245390166630,['France'],"['GARNITURE 560 g [Sauce : eau', 'huile de colza', 'vin blanc', 'concentré de tomates', 'sel', 'graisse de poulet', 'arôme naturel', 'épices et aromates ', 'ail', 'oignon en poudre', 'piment extra fort', ' \rViande : morceaux de cuisses de poulet non désossées 21,2 %', '\rLégumes : petits pois 7 %', 'carottes 6 %', 'poivrons 6 %', 'haricots verts 3 %', '\rFruits de mer 12 % : moules et/ou moules du Pacifique 8 %', 'anneaux de calamars 4 %', '\rChorizo 1,4 % ', 'viande de porc - 100 g pour 100 g de produit fini - gras de porc', 'épices et aromates ', 'piment', 'ail et extrait de paprika', 'sel', 'dextrose de blé', 'ferments lactiques', 'conservateurs nitrite de sodium', 'antioxygène : ascorbate de sodium', ']', '\rRIZ LONG ÉTUVÉ 150 g', ' \rÉPICES 0,8 g ', 'curcuma', 'ail', 'piment doux', 'poivre', 'colorant : curcumine']","['Non végétalien', 'Non végétarien']",713,169,"5,4","22,8","7,4",C,710 g (560 g de garniture + 150 g riz long étuvé),"['Boîte', 'Conserve', 'Métal', 'Etui', 'Carton', 'Sachet plastique']","['Grand Jury', 'CMI (Carrefour Marchandises Internationales)', 'Groupe Carrefour']","['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats préparés en conserve', 'Plats au poulet', 'Paëllas']",,,"['Covi (Groupe Covi) - 341 Route de Clisson - 44230 Saint-Sébastien-sur-Loire', 'Loire-Atlantique', 'Pays de la Loire', 'France']",['Lait'],4,+21%,+20%,+15%,+40%,+2%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,Paella,"['Carrefour express', 'Proxi', '8 à Huit', 'Carrefour']",713 kj(169 kcal),"1,46","1,55","0,91","0,364",5.4 g,en quantité modérée,1.46 g,en faible quantité,1.55 g,en faible quantité,0.91 g,en quantité modérée,+21%,+38%,+36%,-0%,-0%,1,+9%,B,+9%,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E100 - Curcumine']","['FR 44.190.005 CE', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)']",,,
1901,Crème aux oeufs saveur vanille - Grand Jury - 4 * 100g,3245390166647,['France'],[],[],?,161,"7,9",18,"4,5",,4 * 100 g,,['Grand Jury'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés aux œufs', 'Cremes aux oeufs']",,,,,,,+5%,+23%,-9%,+6%,,,,,,,,,"['Proxi', '8 à Huit']",674 kj(161 kcal),"4,6",16,"0,16","0,064",7.9 g,en quantité modérée,4.6 g,en quantité modérée,16 g,en quantité élevée,0.16 g,en faible quantité,+4%,+21%,-8%,+21%,+21%,7,+20%,C,+20%,,,,,
