,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,link,palm_ingredients,producer_info
0,Martel -,3219820003086,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gevrey-Chambertin - Bertrand de Monceny - 75cl,3219850042772,['France'],"['Vin rouge', ' Contient des sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,B,75 cl,"['Verre', 'Bouteille']",['Bertrand de Monceny'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Gevrey-Chambertin']","['Point Vert', 'Fabriqué en France', 'Contient des sulfites', 'Déconseillé aux femmes enceintes']",['France'],"['France', 'Nuits-Saint-Georges']",['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Santenay 2011 Vieilles Vignes - Sorine & fils - 75cl,3219850044646,['France'],"['Raisins rouges :    ', 'Sulfites']",['Sans huile de palme'],?,?,?,?,?,B,75 cl,['Bouteille verre'],['Sorine & fils'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bourgogne', 'Vins blancs', 'Santenay']","['AOC', 'Déconseillé aux femmes enceintes']","['France', 'Bourgogne']",,['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,Santenay,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brouilly 2013 - Fouilloux - 75cl,3219850048019,['France'],"['vin ', 'sulfites']",['Sans huile de palme'],?,?,?,?,?,B,75 cl,"['Bouteille', 'Verre']",['Fouilloux'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Brouilly']","['AOC', 'Déconseillé aux femmes enceintes']",['France'],,['Anhydride sulfureux et sulfites'],3,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,vin rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Chirouble -  - 0,75l",3219850048224,['France'],[],[],?,?,?,?,?,C,"0,75l",,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Chiroubles']",['Déconseillé aux femmes enceintes'],['France'],,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cookie au Chocolat,3220000001488,['France'],[],[],?,491,"26,6","55,5","6,4",,,,,,,,,,,,,,,,,,,,,,,,,2054 kj(491 kcal),"15,5","33,6","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,
6,Brownie au Noix -,3220000001532,['France'],[],[],?,509,"33,5","44,9","5,7",D,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,,,+12%,+31%,-6%,-4%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,2130 kj(509 kcal),"16,8","34,1","0,2","0,08",33.5 g,en quantité élevée,16.8 g,en quantité élevée,34.1 g,en quantité élevée,0.2 g,en faible quantité,+12%,+105%,-0%,-48%,-48%,23,+20%,E,+20%,,,,,
7,Palet de Dame - glaçage au rhum - Sans marque - 95g,3220000001686,['France'],[],[],?,450,"18,4","65,6","5,1",,95 g,['Plastique'],['Sans marque'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,,,,+12%,-6%,+32%,-6%,,,,,,,,,,1883 kj(450 kcal),"10,6","47,2","0,33","0,132",18.4 g,en quantité modérée,10.6 g,en quantité élevée,47.2 g,en quantité élevée,0.33 g,en quantité modérée,+12%,+39%,+69%,-46%,-46%,26,+45%,E,+45%,,,,,
8,Sucre mini buchette,3220032484105,['France'],[],[],?,367,0,88,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,1536 kj(367 kcal),0,88,,,,,,,,,,,,,,,,,,,,,,,,
9,Tutti Free - Saint Louis,3220032530444,['France'],"['sucre roux de canne ', '99%', 'Edulcorants : aspartame et acésulfame K ', '1%', ' Contient une source de phénylalanine', 'composant naturel des protéines', ' Ne pas donner aux enfants de moins de 3 ans']",[],?,395,0,98,"0,7",,,,['Saint Louis'],,['Contient une source de phénylalanine'],,,,4,,,,,,,,,,,,,,,1653 kj(395 kcal),0,98,0,0,,,,,,,,,,,,,,,,,,"['E951 - Aspartame', 'E950 - Acésulfame K']",,,,
10,3220032570006,3220032570006,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sucre blanc poudre Tutti Free stevia paquet,3220032576008,['France'],[],[],?,388,?,?,0,,,,['Tutti free'],,,,,,,,,,,,,,,,,,,,,1623 kj(388 kcal),0,97,0,0,,,,,,,,,,,,,,,,,,,,,,
12,Sucre en morceaux,3220034073123,['France'],[],[],?,400,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),0,100,,,,,,,,,,,,,,,,,,,,,,,,
13,Sucre glace - Saint Louis,3220035780006,['France'],[],[],?,400,0,100,0,B,,,['Saint Louis'],"['Édulcorants', 'Sucres', 'Sucres glaces']",,,,,,,+6%,-100%,+1%,-100%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,1674 kj(400 kcal),0,97,0,0,0 g,en faible quantité,0 g,en faible quantité,97 g,en quantité élevée,0 g,en faible quantité,+6%,-100%,+2%,-100%,-100%,14,-1%,D,-1%,,,,,
14,1KG St Sucre Cristal Saint Louis - 1kg,3220035820009,['France'],[],[],?,400,"0,3",100,0,,1 kg,,['Saint Louis'],,,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),0,100,,,,,,,,,,,,,,,,,,,,,,,,
15,Sucre Cristal - SAINT LOUIS - 20KG,3220037116094,['France'],[],[],?,400,0,100,0,B,20 KG,,['SAINT LOUIS'],"['Édulcorants', 'Sucres']",,,,,,,+3%,-100%,+2%,-100%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,SUCRE,,1674 kj(400 kcal),0,100,,,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,,,+3%,-100%,+6%,,,,,,,,,,,
16,3220120000118,3220120000118,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10 saucisses de Strasbourg,3220120000750,['France'],"['Œòtrasbourg : Viande ', '65 prc', 'protéinosde sola', ' Olt', ' strop de Stabilisants dl et per?osph ales', 'sucre', 'extraits ptCes', 'antioxydant : de conservateur : d fumée liquide', ' Allcrflnes : soja Pcr', 'œino U']","['Non végétalien', 'Non végétarien']",?,286,26,"1,7","11,2",E,,,['Saucisses De Strasbourg'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,,,,,+4%,+7%,+19%,-11%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,1197 kj(286 kcal),"10,6","1,3","2,18","0,872",26 g,en quantité élevée,10.6 g,en quantité élevée,1.3 g,en faible quantité,2.18 g,en quantité élevée,+4%,+15%,+15%,+12%,+12%,22,+15%,E,+15%,,,,,
18,L'originale - Jean Caby - 540g,3220120005212,['France'],"['Viande de porc ', '48%', 'eau', 'viande gros grains de volaille', 'gras de porc', 'VSM de volaille', 'plasma de porc', 'couennes de porc', 'sel', 'protéines de lait', 'protéines de soja', 'sucre', 'stabilisants : di et polyphosphates', 'arômes', 'arôme de fumée', 'épices', 'antioxydant : érythorbate de sodium', 'colorants : extrait de paprika et carmine de cochenille', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",1110,?,"23,7","0,7","12,4",E,540 g,"['Plastique', 'Sous vide']",['Jean Caby'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']","['Fumé au bois de hêtre', 'Elaboré en France']",,,['Lait'],4,+7%,,+10%,-58%,+5%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,Saucisses cocktail fumées,['Carrefour'],1110 kj(265 kcal),9,"0,7","2,009","0,804",23.7 g,en quantité élevée,9 g,en quantité élevée,0.7 g,en faible quantité,2.01 g,en quantité élevée,+7%,+12%,-4%,+6%,+6%,19,+7%,E,+7%,"['E316 - Érythorbate de sodium', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)', 'EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
19,Petit Boudin Blanc - Jean Caby - 220g (x 26),3220120005304,['France'],"['Viande de porc 68%', 'eau', ""blanc d'oeuf"", 'lait entier en poudre', 'sel', 'kirsch modifié ', 'kirsch', 'arôme naturel de poivre', 'gras de porc', 'protéines de lait', 'épices et plantes aromatiques ', 'dont noix de muscade', 'stabilisants : di - et poly - phosphates', 'arôme naturel', 'antioxydant : érythorbate de sodium']","['Non végétalien', 'Non végétarien']",1068,?,"21,6","2,4","13,5",D,220 g (x 26),"['Sachet', 'Plastique', 'Sous atmosphère protectrice']",['Jean Caby'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['Fabriqué en France'],,['France'],"['Œufs', 'Lait']",4,+7%,,+7%,-44%,+31%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,Le petit boudin blanc,['Franprix'],1068 kj(255 kcal),"8,9","1,8","1,9","0,76",21.6 g,en quantité élevée,8.9 g,en quantité élevée,1.8 g,en faible quantité,1.9 g,en quantité élevée,+5%,+14%,-9%,+28%,+28%,19,+19%,E,+19%,['E316 - Érythorbate de sodium'],"['FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)', 'EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
20,Saucisses cocktail fumées - Sans marque - 400g,3220120021977,['France'],"['Viande de porc ', '42%', 'eau', 'viande gros grains de volaille', 'gras de porc', 'peau de dinde', 'plasma de porc', 'sel', 'couenne de porc', 'protéines de soja', 'lactose', 'stabilisants : di et polyphosphates', 'dextrose monohydraté', ""extraits naturels d'épices"", 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",1136,?,"24,5","1,5","12,1",E,400 g,"['Plastique', 'Sous-vide']",['Sans marque'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']",,['Union européenne'],['France'],"['Lait', 'Soja']",4,+9%,,+13%,-9%,+3%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,['Carrefour'],1136 kj(272 kcal),"9,1","1,1","2,9","1,16",24.5 g,en quantité élevée,9.1 g,en quantité élevée,1.1 g,en faible quantité,2.9 g,en quantité élevée,+9%,+14%,+50%,+53%,+53%,22,+24%,E,+24%,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
21,Knacks - Jean Caby,3220120022165,['France'],"['Viande de porc ', '70%', 'eau', 'plasma de porc', 'gras de porc', 'sel', 'sucre', ""extraits d'épices"", 'antiowdant ascorbate de sodium', 'colorants : extraits de paprika et carmins', 'conrervateur : nitrite desodium', 'fumée Porc origine Allergènes rraces possibles de lait', ' soja', ' Pour les enfants de moins de 4 ans', 'coupez la saucisse dans le sensde la longueur', ""puis en tout petits morceaux afin de prévenir tes risques d'étouffement"", ' A consommer iusquiau/ NO de lot: voir Sachet', ' A conserver entre et +40C']","['Non végétalien', 'Non végétarien']",?,278,"25,4","1,7","12,5",,,,['Jean Caby'],,['Fabriqué en France'],,,"['Aucun', 'Soja']",4,,,,,,,,,,,,,,,1163 kj(278 kcal),"9,4","0,7",2,"0,8",,,,,,,,,,,,,,,,,,"['E160c - Extrait de paprika', 'E120 - Acide carminique']",,,,
22,SACHET DE STRASBOURG - Jean Caby,3220120022226,['France'],[],[],?,278,"25,4","1,7","12,5",,,,['Jean Caby'],,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,1163 kj(278 kcal),"9,4","0,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,
23,Knacks - Jean Caby,3220120022400,['France'],[],[],?,278,"25,4","1,7","12,5",E,,,['Jean Caby'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg', 'Knacks industrielles']",['Fabriqué en France'],,,,,,+4%,+8%,+8%,0%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,1163 kj(278 kcal),"9,4","0,7",2,"0,8",25.4 g,en quantité élevée,9.4 g,en quantité élevée,0.7 g,en faible quantité,2 g,en quantité élevée,+4%,+7%,-46%,+5%,+5%,20,+9%,E,+9%,,"['EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
24,KNACKS - Grand Frais,3220120022455,"['France', 'Guadeloupe']","['Viande de porc 1653%', 'eau', 'gras de porc', 'protéines de soja', 'sel', 'sirop de glucose', 'stabilisants : di et poljpnosphatest sucre', 'd}épices', 'antioxydant sodium anservat?ue']","['Non végétalien', 'Non végétarien']",?,286,26,"1,7","11,2",,,,['Grand Frais'],,,,,,4,,,,,,,,,,,,,,,1197 kj(286 kcal),"10,6","1,3","2,18","0,872",,,,,,,,,,,,,,,,,,,,,,
25,Knacks,3220120022882,['France'],[],[],?,286,26,"1,7","11,2",E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg', 'Knacks industrielles']",['Sans colorants'],,,,,,+7%,+10%,+8%,-10%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,1197 kj(286 kcal),"10,6","1,3","2,18","0,872",26 g,en quantité élevée,10.6 g,en quantité élevée,1.3 g,en faible quantité,2.18 g,en quantité élevée,+7%,+20%,+1%,+14%,+14%,22,+20%,E,+20%,,,,,
26,Saucisses de Strasbourg - Leader Price,3220120023100,['France'],[],[],?,285,"25,9","1,7","11,2",E,,,['Leader Price'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['Fabriqué en France'],,,,,,+4%,+7%,+19%,-11%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,['Leader Price'],1192 kj(285 kcal),"11,1","1,2","1,95","0,78",25.9 g,en quantité élevée,11.1 g,en quantité élevée,1.2 g,en faible quantité,1.95 g,en quantité élevée,+4%,+20%,+6%,+1%,+1%,21,+10%,E,+10%,,"['EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
27,Saucisson cuit à l'ail - Caby - 200g,3220120023179,"['France', 'La Réunion']","['Maigre de porc ', '30%', 'gras de porc', 'eau', 'couenne de porc', 'farine de blé ', '6 %', 'lactosérum ', 'lactose', 'sel', 'protéines de lait', 'ail ', '0,8 %', 'stabilisants : E450', 'E452', 'colorant E120', 'antioxydant : E316', 'E250', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,285,25,"2,7",11,D,200 g,['Plastique'],['Caby'],"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,"['France', 'Saint André']",,"['Gluten', 'Lait']",4,,+4%,+12%,+145%,-31%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,Saucisson cuit à l'ail amylacé,['SCORE'],1192 kj(285 kcal),10,"2,7","1,6","0,64",25 g,en quantité élevée,10 g,en quantité élevée,2.7 g,en faible quantité,1.6 g,en quantité élevée,+4%,+17%,+278%,-24%,-24%,19,-2%,E,-2%,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)']",,,
28,Saucisses de Strasbourg - Leader Price - 700g,3220120023414,['France'],"['Viande de porc ', '65%', "" - eau - gras de porc - protéines de soja - sel - sirop de glucose - stabilisants : di et polyphosphates - sucre - extraits d'épices - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium - fumée liquide""]","['Non végétalien', 'Non végétarien']",1178,?,"25,9","1,7","11,2",E,700 g,"['Film', 'Plastique', 'Frais']",['Leader Price'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']","['Point Vert', 'Fabriqué en France']",['Union européenne'],['France'],['Soja'],4,+4%,,+7%,+19%,-11%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,20 Saucisses de Strasbourg,['Leader Price'],1178 kj(282 kcal),"11,1","1,2","1,95","0,78",25.9 g,en quantité élevée,11.1 g,en quantité élevée,1.2 g,en faible quantité,1.95 g,en quantité élevée,+2%,+20%,+6%,+1%,+1%,21,+10%,E,+10%,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)', 'EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,
29,Saucisses de poulet - Jean Caby,3220120023674,['France'],[],[],?,222,"17,6","0,9",15,E,,,['Jean Caby'],"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet']",,,,,,,+7%,+14%,-59%,+12%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,929 kj(222 kcal),"5,7","0,6","2,15","0,86",17.6 g,en quantité modérée,5.7 g,en quantité élevée,0.6 g,en faible quantité,2.15 g,en quantité élevée,+7%,+30%,-10%,+12%,+12%,16,+25%,D,+25%,,['EMB 56527'],,,
30,Pâté Forestier - Sans marque - 200g,3220120138095,['France'],"['Foie de porc', 'eau', 'couenne de porc', 'gras de porc', 'gelée de couenne de porc', 'champignons réhydratés 5', '2 % ', 'champignons noirs', 'cèpes', 'bolets', 'fécule de pomme de terre', 'conservateurs : lactate de potassium', 'nitrite de sodium', 'lait en poudre', 'sel', 'sucre', 'oignons', 'dextrose', 'arôme', 'antioxydant : érythorbate de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",940,?,"17,3","5,4","11,7",B,200 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']",['Sans marque'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Charcuteries diverses', 'Pâté', 'Pâté forestier']","['Point Vert', 'Fabriqué en France', 'Transformé en France', 'Eco-Emballages']","['Union européenne', 'Matière première']","['La Lampaulaise de Salaisons - 1 Rue Galilée - ZA de Kerourvois Sud - 29500 Ergué-Gabéric', 'Finistère', 'Bretagne', 'France']",['Lait'],4,-22%,,-36%,+142%,-16%,66.3%,17.6%,6.7%,5.7%,2.9%,0.8%,75,Pâté forestier,['Auchan'],940 kj(225 kcal),"7,1","3,4","1,6","0,64",17.3 g,en quantité modérée,7.1 g,en quantité élevée,3.4 g,en faible quantité,1.6 g,en quantité élevée,-28%,-30%,+299%,-3%,-3%,15,-20%,D,-20%,"['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']","['FR 29.051.020 CE', 'Ergué-Gabéric (Finistère, France)', 'EMB 29051', 'Ergué-Gabéric (Finistère, France)']",,,
31,Dés de jambon cuit standard - Sans marque - 500g,3220120235411,['France'],"['Jambon de porc ', '70 %', 'eau', 'sel', 'sirop de glucose', 'stabilisants : E452', 'E451', 'conservateurs : lactate de sodium', 'lactate de potassium', 'nitrite de sodium', 'dextrose', 'arômes', 'antioxydant : érythorbate de sodium', 'acidifiant : acétate de sodium', 'sucre', 'chlorure de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",514,?,"5,7","2,5",15,E,500 g,"['Plastique', 'Frais']","['Sans marque', 'LDS SAS']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,['France'],,4,+2%,,+19%,+274%,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Carrefour'],514 kj(123 kcal),"2,2","2,5","2,8","1,12",5.7 g,en quantité modérée,2.2 g,en quantité modérée,2.5 g,en faible quantité,2.8 g,en quantité élevée,-6%,+20%,+320%,+50%,+50%,13,+84%,D,+84%,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium', 'E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E262i - Acétate de sodium']","['FR 29.097.020 CE', 'Lampaul-Guimiliau (Finistère, France)', 'EMB 29097B', 'Lampaul-Guimiliau (Finistère, France)']",,,
32,Pâté aux 3 poivres - Sans marque - 200g,3220120338099,['France'],"['Foie de porc', 'gras de porc', 'gelée de couenne de porc', 'eau', 'couenne de porc', 'conservateurs ', 'lactate de sodium', 'nitrite de sodium', 'fécule de pomme de terre', 'lait en poudre', 'poivres 1,4 % ', 'poivre vert en saumure - poivre noir - poivre gris', 'sel', 'acidifiant : acétate de sodium', 'oignons', 'sucre', 'dextrose', 'antioxydant : acide ascorbique - érythorbate de sodium', 'muscade']","['Non végétalien', 'Non végétarien']",?,218,"16,4","5,1","12,4",,200 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique']",['Sans marque'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Charcuteries diverses', 'Pâtés aux poivres']","['Point Vert', 'Qualité supérieure', 'Transformé en France', 'Eco-Emballages']","['Union européenne', 'Matière première']","['La Lampaulaise de Salaisons - 1 Rue Galilée - ZA de Kerourvois Sud - 29500 Ergué-Gabéric', 'Finistère', 'Bretagne', 'France']",['Lait'],4,,-26%,-33%,+191%,-17%,,,,,,,,Pâté aux 3 poivres qualité supérieure,,912 kj(218 kcal),"6,1","2,2","2,4","0,96",16.4 g,en quantité modérée,6.1 g,en quantité élevée,2.2 g,en faible quantité,2.4 g,en quantité élevée,-25%,-34%,+181%,+23%,+23%,18,-4%,D,-4%,"['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262i - Acétate de sodium', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium']","['FR 29.051.020 CE', 'Ergué-Gabéric (Finistère, France)', 'EMB 29051', 'Ergué-Gabéric (Finistère, France)']",,,
33,Salami danois - Aoste,3220120406569,['France'],"['Viande de porc ', 'origine UE', 'gras de porc', 'sel', 'dextrose', 'epices', 'sirop de glucose', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'colorant : carmins ', ' ferments', ' 959 de viande utilisés pour la Breparation de 100 g de produit fini', ' tillsation : enlever la peau avant consommation']","['Non végétalien', 'Non végétarien']",?,540,54,"0,5",13,D,,,['Aoste'],"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",,,,,4,,+40%,+65%,-68%,-36%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,2259 kj(540 kcal),21,"0,5","4,4","1,76",54 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,4.4 g,en quantité élevée,+39%,+62%,-34%,+16%,+16%,26,+10%,E,+10%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,,
34,La Cocktail Légère (-30% de Mat. Gr.) - Jean Caby - 300g,3220120413314,['France'],"['Viande de porc ', '86 %', 'eau', 'viande de volaille ', 'dinde', 'poulet', 'VSM de volaille ', 'dinde', 'poulet', 'plasma de porc', 'sel', 'protéines de lait', 'fibres de blé ', 'gluten', 'sucre', 'stabilisants : di - et polyphosphates', 'arômes', 'arôme de fumée', 'épices', 'antioxydant : érythorbate de sodium', 'colorants : extrait de paprika et carmins', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",906,?,"16,3","0,8","12,9",E,300 g,"['Plastique', 'Sous-vide']",['Jean Caby'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']","['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Moins 30% de matière grasse', 'Sans colorants artificiels', 'Sans colorants']",['Union européenne'],['France'],"['Gluten', 'Lait']",4,-13%,,-25%,-52%,+9%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,Saucisse cocktail légère fumée au bois de hêtre,,906 kj(217 kcal),"6,4","0,6","1,73","0,692",16.3 g,en quantité modérée,6.4 g,en quantité élevée,0.6 g,en faible quantité,1.73 g,en quantité élevée,-13%,-20%,-18%,-9%,-9%,15,-15%,D,-15%,"['E316 - Érythorbate de sodium', 'E160c - Extrait de paprika', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['EMB 59527', 'Saint-André-lez-Lille (Nord, France)', 'FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)']",,,
35,Jambon cuit choix découenné dégraissé - Sans marque - 450g,3220120415165,['France'],"['Jambon de porc ', '82%', 'eau', 'sel', 'conservateurs: lactate de sodium - nitrite de sodium', 'sirop de glucose', 'arômes', 'dextrose', 'acidifiant: acétate de sodium', 'stabilisant: triphosphates', 'antioxydant: érythorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",490,?,"3,6",2,19,E,450 g,"['Barquette', 'Plastique', 'Sous-vide']",['Sans marque'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,4,-3%,,-25%,+199%,-10%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Carrefour Market'],490 kj(117 kcal),"1,5",2,"3,1","1,24",3.6 g,en quantité modérée,1.5 g,en quantité modérée,2 g,en faible quantité,3.1 g,en quantité élevée,-10%,-18%,+236%,+66%,+66%,12,+70%,D,+70%,"['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262i - Acétate de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']","['EMB 29097B', 'Lampaul-Guimiliau (Finistère, France)', 'FR 29.097.020 CE', 'Lampaul-Guimiliau (Finistère, France)']",,,
