,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,allergens,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1032,Dessert lacté panaché - Netto - 400g,3250391330515,['Netto'],,"['France', 'Luxembourg']","['Lait  demi-écrémé ', '75%', 'sucre', 'chocolat ', '3%', ' ', 'sucre', 'beurre de cacao', 'cacao sec dégraissé', 'cacao', 'crème ', 'fécule de pomme de terre', 'gélifiant : carraghénanes', 'poudre de lait  écrémé']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,110,"2,5","18,3","3,1",,400 g,,['Netto'],,,,,,,,,,,460 kj(110 kcal),,,"1,7",,,"16,8",,,"0,1",,"0,04",,,,,,,,,,,,,,,,"['FR 44.187.001 CE', 'Saint-Père-en-Retz (Loire-Atlantique, France)']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,"['Lait', 'Soja', 'Anhydride sulfureux et sulfites']",,,,,,
1033,Jambon cuit Supérieur Fumé Avec Couenne - Netto - 200g (4tranches de 50g),3250391331291,['Netto'],"['Point Vert', 'Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise', 'Eco-Emballages']",['France'],"['Jambon de porc', 'gras et couenne de porc', 'sel', 'dextrose', 'gélatine', 'conservateurs : ascorbate de sodium', 'nitrite de sodium', ' arôme de fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",757,?,11,"0,6",20,C,200 g (4 tranches de 50 g),"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons blancs fumés']",['Netto'],11 g,en quantité modérée,3.9 g,en quantité modérée,0.6 g,en faible quantité,1.9 g,en quantité élevée,+37%,,757 kj(181 kcal),+34%,+107%,"3,9",+90%,-29%,"0,6",-8%,-2%,"1,9",-4%,"0,76",-4%,13,+62%,D,+62%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Frais', 'Barquette', 'Plastique']",['France'],['France'],"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']","['E428 - Gélatine', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,Jambon cuit fumé avec Couenne,,,,,
1034,Salade et apéro - dés de fromage - Paturages,3250391333837,['Paturages'],,['France'],"['Lait pasteurisé de vache', 'sel', 'ferments Iodiques', 'enzymes coagulantes', ' INFORMATIONS :']",['Non végétalien'],?,376,"29,5","0,5",27,,,,['Intermarché'],,,,,,,,,,,1573 kj(376 kcal),,,21,,,"0,5",,,"0,6",,"0,24",,,,,,,,,,,,,,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,
1035,Eau minérale naturelle Aix les bains,3250391386451,"['Aix', 'aix les    bains']",,['France'],"['CaFum 68 Bicarbonate 337 Mag', 'ntéwm 35 Sulfates 9 3,3 1,6 Nitrates Potassium Fluorures Nitrites pH=72 RZxà Mise/ n bouteille par : des Eaux dlAix les Bains oresy sur Aix- France 1']",[],?,0,0,0,0,,,['Boissons'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité élevée,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,"0,9",+2069%,"0,36",+2069%,3,-61%,C,-61%,,,,,,,,,,,,,,,,,,,,
1036,Boisson Pêche abricot - Look - 2000ml,3250391390380,['Look'],,['France'],"['Eau de source St Benoit ', '92%', 'jus de fruits à base de concentrés 12% ', 'pomme 6%', 'pêche 3%', 'abricot 3%', 'sucre', 'acidifiant : acide citrique', 'stabilisants : E414 - E445', 'arôme naturel', 'colorants : caroténoïdes - acide carminique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",162,?,0,"9,5",0,,2000 ml,"['Boissons', 'Boissons avec sucre ajouté']",['Intermarché'],0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,-64%,,162 kj(39 kcal),-56%,-100%,0,-100%,-52%,"9,3",-49%,-100%,0,-100%,0,-100%,13,+9%,E,+9%,,,,,,,,,,,,"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois', 'E160 - Caroténoïdes', 'E120 - Acide carminique']",4,,,,,,,
1037,Mix Exotique Idéal pour l'apéritif - Netto,3250391406418,['Netto'],,['France'],"['Raisins 30%', 'papaye 16%', 'ananas 16% sucre', 'noix de coco 10%', ' banane 8,3%', ' huiles végétales ', 'noix de coco', 'coton', 'maïs', ' tournesol colza', 'sucre de canne', 'acidifiant : acide citique', 'conservateur : anhydride sulfureux arôme naturel de banane']",[],?,392,"11,7",67,"2,1",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",['Netto'],11.7 g,en quantité modérée,10.3 g,en quantité élevée,57.3 g,en quantité élevée,0.275 g,en faible quantité,,-11%,1640 kj(392 kcal),-11%,-44%,"10,3",+100%,+35%,"57,3",+45%,-77%,"0,275",+124%,"0,11",+124%,19,+149%,E,+149%,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",3,,,,,,,
1038,Netto Puree Nature 8*,3250391415717,['Netto'],,['France'],"['Pommes de terre déshydratées ', '99%', ""émulsifiant : mono et diglycérides d'acides gras"", 'stabilisant : diphosphate disodique', 'colorant : curcumine', 'antioxydants : extrait de romarin', 'acide ascorbique', 'acidifiant : acide citrique', ' Traces éventuelles de sulfites et de lait']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,360,"0,6","81,17","7,7",,,,['Netto'],,,,,,,,,,,1506 kj(360 kcal),,,"0,3",,,"0,7",,,"0,075",,"0,03",,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide', 'E100 - Curcumine', 'E392 - Extrait de romarin', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",4,,,,,,,
1039,Merlot Pays d'Oc - La Croix du Pin - 5L,3250391433049,"['La Croix du Pin', 'Intermarché', 'Sélection Intermarché']","['Déconseillé à certaines catégories de personnes', 'Déconseillé aux enfants et aux femmes enceintes']",['France'],[],[],?,?,?,?,?,D,5 L,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Merlots']",['Intermarché'],,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,"['Carton', 'Plastique', 'Sac']",,,,,,,,,,,,
1040,Jus d'ananas - Paquito,3250391478958,['Paquito'],,['France'],"['Jus d’ananas à base de concentré', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,55,"0,5","12,9","0,6",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'ananas""]",['Intermarché'],0.5 g,en faible quantité,0.1 g,en faible quantité,11.6 g,en quantité élevée,0 g,en faible quantité,,+12%,230 kj(55 kcal),+12%,+176%,"0,1",+240%,+10%,"11,6",+4%,+69%,0,-100%,0,-100%,6,+17%,D,+17%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Brique'],,,"['EMB 45290', ""Saint-Martin-d'Abbat (Loiret, France)""]",['E300 - Acide ascorbique'],1,,,,,,,
1041,Pruneaux d'Agen dénoyautés - Netto - 500g,3250391488339,['Netto'],"['Sans conservateurs', 'IGP']",['France'],"[""Pruneaux d'Agen\rLes sulfites ont été supprimés"", 'important à signaler!']",[],1004,?,"0,19","53,6","1,8",E,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['Netto'],0.19 g,en faible quantité,0.06 g,en faible quantité,36.3 g,en quantité élevée,0.008 g,en faible quantité,-2%,,1004 kj(240 kcal),-1%,-47%,"0,06",-47%,+0%,"36,3",0%,-4%,"0,008",-42%,"0,003",-42%,-1,-146%,A,-146%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,"['Sachet', 'Plastique']",,['S.A.S. SAUVAUD 47440 CASSENEUIL FRANCE'],"['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']",,,,Pruneaux d'Agen dénoyautés Sans conservateur,,,,,
