,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,link,markets,additives,allergens,palm_ingredients,traceability_code,brand_owner
1163,Goma wakame,6926674100102,,['France'],[],[],?,87,364 kj(87 kcal),"2,3","0,342","14,8","0,342","1,5","2,39","0,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Thé noir (Yichang congou black tea),6926757055800,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,6926977400299,6926977400299,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Thé vert de chine,6926977400411,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,0,-100%,B,-100%,,,,,,,,,
1167,Black fungus,6927025711084,,['France'],[],[],?,68,285 kj(68 kcal),"0,6",0,"0,1",0,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,6927025711176,6927025711176,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Perle de tapioca,6927055989125,,['France'],[],[],?,190,795 kj(190 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Tapioca Pearl,6927055989262,,['France'],[],[],?,105,439 kj(105 kcal),0,0,0,0,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Soup,6927346900204,,['France'],[],[],?,75,314 kj(75 kcal),"2,9","1,5",10,"0,6","1,7","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,King soupe,6927346900389,,['France'],[],[],?,75,314 kj(75 kcal),"2,9","1,5",10,"0,6",1,"2,8","1,12",,,"['Plats préparés', 'Soupes']",2.9 g,en faible quantité,1.5 g,en quantité modérée,0.6 g,en faible quantité,,+32%,+32%,+49%,+148%,+74%,-65%,-55%,,,,,,,,,,,,2.8 g,en quantité élevée,+224%,+224%,11,+571%,D,+571%,,,,,,,,,
