,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,link,markets,additives,allergens,palm_ingredients,traceability_code,brand_owner
0,Datte - Oasis,6132158600017,['Oasis'],['France'],['Datte'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,120,502 kj(120 kcal),0,0,31,28,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DATTES DEGLET NOUR - Elwaha - 1Kg,6132158600062,['Elwaha'],['France'],[],[],?,120,502 kj(120 kcal),0,0,28,28,1,,,C,1 Kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,,-60%,-60%,-100%,-100%,-59%,-52%,-54%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,
2,Oughalim,6132183900007,,['France'],[],[],?,50,209 kj(50 kcal),10,0,10,0,0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dattes d'Algerie,6132196800011,,['France'],[],[],?,306,1280 kj(306 kcal),0,0,73,0,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dattes deglet nour,6132224900010,,['France'],[],[],?,153,640 kj(153 kcal),0,0,35,0,"1,1",,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-49%,-49%,-100%,-100%,-49%,-100%,-49%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,
5,Chipsou,6132500420126,,['France'],[],[],?,464,1941 kj(464 kcal),"20,3","3,2","64,6","0,4","3,6","2,19","0,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Extra - Ben Hammadi,6132500630266,['Ben Hammadi'],['France'],[],[],?,358,1498 kj(358 kcal),2,0,72,72,13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Glaçons à la fraise,6132500650073,,['France'],[],[],?,73,305 kj(73 kcal),"0,9",0,58,0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dattes - Zohra - 1kg,6132500680018,"['Zohra', 'Fekkai-Touati']",['France'],['Dattes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,306,1280 kj(306 kcal),"0,2",~ 0,70,70,"2,2",0,0,C,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",0.2 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,,+3%,+2%,-29%,-100%,+2%,+19%,+2%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,Dattes branchées,"['Plastique', 'Carton']",['Algérie'],1,0 g,en faible quantité,-100%,-100%,2,-59%,B,-59%,,,,,,,,,
9,Cacao el mordjene,6132500710173,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Loukoum -,6132501330905,,['France'],[],[],?,340,1423 kj(340 kcal),4,2,55,55,16,0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",4 g,en quantité modérée,2 g,en quantité modérée,55 g,en quantité élevée,,-4%,-4%,+103%,+302%,-33%,-13%,+1561%,,,,,,,,,,,,0 g,en faible quantité,-100%,-100%,15,+12%,D,+12%,,,,,,,,,
11,Loukoum aux Noisettes -  - 454g,6132501336143,,['France'],[],[],?,530,2218 kj(530 kcal),"29,5","29,5","58,5","58,5","6,6",0,0,,454 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",29.5 g,en quantité élevée,29.5 g,en quantité élevée,58.5 g,en quantité élevée,,+50%,+50%,+1397%,+5836%,-28%,-7%,+585%,,,,,,,,,,,,0.00017 g,en faible quantité,-100%,-100%,26,+94%,E,+94%,,,,,,,,,
12,Rigolo,6132501542766,,['France'],[],[],?,463,1937 kj(463 kcal),15,0,"64,4",20,"8,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Couscous d orge - Maison Lalou,6132501610045,['Maison Lalou'],['France'],['EXA'],[],?,335,1402 kj(335 kcal),0,0,74,"1,6",11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Couscous blé complet,6132501610113,,['France'],[],[],?,375,1569 kj(375 kcal),"2,2",0,75,0,"13,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jus de Citron,6132502910823,,['France'],[],[],?,55,230 kj(55 kcal),5,2,"13,2",7,"0,5",1,"0,4",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",5 g,en quantité modérée,2 g,en quantité modérée,7 g,en quantité élevée,,+104%,+105%,+3421%,+15404%,+270%,+322%,+48%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,1 g,en quantité élevée,+11048%,+11048%,8,,D,,,,,,,,,,
16,Ramy gout mangue,6132502911363,,['France'],[],[],?,53,222 kj(53 kcal),"0,05",0,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,
17,Mandarine - Zine Food - 2L,6132502913473,['Zine Food'],['France'],[],[],?,53,222 kj(53 kcal),"0,1","0,1","12,5","0,75","0,8",0,0,C,2 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",0.1 g,en faible quantité,0.1 g,en faible quantité,0.75 g,en faible quantité,,-38%,-40%,-73%,-40%,-37%,-96%,+48%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,Mandarine,"['Bouteille', 'Plastique']",,,0 g,en faible quantité,-100%,-100%,9,-24%,D,-24%,,,,,,,,,
18,Ramy peche,6132502919550,,['France'],[],[],?,53,222 kj(53 kcal),"0,1",0,"12,5","12,5","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Feuilles de brick - El Ayla - 10pièces,6132503030094,['El Ayla'],"['Algérie', 'France']","['Farine', 'Eau', 'Oeufs frais', 'Sel', 'Huile végétale', ' Conservateur E200']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,52,218 kj(52 kcal),"0,31",,"0,96",,"11,32",,,,10 pièces,['Feuilles de brick'],0.31 g,en faible quantité,,,,,,-80%,-80%,-73%,,-98%,,+88%,,,,,,,,,['Sachet'],,3,,,,,,,,,,"['Batna', 'Algerie']",http://www.diouls-elayla.com,['Epicerie'],"['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Farine']",,,
20,Couscous - Prestigiosa,6132503870027,['Prestigiosa'],['France'],"['Sel', 'Eau', ""Semoule d'orge"", 'Semoule']",[],?,355,1485 kj(355 kcal),"1,5",0,75,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dattes DEGLET Nous Algérie,6132504410161,,['France'],[],[],?,312,1305 kj(312 kcal),"0,64",0,"60,8",0,"1,7","0,017","0,007",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",0.64 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+6%,+6%,+100%,-100%,-9%,-100%,-26%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,0.017 g,en faible quantité,-34%,-34%,-3,-171%,A,-171%,,,,,,,,,
22,Sélection Boisson fruitée à la grenadine - FINE,6132504570032,['FINE'],['France'],"['Eau de source naturelle', 'sucre', 'concentré de grenadine', 'anti-oxydant', 'acide ascorbique', 'Vitamine C', 'régulateur d’acidité', 'arôme de grenadine', 'conservateur']",[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,['E300 - Acide ascorbique'],,,,
23,Pur jus,6132504570131,,['France'],[],[],?,41,172 kj(41 kcal),0,0,"8,7","8,7","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Farine sans gluten,6132505780324,,['France'],[],[],?,333,1393 kj(333 kcal),1,0,76,0,5,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de gluten']",1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-43%,-100%,+9%,-100%,-52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ananas Agrum - N'Gaous - 1L,6133018001951,"[""N'Gaous""]",['France'],"['Eau', 'sucre', ""concentré d'ananas"", ""concentré d'orange"", ""pulpe d'orange"", ""arôme d'agrumes"", 'agent de carbonatation : CO2', ""régulateur d'acidité : acide citrique"", 'stabilisant : carboxyméthylcellulose', 'pectine', 'antioxydant : acide ascorbique', 'colorant : jaune orangé', 'conservateur : sorbate de potassium']",[],?,49.67,208 kj(49 kcal),"0,02","0,02","12,29","12,29","0,07","0,001",0,,1 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Boissons avec sucre ajouté']",0.02 g,en faible quantité,0.02 g,en faible quantité,12.3 g,en quantité élevée,,+60%,+60%,-64%,+80%,+64%,+67%,-3%,,,,,,,,Boisson fruitée gazeuse,"['Bouteille', 'Plastique']",,4,0.00085 g,en faible quantité,-92%,-92%,16,+60%,E,+60%,['International Trophy for Quality Paris 2014'],['Algérie'],,,"['E330 - Acide citrique', 'E466 - Carboxyméthylcellulose', 'E440 - Pectines', 'E300 - Acide ascorbique', 'E110 - Jaune orangé S', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
26,Agrumes,6133018001968,,['France'],[],[],?,50,209 kj(50 kcal),"0,03",0,"12,38",0,"0,09","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,N'gaous orange sanguine,6133018001975,,['France'],[],[],?,56,234 kj(56 kcal),"0,04","0,04","13,23","6,5","0,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,N'gaous,6133018002095,,['France'],[],[],?,2,8 kj(2 kcal),"0,04","0,01","13,23",1,"0,77",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Boisson Fruitée Gazeuse Menthe Citro,6133018002538,,['France'],[],[],?,53,222 kj(53 kcal),0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jus d'orange,6133018002743,,['France'],[],[],?,5,21 kj(5 kcal),"0,1",0,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,
31,Boisson raison et mûres,6133018003108,,['France'],[],[],?,54,226 kj(54 kcal),0,0,"13,4",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,N'gaous raisin et mûres,6133018003306,,['France'],[],[],?,56,234 kj(56 kcal),"0,1","0,1","13,4","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Huiles de graines de nigelle -,6133074000011,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de graines', 'Huiles de graines de nigelle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Rayane,6133123000160,,['France'],[],[],?,276,1155 kj(276 kcal),"5,5",2,45,9,"9,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,La vraie Béchamel - Jumbo,6133320000314,['Jumbo'],['France'],[],[],?,412,1724 kj(412 kcal),12,0,0,0,"8,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Pate a tartiner aux noisettes,6133337000932,,['France'],[],[],?,464,1941 kj(464 kcal),2,1,"62,22",25,"35,1",1,"0,4",D,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",2 g,en faible quantité,1 g,en faible quantité,25 g,en quantité élevée,,-15%,-16%,-94%,-87%,+22%,-46%,+406%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,1 g,en quantité modérée,+862%,+862%,14,-32%,D,-32%,,,,,,,,,
37,DATTES - Taïbatte - 1kg,6133377000190,['Taïbatte'],['France'],['DATTES BRANCHÉES'],[],?,153,640 kj(153 kcal),"0,1",0,36,35,"1,1",0,0,C,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour', 'Aliments à base de plantes séchés']",,,,,,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,DATTES,['Boite en carton'],['Algérie'],,,,,,,,,,,['Algérie'],,['AZ sasu 45 rue Heurtault 93300 Aubervilliers'],,,,,
38,Nuts Crousti cacahuètes,6133410000057,,['France'],[],[],?,560,2343 kj(560 kcal),45,45,11,0,"27,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yaourt,6133430000167,,['France'],[],[],?,148,619 kj(148 kcal),"0,8",0,"26,88","7,88","8,34",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Labelle,6133489000521,,['France'],[],[],?,46,192 kj(46 kcal),0,0,12,12,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pate trida,6133964000107,,['France'],[],[],?,183,766 kj(183 kcal),"5,82","2,85","30,55",1,"13,3",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Dattes rebahi - 1kg,6134069000023,['Rebahi'],['France'],[],[],?,360,1506 kj(360 kcal),0,0,73,0,"2,2","0,1","0,04",C,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+23%,+22%,-100%,-100%,+9%,-100%,-4%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,['Algérie'],,0.1 g,en faible quantité,+289%,+289%,-2,-147%,A,-147%,,,,,,,,,
43,Orange pêche,6134091002248,,['France'],[],[],?,51,213 kj(51 kcal),"0,1","0,1","11,7","11,7","0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ramy agrumes,6134091002453,,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,5",0,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sevendates RAZAN,6134266000178,['Razan'],['France'],['Dates'],[],?,276,1155 kj(276 kcal),"0,14",0,"74,3","66,7",2,"0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,
46,Guidillas en vinagre,6134274000672,,['France'],[],[],?,40,167 kj(40 kcal),2,0,0,0,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jus d'orange gazefié,6134318001689,,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,1",12,12,"0,5","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amazone boisson au jus,6134318002259,,['France'],[],[],?,56,234 kj(56 kcal),"0,5","0,1",13,0,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Moresco - Plaisir Du Chocolat,6134328000153,['Plaisir Du Chocolat'],['France'],"['Sucre', 'Beure de cacao', 'Lait 26%', 'Masse de cacao', 'Emulsifiant lécithine de Soja', 'Arôme caramel', 'Vanilline']",['Non végétalien'],?,526,2201 kj(526 kcal),"30,2",0,"54,9","40,4","4,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,['Lait'],,,
50,Soda Goût Citron,6134337000045,,['France'],[],[],?,52,218 kj(52 kcal),1,1,13,1,"0,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Boisson gazeuse goût ananas,6134337000250,,['France'],[],[],?,52,218 kj(52 kcal),"0,1",0,13,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Muffin,6134387000415,,['France'],[],[],?,450,1883 kj(450 kcal),"28,78",0,"53,96","53,96","7,32","1,074","0,43",,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",28.8 g,en quantité élevée,0 g,en faible quantité,54 g,en quantité élevée,,+14%,+13%,+42%,-100%,+11%,+101%,+41%,,,,,,,,,,,,1.07 g,en quantité modérée,+45%,+45%,19,+23%,E,+23%,,,,,,,,,
53,Boisson au jus,6134427001020,,['France'],[],[],?,46,192 kj(46 kcal),"0,1",0,"11,5",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Halawa Tahinia - Sherazad,6134446000035,['Sherazad'],['France'],"['Pâte de sèsame - Sucre - Sirop de glucose - Monog\\ycéride s', ' Emulsifiant ', 'SIN471', "" - Extrait de racine pour - Acide citrique : Régulateur d'acidité "", 'SIN330', ' - ', 'Arôme artificiel', 'Peut contenirdes traces de fruits à coques', ' - - ', 'SIN 471', ' : - ', ""SIN 330'"", ' JJSO : b']","[""Pourrait contenir de l'huile de palme""]",?,550,2301 kj(550 kcal),30,5,50,30,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,['Sans colorants'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",,,,
55,Halva Turc Noix,6134460001797,,['France'],[],[],?,0,0 kj(0 kcal),21,0,64,0,12,"0,021","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Capellini n1 - Barilla - 1kg,6134511808078,['Barilla'],['France'],[],[],?,?,,?,,?,,?,,,,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Madeleines,6134594000048,,['France'],[],[],?,315,1318 kj(315 kcal),12,12,15,6,3,14,"5,6",B,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",12 g,en quantité modérée,12 g,en quantité élevée,6 g,en quantité modérée,,-29%,-28%,-47%,+73%,-72%,-78%,-47%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,14 g,en quantité élevée,+1628%,+1628%,24,+30%,E,+30%,['Halal'],,,,,,,,
58,Pain artisanal,6134602000305,,['France'],[],[],?,261,1092 kj(261 kcal),"2,7","0,55",49,"5,5","8,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dattes d'Algerie - Deglet Noor,6134690000010,['Deglet Noor'],['France'],[],[],?,282,1180 kj(282 kcal),?,0,?,63,2,2,"0,8",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",,,0 g,en faible quantité,63 g,en quantité élevée,,-4%,-4%,,-100%,,+9%,-13%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,2 g,en quantité élevée,+7682%,+7682%,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
60,Sauce algerienne,6134718000152,,['France'],[],[],?,250,1046 kj(250 kcal),20,20,"16,5",1,1,1,"0,4",,,"['Epicerie', 'Sauces', 'Sauces algériennes']",20 g,en quantité modérée,20 g,en quantité élevée,1 g,en faible quantité,,-48%,-47%,-56%,+457%,+7%,-91%,-36%,,,,,,,,,,,,1 g,en quantité modérée,-46%,-46%,17,-7%,D,-7%,,,,,,,,,
61,Sauce salade vinigrette,6134718000220,,['France'],[],[],?,230,962 kj(230 kcal),16,0,10,2,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Premium dattes algeria,6134801000014,,['France'],[],[],?,306,1280 kj(306 kcal),"0,2","0,1",73,1,"2,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Palfieto,6134856000014,,['France'],[],[],?,528,2209 kj(528 kcal),29,"8,64","60,3",29,"6,5","1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Huile d'olive vierge,6134910000257,,['France'],[],[],?,120,502 kj(120 kcal),14,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pokémon Chips Goût Fromage -,6135030000073,,['France'],"['Flocons de Pomme de Terre Farine de Riz', 'Farine de Blé', 'Farine de Maïs', 'Poudre de _Lait', 'Fibre de Betterave', 'Huile Végétale ', 'Oléine de Palme', 'Sel', 'Sucre', 'Eau', 'Arôme Additifs alimentaires : émulsifiant Sin 471 ', 'E471', 'Exhausteur de Goût Sin 621 ', 'E621', 'Antioxydant Sin 330 ', 'E330', 'Maltodextrine']","['Huile de palme', 'Non végétalien']",?,505,2113 kj(505 kcal),"32,5",0,49,0,"4,3","0,659","0,264",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Produits sous license']",32.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+33%,+35%,+141%,-100%,-9%,-100%,-1%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,4,0.659 g,en quantité modérée,+185%,+185%,6,-61%,C,-61%,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Gluten', 'Lait']",['Oléïne de palme'],,
66,Farine ELBASRA,6135180000015,,['France'],[],[],?,0,0 kj(0 kcal),1,0,73,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Dani,6135216000132,,['France'],[],[],?,52,218 kj(52 kcal),"0,1",0,13,13,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Dessert fruitier - Andros - 16,6139722713449,['Andros'],['France'],[],[],?,?,,?,,?,,?,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,
69,Fritelle,61321854,,['France'],[],[],?,444,1858 kj(444 kcal),15,"1,2",69,1,"7,3","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Nougat aux noix de cajou - Aitana,61337077,['Aitana'],['France'],"['Nougat mou noix de Cajou Ingredients ', ' sucre,sirop de glucose,noix de Caiou ', '24 Z', ""d'eff pain azyme "", 'fécule de pomMe de terra huile de tournesol', 'arôme de vanille', "" Peut contenir des traces d'autres fruits a coque"", 'arachides et sésame', ' Garder dans un endroit frais et sec', ' A consommer avant le', ""' voir emballage""]",[],?,419,1753 kj(419 kcal),10,1,73,65,7,"0,05","0,02",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",10 g,en quantité modérée,1 g,en faible quantité,65 g,en quantité élevée,,-5%,-5%,-34%,-29%,+8%,+13%,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,4,0.05 g,en faible quantité,-33%,-33%,15,-4%,D,-4%,,,,,,,,,
71,Nougat - Aitana,61337107,['Aitana'],['France'],"['EUR/KG fruits à coque ou', 'uf trac"" Ve - s{èsame earder ans lin enrUr01t trais et ner avant s pour s 1ères Itnes ea se prot—']",[],?,435,1820 kj(435 kcal),13,1,71,65,8,"0,08","0,032",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",13 g,en quantité modérée,1 g,en faible quantité,65 g,en quantité élevée,,-3%,-3%,-21%,-49%,+9%,+19%,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,0.08 g,en faible quantité,+6%,+6%,15,-6%,D,-6%,,,,,,,,,
