,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,labels,traceability_code,additives,allergens,nova_score,quantity,packaging,palm_ingredients,generic_name,manufacturing,ingredients_origins,link
375,Bouillon de legumes,4250085774730,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés']",['France'],[],[],,,,,,,,,?,,330,+123%,1381 kj(330 kcal),+119%,"19,4",+205%,"0,3",-89%,"35,7",+94%,"7,9",+40%,"1,6",-56%,34,+53%,"13,6",+53%,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
376,Feigen,4250085776383,,,,['France'],[],[],,,,,,,,,?,,246,,1029 kj(246 kcal),,"1,3",,"0,2",,55,,55,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
377,Confiture a la fraise - Fruchtige,4250085778301,D,['Fruchtige'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],"['eau', ""gélifiant : pectine d'agrumes"", 'acidifiant: citrique', ""correcteur d'acidité : citrate de calounl ?issus de liagriculture biologique contrôlée I le dans l'acide citrique permet aux pec?nes d'entrer en ln rediënten: aardbeien* "", '45 0%', ' lietsuiker*', 'water', 'eermiddel: citruspectinet voedingszuur: citroenzuu', 'l urteregelaar: calaumcitraatl I / t!oqischeteelt I het natuurlijke zoutvan citroenzuur pectine mogelijk', ' dern Offnen gekühltla ern ', 'max', ' 70C', ' conserver au ', 'max', ' 70C', ' I Na opene *aeld bewaren ', 'max 7 oc']",[],0.2 g,en faible quantité,0 g,en faible quantité,38 g,en quantité élevée,0.01 g,en faible quantité,?,,158,-27%,661 kj(158 kcal),-28%,"0,2",-17%,0,-100%,38,-28%,38,-25%,"0,4",-10%,"0,01",-56%,"0,004",-56%,4,-54%,C,-54%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Bio'],,"['E440 - Pectines', 'E330 - Acide citrique']",,4,,,,,,,
378,Fruchtaufstrich Himbeere,4250085778387,,,,['France'],[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,"0,2",,0,,38,,38,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,,
379,Champignons Im Glas,4250085778714,,,,['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,"0,2",,"0,1",,1,,"0,5",,3,,"0,9",,"0,36",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-039']",,,,,,,,,,,
380,Petit pois carotte,4250085778721,,,,['France'],[],[],,,,,,,,,?,,53,,222 kj(53 kcal),,"0,3",,"0,1",,"7,2",,"4,5",,"3,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
381,Green Bio Brechbohnen Im Glas (660 G) - Green organics - 680g,4250085778745,,['Green organics'],['de:Brechbohnen'],"['France', 'Allemagne']",[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.45 g,en quantité modérée,?,,26,,109 kj(26 kcal),,"0,3",,"0,1",,"2,9",,"0,8",,"1,6",,"0,45",,"0,18",,1,,B,,,,,,,,,,['Bio'],,,,,680g,,,,,,
382,"Green Tomaten, Geschält",4250085778783,,,,['France'],[],[],,,,,,,,,?,,26,,109 kj(26 kcal),,"0,5",,"0,1",,"4,5",,"1,8",,"1,3",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
383,Spiralen,4250085779117,,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"0,3",,"0,1",,73,,1,,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
384,Lasagne,4250085779520,,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,1,,"0,1",,75,,2,,12,,"0,005",,"0,002",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
385,Spaghetti Sauce,4250085779834,,,"['Epicerie', 'Sauces', 'Sauces pour pâtes']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,3.7 g,en faible quantité,1.9 g,en quantité élevée,?,,27,-80%,113 kj(27 kcal),-80%,"0,5",-95%,"0,1",-94%,"4,5",-32%,"3,7",-21%,"1,1",-67%,"1,9",+50%,"0,76",+50%,8,+58%,C,+58%,,,,,,,,,['Bio'],,,,,,,,,,,
386,Sirop d'agave,4250085782070,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,,,?,,305,-2%,1276 kj(305 kcal),-2%,0,-100%,0,-100%,75,-2%,75,+3%,"0,1",+34%,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,
387,Greenorganics Apfelsaft 100% Direktsaft,4250085786054,,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,1",,0,,11,,"10,5",,"0,1",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
388,Jus de pomme pétillant - green organics - 1L,4250085786351,B,['green organics'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'Jus de pomme pétillants']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,6.2 g,en quantité modérée,,,?,,29,-38%,121 kj(29 kcal),-39%,"0,1",-8%,0,-100%,"6,66",-41%,"6,2",-39%,"0,06",-38%,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,"['Bio', 'Bio européen', 'DE-ÖKO-007']",,,,,1L,,,,,,
389,Apfelmark,4250085788010,,['Apfelmark'],,"['France', 'Portugal']",[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,"13,8",,"10,4",,"0,3",,"0,001",,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
390,Pulpe pomme-banane - Greenorganics,4250085788126,,['Greenorganics'],,['France'],"['pommes* ', '80%', 'compote de banane* ', '20%', "" issus de l'agriculture biologique contrôlée""]",[],,,,,,,,,?,,59,,247 kj(59 kcal),,"0,2",,0,,"15,6",,"10,8",,"0,5",,"0,001",,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
391,Cracker proteine,4250093339716,,,,['France'],[],[],,,,,,,,,?,,442,,1849 kj(442 kcal),,"18,6",,"2,7",,"40,3",,"2,1",,23,,"1,81",,"0,724",,,,,,,,,,,,,,,,,,,,,,,,,
392,Protein cracker,4250093339723,,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,"18,6",,"2,7",,"37,1",,"3,9",,"22,9",,"2,06",,"0,824",,,,,,,,,,,,,,,,,,,,,,,,,
393,Crackers espeleta girassol papiila,4250096905215,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Quellwasser - Maxum - 5l,4250106606941,,['Maxum'],['Boissons'],"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,5l,['Kunststoff'],,,,,
395,Produktbeschreibung,4250107630655,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,,
396,Miradent Xylitol Chewing Gum Canneberge,4250107658086,,['Miradent'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",['France'],"['Chewing gum parfum canneberge', ' Ingrédients gomme base', 'arôme', ' glycèrtr,•', 'gomme arabique', 'ma}iquev ', 'de soja', 'couvant : Cite dlabeilie', 'antm', 'dant BHV énergétique par gomme Calories 1,7', 'lipides 0 g', 'sodium O : O Dosage journalier recommandé effet g 3 gommes', ' : Jour pendùnt 20 ACL 4718131 peut 630']",[],1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-99%,4 kj(1 kcal),-99%,1,+408%,0,-100%,"0,72",-99%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,"[""E414 - Gomme d'acacia""]",['Soja'],4,,,,,,,
397,Easy Gourmet Hot Fire Chili-Ingwer - 125ml,4250115710134,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,125 ml,,,,,,
398,Japanese style sausage,4250127412804,,,,['France'],[],[],,,,,,,,,?,,309,,1293 kj(309 kcal),,27,,12,,"2,4",,"1,1",,13,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
399,Mixed Nut Bar,4250129821079,,,,['France'],[],[],,,,,,,,,?,,486,,2033 kj(486 kcal),,"31,4",,"2,9",,"47,4",,"37,6",,"12,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
400,Mixed Nut Bar,4250129821079,,,,['France'],[],[],,,,,,,,,?,,486,,2033 kj(486 kcal),,"31,4",,"2,9",,"47,4",,"37,6",,"12,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
401,Torrone Chocolate,4250150680201,,,,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,"32,9",,"19,1",,"57,2",,"53,9",,"1,2",,"0,17",,"0,068",,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,
402,Punica Multivitamin - 1l,4250155406264,,['Punica'],['Boissons'],"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,1 l,['Flasche(n)'],,,,,
403,Punica Fruchtig Rot,4250155406288,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Punica, Cool Orange, Saft & stilles Wasser - 1.25l.",4250155406394,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,1.25 l.,['Bouteille'],,,,,
405,Jus fruits légumes,4250155406912,,,,['France'],[],[],,,,,,,,,?,,15,,63 kj(15 kcal),,"0,4",,"0,1",,"3,4",,"3,3",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
406,Punica Frucht + Gemüse Apfel Kiwi Gurke - PepsiCo,4250155406936,,['PepsiCo'],,['France'],"['Wasser', 'Apfel - ', '22%', ' und Melonensaft aus Fruchtsaftkonzentraten', 'Kiwipüree ', '3%', 'Gurkens ', '3%', 'Siuerungsmittel Zitronensâure', 'natürliches Aromat Vitamin C', 'Verdickungsmittel Pektin Süflungsmittel ', 'Natriumcyclamat', 'Saccharin-Natrium']",[],,,,,,,,,?,,12,,50 kj(12 kcal),,"0,4",,"0,1",,"2,7",,"2,6",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
407,Green Machine Naked Antioxidant,4250155406998,,,,['France'],[],[],,,,,,,,,?,,57,,238 kj(57 kcal),,"0,1",,"0,1",,"11,7",,"11,5",,"0,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
408,Multivitamins blue machine,4250155407018,,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"0,1",,"0,1",,"11,6",,"11,6",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans colorants']",,,,,,,,,,,
409,Pain aux graines Fischer,4250167417852,,,,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,"5,3",,"0,8",,40,,"0,7",,"5,7",,"1,3",,"0,52",,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Allemagne']",,,,,,,,,,,
410,Porridge,4250199100326,,,,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,"6,9",,"1,3",,"58,6",,"0,7",,13,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
411,Fitness Müsli - Schuhbeck,4250199100418,B,['Schuhbeck'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Céréales aux fruits', 'Flocons extrudés', 'Mueslis aux fruits']",['France'],"['Haferflocken 65%', 'Sojaextrudat', 'Pflanzenöl ', 'Rapsöl', 'Oligofruktosesirup', 'Süssungsmittel: Steviolglykoside und Isomalt', 'Rosinen 6', '2%', 'Sojamehl', 'getrocknete Äpfel 3', '1%', 'Haselnüsse 2', '2% Weizenflocken', 'brauner unraffinierter Zucker', 'Gerstenmalz', 'Weizenmehl', 'Quinoaflocken', 'Gewürze', 'Emulgator: Sonnenblumenlecithin', 'Vitamin E', ' Alle enthaltenen Flocken sind Vollkornflocken', 'Allergenhinweis: Enthält Gluten', 'Soja und Haselnüsse', 'Kann Spuren von Erdnüssen', 'Milch und Sesam enthalten,']",[],12 g,en quantité modérée,1.4 g,en faible quantité,13.3 g,en quantité élevée,0.3 g,en quantité modérée,?,,409,+3%,1711 kj(409 kcal),+2%,12,+13%,"1,4",-48%,50,-19%,"13,3",-26%,"20,5",+114%,"0,3",+107%,"0,12",+107%,-1,-129%,A,-129%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,"['Gluten', 'Fruits à coque', 'Soja']",4,,,,,,,
412,Gasflasche - 430g,4250205812502,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,430 g,['Flasche'],,,,,
413,Pain Aux Diverses Graines - Poensgen,4250208800049,,['Poensgen'],,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,"2,7",,"0,3",,"51,6",,"1,5",,"5,4",,"1,575",,"0,63",,,,,,,,,,,,,,,,,,,,,,,,,
414,Dunkles Brot - Pain gris sans gluten 500G - Poensgen,4250208800209,,['Poensgen'],,['France'],"['amidon de froment exempt de gluten', 'eau', 'levure', 'farine de lupin', 'sirop de caramel epaissisant farine de guar', 'sel poudre de lait écrémé', 'poudre de petit lait', 'dextose', 'poudre caramel', 'amidon de maïs fermenté', 'conservateur:  popionate de calcium', 'émulsifiant lécithine de tournesol', ' Cuit au levain naturel']",['Non végétalien'],,,,,,,,,?,,235,,983 kj(235 kcal),,"0,8",,"0,1",,"51,6",,"6,6",,"2,3",,"1,4",,"0,56",,,,,,,,,,,,,,['en:gluten-free'],,,['Lupin'],4,,,,,,,
415,Popcorn Company Popcorn Cinema Sucré Seau - PCO,4250221302544,,['PCO'],,['France'],"['grains de maïs éclates ', '60%', 'huile de colza sucre ', '20%']",[],,,,,,,,,?,,501,,2096 kj(501 kcal),,25,,"1,9",,59,,29,,"5,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
416,Europapark Schokopopcorn - Pco,4250221307600,,['Pco'],,['France'],"['Sugar', 'glucose syrup', 'glucose-fructose-syrup', 'corn', 'palm fat', 'coconut fat', 'rapeseed oil', 'cocoa ', '2%', 'iodized cookjrg Salt', 'chocolate aroma', 'emulsifier: sunflower lecithins', 'sunflower oil Store in a cool and dry place', ' Keep out of sunlight Best before: see lid Hergestellt in Deutschland', ' Produced in Germany', 'loog Durchschnittliche Average nutritional je / per Energie I Energy davon']",['Huile de palme'],,,,,,,,,?,,423,,1770 kj(423 kcal),,"9,1",,"4,7",,78,,47,,6,,"1,2",,"0,48",,,,,,,,,,,,,,['Fabriqué en Allemagne'],,['E322 - Lécithines'],,4,,,,,,,
417,Popcorn toffee - Pco,4250221313311,,['Pco'],,['France'],"['maïs', 'sucrersirop de glucose', 'sirop de glucose- fructose,huile de palmet huile de cocot huile de colza', 'sirop de betterave sucrière', 'sel de cuisine iodé', 'farine de blé complète', 'concentré de jus de fruits ', 'citron vert', 'citron', 'farine de seigle complète', 'carbonates de sodium', 'émulsifiant: lécithine de tournesol', 'huile de tournesol', ' À conserver au frais et au sec,']",[],,,,,,,,,?,,419,,1753 kj(419 kcal),,"8,8",,"3,6",,77,,37,,"4,6",,"1,1",,"0,44",,,,,,,,,,,,,,,,['E322i - Lécithine'],,4,,,,,,,
418,Pop corn white chocolat blanc - K pop  - 125g,4250221313458,,['K pop'],,['France'],[],[],,,,,,,,,?,,497,,2079 kj(497 kcal),,23,,14,,69,,62,,"3,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,125g,,,,,,
419,Crunchy pop corn,4250221314769,,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,"9,7",,"5,2",,77,,48,,"3,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
420,Popcorn salé,4250221314837,B,,"['Snacks', 'Snacks salés', 'Popcorn', 'Popcorn salé']",['France'],[],[],24 g,en quantité élevée,2 g,en quantité modérée,2.3 g,en faible quantité,1.8 g,en quantité élevée,?,,475,+6%,1987 kj(475 kcal),+6%,24,+18%,2,-63%,51,-3%,"2,3",+17%,"8,4",-2%,"1,8",-13%,"0,72",-13%,13,-13%,D,-13%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,,,,
421,Pop Corn -,4250221315933,B,,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",['France'],"['Maïs ', '60 %', 'huile de colza', 'sucre ', '20 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",25 g,en quantité élevée,1.9 g,en quantité modérée,29 g,en quantité élevée,0.01 g,en faible quantité,?,,501,+12%,2096 kj(501 kcal),+12%,25,+61%,"1,9",-48%,59,-13%,29,-4%,"5,8",+1%,"0,01",-96%,"0,004",-96%,13,0%,D,0%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,3,,,,Pop Corn,['Pologne'],,
422,So moi moche et méchant 3,4250221388654,,,,['France'],[],[],,,,,,,,,?,,6,,25 kj(6 kcal),,5,,3,,2,,2,,2,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,
423,Gelee Bananen mit Zartbitterüberzug - Böhme,4250231147159,,['Böhme'],,['France'],"['ele Bananen mit 17% Zartbitterschokolade überzogen', ' bten Cker', 'Glukosesirup', 'Wasser', 'Kakaomasse', 'Säuerungsmittel:Citronensäure', 'Geliermittel: Agar-Agar', 'Kakaobut - nes Aroma', 'Emulgator: Sonnenblumenlecithine', 'Kokosöl', ' Hergestellt in einem Betrieb', 'der Schalenfrüchte', 'Ednis se', 'Soja', 'Ei-', 'Milch-und Getreideprodukte verarbeitet', ' Kühl und trocken lagen', ' Hergestel in Deutschland', ' Mindestens haltbar bis Ende: siehe Aufdruck']",['Non végétalien'],,,,,,,,,?,,372,,1556 kj(372 kcal),,"8,5",,"5,3",,72,,59,,"1,8",,"0,08",,"0,032",,,,,,,,,,,,,,['Contient du lait'],,"['E330 - Acide citrique', 'E406 - Agar-agar']","['Œufs', 'Soja']",4,,,,,,,
424,Cornichons,4250239100064,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,1.1 g,en quantité modérée,?,,124,+359%,519 kj(124 kcal),+385%,"0,1",-66%,0,-100%,"4,9",+42%,"1,5",-43%,"0,4",-60%,"1,1",-36%,"0,44",-36%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
425,4250239109852,4250239109852,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Весёлые грцбочкц - Волшеная Печка,4250239117406,,['Волшеная Печка'],,['France'],"['Fettglasur 66%', ' ', 'Zucker Palmfett 2um Teil']",[],,,,,,,,,?,,439,,1837 kj(439 kcal),,"26,1",,"22,5",,"47,4",,"45,3",,"3,6",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
427,Filet de colin - Iglo,4250241200141,,['Iglo'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",['France'],[],[],4.4 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,96,-25%,402 kj(96 kcal),-24%,"4,4",+4%,"1,4",+154%,"2,7",-61%,1,+57%,11,-23%,1,+83%,"0,4",+83%,1,,B,,,,,,,,,,,,,,,,,,,,,
428,Fischstäbchen - 200g,4250241202251,E,,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Batonnets de poisson']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,,,,,200 g,,,,,,
429,Apfel-Rotkohl - Iglo,4250241203661,B,['Iglo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus', 'Chou rouge', 'Chou rouge boulli']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,36.5%,0.0%,14.3%,14.6%,20.9%,13.7%,86,,['Sans arômes ajoutés'],,,,,,,,,,,
430,Schlemmer filet picante - Iglo - 380g,4250241204132,,['Iglo'],,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"5,1",,"0,7",,"2,3",,"1,4",,11,,1,,"0,4",,,,,,,,,,,,,,"['Sans arômes ajoutés', 'Pêche durable', 'Pêche durable MSC']",['MSC-C-50470'],,,,380 g,,,,,,
431,Bunte Nudelpfannz mit Hähncheb - Iglo,4250241207003,,['Iglo'],,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"5,2",,"3,4",,12,,"1,9",,"5,5",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
432,Puzsta-Salat - 670g,4250262708022,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,670 g,,,,,,
433,Groene Pesto,4250273940022,,,,['France'],[],[],,,,,,,,,?,,345,,1443 kj(345 kcal),,"28,9",,"18,6",,"0,5",,"0,5",,"20,7",,"1,65",,"0,66",,,,,,,,,,,,,,,,,,,,,,,,,
434,Roccat Khan Pro,4250288143814,,['Roccat'],,['France'],"['a Son Haute résolution avec des pilotes délivrant des aigus', ""médiums et graves plus riches • Coussins d'écoute confortables en mousse mémorielle pour de longues utilisations • Microphone réaliste pour transmettre votre voix naturelle avec une grande clarté Suppression du bruit de qualité"", 'même dans les environnements les plus bruyants Multiplateforme : compatible PC', 'Mac', 'PS4', ""Xbox Ont$ et mobiles Contrôle du volume sur les écouteurs et désactivation automatique du micro • Léger comme une plume avec un poids de seulement 230 grammes Articulation à 950 pour s'adapter à toutes les têtes Conception solide avec matériaux de qualité""]",[],,,,,,,,,?,,5,,21 kj(5 kcal),,2,,"0,2",,2,,2,,50,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
435,Quinoa Hirse Mahlzeit - 300g,4250297601114,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,
436,Yambam Peanutbutter Caramel - Body Attack,4250350506905,,['Body Attack'],,['France'],"['GERMANY ""*Zutaten: Vo!fmilchschokofade 28% ', 'SüBungsmitteT Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Emulgatore', 'Soja-Lecithin', 'Aroma', '$ Proteinmtschung 19% ', 'Molkenprotein-Konzentrat', 'sojaprotejn-fsolat', 'Kollagenhydrolysat', 'Feuchttaltemittel ', 'Glycerin', 'Erdnüsse 9%', 'SüBungsmittel ', 'Maltit Sirup', 'Wasser', 'Palmfett', 'Farbstoff ', 'Zuckerkulôr', 'Aromas Emuigator ', 'Sonnenblumen-Lecithin', 'Saiz', 'SüBungsmittej ', 'Sucratose', 'Hinweis: Kann bei übermàBigem Verzehr abführend wirken', ' kZ*éhgredienb: Whole milk chocolate 28% ', 'Sweetener ', 'Maltitol', 'Cocoa butter', 'Whole milk powder', 'Cocoa mass', 'Emulsifier ', 'Soy lecithin', 'Flavouring', 'Protein blend 19% ', 'Whey protein concentrate', 'protein isolate', 'Hydrolysed collagen', 'Humectant ', 'Glycerine', 'Peanuts 9%', 'Sweetener ', 'Maltitol syrup', 'Water', 'Palm fat', 'Colouring ', 'Caramel cotouring', 'Fiavouring', 'Emulsifier ', 'Sunflower lecithin', 'may induce laxative effects']",[],,,,,,,,,?,,395,,1653 kj(395 kcal),,19,,9,,35,,"4,9",,33,,"0,4",,"0,16",,,,,,,,,,,,,,"['Fabriqué en Allemagne', 'Pur beurre de cacao']",,"['E422 - Glycérol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E150 - Caramel']","['Arachides', 'Soja']",4,,,,,,,
437,CARB CONTROL,4250350514030,,,,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,15,,"7,8",,22,,"0,6",,45,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
