,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,labels,traceability_code,additives,allergens,nova_score,quantity,packaging,palm_ingredients,generic_name,manufacturing,ingredients_origins,link
11,Assortiment couscous,40882703,,,,['France'],[],[],,,,,,,,,?,,701,,2933 kj(701 kcal),,11,,"3,6",,"9,6",,"5,8",,"6,7",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
12,Délice légumes riz et colin d'Alaska,40882796,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"1,8",,"0,2",,"7,3",,"1,2",,"2,6",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,
13,Menu enfant epinards pdt saumon,40882826,,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"1,9",,"0,4",,"6,5",,"0,8",,3,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,
14,Pavé de saumon,40882970,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],[],[],13 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,?,,197,+4%,824 kj(197 kcal),+4%,13,+10%,"2,2",+8%,"0,5",+20%,0,-100%,20,-1%,"0,1",-72%,"0,04",-72%,-1,,A,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
15,Soccer balls classic,40884264,,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,"13,9",,"2,9",,18,,"5,6",,"13,6",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
16,Céréales croustillantes - Crownfield,40884745,,['Crownfield'],,['France'],"['farines ', 'farine de blé complet', 'farine de blé', 'farine de riz', 'sucre', '6,4 0% préparation sucrée [1,88% sucre', 'huiles végétales ', 'colza', 'palme', 'coco', 'lait en poudre écrémé', 'dextrose', ' matière grasse butyrique ', 'lait', 'arôme naturel', '2 cacao en poudre', 'sel', ""émulsifiant : mono* et diglycérides d'acides gras "", ' caramel', 'arômes', ' LIOOg de produit sont élaborés à partir de 35g de farine de blé complet et 27g de farine de blé', "" Traces éventuelles d'autres céréales contenant du gluten"", 'de fruits à coque', ""d'arachides et de lait""]","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,253,,1059 kj(253 kcal),,"3,6",,"1,6",,"44,3",,19,,"9,2",,"0,5",,"0,2",,,,,,,,,,,,,['Lidl'],,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait']",4,,,['Huile de palme'],,,,
17,Crevettes entieres cuites,40889917,,,,['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,"1,2",,"0,4",,0,,0,,"20,8",,"2,48",,"0,992",,,,,,,,,,,,,,,,,,,,,,,,,
18,"Pasta-käse,Gerieben - Lovilio",40894003,,['Lovilio'],,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"26,7",,"17,2",,2,,1,,"28,3",,"1,53",,"0,612",,,,,,,,,,,,,,,,,,,,,,,,,
19,Bio gouda - Milbona - 175g,40894010,,['Milbona'],,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,"27,2",,"17,6",,"0,1",,"0,1",,"22,8",,1,,"0,4",,,,,,,,,,,,,,"['Bio', 'Sans gluten']",['DE BY-70710 EG'],,,,175 g,,,,,,
20,Mezzalune - Chef Select,40895178,,['Chef Select'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']","['France', 'Espagne']",[],[],9.7 g,en quantité modérée,4.7 g,en quantité modérée,4.2 g,en faible quantité,0.94 g,en quantité modérée,?,,25,-93%,105 kj(25 kcal),-93%,"9,7",+445%,"4,7",+1140%,29,-58%,"4,2",+33%,"11,6",-6%,"0,94",+3850%,"0,376",+3850%,3,,C,,,,,,,,,,,,,,,,,,,,,
21,Milbona milchreis - 200g,40896502,B,['Milbona'],"['Desserts', 'Puddings', 'Riz au lait']",['France'],[],[],2 g,en faible quantité,1.3 g,en faible quantité,15 g,en quantité élevée,0.9 g,en quantité modérée,?,,118,-19%,494 kj(118 kcal),-18%,2,-47%,"1,3",-43%,22,-3%,15,+11%,9,+163%,"0,9",+598%,"0,36",+598%,3,-26%,C,-26%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,200 g,,,,,,
22,Grissini Breadstick - Rivercote - 125g,40897899,B,['Rivercote'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']","['France', 'Allemagne']","['wheat flour', '7% sunflower oil', 'yeast', 'barley malt extract', 'lodised salt ', 'salt', 'potassium lodate', 'natural flavourings,']",[],8 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,2 g,en quantité élevée,?,,417,-1%,1745 kj(417 kcal),-1%,8,-26%,"1,2",-47%,71,+6%,3,+20%,13,+14%,2,+5%,"0,8",+5%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,['Gluten'],4,125 g,,,,,,
