,name,bar_code,brand,brand_owner,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,generic_name,manufacturing,traceability_code,markets,palm_ingredients,ingredients_origins,link
1005,Marukan Genuine Brewed Rice Vinegar 12 Oz,0070641000073,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
1006,"A taste of thai, peanut satay sauce",0070650800381,['A Taste Of Thai'],Andre Prost Inc.,"['Epicerie', 'Sauces']",,"['France', 'États-Unis']","['Coconut', 'water', 'sugar', 'peanuts', 'lemongrass', 'red chili', 'garlic', 'onion', 'spices', 'glucose syrup', 'corn starch', 'salt', 'citric acid']",['E330 - Acide citrique'],['Arachides'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,10 g,en quantité modérée,2.86 g,en quantité modérée,8.57 g,en quantité modérée,1.72 g,en quantité élevée,?,,200,-16%,837 kj(200 kcal),-15%,10,-45%,"2,86",+32%,"22,86",+131%,"8,57",+33%,"2,86",+6%,"1,715",-29%,"0,686",-29%,12,+3%,D,+3%,,,,,,,,,,,,,,['Publix'],,,
1007,"A taste of thai, red curry noodles - Thai agri foods co ltd",0070650800770,"['Thai agri foods co ltd', 'A Taste Of Thai']",Andre Prost Inc.,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,"['France', 'États-Unis']","['Sauce: red curry paste ', 'lemongrass', 'garlic', 'chili', 'kaffir lime peel', 'potassium chloride', 'shrimp paste ', 'shrimp', 'salt', 'salt', 'coriander powder', 'cumin powder', 'galangal ginger', 'shallot', 'soybean oil', 'glucose syrup', 'palm sugar', 'fish sauce ', 'anchovies', 'salt', 'water', 'sugar', 'white pepper powder', 'yeast extract', 'paprika oleoresin', 'xanthan gum', 'alpha-tocopherol ', 'an antioxident', ' coconut milk powder: coconut', 'glucose syrup ', 'tapioca', 'mono and diglyceride ', 'an emulsifier', 'dipotassium phosphate', 'a stabilizer', 'silicon dioxide ', 'to prevent caking', ' herb sachet: sweet basil', 'rice noodles: rice flour', 'water', 'modified tapioca starch']","['E160c - Extrait de paprika', 'E415 - Gomme xanthane', 'E307 - Alphatocophérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340ii - Phosphate dipotassique']",['Crustacés'],"['Non végétalien', 'Non végétarien']",4,9.76 g,en quantité modérée,4.88 g,en quantité modérée,12.2 g,en quantité modérée,1.1 g,en quantité modérée,?,,354,+18%,1481 kj(354 kcal),+18%,"9,76",+42%,"4,88",+67%,"63,41",+30%,"12,2",+489%,"2,44",-68%,"1,098",-28%,"0,439",-28%,13,+2553%,D,+2553%,,,,,,,,,,,,,,,,,
1008,Mr & Mrs T - Mr & Mr T,0070655901786,['Mr & Mr T'],,"['Boissons', 'Boissons sans sucre ajouté']",,['France'],"['POWDER', 'JUICE CONCENTRATE', 'PAPRIKA HYDROLYZED CORN PROTEIN', 'ASCORBIC ', 'TO MAINTA!N COLOR', 'DISODIIJM INOSINATE DISODIUM GUANYUTE EXTRACT', 'MAUCACID', 'GUM', 'CITRIC ACID', ' MOTS LLP', '5301 LEŒACY un', 'SCRATCH TASTEARE REGISTERED OF MOTS UP', "" 02017MOT7'SUP""]",['E330 - Acide citrique'],,[],,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,0.3 g,en quantité modérée,?,,5,-89%,21 kj(5 kcal),-89%,0,-100%,0,-100%,"0,8",-91%,"0,8",-88%,"0,2",-60%,"0,3",+533%,"0,12",+533%,2,-64%,C,-64%,,,,,,,,,,,,,,,,,
1009,Pina Colada Mix,0070655960301,,Mott's LLP,"['Boissons', 'Boissons alcoolisées']",,"['France', 'États-Unis']","['Water', 'high fructose corn syrup', 'citric acid', 'xanthan gum', 'sodium benzoate ', 'preservative', 'titanium dioxide ', 'color', 'potassium sorbate ', 'preservative', 'sodium citrate', 'pectin', 'natural and artificial flavors', 'yellow 5', 'red 40']","['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E171 - Oxyde de titane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E440 - Pectines', 'E102 - Tartrazine', 'E129 - Rouge allura AC']",,['Sans huile de palme'],4,,,,,,,,,?,,133,+166%,556 kj(133 kcal),+165%,0,-100%,0,-100%,"35,83",+659%,35,+1695%,0,-100%,"0,082",+3%,"0,033",+3%,,,,,,,,,,,,,,,,,,,,,
1010,Cup noodles chicken flavor - Nissin,0070662400036,['Nissin'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],[],,,[],,,,,,,,,,?,,290,-3%,1213 kj(290 kcal),-4%,11,-5%,5,-5%,42,+4%,2,-17%,6,-6%,"1,07",-59%,"0,428",-59%,,,,,,,,,,,,,,,,,,,,,
1011,Fisher Honey Roasted Peanuts X,0070690471114,['FISHER'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",,['France'],"['PEANUTS ', '78%', 'SUGAR', 'HONEY ', '5%', 'VEGETABLE ', 'PEANUT', 'COTTONSEED', 'SOMBEAN ANDIOR SUNFLOWER SEED', 'SALT', 'MODIFIED POTATO STARCH', 'MALTODEXTRIN AND ', 'E415', "" INFORMATION'"", ' MAY CONTAIN TREE NUTS']",['E415 - Gomme xanthane'],['Arachides'],['Non végétalien'],4,49 g,en quantité élevée,9.1 g,en quantité élevée,16 g,en quantité élevée,0.98 g,en quantité modérée,?,,624,+3%,2611 kj(624 kcal),+3%,49,+0%,"9,1",+27%,25,+107%,16,+205%,21,-19%,"0,98",-1%,"0,392",-1%,8,+34%,C,+34%,D,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,
1012,"Bar harbor, claim chowder condensed",0070718000982,['Bar Harbor'],"Look's Gourmet Food Company, Inc.","['Conserves', 'Plats préparés', 'Soupes', 'Plats préparés en conserve', 'Soupes en conserve']",,"['France', 'États-Unis']","['Water', 'potatoes', 'clams', 'clam juice', 'wheat flour', 'butter ', 'milk', 'salt', 'native tapioca starch', 'sea salt', 'onions', 'seasoned salt ', 'salt', 'sugar', 'paprika', 'turmeric', 'onion', 'non-gmo cornstarch', 'garlic', ' and pepper']",,"['Gluten', 'Lait', 'Mollusques']","['Non végétalien', 'Non végétarien']",3,1.54 g,en faible quantité,0.93 g,en faible quantité,0 g,en faible quantité,1.14 g,en quantité modérée,?,,68,+33%,285 kj(68 kcal),+37%,"1,54",-23%,"0,93",+38%,"10,49",+137%,0,-100%,"2,47",+11%,"1,142",+42%,"0,457",+42%,4,+88%,C,+88%,,,,,,,,,,,,,,,,,
1013,Corn chowder - Bar Harbor,0070718001002,['Bar Harbor'],,,,"['France', 'États-Unis']","['Water', 'non-gmo corn', 'potatoes', 'wheat flour', 'butter ', 'milk', 'salt', 'salt', 'native tapioca starch', 'onions', 'seasoned salt ', 'salt', 'sugar', 'paprika', 'turmeric', 'onion', 'non-gmo cornstarch', 'garlic', ' and pepper']",,"['Gluten', 'Lait']",['Non végétalien'],,,,,,,,,,?,,120,,502 kj(120 kcal),,3,,"1,5",,22,,"0,9",,3,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,
1014,Viande côté. A griller,0070721000078,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Potbelly Sandwich Shop Brand Hot Peppers 16 Oz (2 Jars),0070723272022,['Potbelly'],,,,['France'],"['Fat ""9 - Carbohydrates 4 : Proteln 4']",,,[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,24,,4,,4,,0,,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,
1016,Wheat Club,0070733067502,,,,,['France'],[],,,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,"2,5",,0,,38,,6,,9,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,
1017,Celestial Tea Morning Thunder - 20 CT,0070734070150,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
1018,Ginseng green tea - Celestial Seasonings  Inc.,0070734070372,['Celestial Seasonings  Inc.'],"The Hain Celestial Group, Inc.","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés en sachets']",,"['France', 'États-Unis']","['Green tea', 'white tea', 'eleuthero', 'natural lemon and honey flavors with other natural flavors', 'licorice', 'lemon verbena', 'roasted chicory', 'ginger', 'ascorbic acid ', 'vitamin c', 'orange blossoms', 'honey and asian ginseng']",,,[],1,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
1019,Celestial Seasonings Sleepytime Peach Herb Tea,0070734529368,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
