,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,brand,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,markets,additives,nova_score,allergens,generic_name,ingredients_origins,brand_owner,manufacturing,link
358,Melange bonifié,3770001340012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Funny Peach,5996071678499,['France'],[],[],?,369,1544 kj(369 kcal),0,0,"97,7",96,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Taboulé oriental,0205333027223,['France'],[],[],?,?,,?,,?,,?,,,,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",,,,,,B,,,,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Vin coteaux bougigneaux,3120581436375,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Sauce salade,3700952001533,['France'],[],[],?,186,778 kj(186 kcal),"18,6","1,3","3,7","2,1","0,3","2,8","1,12",,"['Epicerie', 'Sauces', 'Sauces salades']",,-44%,-44%,-33%,-55%,D,,+47%,+47%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Halal'],18.6 g,en quantité modérée,1.3 g,en faible quantité,2.1 g,en faible quantité,2.8 g,en quantité élevée,-44%,-62%,-44%,13,-10%,D,-10%,,,,,,,,,,
363,Boisson petillante saveur menthe citron,3590590095069,['France'],[],[],?,37,155 kj(37 kcal),0,0,"9,2","9,2",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Brioche,9929494,['France'],[],[],?,355,1485 kj(355 kcal),12,"3,7",53,12,8,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,0201295016466,0201295016466,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Pastissets,8427157000370,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Keralan Lamb Curry,00775755,['France'],[],[],?,139,582 kj(139 kcal),"6,9","2,1","5,9","3,2","11,9","0,6","0,24",,,,,,,,,,,,,,,,,,,['FSC-C012938'],,,,,,,,,,,,,,,,,,,,,,,,,,
368,Hydration drink mix,0858690007119,"['France', 'États-Unis']","['Cane sugar', 'dextrose', 'sodium citrate', 'citric acid', 'magnesium lactate', 'calcium citrate', 'potassium citrate', 'lemon oil', 'lime oil', 'lemon juice', 'lime juice', 'ascorbic acid ', 'vitamin c']",['Sans huile de palme'],?,364,1523 kj(364 kcal),0,0,"95,45","86,36",0,"4,318","1,727",,"['Boissons', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées']",,+23%,-100%,+118%,-100%,,,+675%,+675%,,,,,,,,,,,,,,,,,,+22%,-100%,+136%,,,,,,,"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E329 - Lactate de magnésium']",4,,,,SKRATCH LABS,,
369,Miel de bretagne - Maison Peltier,3335440121310,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,B,['Maison Peltier'],,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Bretagne']",,,
370,Pâtes Aromatisés à La Vanille Et à La Réglisse - La Grande Epicerie de Paris - 50g,3346041398025,['France'],[],[],?,265,1109 kj(265 kcal),"0,1",0,49,45,"1,2","0,05","0,02",50 g,,,,,,,,['La Grande Epicerie de Paris'],,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,
371,Mangue,2055907026118,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Céréales fourrage au chocolat et aux noisettes aromatisé - Leader Price,3267851399616,['France'],[],[],?,415,1736 kj(415 kcal),"12,7","3,8",67,"28,1",6,"0,58","0,232",,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,
373,Priya Gongura Pickle 300G,0785018012121,['France'],[],[],?,282,1180 kj(282 kcal),22,5,18,3,3,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Twin pop beurre sale,3520611800082,['France'],[],[],?,44,184 kj(44 kcal),18,10,66,38,"2,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Doony's chocolat x4 - Leclerc,2020000031253,['France'],[],[],?,441,1845 kj(441 kcal),28,13,41,16,"6,7","1,6","0,64",,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Tomate cerise - Monoprix Bio - 200g,3350030217976,['France'],[],[],?,?,,?,,?,,?,,,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,,,,B,"['Monoprix Bio', 'Monoprix']",,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,"['barquette plastique', 'couvercle plastique']",['Monoprix'],,,,,['France'],,,
377,Sorbet plein fruit citron vert,3760187170367,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Tarte fraises,0203453108235,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Radhuni Pure Mustard Oil 1000 ML,8941100512661,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Turron de mani,7704635112994,['France'],[],[],?,400,1674 kj(400 kcal),4,0,88,52,4,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Protein Gusto - Cheese Soup - BiotechUSA,5999076212569,['France'],[],[],?,364,1523 kj(364 kcal),"9,4","6,3",12,"5,3",58,"5,6","2,24",,,,,,,,,['BiotechUSA'],,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,
382,Crème de caramel fleurs de sel,3663901005955,['France'],[],[],?,462,1933 kj(462 kcal),28,18,52,48,"0,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,The a la vanille,3760000215305,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,En k du Velay bio,3760173441020,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,
385,Le charolais aop,3363570525029,['France'],[],[],?,274,1146 kj(274 kcal),22,"15,4",1,1,18,"1,3","0,52",,,,,,,,,,,,,,,,,,,"['FR 71.488.001 CE', 'Saint-Vincent-des-Prés (Saône-et-Loire, France)']",['AOP'],,,,,,,,,,,,,,,,,,,,,,,,,
386,Mini cake aux fruits,3260260152827,['France'],[],[],?,425,1778 kj(425 kcal),17,"2,2",58,39,"4,5","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Pastèque mini sans pépins,4000007018431,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Highland shortbread fingers - Sainsbury's,01207743,"['France', 'Royaume-Uni']",[],[],?,515,2155 kj(515 kcal),"27,4","7,1","61,8","20,9","4,6","0,68","0,272",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",,-0%,-2%,+2%,-17%,C,"[""Sainsbury's""]",+3%,+3%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,27.4 g,en quantité élevée,7.1 g,en quantité élevée,20.9 g,en quantité élevée,0.68 g,en quantité modérée,-1%,-57%,+9%,20,-6%,E,-6%,,"[""Sainsbury's""]",,,,,,,,
389,Favole con gocce di cioccolato,8007465195960,['France'],[],[],?,479,2004 kj(479 kcal),"18,5","3,1","68,7","26,6",8,"0,8","0,32",,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,
390,Les galettes de sainte anne la palud,3357021761371,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Biscuits graines & pépites chocolats - Leader Price,3263852927049,['France'],[],[],?,506,2117 kj(506 kcal),26,"9,3",57,32,"8,8","0,64","0,256",,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,
392,Jacques praliné 100,5410059332222,['France'],[],[],?,572,2393 kj(572 kcal),"32,5","14,4","53,8","52,1",7,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Brotgewürz - Alnatura,4104420016989,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,B,['Alnatura'],,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,"['Bio', 'de:Bio 7 Initiative']",,,,,,,,,,,,,,,,['Beutel'],['Alnatura'],,,,,,,,
394,Muesli croustillant 3 chocolats - U,13624309,['France'],[],[],?,449,1879 kj(449 kcal),16,5,65,25,"8,1","0,82","0,328",,,,,,,,,['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Pea crackers basil,4710022019725,['France'],[],[],?,124,519 kj(124 kcal),"6,6",3,"13,6","0,2",3,14,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Rubicon Lychee,5000382105114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,['Rubicon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Poulet cuit fumé sous film,2167022004602,['France'],[],[],?,170,711 kj(170 kcal),"9,3","2,6","0,5","0,5",21,"1,1","0,44",,,,,,,,,,,,,,,,,,,"['FR 56.017.001 CE', 'Bignan (Morbihan, France)']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,
398,"Coty,lys",6130552001126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,STEADY complete meals,7583767987485,['France'],[],[],?,418,1749 kj(418 kcal),"14,5","1,8",48,"15,1",21,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Basil seed drink passion fruit flavor,8855044006790,['France'],[],[],?,60,251 kj(60 kcal),0,0,15,14,0,"0,05","0,02",,"['Boissons', 'en:Basil seeds drinks']",,-6%,-100%,-6%,-100%,,,-68%,-68%,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.05 g,en faible quantité,-6%,,-6%,3,-53%,C,-53%,,,,,,,,,,
401,Coffret cadeau,3760197509867,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Very larges anchovies from Cantabria - Bellota-Bellota - 100g,3544462030924,['France'],[],[],?,129,540 kj(129 kcal),"5,1","0,9","0,3","0,1","20,5","2,7","1,08",100 g,,,,,,,,['Bellota-Bellota'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Life is a party,2026236599994,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Pastille à la réglisse et au miel,3352750800056,['France'],[],[],?,286,1197 kj(286 kcal),0,0,"49,7","49,1","1,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,
405,Cucumber,74780377607,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Chamonix - Delaunay Léveillé,0654479010932,['France'],[],[],?,516,2159 kj(516 kcal),26,17,65,31,"5,7","0,8","0,32",,,,,,,,,['Delaunay Léveillé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Toute ta grande section,9782809650709,['France'],[],[],?,?,,?,,?,,?,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Amande blanchie bio - 150g,3266481722344,['France'],[],[],?,630,2636 kj(630 kcal),56,"4,1","1,5","1,1",25,"0,01","0,004",150 g,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,
409,Mutlu  pâtes,8690946110004,['France'],[],[],?,0,0 kj(0 kcal),0,0,"1,1","0,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Pisang Ambon 20% 1 Liter Fles,8716000968876,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Pistaches grillées à sec - Bouton d'Or,3250390207474,['France'],[],[],?,622,2602 kj(622 kcal),"51,2","6,4","11,3",6,"24,7","1,51","0,604",,,,,,,,,"[""Bouton d'Or""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Brot GBSM 160,0160000000001,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Pomodori secchi,8015936005359,['France'],[],[],?,258,1079 kj(258 kcal),"2,97","0,426","55,76","37,58","14,11","0,247","0,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Crêpes nature,0206243010336,['France'],[],[],?,201,841 kj(201 kcal),"8,6","2,5",23,"4,6","6,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Ardenga baby,2120016005368,['France'],[],[],?,271,1134 kj(271 kcal),27,"10,3","0,1","0,1","26,26","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Chorizo Damatta,5601588178355,['France'],[],[],?,270,1130 kj(270 kcal),20,"7,7",0,0,"22,5","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Volcelest bière de printemps,3770001905082,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Pain aux céréales,0210508009188,['France'],[],[],?,318,1331 kj(318 kcal),"4,9","0,5",55,"1,6",11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Calamar,6111242610453,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Cidre de Normandie Brut - Fournier,3507291236349,['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,D,['Fournier'],,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Purée de tomates,7000384310095,['France'],[],[],?,35,146 kj(35 kcal),"0,1",0,"6,3","4,4","1,2","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,-33%,-91%,+9%,-24%,B,,+35%,+35%,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,0.1 g,en faible quantité,0 g,en faible quantité,4.4 g,en faible quantité,0.6 g,en quantité modérée,-28%,-100%,-2%,-3,,A,,,,,,,,,,,
422,Jambon cuit supérieur avec couenne,2637601021523,['France'],[],[],?,137,573 kj(137 kcal),"5,82","2,13","0,91","0,77","20,2","1,87","0,748",,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon avec couenne', 'Jambon cuit avec couenne', 'Jambon supérieur avec couenne']",,+4%,+21%,+36%,-4%,E,,0%,0%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,5.82 g,en quantité modérée,2.13 g,en quantité modérée,0.77 g,en faible quantité,1.87 g,en quantité élevée,+5%,+16%,+29%,11,+56%,D,+56%,,,,,,,,,,
423,Pain aux raisins,0201630015741,['France'],[],[],?,366,1531 kj(366 kcal),13,"8,6",65,22,7,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Glace praliné,3770001928029,['France'],[],[],?,199,833 kj(199 kcal),"9,8","3,4",21,"20,3","6,4","0,13","0,052",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,
425,Les Hauts Buissons,3760093632331,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Yaourt fermier de brebis - Fromagerie du Salze - 250g,3770009472043,['France'],[],[],?,?,,?,,?,,?,,,250 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la poire', 'Yaourts au lait de brebis']",,,,,,C,['Fromagerie du Salze'],,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Eclats de fèves de cacao Haiti 70% - Encuentro,3770009530057,['France'],[],[],?,536,2243 kj(536 kcal),38,24,33,0,8,0,0,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",,-5%,-8%,-4%,-2%,E,['Encuentro'],-100%,-100%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,38 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-5%,-4%,-100%,16,-22%,D,-22%,,,,,,,,,,
428,Mega Sour Mix - Vidal,8413178123341,"['France', 'Espagne']",[],[],?,348,1456 kj(348 kcal),"0,3","0,2",81,59,"3,6","0,13","0,052",,,,,,,,,['Vidal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,BILTONG FIERY PERI PERI,0700613656273,['France'],[],[],?,306,1280 kj(306 kcal),"8,6","7,2","1,7",0,"54,7","2,34","0,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Chipolatas herbes sans col - Leclerc,0201352027220,['France'],[],[],?,289,1209 kj(289 kcal),25,10,1,0,15,"2,2","0,88",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,+21%,+32%,-15%,-3%,E,['Leclerc'],+22%,+22%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,25 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,2.2 g,en quantité élevée,+21%,+39%,-100%,21,+27%,E,+27%,,,,,,,,,,
431,Abruzzo spumante rosè,8052789360051,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,TOMME BLANCHE,0200891018768,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Berlingots à l'ancienne,3593670141007,['France'],[],[],?,300,1255 kj(300 kcal),0,0,75,62,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Leader Snack,3263859506506,['France'],[],[],?,155,649 kj(155 kcal),"6,2","1,5",18,"2,2",6,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Tea lemon gingee - Fitvia,4260515894488,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,1","0,9","0,9","0,5",0,0,,,,,,,,,['Fitvia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Saucisson sec au noisettes,3034910244756,['France'],[],[],?,374,1565 kj(374 kcal),27,11,"2,1","1,8",30,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Sorbet chocolat - Terre Adélice,3515890502420,['France'],[],[],?,212,887 kj(212 kcal),"10,4","6,2","26,5","24,1","1,9","0,01","0,004",,,,,,,,,['Terre Adélice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Sel de l'himalaya cristal rose,5600854625494,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Chorizo frais - Hiruak,2474756029659,['France'],[],[],?,305,1276 kj(305 kcal),25,"8,8",43,"1,8",16,"1,9","0,76",,,,,,,,,['Hiruak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Seltzer - Polar,0071537001426,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,['Polar'],,,,,,,,,,,,,,,,,,,,,,,,,,,['aluminium-can'],,,,,,,,,
441,DIBEK KAHVESI,8699118027256,['France'],[],[],?,100,418 kj(100 kcal),"0,6",0,68,1,"0,1",100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Original barbecue sauce & dip - Kraft,04938339,['France'],[],[],?,180,753 kj(180 kcal),0,0,42,36,0,1,"0,4",,"['Epicerie', 'Sauces', 'Sauces barbecue']",,+15%,-100%,+35%,-100%,B,['Kraft'],-50%,-50%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,0 g,en faible quantité,0 g,en faible quantité,36 g,en quantité élevée,1 g,en quantité modérée,+14%,-100%,+38%,13,-10%,D,-10%,,,,,,,,,,
443,Detox japonaise - Palais des Thés,2700462001048,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Tikiri marie,8888101280208,['France'],[],[],?,440,1841 kj(440 kcal),"11,31","5,09","76,27","23,57","8,47","0,312","0,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Green lady,8057741392248,['France'],[],[],?,473,1979 kj(473 kcal),26,13,59,29,"8,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Bio Gattilier,3760109120081,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,
447,Gamma Ray Pale Ale - Beavertown,5060386620044,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,0,0,,,,,,,,,['Beavertown'],,,,,,,,,,,,,,,,,,,,,,,,,,,['aluminium-can'],,,,,,,,,
448,Kalamon Oliven Mit Kern,5413588601081,['France'],[],[],?,261,1092 kj(261 kcal),27,3,"3,1",0,"1,5",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Pepper Imps (cinnamon flavoured),0400012362644,['France'],[],[],?,396,1657 kj(396 kcal),0,0,100,"73,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Strong,4901411086606,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Cachir - 3x 250g,4008460263931,['France'],[],[],?,238,996 kj(238 kcal),20,"6,2","3,5","0,5",11,"2,3","0,92",3 x 250 g,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,
452,Magdalenas pépitas choco,8410387020324,['France'],[],[],?,429,1795 kj(429 kcal),23,"4,8",49,30,5,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Jambon cuit label rouge,2846059013640,['France'],[],[],?,143,598 kj(143 kcal),"6,3","2,3","0,5","0,5","21,5","1,93","0,772",,,,,,,,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,
454,Sel Fou dit sel magique,3760088815633,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,0785656581843,0785656581843,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Macadamia Creme - Brinkers,8710573732834,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,['Brinkers'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,
457,Maison Boscus,2606841038318,['France'],[],[],?,534,2234 kj(534 kcal),"5,24",1,"0,6","0,2","19,4","2,53","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Tuttigrain,3760130790239,['France'],[],[],?,371,1552 kj(371 kcal),"8,3",1,"55,9","1,9","15,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
