,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,brand,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,markets,additives,nova_score,allergens,generic_name,ingredients_origins,brand_owner,manufacturing,link
18,Fromage Cacouyard,2285474030960,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sucettes caramel au sel de Guérande,3488430010252,['France'],[],[],?,427,1787 kj(427 kcal),"12,4","7,34",76,44,"2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Préparation à base de Moutarde au piment d'Espelette AOP - Comtesse du Barry,3660806509328,['France'],[],[],?,182,761 kj(182 kcal),13,"1,1",11,"5,8","6,9","5,1","2,04",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'en:Moutarde', ""en:Moutarde au piment d'espelette"", ""Moutarde au piment d'espelette""]",,+26%,+2%,+69%,+13%,B,['Comtesse du Barry'],+10%,+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,13 g,en quantité modérée,1.1 g,en faible quantité,5.8 g,en quantité modérée,5.1 g,en quantité élevée,+26%,+35%,+69%,14,+16%,D,+16%,,,,,,,,,,
21,"Châteauneuf-du-Pape AOP, rouge",3298480071215,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huile d'olive vierge extra,8433543000145,['France'],[],[],?,825,3452 kj(825 kcal),93,13,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-3%,,,D,,-100%,-100%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,93 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-7%,,6,-2%,C,-2%,,,,,,,,,,
23,Spianata Calabra piccante - Casa Modena - 250g,8004225049990,['France'],[],[],?,374,1565 kj(374 kcal),30,12,0,0,26,"4,5","1,8",250 g,,,,,,,,['Casa Modena'],,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,
24,Soleane cote de provence 2018,3269210254017,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gateau auchan - 600g,2030000023400,['France'],[],[],?,?,,?,,?,,?,,,600 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Boisson japonaise gingembre yuzu,4908792500189,['France'],[],[],?,60,251 kj(60 kcal),0,0,50,"46,48",0,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Milk of the gold,5060165580354,['France'],[],[],?,568,2377 kj(568 kcal),"38,4","23,9","45,4","39,2","8,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fun Mix chips - 70g,8710998426660,['France'],[],[],?,515,2155 kj(515 kcal),25,"2,5","66,2","1,4","4,2","2,79","1,116",70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Citronnade,3380122965607,['France'],[],[],?,17,71 kj(17 kcal),0,0,"4,2","4,2",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,
30,Pop Corn Sucre -,3760018850574,['France'],[],[],?,415,1736 kj(415 kcal),"4,4","0,5",89,59,3,"0,1","0,04",,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",,-8%,-72%,+31%,-48%,B,,-58%,-58%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,4.4 g,en quantité modérée,0.5 g,en faible quantité,59 g,en quantité élevée,0.1 g,en faible quantité,-7%,-86%,+96%,15,+15%,D,+15%,,,,,,,,,,
31,Bananes Cavendish Bio,0222164016790,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,B,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,
32,Mimolette Demi Vieille,2091744022371,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes demi-vieilles', 'Fromages-du-nord-pas-de-calais']",,,,,,D,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gummi Soda,4901360319749,['France'],[],[],?,165,690 kj(165 kcal),"3,4","0,1",39,"36,9","4,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tomaten suppe - Kraft,8715700423326,['France'],[],[],?,36,151 kj(36 kcal),"0,1","0,1","7,7","4,6","0,8","0,9","0,36",,,,,,,,,['Kraft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
