,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
321,Legumes coudcous,3416952626057,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Blanc de poulet - Tradilège - 150g (120g+30g offerts),3661112502454,"['Nutriscore', 'Nutriscore C']",['France'],[],[],?,112,"2,3","0,8",22,150 g (120g+30g offerts),,"['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",2.3 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en quantité élevée,,+5%,469 kj(112 kcal),+5%,+12%,"0,7",+16%,-26%,"0,6",-30%,+6%,"1,7",-8%,"0,68",-8%,3,-33%,C,-33%,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,['Leclerc'],,,,,
323,Coconut milk,4796007552326,,['France'],[],[],?,71,"6,4","3,2","0,5",,,,,,,,,,,,,,,297 kj(71 kcal),,,"5,7",,,"1,8",,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,
324,Confiture extra chataignes,3517830340048,,['France'],[],[],?,219,"0,7",51,"1,1",,,,,,,,,,,,,,,916 kj(219 kcal),,,"0,2",,,38,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
325,Belle France,3258561660073,,['France'],[],[],?,?,?,?,?,,,['Belle France'],"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Pavé au poivre - Novo viande - 0.070kg,3700118301156,['Label Rouge'],['France'],"['Viande de porc origine UE ', '133g pour 100g de produit fini', 'sel', 'LACTOSE', 'dextrose', 'épices', 'ail', 'antioxydant: E316', 'conservateurs: E252', 'E250', 'ferments', ' Enrobage: poivre 1%', 'conservateur: E235', ' Traces éventuelles de SOJA', 'FRUITS A COQUES']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,392,"21,8","2,9","22,9",0.070 kg,['sous vide'],['Novo viande'],"['Viandes', 'Charcuteries', 'Saucissons']",21.8 g,en quantité élevée,12.1 g,en quantité élevée,3.2 g,en faible quantité,4.9 g,en quantité élevée,,+2%,1640 kj(392 kcal),+1%,-29%,"12,1",+2%,+34%,"3,2",+141%,-9%,"4,9",+17%,"1,96",+17%,24,+3%,E,+3%,,,,,,,,,,,['France'],"['EMB 12063C', 'Cavalerie (Aveyron, France)']",4,['grand frais'],"['E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E235 - Natamycine']",['Lait'],,,
327,Crema di funghi,8033100322972,,['France'],[],[],?,255,"2,9",4,"2,2",,,,,,,,,,,,,,,1067 kj(255 kcal),,,"2,6",,,"1,2",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
328,Colin d'Alaska pané,3661483286410,"['Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,187,"7,6",19,10,,,,,,,,,,,,,,,782 kj(187 kcal),,,"0,9",,,"0,5",,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,
329,Vin blanc moelleux,3531380085464,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Tartinable,3609060003708,,['France'],[],[],?,338,32,3,7,,,,,,,,,,,,,,,1414 kj(338 kcal),,,9,,,"2,5",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
