,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,labels,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,link,allergens,nova_score,markets,generic_name,packaging,additives,brand_owner,palm_ingredients
586,Pur jus de pomme abricot - Casino,3222477639423,,['France'],[],[],,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,11,,11,,0,,,"['Bio', 'Bio européen', 'FR-BIO-09']","['EMB 37014A', 'Azay-le-Rideau (Indre-et-Loire, France)']",,,,,,,,['Casino'],"0,02","0,008",,,,,,,,,,,,,,,['Casino'],,,,,
587,2 bavettes d’aloyau - Charal,0292475047165,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",['France'],[],[],5.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,?,,131,0%,548 kj(131 kcal),0%,"5,7",-0%,"2,2",+0%,0,-100%,0,-100%,20,0%,E,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Charal'],"0,19","0,076",,0.19 g,en faible quantité,-0%,-0%,-2,,A,,,,,,,,,,,,
588,Confiture de framboises,8853433630021,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,52.3 g,en quantité élevée,?,,224,0%,937 kj(224 kcal),-0%,"0,2",-26%,0,-100%,"52,3",-2%,"52,3",+2%,"0,8",+19%,C,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,,,,,,,,,,
589,Saucisson sec pur porc,2276761034310,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",['France'],[],[],33 g,en quantité élevée,13 g,en quantité élevée,1.8 g,en faible quantité,?,,428,+4%,1791 kj(428 kcal),+4%,33,+1%,13,+2%,"2,7",+16%,"1,8",+18%,29,+6%,D,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,"4,7","1,88",,4.7 g,en quantité élevée,+1%,+1%,25,+3%,E,+3%,,,,,,,,,,,
590,tournedos dans le filet - Charal - 2,0292451069600,"['Viandes', 'Bœuf', 'Viandes fraîches', 'Tournedos de boeuf']",['France'],"['filet de boeuf', 'barde de porc']","['Non végétalien', 'Non végétarien']",14 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,?,,206,+20%,862 kj(206 kcal),+19%,14,+31%,"4,8",+18%,0,-100%,0,-100%,20,+8%,,"['Viande Française', 'Viande-bovine-francaise']","['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,['Charal'],"0,16","0,064",2,0.16 g,en faible quantité,-75%,-75%,1,-76%,B,-76%,['France'],['France'],http://www.charal.com,,1,['Auchan'],,"['Hebdopack', 'barquette plastique']",,,
591,Biscuit marbré - Auchan,3596710441242,,['France'],[],[],,,,,,,?,,504,,2109 kj(504 kcal),,24,,"9,2",,62,,25,,"6,6",,,,,,,,,,,,['Auchan'],"0,58","0,232",,,,,,,,,,,,,,,,,,,,
592,Confiture de Framboise,3501560101215,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,C,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,,,,,,,,,,
593,Aceite de oliva virgen extra,8437005217034,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],14 g,en quantité modérée,14 g,en quantité élevée,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,14,-85%,14,0%,0,,0,,0,,D,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,0,0,,0 g,en faible quantité,-100%,-100%,15,+144%,D,+144%,,,,,,,,,,,
594,Chipolata type chorizo,3289744413223,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],24 g,en quantité élevée,9.4 g,en quantité élevée,0.5 g,en faible quantité,?,,281,+18%,1176 kj(281 kcal),+18%,24,+27%,"9,4",+30%,"0,5",-57%,"0,5",-21%,16,+4%,E,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"1,6","0,64",,1.6 g,en quantité élevée,-11%,-11%,19,+14%,E,+14%,,,,,,,,,,,
595,Fromage de tete,55660969,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",['France'],[],[],6.8 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,?,,116,-41%,485 kj(116 kcal),-38%,"6,8",-50%,"2,8",-46%,"0,6",-21%,"0,6",+69%,"13,2",-14%,D,,,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,2,"0,8",,2 g,en quantité élevée,+16%,+16%,11,-7%,D,-7%,,,,,,,,,,,
596,Mini mozzarella - Lovilio,4056489248323,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['France'],[],[],18.5 g,en quantité modérée,12.5 g,en quantité élevée,1.5 g,en faible quantité,?,,243,-7%,1017 kj(243 kcal),-6%,"18,5",-11%,"12,5",-11%,"1,5",+46%,"1,5",+99%,"17,5",+4%,C,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE']",,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Lovilio', 'Lidl']","0,5","0,2",,0.5 g,en quantité modérée,-26%,-26%,10,-2%,C,-2%,,,,,,,,,,,
597,andouille de guemene,0211490016147,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],20.6 g,en quantité élevée,10 g,en quantité élevée,0.05 g,en faible quantité,?,,1045,+318%,4372 kj(1045 kcal),+320%,"20,6",+2%,10,-1%,"1,1",+193%,"0,05",-82%,"15,4",-6%,E,,"['FR 56.010.004 CE', 'Baud (Morbihan, France)']",81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,0,0,,0 g,en faible quantité,-100%,-100%,19,-12%,E,-12%,,,,,,,,['Barquette en plastique'],,,
598,Eau NOIX DE COCO,8855044034199,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",['France'],[],[],1.5 g,en quantité modérée,1 g,en quantité modérée,23 g,en quantité élevée,?,,130,+584%,544 kj(130 kcal),+555%,"1,5",+1642%,1,+3136%,29,+536%,23,+537%,1,+777%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Haricot vert et dinde baby bio - Auchan,3596710476893,,['France'],[],[],,,,,,,?,,56,,234 kj(56 kcal),,"1,4",,"0,3",,"7,2",,"1,1",,"2,9",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,['Auchan'],,,,,
600,Taboulé Oriental,0207106012405,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",['France'],[],[],12 g,en quantité modérée,1.2 g,en faible quantité,2.1 g,en faible quantité,?,,225,+27%,941 kj(225 kcal),+27%,12,+77%,"1,2",+70%,24,+2%,"2,1",-48%,"4,1",-5%,B,,,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,"1,9","0,76",,1.9 g,en quantité élevée,+100%,+100%,11,+312%,D,+312%,,,,,,,,,,,
601,Crème de caramel au beurre salé de bretagne,3760101760414,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",['France'],[],[],,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Smicy,3564706628496,,['France'],[],[],,,,,,,?,,311,,1301 kj(311 kcal),,20,,17,,30,,26,,"1,9",,,,,,,,,,,,"['Smicy', 'Marque Repère']","0,14","0,056",,,,,,,,,,,,,,,['Leclerc'],,,,,
603,Spiruline de grasse,0650414071068,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,E,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,
604,Mandarine de Sicile Glace - Thiriet,3292590516031,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mandarine']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,18 g,en quantité élevée,?,,84,-26%,351 kj(84 kcal),-27%,0,-100%,0,-100%,21,-24%,18,-21%,0,-100%,C,"['Sans colorants', 'Sans conservateurs']",,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['Thiriet'],0,0,,0 g,en faible quantité,-100%,-100%,3,-37%,C,-37%,,,,,,['Thiriet'],,,,,
605,Canneberges séchées - Trader Joe's - 150g,93109765,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['France'],[],[],1.4 g,en faible quantité,0.1 g,en faible quantité,70 g,en quantité élevée,?,,354,+5%,1481 kj(354 kcal),+5%,"1,4",+98%,"0,1",-60%,83,+4%,70,+6%,"0,5",+79%,,,,,,,,,,,"[""Trader Joe's""]",,,150 g,,,,,,,,,,,,,,,,,,,
606,Bio chia samen,4019581802725,,['France'],[],[],,,,,,,?,,444,,1858 kj(444 kcal),,"31,1",,"3,8",,"4,5",,"0,8",,"21,2",,,"['Bio', 'Bio européen', 'DE-ÖKO-037']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Rôti de porc cuit,2227849043236,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],7.6 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,?,,169,+17%,707 kj(169 kcal),+19%,"7,6",+51%,3,+44%,"0,6",-27%,"0,5",-20%,24,+7%,E,,"['EMB 29004O', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,"1,4","0,56",,1.4 g,en quantité modérée,-19%,-19%,5,-30%,C,-30%,,,,,,,,,,,
608,Poivre noir en grain rabelais,3308777200195,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,B,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,
609,Guacamole bio,4260480444572,"['Epicerie', 'Sauces', 'Guacamoles']",['France'],[],[],17.4 g,en quantité modérée,3.7 g,en quantité modérée,1.1 g,en faible quantité,?,,189,+17%,791 kj(189 kcal),+19%,"17,4",+41%,"3,7",+43%,"4,4",-28%,"1,1",-46%,"1,3",-25%,C,['Bio'],"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,"1,96","0,784",,1.96 g,en quantité élevée,+78%,+78%,13,+160%,D,+160%,,,,,,,,,,,
610,Natessance Huile D'argan Bio - 50ML,3517360015867,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",['France'],[],[],95.7 g,en quantité élevée,17.6 g,en quantité élevée,0 g,en faible quantité,?,,889,+10%,3720 kj(889 kcal),+8%,"95,7",+4%,"17,6",+2%,0,,0,,0,,,['Bio'],,,,,,,,,,0,0,,0 g,en faible quantité,,,12,+8%,D,+8%,,,,,,,,,,,
611,Salade à la niçoise,3700569020101,"['Plats préparés', 'Salades', 'Salades composées', 'Salades nicoises']",['France'],[],[],3.1 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en faible quantité,?,,76,-13%,318 kj(76 kcal),-15%,"3,1",-28%,"0,5",-1%,5,-12%,"1,4",+4%,"6,4",-3%,,,,,,,,,,,,"0,68","0,272",,0.68 g,en quantité modérée,-35%,-35%,0,,B,,,,,,,,,,,,
612,Chocolat fondant - Carrefour,3560070434923,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,['Carrefour'],,,,,
613,Taboulé oriental,3248513475534,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",['France'],[],[],6 g,en quantité modérée,0.5 g,en faible quantité,4.1 g,en faible quantité,?,,168,-5%,703 kj(168 kcal),-5%,6,-12%,"0,5",-29%,23,-2%,"4,1",+1%,"4,4",+2%,B,,"['EMB 56075D', 'Guer (Morbihan, France)']",63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,"0,7","0,28",,0.7 g,en quantité modérée,-26%,-26%,3,+12%,C,+12%,,,,,,,,,,,
614,SIROP D'ORANGE SANGUINE,3249290003446,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",['France'],[],[],,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,85,+45%,"82,5",+44%,"0,2",+41%,B,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,"1,6","0,64",,,,+5129%,+5129%,,,,,,,,,,,,,,,
615,Magret de canard cru du Sud ouest,0219007048155,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,E,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,,
616,Emmental biologique français,2871820026376,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,18,-9%,0,-100%,0,-100%,29,+5%,D,['Bio'],,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,75","0,3",,0.75 g,en quantité modérée,+27%,+27%,12,+7%,D,+7%,,,,,,,,,,,
617,Sirop BIO Menthe,3109850955038,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",['France'],[],[],,,,,,,?,,294.10000610352,+23%,1231 kj(294 kcal),+20%,"0,1",-9%,"0,1",+237%,"73,2",+19%,"71,7",+21%,"0,3",+163%,B,"['Bio', 'Bio européen', 'FR-BIO-01']",,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,
618,pur jus de citron - Carrefour,3434470483471,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,?,,27,0%,113 kj(27 kcal),+1%,0,-100%,0,-100%,2,-44%,2,+20%,0,-100%,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Carrefour'],0,0,,0 g,en faible quantité,-100%,-100%,-4,,B,,,,,,,['Carrefour'],,,,,
619,Jus d’orange sans pulpe,8718096153624,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sans pulpe""]",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,?,,48,+9%,201 kj(48 kcal),+10%,"0,1",-15%,0,-100%,"10,9",+15%,"9,3",+3%,"0,6",-9%,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0,0,,0 g,en faible quantité,-100%,-100%,4,+41%,C,+41%,,,,,,,,,,,
620,aiguillettes de poulet - Monoprix,2201259029783,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Monoprix'],,,,,,,,,,,,,,,,,['Monoprix'],,,,,
621,Cajohn's Spiced Rum BBQ Sauce,0647293004317,"['Epicerie', 'Sauces', 'Sauces barbecue']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,25.2 g,en quantité élevée,?,,602,+286%,2519 kj(602 kcal),+282%,0,-100%,0,-100%,"32,4",+4%,"25,2",-3%,0,-100%,B,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,"0,685","0,274",,0.685 g,en quantité modérée,-66%,-66%,15,+3%,D,+3%,,,,,,,,,,,
622,Abricots congelés - Casino,3222477341166,,['France'],[],[],,,,,,,?,,43,,180 kj(43 kcal),,0,,0,,9,,8,,"0,9",,,['Nutriscore'],,,,,,,,,['Casino'],0,0,,,,,,,,,,,,,,,['Casino'],,,,,
623,Chair a saucisse,2887819042111,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,E,,,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,,,,,,,,,,,,
624,Sirop de citron jaune,3376370157222,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['France'],[],[],,,,,,,?,,324,+54%,1356 kj(324 kcal),+52%,0,-100%,0,-100%,81,+55%,64,+29%,0,-100%,B,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,
625,Nectare D’orange banane - Leader Price,3036855090436,,['France'],[],[],,,,,,,?,,53,,222 kj(53 kcal),,0,,0,,13,,13,,0,,,,,,,,,,,,['Leader Price'],0,0,,,,,,,,,,,,,,,['Leader Price'],,,,,
626,Pâte à tartiner - Carrefour Bio,06743376,,['France'],[],[],,,,,,,?,,517,,2163 kj(517 kcal),,27,,5,,58,,56,,8,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,['Carrefour Bio'],"0,13","0,052",,,,,,,,,,,,,,,['Carrefour'],,,,,
627,Glace pistache chocolat - Smicy,3564706628533,,['France'],[],[],,,,,,,?,,311,,1301 kj(311 kcal),,20,,17,,30,,26,,"1,9",,,,,,,,,,,,"['Smicy', 'Marque Repère']","0,14","0,056",,,,,,,,,,,,,,,['Leclerc'],,,,,
628,Vin rosé,3760157000083,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,D,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,,,,,,,,,,
629,Jus de tomate,3770015265103,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Chaussons aux pommes - E.Leclerc,3478920015560,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],16 g,en quantité modérée,10 g,en quantité élevée,10 g,en quantité modérée,?,,292,-7%,1222 kj(292 kcal),-7%,16,-11%,10,-13%,31,-6%,10,-6%,"3,8",-3%,B,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,['E.Leclerc'],"0,56","0,224",,0.56 g,en quantité modérée,-6%,-6%,16,-6%,D,-6%,,,,,,,,,,,
631,Le Wrap Thon crudités wasabi - Monoprix,3350033720800,,['France'],[],[],,,,,,,?,,508,,2125 kj(508 kcal),,11,,"1,7",,23,,"1,7",,"7,5",,,,,,,,,,,,['Monoprix'],1,"0,4",,,,,,,,,,,,,,,['Monoprix'],,,,,
632,"Spécialité laitière sucrée aux fruits à base de Fromage Frais, aromatisée - Yoplait - 1200g",3329770071360,,['France'],"['Fromage frais au LAIT demi-écrémé 79', '4% ', 'LAIT écrémé et crème pasteurisés - Ferments lactiques ', 'LAIT', ' - Eau - Sucre 6', '6% - Fruits 5% ', 'mangue ou banane ou abricot ou fraise ou framboise ou fruits rouges ', 'fraise', 'cerise', 'mûre', ' - Jus de carotte à base de concentré - Amidon de maïs - Jus de citron à base de concentré - Jus de potiron à base de concentré - Arômes naturels ', 'LAIT', "" - Concentré des minéraux du LAIT - Vitamine DLAIT D'ORIGINE FRANCE""]",['Non végétalien'],,,,,,,363,,86,,363 kj(86 kcal),,"2,4",,"1,6",,10,,"9,4",,"5,3",,,,,,,,,,,,"['Yoplait', 'Petits filous pots']","0,12","0,048",1200 g,,,,,,,,,,,,['Lait'],4,,"Spécialité laitière sucrée aux fruits à base de Fromage Frais, aromatisée",,,,
633,Fromage blanc 4.5%  lait de brebis,3256225432998,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis', 'Fromage blanc de brebis']",['France'],[],[],4.5 g,en quantité modérée,3.2 g,en quantité modérée,3.6 g,en faible quantité,?,,87,-7%,364 kj(87 kcal),-7%,"4,5",-12%,"3,2",-7%,"5,8",+11%,"3,6",-9%,"5,9",-7%,C,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,"0,13","0,052",,0.13 g,en faible quantité,+26%,+26%,1,+7%,B,+7%,,,,,,,,,,,
634,Rouille,3308090003695,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",['France'],[],[],80.1 g,en quantité élevée,9.2 g,en quantité élevée,0.2 g,en faible quantité,?,,749,+80%,3134 kj(749 kcal),+82%,"80,1",+79%,"9,2",+124%,"4,4",+8%,"0,2",-84%,"1,8",-32%,D,,,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,"0,75","0,3",,0.75 g,en quantité modérée,-46%,-46%,21,+52%,E,+52%,,,,,,,,,,,
635,Gouda jeune,8710866037813,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",['France'],[],[],30 g,en quantité élevée,18.3 g,en quantité élevée,0 g,en faible quantité,?,,370,+2%,1548 kj(370 kcal),+3%,30,+0%,"18,3",-8%,0,-100%,0,-100%,25,+6%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,2,"0,8",,2 g,en quantité élevée,+2%,+2%,17,+1%,D,+1%,,,,,,,,,,,
636,Confiture de fraise,6922230001173,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,62 g,en quantité élevée,?,,256,+18%,1071 kj(256 kcal),+17%,"0,5",+107%,"0,1",+122%,63,+19%,62,+22%,"0,5",+13%,D,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"0,5","0,2",,0.5 g,en quantité modérée,+2103%,+2103%,14,+60%,D,+60%,,,,,,,,,,,
637,Magret de CANARD,0289425078522,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],[],[],27 g,en quantité élevée,9.8 g,en quantité élevée,0.7 g,en faible quantité,?,,316,-7%,1322 kj(316 kcal),-7%,27,-8%,"9,8",-2%,"1,3",+4%,"0,7",+4%,17,-5%,E,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"1,3","0,52",,1.3 g,en quantité modérée,-21%,-21%,17,-8%,D,-8%,,,,,,,,,,,
638,Kéfir de fruits figue- citron bergamote,3770006064333,,['France'],[],[],,,,,,,?,,9.4,,39 kj(9 kcal),,0,,0,,"2,3",,"2,3",,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
639,Millefeuille 8/10P,3400002003561,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,B,,,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,
640,Chipolata persilée,2212383058907,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],23 g,en quantité élevée,8.5 g,en quantité élevée,0.5 g,en faible quantité,?,,267,+12%,1117 kj(267 kcal),+12%,23,+22%,"8,5",+18%,"0,5",-57%,"0,5",-21%,15,-3%,E,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"2,1","0,84",,2.1 g,en quantité élevée,+17%,+17%,20,+20%,E,+20%,,,,,,,,,,,
641,Véritable andouillette de Troyes,2661421055895,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",['France'],[],[],16.8 g,en quantité modérée,16.8 g,en quantité élevée,0.2 g,en faible quantité,?,,923,+291%,3862 kj(923 kcal),+296%,"16,8",-5%,"16,8",+106%,"0,5",+15%,"0,2",-42%,"18,8",+2%,E,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,10,4,,10 g,en quantité élevée,+456%,+456%,30,+72%,E,+72%,,,,,,,,,,,
642,Chipolatas persillées,2238521027550,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],15 g,en quantité modérée,5.8 g,en quantité élevée,0.6 g,en faible quantité,?,,205,-14%,858 kj(205 kcal),-14%,15,-21%,"5,8",-20%,"0,6",-49%,"0,6",-5%,17,+10%,E,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"1,8","0,72",,1.8 g,en quantité élevée,-0%,-0%,14,-16%,D,-16%,,,,,,,,,,,
