,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
1506,Marrons caramel - Migros Bio,7613404050439,,['Migros Bio'],,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,104,,435 kj(104 kcal),,"3,3",,"1,7",,15,,13,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,['Bio'],,,,,,
1507,"Biere Dremmwel - 0,75cl",3760010132937,C,['Dremmwel'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,['France'],['Blé noir bio sans gluten'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"0,75cl","['Bouteille', 'Verre']",,['Tregunc'],,['géant'],,,,,
1508,Encore ! - Chocolats assortis - Côte d'Or,7622210874382,,"[""Côte d'Or""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'graisses végétales ', 'palme', 'palmiste', 'noisettes', 'lait écrémé en poudre', 'beurre concentré', 'lactosérum en poudre ', 'de lait', 'maïs', 'pâte de noisette', 'sirop de glucose', ""pâte d'amande"", 'émulsifiants ', 'lécithine de soja', 'E471', 'sirop de glucose-fructose', 'sel', 'arômes']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,36 g,en quantité élevée,17 g,en quantité élevée,45 g,en quantité élevée,0.29 g,en faible quantité,?,,559,+6%,2339 kj(559 kcal),+6%,36,+12%,17,-2%,49,-6%,45,-5%,"6,5",+11%,"0,29",+90%,"0,116",+90%,22,-10%,E,-10%,,,,,,,,,,,,,,,,,,
1509,Moutarde Sidna 130Gr -,61302495,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,"['Algérie', 'France']","['Eau', 'graines de moutarde', 'vinaigre', 'sel', 'additifs alimentaires: ', 'SIN330', ' régulateur d’acidité', 'SIN211', 'SIN202']","['E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Moutarde'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,15 g,en quantité modérée,0 g,en faible quantité,3.14 g,en faible quantité,6.3 g,en quantité élevée,?,,176,+4%,736 kj(176 kcal),+4%,15,+39%,0,-100%,"3,14",-54%,"3,14",-19%,7,+7%,"6,3",+34%,"2,52",+34%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,
1510,Saumon fumé d'Ecosse - Auchan,3596710465910,,['Auchan'],"[""en:Saumons fumés d'Ecosse""]",,['France'],[],,,[],,10 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,2.6 g,en quantité élevée,?,,185,-3%,774 kj(185 kcal),-3%,10,-10%,"1,8",-28%,"0,5",+9%,"0,5",+74%,23,+5%,"2,6",+8%,"1,04",+8%,13,+7%,D,+7%,,,,,,,,,,,,"['Nutriscore', 'Label Rouge']",['Auchan'],,,,,
1511,Boeuf teriyaki - Auchan - 300g,3596710464159,,['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés à réchauffer au micro-ondes']",,['France'],"['Pâtes alimentaires type linguine cuites 36% ', 'eau', 'semoule de blé dur', 'viande de boeuf ', 'origine France', ' 14%', 'assaisonnement mirin 13% [sirop de glucose', 'eau', 'extrait de riz fermenté ', 'eau', 'riz', 'alcool', 'sel', 'sucre', ""vinaigre d'alcool"", 'mélasse de canne à sucre]', 'poivrons rouges 4,2%', 'ciboule 4,1%', 'feves de soja 4,1%', 'chou choy sum 4,1%', 'champignons oreilles de Judas 4,1%', 'sauce soja 2,9% ', 'eau', 'graines de soja', 'blé', 'sel', 'huiles végétales ', 'colza', 'sésame', 'soja', 'tournesol', 'eau', 'gingembre', 'ail', 'oeufs', 'sucre', 'amidon de pomme de terre', 'sirop de glucose', 'pâte de piments rouges écrasés ', 'piments rouges', 'sel', 'jus de citron vert à base de concentré', ""jaune d'oeufs"", ""blanc d'oeufs"", 'protéines de lait', 'caramel ', 'sirop de glucose', 'eau', 'sucre', 'fibres végétales', 'sel ', ' stabilisants carraghénanes', 'gomme guar', 'gomme xanthane', ' dextrose', 'gélatine bovine', 'émulsifiant lécithines ', 'contient soja', 'acidifiant: lactate de potassium', 'poivre blanc', ' Traces éventuelles de moutarde', 'mollusques', 'crustacés', 'poissons', 'céleri', 'arachides et fruits à coque', ' Pourcentages exprimés sur le total de la recette']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E428 - Gélatine', 'E322 - Lécithines', 'E326 - Lactate de potassium']","['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']","['Non végétalien', 'Non végétarien']",4,4.7 g,en quantité modérée,0.8 g,en faible quantité,7.9 g,en quantité modérée,0.82 g,en quantité modérée,?,,155,+17%,649 kj(155 kcal),+17%,"4,7",-14%,"0,8",-61%,19,+47%,"7,9",+351%,"8,3",+24%,"0,82",+6%,"0,328",+6%,-2,-242%,A,-242%,,,,,,,,300 g,['Glass'],,,"['Nutriscore', 'Fabriqué en Belgique', 'Nutriscore A']",['Auchan'],,,,,
1512,Demi lune gorgonzola et mascarpone - Lustucru,3240931544458,D,['Lustucru'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",,['France'],[],,,[],,12 g,en quantité modérée,5.5 g,en quantité élevée,5.7 g,en quantité modérée,1.6 g,en quantité élevée,?,,269,-30%,1125 kj(269 kcal),-30%,12,-67%,"5,5",-78%,30,+2555%,"5,7",+482%,10,-17%,"1,6",+99%,"0,64",+99%,11,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Gorgonzola et mascarpone'],,,,,,,,,
1513,Poêlée de 5 légumes  cuisinés - Monoprix,3350033549173,,['Monoprix'],,,['France'],[],,,[],,,,,,,,,,?,,106,,444 kj(106 kcal),,"6,4",,"0,6",,6,,6,,"3,6",,"0,98",,"0,392",,,,,,,,,,,,,,['Sachet'],,,['Bio'],['Monoprix'],,,,,
1514,Rhythm 108 - 20,7640155340502,,['Rhythm 108'],,,"['France', 'Suisse']","[""Erdnussen und Lupine FR Délicieux biscuit avec avoine et huile de noix de coco! Ingrédients secrets: Farine d'avoine sans gluten* "", '29%', 'huile de noix de coco* ', '24%', 'sucres de fleurs de noix de coco*', 'chocolat noir* ', 'masse de cacao*', 'sucre de noix de coco*', 'beurre de cacao*', ' ', '13%', 'noisettes* ', '8%', 'poudre de cacao*', 'poudre à lever ', 'crème de tartre', 'bicarbonate de sodium', 'poudre de vanille*', 'sel ALLERGIQUE? Voir les ingrédients en caractères gras', 'Fabriqué dans une usine qui utilise du lait et des fruits secs', ""Peut contenir des traces d'arachides et lupin"", 'ingrediënten: Glutenvrij O6', ' kokos DU Heedijk koekje gemaakt van haver']","['E336 - Tartrates de potassium', 'E500ii - Carbonate acide de sodium']",['Fruits à coque'],[],,,,,,,,,,?,,509,,2130 kj(509 kcal),,"29,8",,21,,"53,9",,"23,2",,"6,5",,1,,"0,4",,,,,,,,,,,,,20,,,,"['Bio', 'Bio européen', 'CH-BIO-006', 'en:made-in-switzerland']",,,,,,
1515,Bolognaise riche en boeuf - Heinz,3660603080686,,['Heinz'],,,['France'],[],,,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"5,1",,"1,2",,"5,8",,"4,6",,"3,9",,"0,99",,"0,396",,,,,,,,,,,,,,,,,,,,,,,
