,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
0,Cervelas - Nos Recettes Privilège,3266110600869,E,['Nos Recettes Privilège'],"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']","['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",['France'],"['recette/ Privilège Cervelas sauce vinaigrette Cervelas 61% ', 'viande de porc 37%', 'eau', 'gras de porc', 'sel', 'lactose', 'protéines de lait', 'arômes', 'sirop de glucose', 'plasma de porc', 'dextrose', 'émulsifiants E450-E451 ', 'plantes aromatiques', 'acidifiants : E262-E575', 'exhausteur de goût : E621 ', 'antioxydants : E300-E316', 'conservateurs : €250&326', 'colorants : El 20-EI 50a', 'bouillon ', 'eau', 'os et viande', 'gélatine de porc et ferment', 'boyau collagène ', 'collagène', 'glycérine', 'cellurose', 'colorantes', ' 20 - El huile de colza', 'oignons', 'eau', 'cornichons 5%', ""vinaigre d'alcool et de vin"", 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium', 'persil', 'sel', 'conser - vateur bisulfite de sodium', 'poivre', 'épaississant : E415', ' Traces de gluten ', 'lèuf']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E428 - Gélatine', 'E422 - Glycérol', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Lait', 'Moutarde']","['Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,4.8 g,en quantité modérée,1.4 g,en faible quantité,2 g,en quantité élevée,?,,247,-9%,1033 kj(247 kcal),-9%,22,-8%,"4,8",-43%,"1,7",+34%,"1,4",+65%,"9,5",-24%,2,-5%,"0,8",-5%,15,-23%,D,-23%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,,,,,,,,,,,
1,Salade piémontaise traditionnelle au jambon superieur - nos recettes privilége - 1kg,3266110601507,B,['nos recettes privilége'],"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']","['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",['France'],"['Pommes de terre 42%', 'jambon cuit supérieur 15% ', 'jambon de porc ', 'origine France', 'sel', 'dextrose', 'arômes', 'bouillon ', 'eau', 'os et viande de porc', 'antioxydant : E316', 'conservateur: E250', 'gélatine de porc', 'mayonnaise ', 'huile de colza', 'eau', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur: sulfite acide de sodium', ""jaune d'oeuf"", 'vinaigre', 'sel', 'épaississants: gomme guar - gomme xanthane', 'tomates fraîches 11,5%', 'oeuf 11,5%', 'cornichons 3%', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur: sulfite acide de sodium', 'sel', 'vinaigre', 'poivre', 'acidifiants : E260-E330', 'affermissant : chlorure de calcium', 'conservateur : métabisulfite de potassium', ' Traces de lait', 'gluten et fruits à coque']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,1.1 g,en faible quantité,0.7 g,en faible quantité,0.82 g,en quantité modérée,?,,156,+4%,653 kj(156 kcal),+5%,11,+3%,"1,1",+7%,"7,4",-11%,"0,7",-3%,"6,4",+57%,"0,82",-18%,"0,328",-18%,1,-70%,B,-70%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,1 kg,['barquette plastique'],['France'],['22230 Le mené'],,,,,,,
2,Galettes Fines Maïs et Riz Chocolat Saveur Caramel - La Vie Claire - 90g,3266191002217,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées']",,['France'],[],,,[],,25.8 g,en quantité élevée,16.1 g,en quantité élevée,29.3 g,en quantité élevée,0.4 g,en quantité modérée,?,,499,+19%,2088 kj(499 kcal),+18%,"25,8",+164%,"16,1",+229%,"60,6",-17%,"29,3",+201%,"5,6",-26%,"0,4",+55%,"0,16",+55%,23,+255%,E,+255%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,90 g,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'BE-BIO-02', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['La Vie Claire'],,,,,
3,La bio est dans ma nature - Fraises confiture extra - La Vie Claire - 350g,3266191151052,C,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],"['Fraises*', 'sucre de canne non raffiné*', 'jus concentré de citron*', 'gélifiant : pectine de fruits', "" *Ingrédients agricoles issus de l'Agriculture Biologique"", ' Confiture préparée avec 60g de fruits pour 100g', ' Teneur totale en sucres : 61 g pour 100g']",['E440 - Pectines'],,[],4,0.34 g,en faible quantité,0.34 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,?,,246,+13%,1029 kj(246 kcal),+13%,"0,34",+41%,"0,34",+654%,"60,2",+13%,60,+18%,"0,4",-10%,"0,1",+341%,"0,04",+341%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,350 g,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],,,,,
4,Ratatouille à la provençale - Alain Martin - 780g,3267615005883,B,['Alain Martin'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles', 'Ratatouille en conserve']","['FR 33.090.007 CE', 'Canéjan (Gironde, France)']",['France'],"['Tomates', 'oignons', 'courgettes', 'poivrons', 'aubergines', ""huile d'olive"", 'sucre', 'sel', 'arômes', 'herbes de Provence']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,2 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.41 g,en quantité modérée,?,,43,-37%,180 kj(43 kcal),-35%,2,-47%,"0,3",-44%,"4,3",-16%,"3,7",-5%,"1,3",+10%,"0,41",-42%,"0,164",-42%,1,+2%,B,+2%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,780 g,['Bocal'],,['France'],['Fabriqué en France'],['Leclerc'],,,,,
5,Rosette de Lyon Merle 8 tranches - Les extra fines du forez,3268750004014,D,['Les extra fines du forez'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['FR 42.165.006 CE', 'Panissières (Loire, France)']",['France'],"['Ingrédienb : Viande de ', 'rigine UE', ' ', ' lectse ', ' el ', ' ', ' et pkìfltes aromatiques ', ' sacchaŒe ', ' : de kìCtqxs de 160g de viande mis en pour 100g']",,,"['Non végétalien', 'Non végétarien']",,25.9 g,en quantité élevée,9.1 g,en quantité élevée,2.4 g,en faible quantité,4.67 g,en quantité élevée,?,,351,-4%,1469 kj(351 kcal),-4%,"25,9",-9%,"9,1",-20%,"2,4",+24%,"2,4",+66%,"27,1",+6%,"4,67",+4%,"1,868",+4%,23,-2%,E,-2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
6,"Cuisses de Poulet - Picard - 1,5kg e",3270160007271,C,['Picard'],"['Viandes', 'Surgelés', 'Volailles', 'Poulets', 'Cuisses de poulet']","['FR 89.069.001 CE', 'Chailley (Yonne, France)']",['France'],"['Cuisses de poulet ', 'France']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,14 g,en quantité modérée,4.2 g,en quantité modérée,0.5 g,en faible quantité,0.21 g,en faible quantité,830,+2%,200,+5%,830 kj(200 kcal),+4%,14,+13%,"4,2",+25%,"0,5",+57%,"0,5",+223%,"0,21",-99%,"0,21",-72%,"0,084",-72%,6,+70%,C,+70%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"1,5 kg e","['Sachet', 'Plastique']",['France'],['France'],['Point Vert'],['Picard'],https://www.picard.fr/produits/cuisses-de-poulet-000000000000000727.html,,,,
7,Sorbet Abricot-Nougat - Picard - 430g,3270160738212,,['Picard'],,,['France'],[],,,[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"9,1",,"6,4",,34,,20,,"3,2",,"0,08",,"0,032",,,,,,,,,,,,,430 g,,,,,['Picard'],,,,,
8,"10 Boulettes Courgette, Avoine, Emmental - Picard - 200g",3270160875788,,['Picard'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",,['France'],"['Courgette : 32,7 %', ""préparation à base d'œufs "", 'Blanc d’œuf issu de poule élevée en plein air ', 'liquide', 'pasteurisé', ' sel', ' 20,4 %', 'flocon d’avoine ', 'gluten', ' 27,4 %', 'emmental ', 'lait', 'origine : Autriche', ' 8,9 %', 'protéine de lait', 'basilic', 'oignon', 'graine de tournesol 2,3 %', 'fibre de carotte', 'sel', 'poivre']",,"['Œufs', 'Gluten', 'Lait', 'Avoine']",['Non végétalien'],4,11 g,en quantité modérée,2.8 g,en quantité modérée,1.1 g,en faible quantité,0.4 g,en quantité modérée,?,,211,+42%,883 kj(211 kcal),+41%,11,+57%,"2,8",+8%,12,-8%,"1,1",-47%,14,+107%,"0,4",-48%,"0,16",-48%,-3,-224%,A,-224%,,,,,,,,200 g,"['Carton', 'boîte', 'surgelé']","['Autriche', 'Union européenne', 'Hors Union Européenne']",['Suède'],"['Lacto-végétarien', 'Bio', 'Ovo-végétarien', 'Bio européen', 'Ovo-lacto-végétarien', 'Agriculture UE/Non UE', 'Riche en protéines', 'SE-EKO-01']",['Picard'],,,,,
9,Bohemienne 360GR - Jean martin - 360g,3271510000225,B,['Jean martin'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles', 'Bohémienne']",,['France'],"['tomates', 'aubergines ', '30%', 'poivrons rouges ', '14%', 'huile de tournesol', 'persil', ""huile d'olive vierge extra"", 'sel', 'ail', 'sucre', 'paprika fumé', 'poivre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,9.8 g,en quantité modérée,1.3 g,en faible quantité,2.9 g,en faible quantité,0.52 g,en quantité modérée,?,,113,+66%,473 kj(113 kcal),+70%,"9,8",+161%,"1,3",+141%,"3,7",-28%,"2,9",-25%,"1,2",+2%,"0,52",-27%,"0,208",-27%,1,+2%,B,+2%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,360g,['pot conserve'],,['maussane les alpilles'],"['Sans colorants', 'Sans conservateurs']",['Carrefour'],,,,,
10,Sauce Tomate au Basilic de Provence - Jean Martin - 240g,3271514130706,A,['Jean Martin'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",,['France'],"['Tomates ', '95 %', 'basilic ', '1,8 %', ""huile d'olive AOP Vallée des Baux de Provence "", '1 %', 'sucre', 'ail', 'sel', 'poivre']",,,[],3,1.3 g,en faible quantité,0.2 g,en faible quantité,3.9 g,en faible quantité,0.57 g,en quantité modérée,152,-36%,36,-45%,152 kj(36 kcal),-43%,"1,3",-57%,"0,2",-54%,"4,1",-33%,"3,9",-21%,"1,3",-18%,"0,57",-33%,"0,228",-33%,-4,-1832%,A,-1832%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,240 g,"['Bocal', 'Verre']",,,"['Sans colorants', 'Sans conservateurs']",['Carrefour'],,,,,
11,Crème d' aubergines - Jean Martin,3271514166019,,['Jean Martin'],,,['France'],[],,,[],,,,,,,,,,?,,146,,611 kj(146 kcal),,13,,"1,5",,"4,4",,"3,6",,"1,3",,"0,61",,"0,244",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
12,Beurre de baratte aux cristaux sel de Guérande - Agrilait - 250g,3271820003596,C,['Agrilait'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']","['FR 35.051.001 CE', 'Cesson-Sévigné (Ille-et-Vilaine, France)']",['France'],"['3% de sel maxi', '\rMatière grasse : 80%']",,['Lait'],"[""Pourrait contenir de l'huile de palme""]",2,80 g,en quantité élevée,56 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,2979,+2%,724,+1%,2979 kj(724 kcal),-1%,80,+1%,56,+4%,"0,5",-33%,"0,5",-19%,"0,6",-12%,2,-3%,"0,8",-3%,26,-2%,E,-2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,250g,"['Frais', 'Feuille']","['France', 'Bretagne']","['France', 'Bretagne', 'Ille-et-Villaine', 'Cesson-Sévigné']",['Produit en Bretagne'],['Magasins U'],http://agrilait.fr,Beurre,,,
13,Farine Complète 5 Céréales - Celnat - 1kg,3273120011714,,['Celnat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",,['France'],[],,,[],,2.6 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en faible quantité,0.05 g,en faible quantité,?,,356,+3%,1490 kj(356 kcal),+3%,"2,6",+49%,"0,4",+30%,"69,5",-0%,"1,8",+27%,"10,2",-2%,"0,05",+64%,"0,02",+64%,-6,,A,,,,,,,,,1 kg,['Carton'],,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
14,So Fingers - sojade - 150g,3273220188040,,['Sojade'],['Produits panés'],['EMB 127811'],['France'],"[""Farine protéique de soja' "", '1', ' réhydratée 26 % eau', 'chapelure aux graines 18 % ', 'farine de blé""', 'graines 2,7% ', 'tournesol""', 'lin brun""', 'pavot bleu*', 'levure*', 'sel', 'enrobant* 17 % ', 'eau', 'farine de blé', 'amidon de blé""', 'sel', ' gluten de blé""', 'huile de tournesol', ""flocons de blé d'épeautre* 5%"", 'oignon', ""poudre d'oignon"", 'bouillon de légumes* ', 'dont céleri""', 'fibres de soja ', '1', 'poivre', "" Issus de l'agriculture biologigque"", ' ', '1', ' Soja cultivé en France', 'sans OGM', ' Produit']",,['Gluten'],"['Végétalien', 'Végétarien']",4,11 g,en quantité modérée,1.35 g,en faible quantité,2 g,en faible quantité,1.2 g,en quantité modérée,?,,261,+22%,1092 kj(261 kcal),+22%,11,+4%,"1,35",-38%,22,+42%,2,+35%,"16,5",+30%,"1,2",+6%,"0,48",+6%,0,-100%,B,-100%,,,,,,,,150g,['Barquette'],['France'],['35531'],"['Bio', 'Végétarien', 'Végétalien', 'Fabriqué en France', 'Sans OGM', 'en:The Vegan Society', 'Origine France']",['Biocoop'],http://www.sojade.eu,,,,
15,Ananas del monte gold - 400grammes,3276538000042,,['Del Monte'],,,['France'],[],,,[],,,,,,,,,,?,,53,,222 kj(53 kcal),,0,,0,,11,,"10,4",,"0,5",,0,,0,,,,,,,,,,,,,400grammes,,,,"['Fabriqué en France', 'Sans additifs', 'Sans conservateurs']",,,,,,
16,Pommes bio - Carrefour - 4,3276550063636,B,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']","['EMB 84054R', 'Isle-sur-la-Sorgue (Vaucluse, France)']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,10,-77%,42 kj(10 kcal),-77%,0,-100%,0,-100%,5,-49%,0,-100%,0,-100%,0,-100%,0,-100%,-5,,A,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,4,,"['France', 'Provence']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Catégorie II', 'FR-BIO-01', 'FR-BIO-10', 'Agriculture France']",['Carrefour'],,,,,
17,Pommes Bicolore,3276550165774,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Filet d'oignons jaunes calibre 40/60 - Ferme des Arches - 2kg,3276550374534,A,['Ferme des Arches'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais']",,['France'],['oignons jaunes'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.1 g,en faible quantité,0.02 g,en faible quantité,4.2 g,en faible quantité,0.09 g,en faible quantité,?,,39,+62%,163 kj(39 kcal),+60%,"0,1",-95%,"0,02",-92%,"6,2",+41%,"4,2",+282%,"1,3",-56%,"0,09",-48%,"0,036",-48%,-5,,A,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,2 kg,['filet plastique'],['France'],['Terminiers (28140)'],,['Carrefour'],http://www.fermedesarches.com,,,,
19,1KG Riz Long Basmati Riz Monde - Riz Du Monde - 1kg,3276650015016,C,['Riz Du Monde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,['France'],['100% riz long BASMATI'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.7 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,?,,352,+7%,1473 kj(352 kcal),+6%,"0,7",-33%,"0,2",-17%,"78,7",+11%,"0,1",-59%,"7,1",-6%,"0,01",-72%,"0,004",-72%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1 kg,['Plastique'],,,,,,,,,
20,Brioche tressee pur beurre - Brioches Fonteneau - 600g,3279840002490,C,['Brioches Fonteneau'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées', 'Brioches pur beurre']",,['France'],"['Farine de blé 53%', 'beurre pâtissier 12%', 'oeufs frais issus de poules élevées en plein air 11%', 'sucre 11%', 'levain ', 'farine de blé 2%', 'eau', 'sel', 'sirop de sucre inverti', 'rhum', 'levure', 'sel', ""eau de fleurs d'oranger"", 'fibre de blé', 'gluten de blé', ""extrait d'acérola"", 'arôme naturel de vanille ', 'contient alcool']",,"['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,13 g,en quantité modérée,8.2 g,en quantité élevée,12 g,en quantité modérée,1.1 g,en quantité modérée,?,,346,-5%,1448 kj(346 kcal),-5%,13,-5%,"8,2",-6%,49,-4%,12,-13%,"8,6",+5%,"1,1",+14%,"0,44",+14%,16,-10%,D,-10%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,600 g,"['Sachet', 'Plastique']",,,['Pur beurre'],,,,,,
21,Cocktail Orange Carotte Citron - Vitamont - 1,3289196260383,,['Vitamont'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Jus et nectars', 'Jus de fruits et légumes']",,"['France', 'Suisse']","[""Jus d'orange "", '61', '5%', 'jus de carotte ', '38%', 'jus de citron concentré ', '0', '5%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,7.5 g,en quantité élevée,0 g,en faible quantité,182,-5%,32,-24%,182 kj(32 kcal),+1%,0,-100%,0,-100%,20,+100%,"7,5",-13%,"0,5",+14%,0,-100%,0,-100%,2,-65%,C,-65%,,,,,,,,1,"['Brique en carton', 'Film en plastique']",,,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,
22,Lardons Fumés - Stemmelen - 200g (2 * 100g),3291510001497,D,['Stemmelen'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']","['FR 01.249.003 CE', 'Miribel (Ain, France)']",['France'],"['Poitrine de porc', 'sel', 'dextrose', 'ascorbate de sodium', 'nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,19.7 g,en quantité modérée,6.8 g,en quantité élevée,0.73 g,en faible quantité,2.78 g,en quantité élevée,?,,249,-7%,1042 kj(249 kcal),-5%,"19,7",-9%,"6,8",-18%,"0,73",-11%,"0,73",+14%,"17,2",+5%,"2,78",+5%,"1,112",+5%,19,-5%,E,-5%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,200 g (2 * 100 g),"['Frais', 'Plastique']",['Union européenne'],['France'],"['Point Vert', 'Fabriqué en France', 'Qualité supérieure']",,,Lardons fumés de qualité supérieure,,,
23,Sirop Mirabelle - rieme boissons - 1litre,3292483220250,,['rieme boissons'],"['Boissons', 'Boissons avec sucre ajouté']",,['France'],"['natüdichen', 'regionalenÀüchien undAromen', 'V Rième Boissons 21', 'rue de la Louhière 25500 Morteau - France/Frankreich Tel: +33 ', '0', '3 81 67 15 33 FR • In rédients : sucre', 'eau', 'jus de concentré de mirabelle', ' arôme naturel de mirabelle', 'acidifianft acide citrique,']",,,[],,0.5 g,en faible quantité,0 g,en faible quantité,82.6 g,en quantité élevée,0 g,en faible quantité,?,,3,-96%,13 kj(3 kcal),-96%,"0,5",+33%,0,-100%,85,+329%,"82,6",+351%,"0,3",-44%,0,-100%,0,-100%,11,-8%,E,-8%,,,,,,,,1litre,,,,['Fabriqué en France'],,,,,,
24,Royal fruits orange - Thiriet,3292590044206,,['Thiriet'],,,['France'],[],,,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"0,001",,"0,001",,"22,4",,"22,4",,"0,1",,"0,001",,0,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,
25,Royal fruiz - Thiriet,3292590044305,,['Thiriet'],,,['France'],"['eau', 'sucre', 'arôme naturel de menthe', 'épaississant : gomme guar', 'gélifiants : alginate de sodium - carraghénanes', 'dextrose', 'colorants : complexe cuivre-chlorophylline ? curcumine', 'jus concentré de citron', ' Présence éventuelle de lait', ""d'œuf"", 'de gluten', 'de soja et de fruits à coque', "" CONSERVATION : ? Jusqu'à /a date limite d'utilisation optimale indiquée sur la boîte dans un congélateur à - 180C"", ' CONSERVATION A - 180C', ' NE JAMAIS RECONGELER UN PRODUIT DÉCONGELÉ']","['E412 - Gomme de guar', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines']","['Œufs', 'Gluten', 'Fruits à coque', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,78,,326 kj(78 kcal),,0,,0,,"19,5",,"19,5",,0,,0,,0,,,,,,,,,,,,,,,,,['Ne pas recongeler'],['Thiriet'],,,,,
26,Tartes Poireaux - Thiriet - 300g,3292590822309,,['Thiriet'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées']",,['France'],"['GARNITURE 66% : poireaux 35%', 'crème fraîche 18,3%', 'oeufs frais 17 %', 'eau', 'crème de riz', 'emmental 2,5%', 'fromage frais', 'farine de blé', 'dextrose', 'amidon transformé', 'huile de tournesol', 'sel', 'extraits de muscade et de poivre', ' PÂTE 34% : farine de blé', 'margarine végétale ', 'graisses et huiles de palme et de colza', 'eau', 'sel', ""émulsifiants : mono et diglycérides d'acides gras"", ""correcteur d'acidité acide lactique"", 'eau', 'crème de riz', 'fécule de pomme de terre', 'sel', 'dextrose', 'extrait naturel de poivre', ' Présence éventuelle de moutarde et de céleri']","['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique']","['Céleri', 'Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,14 g,en quantité modérée,7 g,en quantité élevée,2.2 g,en faible quantité,1 g,en quantité modérée,?,,214,-13%,895 kj(214 kcal),-13%,14,+3%,7,+10%,17,-22%,"2,2",-23%,"4,3",-43%,1,-9%,"0,4",-9%,11,-4%,D,-4%,,,,,,,,300g,,,,,['Thiriet'],,,['Huile de palme'],,
27,Gratin de choux-fleurs - Thiriet,3292590839093,B,['Thiriet'],"['Plats préparés', 'Gratins', 'Gratins de légumes', 'Gratins de choux-fleurs']",,['France'],[],,,[],,8.7 g,en quantité modérée,5.9 g,en quantité élevée,4.1 g,en faible quantité,0.83 g,en quantité modérée,?,,124,+38%,519 kj(124 kcal),+37%,"8,7",+61%,"5,9",+82%,"5,8",+10%,"4,1",+64%,5,+25%,"0,83",+31%,"0,332",+31%,6,+133%,C,+133%,53.7%,19.7%,8.9%,9.2%,5.0%,3.6%,91,,,,,,['Thiriet'],,,,,
28,Kouign Amann Nature - Berrou - 350g e,3294510003508,B,['Berrou'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",,['France'],"['Farine de blé', 'beurre pâtissier 29 % ', 'dont colorant : caroténoïdes', 'sucre', 'eau', 'levure', 'sel']",['E160 - Caroténoïdes'],"['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,29 g,en quantité élevée,20 g,en quantité élevée,27 g,en quantité élevée,0.7 g,en quantité modérée,?,,495,+10%,2071 kj(495 kcal),+10%,29,+15%,20,+21%,54,+3%,27,0%,"3,9",-2%,"0,7",-13%,"0,28",-13%,23,-0%,E,-0%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,350 g e,"['Sachet', 'Plastique', 'Carton']",,"['France', 'Bretagne']","['Point Vert', 'Sans sucre ajouté', 'en:produced-in-bretagne']","['Carrefour', 'Magasins U']",,Kouign Amann,,,
