,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
1211,Cotes de province,3381781001545,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1212,Glace vanilla dream,7613036154215,,,,,,,,,['France'],[],[],,,,,,,,,,?,,535,,2238 kj(535 kcal),,"7,1",,"4,1",,"13,2",,"10,9",,"1,8",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,
1213,08428219,08428219,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1214,3760245871717,3760245871717,,,,,['Halal'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Madeleines - 15x 28g,3392819358685,15 x 28 g,,,,,,"['EMB 29020A', 'Briec (Finistère, France)']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Filets de saumon accompagnés d'une marinade sucrée,721875,,,,,,,,,['France'],[],[],,,,,,,,,,?,,250,,1046 kj(250 kcal),,"17,7",,"3,4",,"4,4",,"4,4",,"18,2",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,
1217,Sorbet Grom,8711327344327,,,,,,,,,['France'],[],[],,,,,,,,,,?,,99,,414 kj(99 kcal),,"0,5",,"0,5",,24,,23,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1218,Boisson pétillante citron gingembre,3770008107342,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,37,,155 kj(37 kcal),,0,,0,,"8,5",,"8,4",,0,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
1219,Sauce Poisson Megachef N 30,8857118730075,,,,,,,,,['France'],[],[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,0,,0,,6,,4,,17,,"25,3",,"10,12",,,,,,,,,,,,,,,,,,,,,
1220,3700068144223,3700068144223,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1221,ECHALOTE Echalote longue traditionnelle,3593240444460,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
