,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
0,cuisses de caille - le fumet des dombes - 200,3356994112005,200,['sous vide'],['le fumet des dombes'],['Viandes'],"['Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['Rhône Alpes'],"['FR 01.333.001 CE', 'Saint-André-de-Corcy (Ain, France)', '01 333C-FR-01-333-001 EC']",['ferme la'],['France'],"['cuisse de cailles semi-desossée,sel']",[],3,14.9 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,?,,223,-1%,933 kj(223 kcal),-0%,"14,9",+2%,"3,5",-34%,"0,2",-88%,0,-100%,"21,9",+15%,"3,2",+76%,"1,28",+76%,15,+32%,D,+32%,,,,,,,,,,,,,,,,
1,Pain complet meunier,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"1,1",,"0,2",,43,,"1,4",,11,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
2,Glace vanille de Madagascar - Adelie - 1l,6230320600671,1l,"['Bac', 'surgelé']",['Adelie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Fabriqué en France'],['France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Intermarché'],['France'],"['Eau', ' crème fraîche 29,9%', ' sucre', ' lait écrémé réhydraté']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,10.2 g,en quantité modérée,7.2 g,en quantité élevée,21.8 g,en quantité élevée,0.21 g,en faible quantité,?,,203,-13%,849 kj(203 kcal),-13%,"10,2",-13%,"7,2",-5%,"25,2",-10%,"21,8",-7%,"2,2",-30%,"0,21",+40%,"0,084",+40%,13,-3%,D,-3%,B,['Lait'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,
3,3225820067188,3225820067188,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moissac des Cévennes,3303320001472,,,,,,,,,['France'],[],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,27,,19,,"1,1",,"1,1",,21,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
5,Bûche de chèvre à la truffe - cobreros,8437004770400,,,['Cobreros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,,,"['France', 'Espagne']",[],[],,26 g,en quantité élevée,17 g,en quantité élevée,1.6 g,en faible quantité,1.2 g,en quantité modérée,?,,305,+7%,1276 kj(305 kcal),+8%,26,+14%,17,+6%,"1,6",-4%,"1,6",+65%,17,-2%,"1,2",-11%,"0,48",-11%,13,-2%,D,-2%,E,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,
6,2 éclairs goût vanille,3567741001262,,,,,,,,,['France'],[],[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"9,6",,"5,7",,33,,13,,"3,4",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,
7,Fitou,3700956502593,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Fitou']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,
8,Lentilles au chocolat,4043651146228,,,,,,,,,['France'],[],[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,16,,"9,9",,76,,75,,"2,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
9,Fleur De Bach Cherry Plum - Biofloral,3760029841066,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
10,Vin,7804633850000,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
11,Cafe quindio - 50g,7702728232536,50 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,5,,21 kj(5 kcal),,3,,"0,05",,5,,5,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,
12,Covinor,18189988,,,['Covinor'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
13,Vin d'Alsace 2016 -,3221249150449,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Vin d'Alsace""]",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,
14,Grattons de canard,3513269900570,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Grattons', 'Grattons de canard']",,,,,['France'],[],[],,58 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,657,+98%,2749 kj(657 kcal),+98%,58,+116%,18,+88%,"0,5",-76%,"0,5",+88%,34,+118%,"1,1",-28%,"0,44",-28%,22,+28%,E,+28%,,,,,,,,,,,,,,,,
15,Bonbons Framboise -,5450536713960,,,,,,,,,['France'],"['Sucre', 'sirop de glucose', 'arôme naturel', 'acidulant : acide citrique', ' Colorant naturel: carmin']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,384,,1607 kj(384 kcal),,"0,5",,"0,01",,96,,"65,7",,"0,5",,"0,014",,"0,006",,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E120 - Acide carminique']",,,,,
16,Bastou Tomate et herbes de Provence - Maison Loste,3466250021269,,,['Maison Loste'],,,,,,['France'],[],[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,36,,13,,11,,"1,7",,24,,"4,8",,"1,92",,,,,,,,,,,,,,,,,,,,,
17,30G the Marrakech - Cook,3417960021025,,,['Cook'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sundaye yaourt,3760178524018,,,,,,,,,['France'],[],[],,,,,,,,,,?,,196,,820 kj(196 kcal),,"2,12",,"1,31",,37,,35,,"8,26",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,
19,Semoule fine complète de blé dur -  - 500g,2273169012124,500 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,['France'],['semoule fine de blé dur'],[],,2.7 g,en faible quantité,0.6 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,?,,342,-3%,1431 kj(342 kcal),-5%,"2,7",+41%,"0,6",+69%,63,-10%,3,+11%,"11,6",-4%,"0,01",-92%,"0,004",-92%,-1,,A,,B,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,,,,,
20,Crystal -,0086449300062,,,,['en:Deo'],,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bistrot Flammkuchen - Dr. Oetker - 240g,4001724010142,240g,,['Dr. Oetker'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",,,,,"['France', 'Allemagne']",[],[],,14 g,en quantité modérée,6.2 g,en quantité élevée,2.8 g,en faible quantité,1.1 g,en quantité modérée,?,,270,+15%,1130 kj(270 kcal),+16%,14,+20%,"6,2",+17%,27,+12%,"2,8",-16%,"7,3",+5%,"1,1",-12%,"0,44",-12%,13,+14%,D,+14%,C,,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,,
22,Tesco Coriander & Lemon Cous Cous,5031021428769,,,['Tesco'],,,,,,['France'],[],[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"1,2",,"0,4",,"27,5",,"1,4",,"5,6",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,
23,TAZO,0762111002266,,,['Tazo'],,,,,,['France'],[],[],,,,,,,,,,?,,15,,63 kj(15 kcal),,0,,0,,"3,7",,"3,7",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
24,Limonade artisanale a la menthe poivrée - Elixia,3760045175312,,,['Elixia'],,,,,,['France'],[],[],,,,,,,,,,?,,27,,113 kj(27 kcal),,"0,1",,"0,1",,"6,2",,"6,2",,"0,2",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
25,Palmiers,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,24,,16,,42,,"7,1",,"4,8",,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,
26,"Assortiment d'infusions de fruits ""On the rocks""",3585810065762,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
27,M&s food poulet rôti et bacon,00370240,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ponti Giardiniera Aceto Vaso GR 300,80722724,,,['Ponti'],,,,,,['France'],[],[],,,,,,,,,,?,,15,,63 kj(15 kcal),,"0,6",,"0,2",,"1,2",,"1,2",,"0,5",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,
29,Crispy tenders spicy,3760269680159,,,,,['Halal'],,,,['France'],[],[],,,,,,,,,,?,,212,,887 kj(212 kcal),,"9,9",,"0,8",,"15,8",,"0,5",,"15,6",,"1,67",,"0,668",,,,,,,,,,,,,,,,,,,,,
30,Illanka - Valrhona,3395328238202,,,['Valrhona'],,,,,,['France'],[],[],,,,,,,,,,?,,551,,2305 kj(551 kcal),,37,,22,,40,,37,,"7,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
31,Organic Chickpea Puffs Chilli Haze,5060472691132,,,,,,,,,['France'],[],[],,,,,,,,,,?,,406,,1699 kj(406 kcal),,17,,"1,9",,"48,1",,"4,3",,"14,6",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
32,Sauce tomate bio de variété ancienne - 250g,3760275940049,250 g,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,115,,481 kj(115 kcal),,"9,4",,"1,4",,"6,3",,"6,2",,"0,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,
33,Granaprosan Jus De Grenade Lyophilise - 70g,4041246500653,70 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Tomates Sechees A Lhuile, - 230g",3700188901041,230 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,143,,598 kj(143 kcal),,"6,1",,"0,7",,"15,2",,"12,5",,"4,1",,"7,68",,"3,072",,,,,,,,,,,,,,,,,,,,,
35,Toblerone tiny,7622210826930,,,['Toblerone'],,,,,,['France'],[],[],,,,,,,,,,?,,530,,2218 kj(530 kcal),,29,,17,,61,,60,,"5,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
36,XXL flips,4031446832517,,,,,,,,,['France'],[],[],,,,,,,,,,?,,485,,2029 kj(485 kcal),,22,,"2,9",,56,,"2,9",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
37,Capsule de Cafe Vanille - Auchan,3245678172599,,,['Auchan'],,"['Agriculture durable', 'en:UTZ Certified']",,,['Auchan'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cardon lyonnais - La Vie Claire - 420g,3266191067957,420 g,,['La Vie Claire'],,,,,['La Vie Claire'],['France'],[],[],,,,,,,,,,?,,14,,59 kj(14 kcal),,1,,0,,1,,"0,4",,"0,5",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
39,Frutti fresh,5942207001600,,,,,,,,,['France'],[],[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,"11,2",,"11,2",,"0,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
40,Oats & whey chocolate - Prozis,5600499519585,,,['Prozis'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,,,"['France', 'Espagne']",[],[],,5.3 g,en quantité modérée,1.9 g,en quantité modérée,2 g,en faible quantité,0.25 g,en faible quantité,?,,412,+11%,1724 kj(412 kcal),+11%,"5,3",+22%,"1,9",+9%,51,+624%,2,-35%,33,-53%,"0,25",-67%,"0,1",-67%,2,-55%,B,-55%,,,,,,,,,,,,,,,,
41,Mozarella cerises - Flor de Burgos - 300g,8436039432611,300 g,,['Flor de Burgos'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,,,['France'],"['Lait pasteurisé de vache', ""correcteur d'acidité "", 'acide citrique', 'sel et présure', ' Origine du lait : UE']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,15 g,en quantité modérée,14.5 g,en quantité élevée,0.8 g,en faible quantité,1 g,en quantité modérée,?,,203,-22%,849 kj(203 kcal),-21%,15,-28%,"14,5",+4%,1,-3%,"0,8",+6%,16,-5%,1,+48%,"0,4",+48%,11,+8%,D,+8%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Union européenne'],['E330 - Acide citrique'],,,,,
42,Comte - Les régions à table - Normandie - 259g,0298955017659,259 g,,['Les régions à table - Normandie'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite']",,,"['FR 39.558.001 CE', 'Vevy (Jura, France)']",,['France'],"['lait cru de vache', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+1%,1715 kj(410 kcal),+1%,34,+4%,22,+2%,0,-100%,0,-100%,26,-4%,"0,8",-1%,"0,32",-1%,13,+3%,D,+3%,D,['Lait'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
43,Pâtes,8003477100312,,,,,,,,,['France'],[],[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,"1,2",,"0,2",,"72,5",,1,,"11,5",,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,
44,Melon,3386388044605,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
45,Poivre Blanc de Malabar - Sainte Lucie,3162050049037,,,['Sainte Lucie'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
46,8004590618425,8004590618425,,,,,['en:gluten-free'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
47,Chapelure Blanche - 1kg,3039820615160,1 kg,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
48,Croissant au jambon et fromage,2203701025251,,,,"['Plats préparés', 'Feuilleté salé', 'Croissants au jambon']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,69.6%,13.6%,5.7%,3.0%,1.7%,6.3%,51,,,,,,,
49,Hoegaarden Rosée 6L,5410228206385,,,['Hoegaarden'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,C,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
50,8480000467256,8480000467256,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
51,Melet Crème d'anchoïade - 90g,3498976100560,90 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,550,,2301 kj(550 kcal),,56,,"6,9",,"1,5",,1,,"8,9",,4,,"1,6",,,,,,,,,,,,,,,,,,,,,
52,41234013,41234013,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
53,Noix de Cajou aux épices cajun,3234750003029,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,['France'],[],[],,45 g,en quantité élevée,5.9 g,en quantité élevée,5.3 g,en quantité modérée,1.5 g,en quantité modérée,?,,598,-0%,2502 kj(598 kcal),+0%,45,-2%,"5,9",-31%,24,-6%,"5,3",-18%,24,+28%,"1,5",+139%,"0,6",+139%,9,+19%,C,+19%,E,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
54,Saucisse herbes bio - Le Picoreur,2444021033520,,,['Le Picoreur'],,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,132,,552 kj(132 kcal),,"5,8",,"1,7",,"0,5",,"0,5",,19,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
55,Échalote longue traditionnelle,3343771019114,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
56,Cuisses de Poulet ROTI - Le Gaulois,0217637036863,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['Sans conservateurs'],,,,['France'],[],[],,10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.44 g,en quantité modérée,?,,168,-12%,703 kj(168 kcal),-12%,10,-19%,"2,6",-22%,0,-100%,0,-100%,19,+3%,"1,44",+89%,"0,576",+89%,5,+42%,C,+42%,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
57,Birne - globus - 1l,4304218501523,1l,['Bouteille'],['Globus'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus multifruits', 'Jus multifruits à base de jus concentré']",,,,['Globus'],['France'],"['Wasser', '30 % Birnenmark aus Williams-Christ-Birnen', '20 % Birnensaft aus Birnensaftkonzentrat', 'Zucker', 'Zitronen - saft aus Zitronensaftkonzentrat', 'Antioxi - dationsmittel: Ascorbinsäure', ' Vor Sonnenlicht schützen', 'kühl und abseits von geruchsbildenden Stoffen lagern', ' Vordem Xpa Oftnen gut schütteln', ' Nach dem Offnen kühl lagern und innerhalb von 3 Tagen aufbrauchen', ' Bnax']",[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
58,Hengstenberg 1876 whole grain mustard,95096995,,,['Hengstenberg'],,['Sans conservateurs'],,,,['France'],[],[],,,,,,,,,,?,,174,,728 kj(174 kcal),,11,,7,,4,,4,,8,,5,,2,,,,,,,,,,,,,,,,,,,,,
59,Lemon Meringue - Asda,5054781858324,,,['Asda'],,,,,,['France'],[],[],,,,,,,,,,?,,3,,13 kj(3 kcal),,"0,5",,"0,1",,"0,5",,"0,5",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
60,Belzebuth blanche - 3x33cl,3261570003755,3x33cl,,['Belzebuth'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,['France'],"['water', 'barley malt', 'wheat', 'aromas', 'orange peel', 'hop']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,['Gluten'],6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
61,Crème caramel - 4x 100g,4019300766208,4 x 100 g,,,,,,"['FR 89.209.001 CE', 'Jouy (Yonne, France)']",,['France'],[],[],,,,,,,,,,?,,406,,1699 kj(406 kcal),,"0,9",,"0,6",,20,,18,,"2,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
62,Tulsi Thé Vert Bio - 25 Infusettes - Ayur-vana,3760089421529,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
63,Blanche - Briarde - 33cl,3760050490028,33 cl,"['Bouteille verre', 'Triman']",['Briarde'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,"['Brasserie Rabourdin', '22 rue Lafayette', '77540', 'Courpalay', 'Frankrijk']",,,['France'],"['eau', ""malt d'orge"", 'malt de blé', 'sucre', 'houblon', 'épices', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,['Gluten'],6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Orge de France'],,,,,,
64,Peanut & cashew bar,5060088703793,,,,,['en:gluten-free'],,,,['France'],[],[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,"27,6",,"6,5",,"36,1",,"22,9",,"15,7",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,
65,Alka Toortitzi Cu Mix De Seminte,5941035008546,,,,,,,,,['France'],[],[],,,,,,,,,,?,,431,,1803 kj(431 kcal),,12,,"4,1",,67,,"7,6",,11,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
66,Biscuit - Marque - 135g,4902154003240,135g,['Plastique'],['Marque'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs nature']",,,,,"['France', 'Japon']","['もち米', '国産', '、米', '国産', '、でん粉、 醤油、でん粉分解物、食塩、還元水あめ、風味調味料、唐辛子、加エでん粉、調味料', 'アミノ酸等', '、 カラメル色素、紅麹色素、パプリカ色素、乳化剤、', '原材料の一部に小麦、大豆、鶏肉、さばを含む。']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['E150a - Caramel E150a'],,,,,
67,Crêpes sucrées nature,2635956016409,,,,,,,,,['France'],[],[],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"8,6",,5,,50,,23,,"9,2",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,
68,Trozos de pota en su tinta - Spar - 115g,8480013033103,115 g,,['Spar'],,"['en:gluten-free', 'Sans lactose']",,,,['France'],[],[],,,,,,,,,,?,,134,,561 kj(134 kcal),,"7,7",,1,,"4,3",,0,,12,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
69,Passierte Tomaten - Korrekt - 500g,4304218720085,500 g,,['Korrekt'],,,,,,['France'],[],[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,5",,"0,1",,"5,6",,"4,3",,"1,6",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,
70,Curry de lentilles indien - 360g,3302740030338,360 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,526,,2201 kj(526 kcal),,"3,5",,"1,6",,16,,"0,5",,"5,9",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,
71,Jus pomme poire - Côteaux Nantais - 25cl,3301591001924,25 cl,"['Bouteille en verre', 'Capsule en métal']",['Côteaux Nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",,,,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,51,+11%,213 kj(51 kcal),+11%,0,-100%,0,-100%,"12,4",+17%,11,+13%,0,-100%,0,-100%,0,-100%,6,+58%,D,+58%,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
72,Crème fluide entière - Carrefour,3560780814541,,,['Carrefour'],['Crème fluide entière'],,,,['Carrefour'],['France'],[],[],,30 g,en quantité élevée,21 g,en quantité élevée,3 g,en faible quantité,0.07 g,en faible quantité,?,,293,,1226 kj(293 kcal),,30,,21,,"3,4",,3,,"2,4",,"0,07",,"0,028",,13,,D,,,,,,,,,,,,,,,,,
73,"VICHY CELESTINS - 0,5L",2913827620888,"0,5 L",['Bouteille'],['VICHY CELESTINS'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales naturelles', 'Eau minérale naturelle gazéifiée', 'Eau minérale naturelle légèrement gazéifiée']",,['St YORRE'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,,['Vichy (Allier)'],,,,,,
74,Tarantino tradizionali,8016973008518,,,,,['Fabriqué en Italie'],,,,['France'],[],[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,"9,5",,0,,"69,7",,"1,9",,"10,3",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,
75,Huile De Bourrache Vierge Bio - 100 ML - Vigean,3452010000063,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pain multigraines,0205030008464,,,,,,,,,['France'],[],[],,,,,,,,,,?,,231,,967 kj(231 kcal),,"5,6",,1,,37,,"0,9",,"7,9",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
77,Lesieur,04855958,,,['Lesieur'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
