,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
1577,mayonnaise comme à la maison,2660605304743,['France'],[],[],?,731,3059 kj(731 kcal),"80,1",6,"0,8","0,1","1,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Hampes,2464890043826,['France'],[],[],?,153,640 kj(153 kcal),"8,6","3,9",0,0,19,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Roses des sables,3700981801395,['France'],[],[],?,479,2004 kj(479 kcal),21,13,64,31,7,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Raclette bowl - Seazon,3701456310077,['France'],[],[],?,178,745 kj(178 kcal),11,7,9,1,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,
1581,Pain au mais,0205024009774,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Patata de guarnición -  - 1kg,8433329073110,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,1kg,,,,,,,,,,,
1583,Lemon,5425027605147,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Rillettes de Canard au foie gras,3587190400669,['France'],[],[],?,436,1824 kj(436 kcal),42,17,"0,5","0,5",13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,coquillettes - 1kg,07873782,['France'],['Semoule de blé dur de qualité supérieure'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,350,1464 kj(350 kcal),"1,2","0,3",72,3,11,"0,02","0,008",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",,1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,,-2%,-2%,-40%,-32%,+3%,-4%,-12%,-27%,-27%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,1kg,['Plastique'],,,,,1,,,,['Carrefour'],
1586,Organic white almond butter roasted,,['France'],[],[],?,659,2757 kj(659 kcal),"55,8","4,9",14,"3,8","21,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Piémontaise jambon Leclerc,0201055014305,['France'],[],[],?,139,582 kj(139 kcal),12,"1,3","3,7","1,2","3,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
