,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,manufacturing,nova_score,palm_ingredients,allergens,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,markets,link,ingredients_origins
10,Thé de Noël Bio - L’Herbier de Gascogne - 100g,3373020052197,['L’Herbier de Gascogne'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Aliments et boissons de Noël', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés de Noël']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Thé noir', 'cannelle', 'gingembre', 'cardamome', 'clou de girofle', 'fenouil', 'réglisse', 'poivre noir']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,100 g,"['métal', 'boîte']",,1,,,A,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,
11,Yam16% diogenine  - l'hernie tu de Gascogne  - 80gélules vegetales,3373021973514,"[""l'hernie tu de Gascogne""]",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,80 gélules vegetales,,,,,,,,,,,,,,,,,,
12,Acerola Maxima 960,3373025000001,,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"1,96",,0,,"0,77",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Acerola maxima 960 - Herbier De Gascogne,3373025000018,['Herbier De Gascogne'],,['Bio'],['France'],"['Acérolaà25%devitamine C', 'Dextrose', 'Xylitol', 'Poudre de Mûre Baie', 'Arômes de fruits rouges', 'Stérate de magnésium végétale']",[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"1,96",,0,,"0,77",,0,,0,,0,,0,,,,,,,,,,4,,,,,,,,,,,['E967 - Xylitol'],,,,
14,Les Galettes de belle isle - Biscuiterie Des Iles,3373030000102,['Biscuiterie Des Iles'],,,['France'],"['Farine de blé', 'beurre concentré ', 'lait', ' 28%', 'colorant du beurre', 'bêta carotène ', 'E160a', 'sucre', 'œufs', 'sel', 'poudres à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'amidon de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,468,,1958 kj(468 kcal),,"25,6",,"22,9",,58,,24,,5,,"1,5",,"0,6",,,,,,,,,,4,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,"['E160ai - Bêta-carotène', 'E160a - Carotènes mélangés', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,,,
15,Galettes bretonnes - Biscuiterie des iles,3373030000119,['Biscuiterie des iles'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,['France'],[],[],25.6 g,en quantité élevée,22.9 g,en quantité élevée,24 g,en quantité élevée,1.5 g,en quantité modérée,?,,468,-4%,1958 kj(468 kcal),-5%,"25,6",+10%,"22,9",+65%,58,-8%,24,-6%,5,-19%,"1,5",+120%,"0,6",+120%,26,+19%,E,+19%,,,,,,,,C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
16,Galettes noix de coco - Biscuiterie des iles,3373030000225,['Biscuiterie des iles'],,,['France'],[],[],,,,,,,,,?,,468,,1958 kj(468 kcal),,"25,6",,"22,9",,58,,24,,5,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
17,Les galettes de Belle Isle en Terre - Biscuiterie des iles,3373030000461,['Biscuiterie des iles'],,,['France'],[],[],,,,,,,,,?,,468,,1958 kj(468 kcal),,"25,6",,"22,9",,58,,24,,5,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
18,Les galettes de la belle isle - Biscuiterie des Iles - 180g,3373030000911,['Biscuiterie des Iles'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Galettes sablées']",['Pur beurre'],['France'],"['Farine de blé', 'beurre concentré 28 %', ' colorant du beurre : beta carotène ', 'E160a', 'sucre', ' œufs', ' sel', 'poudre à lever ', 'diphosphate disodique et bicarbonate de soude', 'amidon de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",25.6 g,en quantité élevée,22.9 g,en quantité élevée,24 g,en quantité élevée,1.5 g,en quantité modérée,?,,468,+1%,1958 kj(468 kcal),-0%,"25,6",+25%,"22,9",+65%,58,-11%,24,-10%,5,-15%,"1,5",+102%,"0,6",+102%,26,+12%,E,+12%,,180 g,"['boîte', 'métal', 'Plastique']","['France', 'Bretagne']",4,,"['Œufs', 'Gluten', 'Lait']",C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['E160ai - Bêta-carotène', 'E160a - Carotènes mélangés', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,,,
19,Rigotte sèche,3373090000111,,,,['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,45,,27,,3,,3,,"28,4",,"1,36",,"0,544",,,,,,,,,,,,,,,,,,,,,,,,,
20,"Brique de vache au lait cru LA FERME DU PRIEURE, 50%MG",3373090012503,['La Ferme Du Prieuré'],,,['France'],"['Lait de vache', 'Sel', 'Bactéries lactiques', 'Présure']",['Non végétalien'],,,,,,,,,?,,329,,1377 kj(329 kcal),,28,,18,,"0,5",,"0,5",,21,,"0,644",,"0,258",,,,,,,,,,,,['Lait'],,,,,,,,,,,,,
21,Sarasson nature - La Ferme Du Prieuré,3373090015009,['La Ferme Du Prieuré'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Puddings', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Fromages blancs natures', 'Sarasson']",,['France'],[],[],11 g,en quantité modérée,7 g,en quantité élevée,3 g,en faible quantité,0.178 g,en faible quantité,?,,147,+46%,615 kj(147 kcal),+48%,11,+117%,7,+114%,3,-44%,3,-39%,8,+18%,"0,178",+13%,"0,071",+13%,3,+218%,C,+218%,,,,,,,,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,"['FR 42.285.001 CE', 'Saint-Romain-le-Puy (Loire, France)']",,,
22,Sarasson assaisonnè - La ferme du prieuré,3373090015016,['La ferme du prieuré'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Sarasson']",,['France'],[],[],13 g,en quantité modérée,8 g,en quantité élevée,4 g,en faible quantité,0.6 g,en quantité modérée,?,,168,+66%,703 kj(168 kcal),+69%,13,+156%,8,+145%,4,-25%,4,-19%,9,+33%,"0,6",+280%,"0,24",+280%,11,+1065%,D,+1065%,,,,,,,,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,
23,Sarasson assaisonné - La ferme du prieuré,3373090016013,['La ferme du prieuré'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Sarasson']",,['France'],[],[],13 g,en quantité modérée,8 g,en quantité élevée,4 g,en faible quantité,0.6 g,en quantité modérée,?,,168,+66%,703 kj(168 kcal),+69%,13,+156%,8,+145%,4,-25%,4,-19%,9,+33%,"0,6",+280%,"0,24",+280%,11,+1065%,D,+1065%,,,,,,,,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,
24,"Fromage blanc LA FERME DU PRIEURE, 40%MG",3373090061204,,,,['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,7,,5,,4,,4,,4,,"0,022",,"0,009",,,,,,,,,,,,,,,,,,,,,,,,,
25,"Brique du Forez au lait pasteurise GAEC DU PRIEURE, 50%MG -",3373090142606,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France']",,['France'],[],[],28 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,0.644 g,en quantité modérée,?,,329,-3%,1377 kj(329 kcal),-2%,28,+3%,18,-3%,"0,5",-35%,"0,5",+16%,21,-5%,"0,644",-54%,"0,258",-54%,11,-23%,D,-23%,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
26,Creme glacée vanille,3373202903668,,,,['France'],[],[],,,,,,,,,?,,279,,1167 kj(279 kcal),,"11,3",,"7,6",,"37,05",,"32,2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.020.090 CE', 'Briec (Finistère, France)']",,,
