,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
233,Crème glacée au chocolat noir de Tanzanie avec moceaux et sauce au chocolat - La Manufacture des Belles Glaces - 300g,3433871250026,A,Crème glacée au chocolat noir avec morceaux de chocolat et sauce au chocolat,300 g,"['Pot', 'Carton', 'Surgelé', 'Couvercle']",['La Manufacture des Belles Glaces'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']","['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs', 'Triman', 'Artisan', 'Glaces Artisanales de France']",https://www.lamanufacturedesbellesglaces.fr,['France'],"['LAIT écrémé reconstitué', 'sucre', 'marbrage au chocolat noir de Tanzanie 5% ', 'eau', 'chocolat noir de Tanzanie 0,90%* ', 'pâte de cacao de Tanzanie', 'sucre', 'beurre de cacao', 'vanille naturelle en poudre', 'sirop de sucre inverti', 'sucre', 'poudre de cacao de Tanzanie', 'poudre de cacao de Tanzanie 4,80%', 'CREME fraîche 4,68%', 'BEURRE', 'sirop de glucose déshydraté', 'copeaux de chocolat noir de Tanzanie 4% ', 'pâte de cacao de Tanzanie', 'sucre', 'beurre de cacao', 'vanille naturelle en poudre', 'chocolat noir de Tanzanie 1%', 'protéines de LAIT', 'stabilisants: farine de caroube et gomme de guar', ""\r* Pourcentage exprimé sur l'ensemble du produit""]","['E410 - Gomme de caroube', 'E412 - Gomme de guar']",['Non végétalien'],4,872,-8%,208,-10%,"9,29",-22%,"25,53",-4%,"4,38",+20%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['Lait', 'Soja']",872 kj(208 kcal),"5,97","21,59","0,09","0,036",9.29 g,en quantité modérée,5.97 g,en quantité élevée,21.6 g,en quantité élevée,0.09 g,en faible quantité,-10%,-23%,-5%,-35%,-35%,9,-31%,C,-31%,"['France', 'Isère']",,,"['France', 'Tanzanie']","['EMB 38468A', 'Salaise-sur-Sanne (Isère, France)']",Glaces de Lyon,"France, Tanzanie",Glaces de Lyon
234,Pâté De Foie Pur Porc 78g - Jean floc h,3434350000019,,,,,['Jean floc h'],,,,['France'],[],,[],,?,,378,,37,,"1,3",,10,,,,,,,,,,1582 kj(378 kcal),"14,4","0,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,
235,Légumes cuisinés champignons/asperges Magda - 600g,3434410072864,,,600g,['Plastique'],['Magda'],['POÊLEE DE CHAMPIGNONS'],"['Contient du lait', 'Sans additifs', 'Sans colorants']",,['France'],"['le conseil du Chef 8Try odding two tablespoons of thickened cream lo nor use the cooked pan-fried to make an omelette or guic a ous pouvez gouler deux 0ourmandase Utsez si vOus le v omelette ou une quiche rissole arooms buton mushrooms', 'shiilakes', ' ', '46%', 'hash brown potatoes ', 'potatoes', 'su ol corrots green asparagus ', '04%', ' butter ', 'milk', 'parsley ', '0,4%', ' gar lic ', '0', '3%', 'ingredients ingredients ingredienten aampignons champignons de Paris', 'shinakes', ' ', '46%', 'pommes de terre pommes de terre huile de tournesol', 'carottes', 'asperges vertes ', '14%', 'beurre lLain', 'per o sel poivre ZOu Odenstoelen lchampignons', 'shililakes', ' ', '46%', 'gebakken aar-dappels ', 'zonnebloemolie pepper onditionne dans un atelier qui utilise oeuf', 'moutarde', 'céréales confenant du gluten Prepored in a workshop which handles egg', 'mustard', 'cereals with gluten Soi wortels groene asperges ', '14%', 'boter ', 'melk', ' peterselie ', '0,4%', 'knoflook ', '0', '3%', ',: peper sulphites-in einem Betrieb verpackt', 'der Eier', 'senf', 'glutenhaltiges Cetreide', 'Soja', 'Sufie']",,[],,?,,117,,7,,"10,5",,"2,5",,,,,,,,,['Lait'],490 kj(117 kcal),"2,5","1,6","0,5","0,2",7 g,en quantité modérée,2.5 g,en quantité modérée,1.6 g,en faible quantité,0.5 g,en quantité modérée,,,,,,2,,B,,['France'],['enseigne u'],,['France'],['26235-63607410B'],,,
236,Jambon cru aoste - Aoste SNC,3449860416526,,,,,['Aoste SNC'],"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']",,,['France'],[],,[],,?,,274,+14%,18,+33%,1,+54%,27,-6%,,,,,,,,,1146 kj(274 kcal),"7,4",1,"5,7","2,28",18 g,en quantité modérée,7.4 g,en quantité élevée,1 g,en faible quantité,5.7 g,en quantité élevée,+15%,+43%,+130%,+16%,+16%,20,+18%,E,+18%,"['Isère', 'France']",,,['Porc origine union européenne'],"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']",,,
237,Le baton de berger - Justin Bridou - 0.375kg,3449865268441,,Saucisson sec qualité supérieure,0.375 kg,['Film en plastique'],"['Justin Bridou', 'Baton de Berger']",,,,['France'],"['Viande de porc ', 'origine: UE', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'sucre', 'conservateurs : nitrite de sodium', 'nitrate de potassium,ferments', '165g de viande utilisés pour la préparation de 100g de produit fini', 'Présence possible de fruits à coques']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1707,,411,,33,,"1,6",,27,,,,,,,,,['Lait'],1707 kj(411 kcal),12,"1,1",5,2,,,,,,,,,,,,,,,,,,,,,,,,,
238,Gratin dauphinois - Eco+,3450970023832,B,,,"['Conserve', 'Métal']",['Eco+'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",,,['France'],[],,[],,?,,64,-46%,"1,6",-72%,"10,3",-8%,"1,4",-59%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,268 kj(64 kcal),1,"0,5","0,7","0,28",1.6 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,-45%,-72%,-69%,-1%,-1%,2,-57%,B,-57%,,,,,,,,
239,Cuisson advantage cooking - Elle & Vire - 1L,3451790878015,C,,1 L,,"['Elle & Vire', 'Savencia', 'Elle & Vire Professionnel']","['Produits laitiers', 'Crèmes', 'Crèmes liquides']",,,"['France', 'Émirats arabes unis']","['Creme légère de lait de vache', 'additifs alimentaires : épaississants SIN1422/E1422', ' SIN440/E440', 'SIN460/E460', 'SIN407/E407', 'SIN466/E466', 'SIN407/E407', 'émulsifiant : SIN471/E471 ', 'végétal']","['E1422 - Adipate de diamidon acétylé', 'E440 - Pectines', 'E460 - Cellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme""]",4,?,,167,-33%,15,-40%,"5,1",+31%,"2,7",+9%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,699 kj(167 kcal),"10,7","3,8",0,0,15 g,en quantité modérée,10.7 g,en quantité élevée,3.8 g,en faible quantité,0 g,en faible quantité,-32%,-36%,+9%,-100%,-100%,12,+3%,D,+3%,,,,,,,,
240,Confiture De Figues De Provence - Confit de Provence - 370g,3452200004116,C,,370 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Confit de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']","['Bio', 'Point Vert', ""Imprim'Vert""]",http://www.confitdeprovence.com/images/contenu/Figue%20de%20Provence.jpg,['France'],"['Figue de Provence biologique', 'sucre de canne biologique', 'acidifiant : jus de citron biologique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,247,+6%,"0,2",-56%,60,+8%,"0,7",-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,1033 kj(247 kcal),"0,05",59,"0,05","0,02",0.2 g,en faible quantité,0.05 g,en faible quantité,59 g,en quantité élevée,0.05 g,en faible quantité,+6%,-25%,+11%,+169%,+169%,11,+16%,D,+16%,"['Provence', 'France']",,,"['France', 'Provence']",,,,
241,Confiture extra orange douce d'espagne - jardin bio,3456300004649,C,,,,['jardin bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],"['oranges"" douces 50% ', 'sucre brut de canne""', 'eau', 'gelfant:pectines', ""jus de citron oncentre Prodults issus de l'agriculture blologique Distribution et fabricalion certifies par ECOCERT FR-BIO-01 Agriculture UE/non UE""]",['E440 - Pectines'],[],4,?,,179,-19%,"0,3",+15%,"42,8",-20%,"0,4",-23%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,749 kj(179 kcal),"0,3","40,8","0,08","0,032",0.3 g,en faible quantité,0.3 g,en faible quantité,40.8 g,en quantité élevée,0.08 g,en faible quantité,-19%,+504%,-20%,+245%,+245%,10,+8%,C,+8%,,,,,,,,
242,Moelleux au chocolat,3463490000450,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,['France'],[],,[],,?,,466,,27,,46,,8,,,,,,,,,,1950 kj(466 kcal),13,34,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,
