,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
0,"Persica - Haribo - 1,34kg",3103220028810,E,Confiserie gélifiée fantaisie,"1,34 kg","['Barquette', 'Plastique']",['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Colorants naturels'],http://www.laboutiqueharibo.fr/gamme-bonbons-haribo/bonbons-haribo-croco-schtroumpfs-gelifies/haribo-persica/persica-210-bonbons.html,['France'],"['sucre', 'sirop de glucose', 'gélatine', 'acidifiant: acide citrique', ' arôme', ' colorants: carmins', 'lutéine']","['E428 - Gélatine', 'E330 - Acide citrique', 'E120 - Acide carminique', 'E161b - Lutéine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brandade de nîmes - Raymond Geoffroy,3106520001309,,,,,['Raymond Geoffroy'],,,,['France'],"['Huile de colza', 'morue ', '32%', 'eau', 'protéines de lait', 'sel', 'épaississant : carraghénanes ', ""extrait d'algues marines""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,455,,47,,"1,5",,"5,7",,,,,,,,,"['Poisson', 'Lait']",1904 kj(455 kcal),4,"0,1","0,975","0,39",,,,,,,,,,,,,,,,,,,,,,,,,
2,Revillon Pap GD Praline,3110845262345,E,,,,['Révillon'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons', 'Papillotes en chocolat']",,,['France'],"['chocolat au lait ', 'sucre', 'beurre de cacao', 'en poudre', 'de cacao', 'lactose*', 'lactosérum* en poudre', 'émulsifiant : lécithine de soja', 'praliné 38% ', 'sucre', 'noisettes romaines 7%', 'amandes valencia 7%', 'noisettes Piémont torréfiées 4%', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'chocolat noir ', 'pâte de cacao', 'sucre', 'matière grasse laitière anhydre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'émulsifiant ', ' lécithine de soja', 'arôme naturel de vanille avec autres arômes naturels', ' on i nt lait*', 'soja', 'amande', 'noisette', "" Présence possible d'arachide"", 'noix', 'noix de cajou', 'noix de pécan', 'pistache', ""g n et œuf Pour plus d'informations"", 'rendez-vous sur : www', 'revillonchocolat? r', 'fr']",['E322i - Lécithine'],['Non végétalien'],4,?,,481,-10%,29,-12%,46,-11%,"5,9",-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Lait', 'Fruits à coque', 'Soja']",2013 kj(481 kcal),15,44,"0,1","0,04",29 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.1 g,en faible quantité,-10%,-10%,-10%,+1%,+1%,25,+0%,E,+0%,,,,,,,,
3,Oeufs cacao et praliné Revillon - 190g,3110845303482,E,Chocolats fourrés,190 g,['Sachet cartonné'],['REVILLON'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Oeufs-chocolat']",['Point Vert'],http://www.revillonchocolatier.fr,['France'],"['Chocolat noir ', 'pâte de cacao', 'sucre', 'matière grasse latlère anhydre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'sucre', 'pâte de cacao', 'praliné 12% ', 'sucre', 'amandes', 'nolsettes', 'graisses végétales ', 'palme et palmiste', 'cacao maigre en poudre ', '5%', 'lalt entier en poudre', 'chocolat au lat ', 'sucre', 'beurre de cacao', 'lalt entier en poudre', 'pâte de cacao', 'lactose*', 'lactosérum* en poudre', 'émulsifiant : lécithine de soja', 'éclats de biscuits ', 'sucre', 'farine de blé', 'cacao maigre en poudre', ""farine d'amande douce"", 'amidon de blé', 'huile de tournesol', ""blanc d'ceuf en poudre"", 'poudre à lever : EŠO0', 'sel', 'éclats de fèves de cacao torréfiées', 'matière grasse latiere anhydre', 'beurre de cacao', 'lait écrémé en poudre', 'sirop de glucose', ""malt d'orge"", 'émulsifiants : lécithine de soja', 'monostéarate de glycérol', 'arôme naturel de vanille avec autres arômes naturels,']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Huile de palme', 'Non végétalien']",4,2257,+46%,539,+51%,38,+1943%,40,-52%,"6,9",+225%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Gluten', 'Lait', 'Fruits à coque']",2257 kj(539 kcal),20,37,"0,02","0,008",38 g,en quantité élevée,20 g,en quantité élevée,37 g,en quantité élevée,0.02 g,en faible quantité,+50%,+1787%,-36%,-83%,-83%,24,+67%,E,+67%,['42120 LE COTEAU'],['Auchan'],,,,,,
4,4 / 4 Pois T-fins Carottes - Maingourd - 800g,3112940150107,,,800 g,,['Maingourd'],,,,['France'],"[""à l'étuvée""]",,[],,?,,0,,"0,6",,"8,8",,"3,4",,,,,,,,,,0 kj(0 kcal),"0,2","3,7","0,57","0,228",,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
5,Delacre sprits chocolat lait lot 3x200g ( - 600g,3116430210333,C,Biscuits sables au chocolat au lait,600 g,"['Wrapper', 'Film']","['Delacre', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sprits']",,,['France'],"['Farine de ble ', '44%', ' - graisse végétale ', 'palme', 'colza', ' - sucre - chocolat au lait ', '15%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait écrémé en poudre', 'beurre pâtissier', 'lactose', 'émulsifiants : lecithine de soja', 'arôme', ' - beurre pâtissier - écorce de citron sucrée ', 'sucre', 'citron', 'acide citrique', 'amidon de pomme de terre modifié', 'sel', ' - lactose et protéines de lait - sel ', '0', '4%', ' - poudres à lever : carbonates de sodium', 'diphosphate disodique', ' peut contenir des traces de fruits a coque', 'sesame et oeufs']","['E322i - Lécithine', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2241,+1%,536,+2%,30,+2%,"61,5",+4%,"4,7",-12%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Gluten', 'Lait', 'Soja']",2241 kj(536 kcal),"15,4","28,8","0,6","0,24",30 g,en quantité élevée,15.4 g,en quantité élevée,28.8 g,en quantité élevée,0.6 g,en quantité modérée,+2%,-8%,+18%,+23%,+23%,24,+11%,E,+11%,,,['Huile de palme'],,,,,
6,Surffizz - Lutti - 100g,3116740032427,D,Confiserie gélifiée aromatisée,100 g,['Film en plastique'],['Lutti'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",,,['France'],"['Sucre', 'Sirop de glucose-fructose', 'Amidon modifié', 'Acidifiants ', ' Acide lactique', 'Acide malique', 'Acide citriqie', 'Gélatine', ""Correcteur d'acidité "", ' Malates de sodium', 'Arômes', 'Colorants ', ' Anthocyanes', ' Curcumine,Extrait de Paprika', ' Denrées alimentaires colorantes ', ' Concentré de Carthame ', 'Spiruline']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E296 - Acide malique', 'E428 - Gélatine', 'E350 - Malates de sodium', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E160c - Extrait de paprika']","['Non végétalien', 'Non végétarien']",4,1521,+5%,358,+4%,0,-100%,"84,7",+5%,"3,4",+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,1521 kj(358 kcal),0,"58,2","0,62","0,248",0 g,en faible quantité,0 g,en faible quantité,58.2 g,en quantité élevée,0.62 g,en quantité modérée,+5%,-100%,-3%,+225%,+225%,16,+10%,D,+10%,,,,,,,,
7,Welcome emmental - 200g,3123930920075,,,200 g,['Frais'],['Welcome'],,,,['France'],"['IT - Ingredienti: emmental ', '20% minimo delle materie prime utilizzate', ' e altri formaggi', 'acqua', 'burro', 'latte in polvere scremato', 'sali di fusione ', 'E331', 'E339', 'E341', 'E450', 'E452', 'proteinnatte', 'sale da cucina', ' ÉS - Ingredientes: emmental ', '20% mínimo de las materias utilizadas', ' y otro esos', 'agua', 'mantequilla', 'leche desnatada en polvo', 'sales de fundido ', 'E331', 'E339', 'E341 AS2', 'proteinas de la leche', 'sal de cocina', ' DE - Zutaten: Käse ', 'mindestens 20% Emmentaleasser', 'Butter', 'Magermilchpulver', 'Schmelzsalze ', 'E331', 'E339', 'E341', 'E450', 'E452', 'Milcheiwechsalz', ' NL - Ingrediënten: Kaas ', 'min 20% emmental kaas', 'water', 'boter', 'mager m eder', 'smeltzouten ', 'E331', 'E339', 'E341', 'E450', 'E452', 'melkproteiïnen', 'keukenzout']","['E331 - Citrates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,?,,265,,21,,4,,15,,,,,,,,,['Lait'],1109 kj(265 kcal),14,3,3,"1,2",,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
8,Graine De Chia - Eric Bur,3144550007687,D,,,['Sachet'],['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,['France'],[],,[],,?,,520,+16%,"12,08",-61%,"55,28",+361%,"20,49",+2%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,2176 kj(520 kcal),"0,01","0,01","0,25","0,1",12.1 g,en quantité modérée,0.01 g,en faible quantité,0.01 g,en faible quantité,0.25 g,en faible quantité,+16%,-100%,-98%,+946%,+946%,2,+122%,B,+122%,,,,,,,,
9,Beurre demi sel noisette bridel - Noisetlait - 250g,3155250004272,E,,250 g,,['Noisetlait'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,['France'],[],,[],,?,,727,+1%,55,-31%,6,+706%,"0,7",+3%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['Lait'],3042 kj(727 kcal),1,1,"0,602","0,241",55 g,en quantité élevée,1 g,en faible quantité,1 g,en faible quantité,0.602 g,en quantité modérée,+1%,-98%,+62%,-71%,-71%,11,-58%,D,-58%,,,,,,,,
10,Crème Uht Liaisons Et Cuissons - Président,3155250005200,B,,,"['Brique', 'Carton']","['Président', 'Président Professionnel']","['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes légères', 'Crèmes liquides']",['Aliments destinés aux professionnels'],,['France'],"['Crème ', 'lait', ' légère', 'émulsifiant E472e', 'amidon modifié', 'stabilisants: pectines', 'carraghénanes']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,191,-19%,18,-19%,5,+14%,"2,2",-12%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Lait'],799 kj(191 kcal),12,4,"0,1","0,04",18 g,en quantité modérée,12 g,en quantité élevée,4 g,en faible quantité,0.1 g,en faible quantité,-16%,-19%,+10%,+1%,+1%,12,+8%,D,+8%,,,,,,,,
11,NOISETTES DE MEDITERRANEEEN POUDRE - Sainte Lucie - 125g,3162050018613,D,Noisettes de Méditerranée en poudre,125 g,"['Sachet', 'Plastique']",['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes']",,,['France'],['Noisettes 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2527,-8%,632,-6%,57,-8%,"7,2",-24%,17,+11%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,['Fruits à coque'],2527 kj(632 kcal),"4,7","4,9","0,01","0,004",57 g,en quantité élevée,4.7 g,en quantité modérée,4.9 g,en faible quantité,0.01 g,en faible quantité,-9%,-2%,+13%,-49%,-49%,-3,-610%,A,-610%,,['Hyper U'],,['Méditerranée'],"['EMB 60282A', 'Gouvieux (Oise, France)']",,,
12,VERMICELLES MULTICOLORES - Sainte lucie - 70g,3162050019597,,,70 g,,['Sainte lucie'],,,,['France'],"['Sucre', 'matière grasse végétale', 'de cacao maigre', 'lécithine de colza', 'agents El 20', 'Elfi b', ' contenir des traces de moutarde', 'céleri', 'sésame']",['E322i - Lécithine'],"[""Pourrait contenir de l'huile de palme""]",,?,,480,,19,,77,,"0,8",,,,,,,,,,2008 kj(480 kcal),16,64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thunfisch brotaufstrich - Saupiquet - 115g,3165950054019,D,,115 g,['Dose'],['Saupiquet'],"['Produits de la mer', 'Poissons', 'Thons']",,,"['France', 'Allemagne']",[],,[],,?,,273,+49%,22,+121%,"1,5",+76%,17,-21%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,1142 kj(273 kcal),"3,5","0,5","1,1","0,44",22 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,+50%,+99%,+18%,+7%,+7%,5,+63%,C,+63%,,,,,,,,
14,Perejil frasco 5 g - Ducros,3166290200807,B,,5 g,"['Flacon', 'Verre', 'Plastique', 'Flacon']",['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Persil']",,,['France'],['Persil'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,0,-100%,0,-100%,0,-100%,0,-100%,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,0 kj(0 kcal),0,0,0,0,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
15,Assortiment de chocolats - Jacquot,3173286623380,,,,,['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",['Fabriqué en France'],,['France'],[],,[],,?,,470,-13%,20,-40%,68,+32%,"3,6",-40%,,,,,,,,,1966 kj(470 kcal),13,64,"0,1","0,04",20 g,en quantité modérée,13 g,en quantité élevée,64 g,en quantité élevée,0.1 g,en faible quantité,-13%,-26%,+36%,-31%,-31%,25,0%,E,0%,,,,,,,,
16,Oeufs pralinés chocolat au lait - jacquot - 1kg,3173286667353,,,1 kg,['Sachet en plastique'],['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques']",['Fabriqué en France'],,['France'],"['sucre', 'graisses végétales ', 'palme', 'palmiste', 'Doudre de lait entier', 'beurre de cacao', 'lactosérum en poudre', 'lactose', 'pâte de cacao', 'cacao maigre en poudre', 'praliné 1,5% ', 'påte de noisettes', 'sucre', 'émulsifiants : lécithines - E476', 'poudre de lait écrémé', 'farine de riz', 'farine de blé', 'gluten de blé', 'malt de blé', 'dextrose', 'sel', 'arômes', "" Peut contenir des aces d'eufs et d'autres fruits à coque""]","['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Huile de palme', 'Non végétalien']",4,?,,549,-0%,32,-5%,61,+13%,"3,5",-47%,,,,,,,,"['Gluten', 'Lait']",2297 kj(549 kcal),23,60,"0,15","0,06",32 g,en quantité élevée,23 g,en quantité élevée,60 g,en quantité élevée,0.15 g,en faible quantité,-0%,+14%,+15%,-26%,-26%,26,-0%,E,-0%,,['Carrefour'],,,,,,
17,Compote de rhubarbe - VAL de Vezere - 590g,3174069951041,A,,590 g,"['Bocal', 'Verre']",['VAL de Vezere'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes rhubarbe', 'Compotes de rhubarbe', 'Compote-de-rhubarbe-sucree']",['Fabriqué en France'],,['France'],"['Rhubarbe 79%', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,440,,?,,"< 0,5",+196%,24,-0%,"0,5",-13%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,440 kj(105 kcal),"< 0,1","21,3","< 0,01","0,004",0.5 g,en faible quantité,0.1 g,en faible quantité,21.3 g,en quantité élevée,0.01 g,en faible quantité,+1%,+329%,-4%,-63%,-63%,0,,B,,['Lubersac 19210'],,,['France'],,,,
18,Madeleines - St Michel - 700g (44madeleines),3178530411829,B,Madeleines aux œufs de poules élevées en plein air,700 g (44 madeleines),"['Boîte', 'Carton', 'Plastique']",['St Michel'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['Plein air', 'Œufs de poules élevées en plein air', 'Point Vert', 'Fabriqué en France', 'en:palm-oil-free', 'Blé français']",,['France'],"['Farine de blé ', '35%', 'sucre', 'huile de colza non hydrogénée', 'œufs de poules élevées en plein air ', '16%', 'sirop de glucose-fructose', 'lait frais demi-écrémé pasteurisé 5%', 'poudres à lever : diphosphates et carbonates de sodium ', 'blé', 'sel', 'arôme', 'émulsifiant : lécithine de soja']","['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E322i - Lécithine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,453,+3%,21,-8%,52,-2%,6,+6%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['Œufs', 'Gluten', 'Lait', 'Soja']",1895 kj(453 kcal),2,29,"0,78","0,312",21 g,en quantité élevée,2 g,en quantité modérée,29 g,en quantité élevée,0.78 g,en quantité modérée,+3%,-71%,+5%,-4%,-4%,13,-29%,D,-29%,['France'],['Atelier St Michel'],,['France'],,,,
19,Filet mignon fumé nature - Auchan - 100g,3180054010471,,Filet mignon fumé nature,100 g,"['Barquette', 'Film', 'Plastique', 'Frais']","['Auchan', 'Bahier']","['Viandes', 'Charcuteries', 'Porc', 'Filets-mignons']",['Fumé au bois de hêtre'],,['France'],"['Filet mignon de porc', 'sel', 'stabilisant : E331', 'dextrose', 'acidifiant : E262', 'antioxydant : E301', 'épices', 'ail', 'conservateur : E250', '110 g de viande de porc utilisée pour fabriquer 100 g de produit fini', ' Fumage au bois de hêtre']","['E331 - Citrates de sodium', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,116,-40%,2,-82%,"0,4",-55%,24,+21%,,,,,,,,,485 kj(116 kcal),"0,8","0,3",3,"1,2",2 g,en faible quantité,0.8 g,en faible quantité,0.3 g,en faible quantité,3 g,en quantité élevée,-39%,-81%,-51%,+57%,+57%,11,-1%,D,-1%,,"['Carrefour', 'Auchan']",,['Union européenne'],"['FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",,,
20,Tagliatelle ail des ours - Pural - 500g e,3184340004199,,,500 g e,"['Frais', 'Plastique', 'Sachet']",['Pural'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches', 'Tagliatelles', 'Tagliatelles fraîches']","['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE/Non UE']",,['France'],"['Semoule de blé dur', 'ail des ours séché ', '3%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,358,+30%,"1,7",-22%,72,+37%,12,+19%,,,,,,,,['Gluten'],1498 kj(358 kcal),"0,4","3,6","0,01","0,004",1.7 g,en faible quantité,0.4 g,en faible quantité,3.6 g,en faible quantité,0.01 g,en faible quantité,+30%,-30%,+134%,-92%,-92%,-4,,A,,['Allemagne'],,,,['DE BW-07008 EG'],,,
21,Sirop de Fruit de la passion - Fruiss - 70cl,3217690054573,,,70 cl,"['Bouteille', 'Verre', 'Glass']",['Fruiss'],"['Édulcorants', 'Sirops', 'Sirops simples', 'Sirops de fruits']",['Triman'],,"['République tchèque', 'France', 'Slovaquie']","['sucre de canne', 'eau', 'jus de fruit de la passion à base de concentré ', '10 %', 'acidifiant : acide citrique', 'arômes naturels', 'colorant : bêta carotène', 'stabilisant : E445']","['E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E445 - Esters glycériques de résine de bois']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1362,+12%,40,-84%,0,-100%,10,-85%,0,-100%,,,,,,,,,1362 kj(40 kcal),0,"9,9",0,0,0 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité modérée,0 g,en faible quantité,+22%,-100%,-84%,-100%,-100%,6,-55%,C,-55%,['France'],"['Carrefour', 'Billa', 'Albert', 'Makro']",,,,,,
22,Steak haché frais pur bœuf (15 % MG) - Casino - 250g (2 * 125g),3222471099001,E,,250 g (2 * 125 g),"['Barquette', 'Plastique', 'Frais']",['Casino'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']","['Viande-francaise', '100% muscle', 'Viande-bovine-francaise']",,['France'],['100 % viande de bœuf'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,?,,0,-100%,< 15,+47%,?,,?,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,0 kj(0 kcal),,,,,15 g,en quantité modérée,,,,,,,-100%,,,,,,,,,,['Casino'],,['France'],"['EMB 38051', 'Bougé-Chambalud (Isère, France)', 'FR 38.051.001 CE', 'Bougé-Chambalud (Isère, France)', 'FR 15.014.032 CE', 'Aurillac (Cantal, France)']",,,
23,Haricots verts très fins - Casino - 1kg,3222471397282,B,Haricots verts très fins surgelés,1 kg,['surgelés'],['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",,,"['France', 'Allemagne', 'Suisse']",['100% Haricots verts très fins'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,145,+1%,35,0%,"0,1",-66%,"4,7",+10%,"1,7",-12%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,145 kj(35 kcal),0,"2,1","0,02","0,008",0.1 g,en faible quantité,0 g,en faible quantité,2.1 g,en faible quantité,0.02 g,en faible quantité,+1%,-100%,+37%,-4%,-4%,-10,,A,,,['Casino'],,,,,,
24,Ile flottante sur lit de crème anglaise - Aux oeufs frais - Casino - 4x 100g,3222472424215,B,Dessert lacté: île flottante à base de crème anglaise (79%) et garniture caramel,4 x 100 g,"['Pot', 'Frais', 'Plastique']",['Casino'],"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Ile flottante', 'Desserts lactés aux œufs']",,,['France'],"[""lait entier 63,4% - sucre - blanc d'oeuf frais 10"", ""7% - jaune d'oeuf frais 5"", '5% - caramel 5% ', 'sucre - sirop de glucose-fructose - eau', ' - amidon transformé de maïs - arôme naturel de vanille - épaississant: gomme xanthane - décor: grains de vanille épuisée', 'traces de céréales contenant du gluten']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,583,+8%,138,+3%,"3,8",+19%,22,+4%,4,-14%,69.1%,13.9%,6.5%,6.0%,3.6%,1.0%,84,"['Œufs', 'Lait']",583 kj(138 kcal),"2,1",20,"0,13","0,052",3.8 g,en quantité modérée,2.1 g,en quantité modérée,20 g,en quantité élevée,0.13 g,en faible quantité,+5%,+28%,+2%,-7%,-7%,5,+31%,C,+31%,,['Casino'],,,"['FR 46.029.001 CE', 'Biars-sur-Cère (Lot, France)']",,,
