,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,ingredients_origins,additives,manufacturing,generic_name,link,palm_ingredients
0,Emmental français - Biocoop,2871820020015,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"[""LAIT issu de l'agriculture biologique"", 'sel', 'coagulant fongique', 'ferments LACTIQUES']","['Œufs', 'Lait']",['Non végétalien'],3,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
1,Emmental francais,2871820020534,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
2,Emmental francais - Biocoop,2871820022040,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"['0 jaf pasteu', ' Origine France au IR!Ï de t a', 'rgcui', 'ture biologique', 'sel', 'fcr,gique', 'fermants LBCIilUE5', 'Trace possible de — de tlûUTH?CE CEIJf', 'Condttlonné touts atmosphere Valeurs erergétjquet at nutritionnelles pour ICCg: Energiê 157EVJ/37SVcal Hatier"" gractest 239 dont acjdae„ gras saturéi', ' *j7g 0 fg dcnt sucres C fg Protéines: 15 12<7 H couom', 'rtr tcy', 'ornmar sous 6 Jours apres owertura', '0,2A2kg']",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
3,Emmental français - Biocoop,2871820022378,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
4,Emmental francais - Biocoop,2871820022439,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Biocoop'],['France'],"[""LBIT issu de L'agriculture biologique"", 'sel', 'coagulant fongique', 'ferments LBCTIIUES', 'Trace possible de graines de MOUTRRDE OEüF', 'Conditicnné sous atmosphère']",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
5,Emmental français,2871820022637,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
6,Emmental français - Biocoop,2871820022835,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,17,-14%,"0,5",-18%,"0,5",+6%,29,+5%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
7,Emmental français - Biocoop,2871820022897,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"[""Lait issu de I'agriculture biologique"", ' sel', 'coagulant fongique', 'ferments lactiques', 'trace possible de graines de MOUTARDE OEUF']","['Œufs', 'Lait', 'Moutarde']",[],3,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
8,Emmental français,2871820023023,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,17,-14%,"0,5",-18%,"0,5",+6%,29,+5%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
9,Emmental français,2871820023092,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,243,-36%,1017 kj(243 kcal),-36%,0,-100%,0,-100%,8,+1216%,0,-100%,0,-100%,0,-100%,0,-100%,3,-73%,C,-73%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
10,Emmental francais - Biocoop,2871820023290,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 84.007.011 CE', 'Avignon (Vaucluse, France)']",,,,,,,,
11,Emmental français - Biocoop,2871820023351,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Biocoop'],['France'],"[""LAIT issu dB I 'agriculture biologique"", 'coagulant fongique', 'ferments LACTIQUES', 'Trace possible de graines de MOUTARDE OEUF', ' Ccnaitionné sous atmosphère']","['Œufs', 'Lait', 'Moutarde']",[],,29 g,en quantité élevée,17.5 g,en quantité élevée,4 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,4,+558%,4,+746%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
12,emmental français,2871820023818,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
13,Emmental français - Biocoop - 253g,2871820024075,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['Bio'],['Biocoop'],['France'],"[""LAIT issu de l'agriculture biologique"", ' sel', ' coagulant fongique', 'ferments LACTIQUES', ' \rTrace possible de graines de MOUTARDE', 'OEUF']",['Lait'],['Non végétalien'],3,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,+0%,1577 kj(377 kcal),+0%,29,-1%,"17,5",-11%,"0,5",-25%,"0,5",+21%,29,+5%,"0,75",+15%,"0,3",+15%,12,+5%,D,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 84.007.011 CE', 'Avignon (Vaucluse, France)']",253 g,,,,,,,
14,Emmental francais,2871820024662,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
15,Emmental francais - Biocoop,2871820024938,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"['lait de vache partiellement écrémé* 98%', 'sel de mer', 'ferments lactiquesz< 0,1%', 'coagulant fongique', ' / *Ingrédient issu de l’agriculture biologique', ' Valeurs nutrftionnelles moyennes']",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
16,Emmental français - Biocoop,2871820024990,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.49 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,49",-19%,"0,49",+4%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
17,Emmental français - Biocoop,2871820025195,D,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],['Biocoop'],['France'],"['Lait de vache partiellement écrémé 98%', 'sel de mer', 'ferments lactiques < 0,1%', 'coagulant fongique', "" Issu de l'agriculture""]",,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,5",+6%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
18,Emmental français - Biocoop,2871820026048,C,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,379,0%,1586 kj(379 kcal),+0%,29,-2%,17,-14%,"0,5",-18%,"0,5",+6%,29,+5%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
19,Emmental Français,2871820026574,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Bio'],,['France'],[],,[],,29 g,en quantité élevée,17.5 g,en quantité élevée,0.2 g,en faible quantité,0.75 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-0%,29,-2%,"17,5",-12%,"0,5",-18%,"0,2",-58%,29,+5%,"0,75",+27%,"0,3",+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
20,Grillade de veau sans os mexicaine,2872262064810,,,,,,['France'],[],,[],,,,,,,,,,?,,146,,611 kj(146 kcal),,"6,8",,"2,7",,"1,8",,"0,4",,"19,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
21,Canard à foie gras du sud-ouest,2872485038704,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
22,Boeuf Angus,2872508085210,,,,,,['France'],[],,[],,,,,,,,,,?,,138,,577 kj(138 kcal),,"6,4",,"2,3",,"1,1",,1,,19,,"0,67",,"0,268",,,,,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,,,,,
23,"Bœuf Angus mariné au Whisky - Maître Jacques - 0,274kg",2872508089805,,['Maître Jacques'],,,['Cora'],['France'],[],,[],,,,,,,,,,579,,?,,579 kj(138 kcal),,"6,4",,"2,3",,"1,1",,1,,13,,"0,67",,"0,268",,,,,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']","0,274 kg","['Carton', 'Plastique']",['Irlande'],,,,,
24,Rôti de porc à la moutarde,2872509062913,E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,['France'],[],,[],,11 g,en quantité modérée,4.7 g,en quantité modérée,0.7 g,en faible quantité,1.03 g,en quantité modérée,?,,176,+22%,736 kj(176 kcal),+23%,11,+119%,"4,7",+125%,"1,1",+35%,"0,7",+12%,18,-20%,"1,03",-40%,"0,412",-40%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,
25,rôti de porc,2872509080757,E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,['France'],[],,[],,11 g,en quantité modérée,4.7 g,en quantité modérée,0.7 g,en faible quantité,1.03 g,en quantité modérée,?,,176,+22%,736 kj(176 kcal),+23%,11,+119%,"4,7",+125%,"1,1",+35%,"0,7",+12%,18,-20%,"1,03",-40%,"0,412",-40%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,
26,Roti de porc à la moutarde,2872509084953,E,,"['Viandes', 'Porc', 'Rôtis de porc']","['Viande Française', 'Viande Porcine Française']",,['France'],[],,[],,11 g,en quantité modérée,4.8 g,en quantité modérée,0.7 g,en faible quantité,0.97 g,en quantité modérée,?,,177,+23%,741 kj(177 kcal),+24%,11,+119%,"4,8",+130%,1,+22%,"0,7",+12%,18,-20%,"0,97",-44%,"0,388",-44%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,
27,Lapin à griller,2873143054647,,,,,,['France'],[],,[],,,,,,,,,,?,,145,,607 kj(145 kcal),,"7,1",,"2,2",,"0,3",,"0,1",,20,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
28,Le lapin à griller,2873143080356,,,,,,['France'],[],,[],,,,,,,,,,?,,145,,607 kj(145 kcal),,"7,1",,"2,2",,"0,3",,"0,1",,20,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
29,Fromage de chevre,2873570001481,,,,,,['France'],[],,[],,,,,,,,,,?,,285,,1192 kj(285 kcal),,25,,16,,0,,0,,16,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
30,Saucisses pur canard,2873914036735,,,,,,['France'],[],,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,,,,,
31,Saucisses pur canard,2873914037916,,,,,,['France'],[],,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,,,,,
32,Saucisses pur canard - Les Thomasines,2873914041654,,['Les Thomasines'],,,,['France'],"['Maigre et gras de eauq setq dextrose', ' épices', 'acidifiant acétate de sodium ', 'E262', 'q antioxydant : érythorbate de sodium', 'E316', 'boyau naturel', 'lactate do sodium ', 'E325']",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,"['E262i - Acétate de sodium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E270 - Acide lactique', 'E325 - Lactate de sodium']",,,,
33,Saucisse pur canard - Le Grenier Des Gastronomes,2873914042118,,['Le Grenier Des Gastronomes'],,,,['France'],"['maigre et gras de canard', '90az', 'eau', 'épices', 'acidifiant : acétate de so$ium ', 'e262', 'antioxydant : érfthorbate de boyau naturel', 'lactate de sodium ', 'e325', ' LOT : L 18023301']",,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,"['E262 - Acétates de sodium', 'E325 - Lactate de sodium']",,,,
34,Saucisses pur canard,2873914049667,,,,,,['France'],[],,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,,,,,
35,2873914050649,2873914050649,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
36,Saucisse pur canard - Le Grenier Des Gastronomes,2873939036604,,['Le Grenier Des Gastronomes'],,,,['France'],[],,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,05",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,"['FR 40.119.007 CE', 'Hagetmau (Landes, France)']",,,,,,,,
37,Saucisse pur canard,2873939036734,,,,,,['France'],[],,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"12,3",,"4,85",,"1,7",,"1,1",,"17,4",,"2,18",,"0,872",,,,,,,,,,,,,,,,,,,,,
38,Reblochon de Savoie,2873981023164,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,[],,27 g,en quantité élevée,19 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,?,,321,-1%,1343 kj(321 kcal),-1%,27,+1%,19,+1%,"0,5",+36%,"0,2",-12%,19,-5%,"1,5",+12%,"0,6",+12%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
39,Reblochon de Savoie,2873981025120,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,[],,20 g,en quantité modérée,20 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,334,+3%,1397 kj(334 kcal),+3%,20,-25%,20,+6%,"0,5",+36%,"0,5",+121%,20,0%,"1,4",+4%,"0,56",+4%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
40,Ribs à griller (recette BBQ),2874028029583,,,,,,['France'],[],,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,"9,8",,"2,1",,"4,4",,"3,4",,18,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,
41,Ribs maitre Jacques barbecue,2874028041721,,,,,,['France'],[],,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,"9,8",,"2,1",,"4,4",,"3,4",,18,,"0,75",,"0,3",,,,,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,,,,,
42,Spare ribs,2874086006557,,,,,,['France'],[],,[],,,,,,,,,,?,,215,,900 kj(215 kcal),,13,,"5,3",,"8,7",,6,,16,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
43,Pancetta maigre,2874243018102,E,,"['Viandes', 'Porc', 'Pancetta']",['en:gluten-free'],,['France'],[],,[],,33 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,3.6 g,en quantité élevée,?,,374,+3%,1565 kj(374 kcal),+4%,33,+9%,12,-1%,0,-100%,0,-100%,19,-3%,"3,6",+1%,"1,44",+1%,24,+4%,E,+4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,
44,Pancetta maigre,2874243018836,E,,"['Viandes', 'Porc', 'Pancetta']",['en:gluten-free'],,['France'],[],,[],,33 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,3.6 g,en quantité élevée,?,,373,+3%,1561 kj(373 kcal),+3%,33,+9%,12,-1%,0,-100%,0,-100%,19,-3%,"3,6",+1%,"1,44",+1%,24,+4%,E,+4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,
45,Coppa - Montorsi,2874244017913,,['Montorsi'],,['en:gluten-free'],,['France'],[],,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,23,,"8,2",,0,,0,,27,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,
46,Coppa,2874244018309,E,,"['Viandes', 'Charcuteries', 'Coppa']",['en:gluten-free'],,['France'],[],,[],,23 g,en quantité élevée,8.2 g,en quantité élevée,0 g,en faible quantité,4.3 g,en quantité élevée,?,,315,+4%,1318 kj(315 kcal),+6%,23,+13%,"8,2",+4%,0,-100%,0,-100%,27,+2%,"4,3",-4%,"1,72",-4%,21,+4%,E,+4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,
47,Coppa montorsi - Originale Italiano,2874244018897,,['Originale Italiano'],,['en:gluten-free'],,['France'],"['viande de porc', 'sel', 'dextrose', 'antioxydants: ascorbate de sodium: épices et plantes aromatiques', 'conservateurs', ""' nitrate de potassium"", ""nitrite de sodium,' arômes""]",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,315,,1318 kj(315 kcal),,23,,"8,2",,0,,0,,27,,"4,3",,"1,72",,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
48,Coppa,2874244019023,,,,['en:gluten-free'],,['France'],[],,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,23,,"8,2",,0,,0,,27,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,
49,Coppa Montorsi,2874244019153,E,['Montorsi'],"['Viandes', 'Charcuteries', 'Coppa']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['IT 302 L CE'],,,,,,,,
50,Coppa Montorsi,2874244019221,,,,['en:gluten-free'],,['France'],[],,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,23,,8,,0,,0,,27,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,
51,Coppa montorsi,2874244023020,,,,['en:gluten-free'],,['France'],[],,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,23,,"8,2",,0,,0,,27,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,
