,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,ingredients_origins,additives,manufacturing,generic_name,link,palm_ingredients
757,Sachet Geant Festival Krema 150G - 150g,3014680072711,,,,,,['France'],[],,[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,"7,4",,"3,5",,83,,"63,5",,"1,6",,"0,05",,"0,02",,,,,,,,,,,,,,150 g,,,,,,,
758,Escargots feuilletés,3014700771013,B,,"['Viandes', 'Escargots', 'Feuilleté aux escargots']",,,['France'],[],,[],,27 g,en quantité élevée,17 g,en quantité élevée,3.7 g,en faible quantité,2.8 g,en quantité élevée,?,,505,+12%,2113 kj(505 kcal),+11%,27,-15%,17,-13%,53,+64%,"3,7",+161%,11,+33%,"2,8",+67%,"1,12",+67%,26,+21%,E,+21%,57.1%,14.2%,5.9%,6.6%,3.4%,12.8%,82,,,,,,,,,
759,Boules Praliné - Jacquot - 1kg,3015411038600,,['Jacquot'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1 kg,,,,,,,
760,Oeuf en chocolat,3015491314540,,,"['Aliments de Pâques', 'Œufs de Pâques']",,,['France'],[],,[],,28 g,en quantité élevée,18 g,en quantité élevée,59 g,en quantité élevée,0.13 g,en faible quantité,?,,516,-6%,2159 kj(516 kcal),-6%,28,-17%,18,-10%,60,+12%,59,+13%,"5,1",-23%,"0,13",-36%,"0,052",-36%,26,-0%,E,-0%,,,,,,,,,,,,,,,,
761,Chocolat  100 Gr - 100g,3015495084234,,,,['Fabriqué en France'],,['France'],[],,[],,,,,,,,,,?,,516,,2159 kj(516 kcal),,28,,18,,60,,59,,"5,2",,"0,14",,"0,056",,,,,,,,,,,,,,100 g,,,,,,,
762,Falize  œuf chocolat - 200g,3015496247836,,['Falize'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,,['France'],[],,[],,40 g,en quantité élevée,24 g,en quantité élevée,43.3 g,en quantité élevée,,,?,,560,+1%,2343 kj(560 kcal),+1%,40,+18%,24,+11%,"45,33",-16%,"43,33",-18%,"5,33",-25%,,,,,,,,,,,,,,,,,200 g,,,,,,,
763,Trufa Gourmand Amendoa - Jacquot,3015496414405,,['Jacquot'],,,,['France'],"['k aufbewahren ', '180 - 200C', ' Mindestens haltbat rition information /']",,[],,,,,,,,,,?,,595,,2489 kj(595 kcal),,44,,34,,42,,40,,"3,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
764,Calendrier de l'Avent Chocolat Au Lait - Dipa - 75g,3015497010156,E,['Dipa'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats au lait', ""Calendriers de l'avent""]",,,['France'],"['Sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithine de tournesol', 'polyricinoléate de polyglycérol', 'arôme naturel de vanille']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,27 g,en quantité élevée,16 g,en quantité élevée,61 g,en quantité élevée,0.143 g,en faible quantité,2162,-3%,?,,2162 kj(517 kcal),+1%,27,-8%,16,-9%,61,+9%,61,+18%,"6,4",+8%,"0,143",-26%,"0,057",-26%,26,+4%,E,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,75 g,['Carton'],,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,Chocolat au lait,,
765,Tender Heart truffes fantaisie - Jacquot - 3.52oz,3015497056161,,['Jacquot'],,['Fabriqué en France'],,['France'],"['EN - FANCY TRUFFLES : fats ', 'palm,palm kernei', 'Iowfatcocoa Informatirnsnutlitionnel', 'es powder 17 h', 'lactoset emulsifier : sunflower lecithin', 'vanilla flavouring', ' May contain traces of gluten and Inergìe nuts', ' Keep in a cool and dry place ', '18 C to 2000', ' / Matières grasses Imported by UNIVERSAL CAN DY', 'Unit 8', '22 Beaumont Road,MtKuring-GaiNSW2080', 'AUSTRALIA', ' Imported OfWhich saturates/']",,[],,,,,,,,,,?,,595,,2489 kj(595 kcal),,44,,34,,43,,41,,"3,9",,"0,01",,"0,004",,,,,,,,,,,,,,3.52 oz,,,,,,,
766,Tendor heart - Jacquot,3015497062759,,['Jacquot'],,,,['France'],"['vegetable fats ', 'palm', 'palm kernel', 'coconut', 'SV - Fantasitryffel - Ingredienser : vegetabiliska mafettu sugat,lowfatcocoa powder 1796', 'lactose', 'emulsifier:sunflower lecithin,vanilla kopra', 'socker', 'làgfetthaltigt kakaopulver 17%', 'laktos', 'flavourinyMzycontain traces ofglutenand nuts Keep in a cool and dry place ', '180C solroslecitin', 'vaniljarom', ' Kan innehàlla sphr av gluten nôtter', '%yd4znst fuktochvârme NSW 20Ui AUSTRALIk by DKSH New Zealand Limited - 97 Walkers Road', 'Net weight / Poids Net / Peso Liqui& / I : Longburrs Private Bag 11047 - Palmerston North 4442 - New Zealand', ' 3', '52 OZ FR - Truffes fantaisie - Ingrédients : graisses végétales ', 'palme', 'palmiste', 'coprah', 'Sicre', 'cacao maigre en poudre 17%', 'lactose', 'émulsifiant : lécithine de tournesol', 'arôme vanille', ' Peut contenir des traces de gluten et de fruits à coqueA conmer ', 'abri de thumidité et de la chaleur ', '180C à 2000', ' PT-ïrufasfantasia-lngredientes:gordurasveqetais ', 'palma', 'palmiste', 'copra', 'Best Before acau rtpgto em pé i7%', 'lactose', 'emursionante : lecitina de girassol', 'aroma de conter traços de glüten e de frutos secos', ' Conservar de préférence avant le / Consumir de li fresco ', 'entre 180 e200C', 'FI - Tryfferrfantasia - kinekset : kasvirasvat ', 'palmu', 'palmu sydân', 'kopra', 'sokeri', 'preferência antes de / Parasta Uakaojauhe 17%', 'taktoosi', ""emulsoija : auringonkukkalesitiini ' ennen/Bâstfôre-datum/ vanZja?aromL Vri jümià giuteenista ja pâhkinôisü"", ' Siilytetüvâ Najlepiej przed: p kuumuudelta ', '1 C - 2000', ' Ty?al']",['Lait'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,591,,2473 kj(591 kcal),,44,,34,,42,,40,,"3,9",,"0,008",,"0,003",,,,,,,,,,,,,,,,,['E322i - Lécithine'],,,,['Huile de palme']
