,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,additives,allergens,labels,manufacturing,ingredients_origins,generic_name,origin_detail,producer_info,palm_ingredients,link
10,Plateau 3 Fromages - Reflets de France - 525g,3560070993505,B,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Assortiments de fromages']",['Carrefour'],['France'],"[""Bleu d'Auvergne AOP : lait"", 'sel', ""ferments lactiques et d'affinage"", 'présure', 'chlorure de calcium', 'penicillium roqueforti', '\r Gruyère : lait cru de vache', 'sel', 'présures', ""ferments lactiques et d'affinage"", '\r Petit Camembert : lait cru de Normandie', 'sel', 'ferments lactiques', 'présure animale']","['Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,525 g,"['Bois', 'Plastique', 'Frais']","['FR 84.007.011 CE', 'Avignon (Vaucluse, France)', 'EMB 63113AO', 'Clermont-Ferrand (Puy-de-Dôme, France)', 'EMB 84007AV', 'Avignon (Vaucluse, France)']",,['Lait'],,['France'],['France'],,,,,
11,Cocktail d’olives - Carrefour,3560070994953,,['Carrefour'],,['Carrefour'],['France'],"[""Chez Carrefour ta Fraîcheur Quotid/ch ! Cocktail d'Olives au Paprika Mélange d'oûives entières au Ingrédienu : Olives noires confites entières olives Vertes entières 40,3%"", 'huile de colza', 'sel', 'poivrons* rouges', ""ail'"", 'piment doux', 'thym', 'paprika 0,13%', 'persil', 'conservateur : acide lactique', 'stabilisant : gluconate de fer', '*Contient des sulfites', ' Peut contenir des traces de poisson', 'amande', 'lupin et lait', ' 250g']",[],,,,,,,,,,?,,181,,757 kj(181 kcal),,18,,"2,2",,"1,1",,1,,"1,5",,"2,8",,"1,12",,,,,,,,,,,,,,,,"['E270 - Acide lactique', 'E579 - Gluconate de fer']",['Anhydride sulfureux et sulfites'],,,,,,,,
12,Esparragos blancos - Carrefour - 540g 325g 580ml,3560070998333,C,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",['Carrefour'],"['France', 'Espagne']","['Espárragos blancos', 'agua', 'sal', 'acidulante: ácido cítrico']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.93 g,en quantité modérée,65,-3%,15,-17%,65 kj(15 kcal),-8%,0,-100%,0,-100%,2,+7%,2,+52%,"1,3",-4%,"0,93",+14%,"0,372",+14%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,540 g 325 g 580 ml,,"['EMB 75117Z', 'Paris 17e  Arrondissement (Paris, France)']",['E330 - Acide citrique'],,,,,Espárragos blancos muy gruesos. 5/9 unidades. Categoría Extra,Este producto se fabrica a partir de espárragos blancos cultivados en China.,Producto originario de China e importado por TL FOOD - EMB 75117Z para Interdis.,,
13,Espárragos blancos categoría extra - Carrefour,3560070998364,C,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['Carrefour'],['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.93 g,en quantité modérée,?,,15,-21%,63 kj(15 kcal),-18%,0,-100%,0,-100%,2,+3%,2,+71%,"1,3",-12%,"0,93",+18%,"0,372",+18%,-1,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,"['EMB 75117Z', 'Paris 17e  Arrondissement (Paris, France)']",,,,,,,,,,
14,Riz long grain - Carrefour - 2kg,3560071000103,C,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",['Carrefour'],['France'],['Riz long grain blanc'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,350,+4%,1464 kj(350 kcal),+3%,"0,6",-43%,0,-100%,78,+6%,0,-100%,"7,4",+1%,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,2kg,,,,,,,,,,,,
15,Lemon lime zéro - Carrefour,3560071000141,,['Carrefour'],"['Boissons', 'Boissons édulcorées']",['Carrefour'],['France'],"['Eau gazéifiée', 'acidifiant : acide citrique', 'arôme naturel de citron-citron vert', ""correcteur d'acidité : citrates de sodium"", 'édulcorants acésulfame-K et sucralose', 'antioxydant : acide ascorbique', ' Utilisation Conservation : Conservez-la dans un endroit propre', ""sec et frais à l'abri de la lumière""]",[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en faible quantité,?,,1,-93%,4 kj(1 kcal),-93%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,03",-14%,"0,012",-14%,1,-77%,B,-77%,,,,,,,,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E300 - Acide ascorbique']",,,,,,,,,
16,"Crème glacée Chocolat origine Pérou, recette artisanale - Carrefour",3560071000387,,['Carrefour'],,['Carrefour'],['France'],"['Lait entier', 'sucre', 'chocolat noir 10% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'arôme naturel de vanille', 'cacao en poudre', 'sirop de sucre inverti cristallisé', 'beurre concentré', 'crème', 'lait écrémé en poudre', 'lactose et protéines de lait', 'émulsifiant : mono - et diglycérides dlacides gras', ""gélifiants : farine de graines de caroube et gomme guara Pourcentage exprimé sur l'ensemble du produit"", ' Peut contenir des traces dl?ufs', 'de soja et de fruits à coque']",['Non végétalien'],4,,,,,,,,,?,,215,,900 kj(215 kcal),,11,,"7,7",,22,,20,,"4,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,['E410 - Gomme de caroube'],['Lait'],,,,,,,,
17,Compote en gourde poire banane lacté dès 6 mois Baby -,3560071002114,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Compotes pour bébé']",,['France'],[],[],,,,,,,,,,?,,75,+36%,314 kj(75 kcal),+35%,"1,5",+505%,1,+2451%,13,+9%,"9,1",-11%,"1,6",+266%,"0,04",+98%,"0,016",+98%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,['Sans sucre ajouté'],,,,,,,
18,Crème dessert vanille dès 6 mois Baby - Carrefour Baby,3560071002145,,['Carrefour Baby'],,['Carrefour'],['France'],"['Lait entier en poudre reconstitué 84%', 'sucre', 'crème liqui 4,9%', 'amidon de maïs', 'eau', 'arôme naturel de vanille 0,75%', 'épaissî sant : farine de graines de caroube']",['Non végétalien'],4,,,,,,,,,?,,102,,427 kj(102 kcal),,"4,4",,"2,9",,13,,"9,9",,0,,"0,12",,"0,048",,,,,,,,,,,,,,,,['E410 - Gomme de caroube'],,,,,,,,,
19,Crème dessert saveur cacao  - Carrefour Baby - 340g,3560071002152,,['Carrefour Baby'],"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts lactés pour bébé', 'Dès 6 mois']",['Carrefour'],['France'],"['Lait entier en poudre reconstitué 80 %', 'eau', 'sucre', 'amidon de maïs', 'cacao maigre en poudre 1,7 %', 'épaississant : farine de graines de caroube']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,369,-9%,?,,369 kj(88 kcal),-7%,"2,9",-3%,"1,9",+8%,12,-12%,"8,7",-8%,"3,1",+5%,"0,11",+16%,"0,044",+16%,,,,,,,,,,,,340 g,"['Carton', 'Gourdes']",,['E410 - Gomme de caroube'],['Lait'],,,,"Aliment pour bébés à base de lait, sucré, et avec de la poudre de cacao maigre",,,,
