,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,additives,allergens,labels,manufacturing,ingredients_origins,generic_name,origin_detail,producer_info,palm_ingredients,link
149,Palmier pur beurre - Carrefour Sélection,3560071141905,C,"['Carrefour Sélection', 'Carrefour']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['Carrefour'],['France'],[],[],,19 g,en quantité modérée,13 g,en quantité élevée,24 g,en quantité élevée,1.1 g,en quantité modérée,?,,478,-7%,2000 kj(478 kcal),-7%,19,-30%,13,-17%,69,+15%,24,+9%,"7,6",+28%,"1,1",+9%,"0,44",+9%,24,+3%,E,+3%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,,,,
150,Emmental rapé - Carrefour,3560071150037,D,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",['Carrefour'],['France'],"['pasteurisé de vache', 'sel', 'enzyme coagulante', 'ferments lactiques']",[],3,28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,360,-3%,1506 kj(360 kcal),-3%,28,-3%,20,+2%,0,-100%,0,-100%,27,-1%,"0,9",+19%,"0,36",+19%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,['Lait'],['Fabriqué en France'],,,,,,,
151,Crème fraiche épaisse - Carrefour - 200ml,3560071150518,C,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes sans lactose', 'Crèmes fraîches']",['Carrefour'],['France'],[],[],,30 g,en quantité élevée,20 g,en quantité élevée,3 g,en faible quantité,0.08 g,en faible quantité,?,,291,-0%,1218 kj(291 kcal),+2%,30,+1%,20,+1%,"3,1",-5%,3,+5%,"2,2",-7%,"0,08",-5%,"0,032",-5%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,200 ml,,"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)', 'EMB 31555', 'Toulouse (Haute-Garonne, France)']",,,"['Fabriqué en France', 'Sans lactose']",,,,,,,
152,Plateau oriental 300g - Carrefour - 300g,3560071151218,,['Carrefour'],,['Carrefour'],['France'],"['4 Pastillas au poulet 100g : viande de cuisse de poulet 24%', 'oignon préfrit ', 'oignon', 'huile de tournesol', 'eau', 'farine de blé 8', '5%', 'amande effilée', 'huile de tournesol', 'raisin sec ', 'raisin', 'huile de coton', 'sel', ""blanc d'œuf en poudre"", 'sucre', 'coriandre', 'cannelle', 'gingembre', 'piment', 'émulsifiant : lécithine de colza', 'curcuma', ' Pourcentages exprimés sur les pastillas au poulet', '4 Bricks au fromage de brebis et à la menthe 100g : eau', 'farine de blé 16,5%', 'fromage de brebis 14%', 'fromage de lactosérum de brebis 14%', 'huile de tournesol', 'fécule de manioc', 'fibre de blé', ""blanc d'œuf en poudre"", 'menthe 1', '7%', 'graines de pavot', ""huile d'olive"", 'sel', 'émulsifiant : lécithine de colza', 'poivre blanc', ' Pourcentages exprimés sur les bricks au fromage de brebis et à la menthe', ""4 Briouats à l'agneau 80g : eau"", ""viande d'agneau 16%"", 'farine de blé 14%', 'oignon', 'courgette', 'aubergine', 'huile de tournesol', 'sauce tomate [tomate ', 'pulpe de tomate', 'concentré de tomate', 'huile de tournesol', 'oignon', 'sucre', 'sel', 'basilic]', 'gluten de blé', ""blanc d'œuf en poudre"", 'sel', 'ail réhydraté', 'préparation aromatique ', 'maltodextrine', 'arômes naturels', 'eau', 'dextrose', 'tomate', 'champignon', 'colorants : extrait de paprika - caramel ordinaire – curcumine', 'sel', 'oignon', 'laurier', 'thym', 'poivre', 'acidifiants : acide citrique et acide malique', 'paprika', 'émulsifiant : lécithine de colza', 'cumin', 'amidon de blé', 'coriandre déshydratée', 'gingembre', 'cannelle', 'poivre blanc', 'piment', "" Pourcentages exprimés sur les briouats à l'agneau"", 'Sauce blanche 20g : eau', 'huile de colza', 'lait écrémé en poudre', ""jaune d'oeuf"", 'menthe 1', '5%', 'ail', 'sel', 'jus de citron concentré', 'amidon modifié de pomme de terre', 'acidifiant : acide tartrique', 'épaississants : gomme guar et gomme xanthane', 'arôme naturel de menthe', 'conservateur : sorbate de potassium', 'poivre', ' Pourcentage exprimé sur la sauce blanche', ""Cet assortiment est fabriqué en France à partir d'ingrédients de diverses origines"", ' Les pastillas sont fabriquées à partir de farine de blé origine UE et garnies de viande de poulet origine France', "" Les bricks sont fabriquées à partir de farine de blé origine UE et garnies de fromages élaborés à partir de lait d'origine UE et de menthe origine UE"", "" Les briouats sont fabriqués à partir de farine de blé origine UE et garnis de viande d'agneau origine UE"", 'Australie et Nouvelle-Zélande', '""']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,311,,1301 kj(311 kcal),,22,,"5,2",,18,,"2,4",,"8,6",,"1,4",,"0,56",,,,,,,,,,,,,300 g,,"['FR 69.243.004 CE', 'Tarare (Rhône, France)', 'EMB 69243F', 'Tarare (Rhône, France)']","['E322i - Lécithine', 'E160c - Extrait de paprika', 'E150a - Caramel E150a', 'E100 - Curcumine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E14XX - Amidons modifiés', 'E334 - Acide L-tartrique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",['Fabriqué en France'],,,"Assortiment de 4 galettes de blé garnies à base de viande de poulet, 4 galettes de blé garnies à base de fromage de brebis et à la menthe, 4 galettes de blé garnies à la viande d'agneau, accompagné d'un sachet de sauce blanche",,Fabriqué par EMB 69 243 pour CMI - TSA 91431 6 91343 MASSY Cedex - France.,,
153,Riz soufflé au chocolat - Produits Blancs,3560071168704,C,"['Produits Blancs', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['Carrefour'],['France'],"['Farine de riz 54%', 'chocolat en poudre 21% ', 'sucre', 'cacao en poudre', ',sucre', 'semoule de maïs 11%', 'sirop de glucose', 'sel']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",4,2 g,en faible quantité,1 g,en faible quantité,30 g,en quantité élevée,0.5 g,en quantité modérée,?,,386,-3%,1615 kj(386 kcal),-3%,2,-77%,1,-55%,84,+26%,30,+80%,"6,5",-30%,"0,5",+40%,"0,2",+40%,12,+123%,D,+123%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,
154,Les tartelettes carrées - Carrefour,3560071208745,C,['Carrefour'],"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",['Carrefour'],['France'],[],[],,12 g,en quantité modérée,7.6 g,en quantité élevée,29 g,en quantité élevée,0.57 g,en quantité modérée,?,,428,+29%,1791 kj(428 kcal),+24%,12,+7%,"7,6",+22%,74,+30%,29,+8%,"5,1",+32%,"0,57",+69%,"0,228",+69%,20,+30%,E,+30%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,['Fabriqué en France'],,,,,,,
155,Chocolat blanc dessert - Carrefour,3560071442682,E,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['Carrefour'],['France'],"['Sucre', 'beurre de cacao', 'poudre de lait entier', 'crème en poudre', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,38 g,en quantité élevée,24 g,en quantité élevée,51 g,en quantité élevée,0.26 g,en faible quantité,?,,578,+2%,2418 kj(578 kcal),+2%,38,+5%,24,+11%,51,-4%,51,+1%,"7,2",+8%,"0,26",+1%,"0,104",+1%,28,+5%,E,+5%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,['E322 - Lécithines'],"['Lait', 'Soja']",,,,,,,,
156,Maïs doux - Carrefour,3560071442842,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Maïs', 'Maïs doux']",['Carrefour'],['France'],[],[],,1.4 g,en faible quantité,0.2 g,en faible quantité,5.1 g,en quantité modérée,0.45 g,en quantité modérée,?,,73,-22%,305 kj(73 kcal),-21%,"1,4",-14%,"0,2",-30%,11,-26%,"5,1",+14%,"2,7",-4%,"0,45",+7%,"0,18",+7%,1,,B,,,,,,,,,,,"['EMB 59009B', ""Villeneuve-d'Ascq (Nord, France)""]",,,"['Fabriqué en France', 'Sans sucre ajouté']",,,,,,,
157,Panés au blé lupin - Carrefour,3560071444327,,"['Carrefour', 'Carrefour Veggie']",,['Carrefour'],['France'],[],[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,12,,"1,2",,23,,"1,4",,14,,"0,96",,"0,384",,,,,,,,,,,,,,,,,,,,,,,,,
158,Sirop passion abricot,3560071444440,,,,,['France'],[],[],,,,,,,,,,?,,294,,1230 kj(294 kcal),,0,,0,,72,,72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Tartine craquante - Carrefour,3560071904746,B,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",['Carrefour'],['France'],[],[],,3.9 g,en quantité modérée,0.5 g,en faible quantité,6.8 g,en quantité modérée,0.95 g,en quantité modérée,?,,391,+3%,1636 kj(391 kcal),+2%,"3,9",-14%,"0,5",-51%,74,+5%,"6,8",+22%,12,+21%,"0,95",+7%,"0,38",+7%,4,+31%,C,+31%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,,,,,,,,,,,
160,Purée de patates douces - Carrefour,3560073435361,,['Carrefour'],"['Plats préparés', 'Purées', 'Purées de patates douces']",['Carrefour'],['France'],"['Patates douces 84%', 'eau', 'crème fraîche 5%', 'beurre 0,9%', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1.9 g,en faible quantité,1.3 g,en faible quantité,6.4 g,en quantité modérée,0.51 g,en quantité modérée,?,,82,,343 kj(82 kcal),+8%,"1,9",+36%,"1,3",+76%,14,+10%,"6,4",+26%,"1,2",-10%,"0,51",+47%,"0,204",+47%,5,,C,,,,,,,,,,,,,['Lait'],,,,,,,,
161,Poudre cacaoté intense carrefour,3560079484073,,['Carrefour'],,['Carrefour'],['France'],"['en poudre pour boisgon itantanée au cacao maigre', 'Ingrédients cacao maigre ', 'à 10/12% dev beurre lécithines ', 'toarr,eoo!', 'cacao', 'émulsifiant arôme naturel vanille', ' Cacao 32% minirnurn', ' Peut contenir traces de lait,']",[],,,,,,,,,,?,,365,,1527 kj(365 kcal),,"3,6",,"2,1",,70,,67,,"7,5",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
162,Fonds D'artichauts - Carrefour,3560079581390,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",['Carrefour'],['France'],[],[],,,,0 g,en faible quantité,2.6 g,en faible quantité,0.07 g,en faible quantité,?,,42,-16%,176 kj(42 kcal),-15%,?,,0,-100%,?,,"2,6",+113%,"1,8",+3%,"0,07",-92%,"0,028",-92%,,,,,,,,,,,,,,,,,,,,,,,,
163,Câpres au vinaigre,3560079646464,,,,,['France'],[],[],,,,,,,,,,?,,29,,121 kj(29 kcal),,"0,9",,"0,1",,"1,4",,"0,4",,"2,4",,"6,4",,"2,56",,,,,,,,,,,,,,,,,,,,,,,,,
164,Briochette - Carrefour,3560079655893,C,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Briochettes']",['Carrefour'],['France'],"['Farine de 37%', 'de au lall 16,5% ', 'sucre', 'mdre de lait enÜer', 'beurre de cacao', 'pâte de cacao', 'la', 'ft9', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', 'frais levain ', 'farines de blé', 'de malté et de sigle', 'eau', 'levure', 'sirop de sucre inverti', 'huile do ?-tcertré', 'sucre', ' poudre do glulendùlé', 'levure', 'sel', ' émut', "" sifiants : mono - et digtycérides d'acides gras et esters monoacétyltadriques ot diacétyltartriques des et diglycéridas d'acides gras"", 'arôrnes naurels de vand!o', 'antioxydant : acide Peut des de à ?qua et de soja']",[],4,16 g,en quantité modérée,6.5 g,en quantité élevée,17 g,en quantité élevée,0.75 g,en quantité modérée,?,,372,+5%,1556 kj(372 kcal),+4%,16,+22%,"6,5",+18%,47,-6%,17,+18%,"8,3",+4%,"0,75",-20%,"0,3",-20%,14,-4%,D,-4%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,['E322i - Lécithine'],"['Gluten', 'Soja']",,,,,,,,
165,Riz Basmati - Carrefour Bio,3560079658535,B,['Carrefour Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",['Carrefour'],['France'],"['aux gratns Ion St naturel e e pat un le', "" II est cultivé selon les règles de la production biologique respectueuses de l'environnement"", "" @ ln Hindi betekent basmati 'koningin van het parfumi Geteeld op de uitlopers van de Himalaya is deze rijst met lange"", 'fljne korrels van nature geparfumeerd Hij wordt geteeld volgens de regels van de biologische landbouw die hetmilieu respecteert', "" @ Riz basmati long grain de qualité supérieure issu de l'agriculture biologique"", ' Peut contenir des traces de gluten', 'soja', 'sésame', ' @ Langkorrelige basmatirijst van superieure kwaliteit afkomstig uit de biologische landbouw', 'Kan sporen bevatten van gluten', 'soja', 'sesamzaad', ' Origine / Oorsprong Q', ' Notre riz Basmati Carrefour bio est cultivé dans les rizières en plateaux au Pakistan dans la région du Penjab et en Inde dans la région Haryana', ' @Onze Basmatirijst van Carrefour bio wordt geteeld op de rtjstvelden van de hoogvlakten in Pakistan in de Penjab - streek en in India in de Haryana-streek']",[],,1.1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,353,+7%,1477 kj(353 kcal),+6%,"1,1",+6%,"0,2",-17%,77,+8%,0,-100%,"8,1",+7%,0,-100%,0,-100%,-2,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
166,Chili Con Carne au Bœuf - Carrefour - 410g,3560079748038,D,['Carrefour'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés en conserve', 'Chili con carne']",['Carrefour'],['France'],"['Haricots rouges réhydratés 33 %', 'eau', 'viande de bœuf 15 %', 'concentré de tomates', 'poivrons', 'maïs', 'oignons', 'sucre', 'sel', 'épices ', 'cumin', 'coriandre', 'piment fort', 'farine de blé', 'ail en poudre', ""arôme naturel de poivre avec d'autres arômes naturels"", 'céleri en poudre', 'colorant : extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.3 g,en quantité modérée,1.5 g,en quantité modérée,1.6 g,en faible quantité,0.63 g,en quantité modérée,?,,114,-3%,477 kj(114 kcal),-5%,"3,3",-2%,"1,5",+34%,12,-2%,"1,6",-24%,"6,9",+2%,"0,63",-21%,"0,252",-21%,0,,B,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,410 g,"['Conserve', 'métal']",,['E160c - Extrait de paprika'],"['Céleri', 'Gluten']","['Viande-francaise', 'Viande-bovine-francaise']",,['France'],,,,,
167,Charcuterie végétarienne,3560079803829,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,249,,1042 kj(249 kcal),,13,,2,,4,,3,,27,,3,,"1,2",,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,,,,,,
168,Pavé de saumon,3560080751003,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,['France'],[],[],,13 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,?,,197,+4%,824 kj(197 kcal),+4%,13,+10%,"2,2",+8%,0,-100%,0,-100%,20,-1%,"0,1",-72%,"0,04",-72%,-1,,A,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
169,Huile d'olive vierge extra Bio -,3560170210366,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],,91 g,en quantité élevée,15 g,en quantité élevée,,,,,?,,822,-4%,3439 kj(822 kcal),-4%,91,-5%,15,+7%,?,,,,?,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,['Bio'],,,,,,,
170,Pain D'Epice - Rucher Du Morvan - 500g,3560180000018,B,['Rucher Du Morvan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,['France'],"['Miel 70%', 'farine de ble', 'lait', 'sel', 'poudre à lever: carbonate acide de sodium', 'épices', 'arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1 g,en faible quantité,0.5 g,en faible quantité,38 g,en quantité élevée,1.29 g,en quantité modérée,?,,305,-9%,1276 kj(305 kcal),-10%,1,-71%,"0,5",-60%,70,-1%,38,-6%,"4,2",-3%,"1,29",+196%,"0,516",+196%,16,+13%,D,+13%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,500 g,,,['E500ii - Carbonate acide de sodium'],"['Gluten', 'Lait']",,,,,,,,
171,Pain d'épice - Rucher Du Morvan,3560180000025,B,['Rucher Du Morvan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,['France'],"['Miel 70%', 'farine de blé', 'lait', 'sel', 'poudre à lever', 'carbonate acide de sodium', 'épices', 'arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1 g,en faible quantité,0.5 g,en faible quantité,38 g,en quantité élevée,1.29 g,en quantité modérée,?,,305,-9%,1276 kj(305 kcal),-10%,1,-71%,"0,5",-60%,70,-1%,38,-6%,"4,2",-3%,"1,29",+196%,"0,516",+196%,16,+13%,D,+13%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,['E500ii - Carbonate acide de sodium'],"['Gluten', 'Lait']",,,,,,,,
172,Boules au Miel - Ruchers du Morvan - 200g,3560180000452,E,['Ruchers du Morvan'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,['France'],"['Sirop de glucose', 'sucre', 'miel 30 %']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,200 g,"['Sachet', 'Plastique']",,,,,,,,,,,
173,Néctar de pomme - Carrefour,3560186794713,D,['Carrefour'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pomme']",['Carrefour'],['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,0.03 g,en faible quantité,?,,34,-13%,142 kj(34 kcal),-13%,0,-100%,0,-100%,"8,2",-13%,"7,4",-16%,0,-100%,"0,03",+209%,"0,012",+209%,10,+11%,E,+11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
174,Fromage de brebis - Carrefour,3560230108558,D,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",['Carrefour'],['France'],"['lait pasteurisé de brebis', 'sel', 'ferments lactiques', 'coagulant microbien Origine : Ce fromage est fabriqué en Lozère ', '48', "" à partir de lait d'origine France"", 'Conservation : À conserver entre \'2""\'C et +600']",['Non végétalien'],,23 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en faible quantité,2.8 g,en quantité élevée,?,,272,-25%,1138 kj(272 kcal),-25%,23,-25%,16,-23%,"0,8",-11%,"0,8",+194%,16,-20%,"2,8",+13%,"1,12",+13%,18,+3%,D,+3%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,['Lait'],['Fabriqué en France'],,,,,,,
175,Boite à Café,3560238920138,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Choco Pops - Kellogg's,3560239262947,,"[""Kellogg's""]",,,['France'],[],[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
177,Assortiment de soufflés - Carrefour - 100g,3560452267897,B,['Carrefour'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']","['Dia', 'Carrefour']",['France'],"['soufflé aromatisé emmental : semoule de maïs 71%', 'huile de tournesol 25%', 'arômes ', 'poudre de fromage 5,5%', 'chlorure de potassium', '\rsoufflé à la tomate : semoule de maïs 49%', 'cacahuètes grillés moulues 21g', 'huile de tournesol 18g', 'pudre de tomate 13,5g', 'sel', 'arômes', 'dextrose', 'extrait de paprika\rsoufflé à la cacahuète : semoule de maïs 64g', 'cacahuètes grillés moulus 33g', 'huile de tournesol 5,9g', 'sel', 'dextrose', ""poivre\rsoufflé à l'oignon : semoule de maïs 64g"", 'huile de tournesol 20%', 'farine de blé', 'oignon en poudre 6%', 'son de blé', 'lait écrémé en\xa0poudre', 'assaisonnement aromatisé ', 'oignon', 'arôme naturel', 'sel', 'lactosérum en poudre', 'sucre', 'sel', 'persil', 'curcumine']",['Non végétalien'],4,25 g,en quantité élevée,2.9 g,en quantité modérée,4.9 g,en faible quantité,1.9 g,en quantité élevée,2094,+0%,?,,2094 kj(500 kcal),+0%,25,-1%,"2,9",-17%,56,-1%,"4,9",+40%,10,+12%,"1,9",+1%,"0,76",+1%,12,-19%,D,-19%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,100 g,"['Barquette', 'Plastique']","['EMB 85208', 'Saint-Denis-la-Chevasse (Vendée, France)', 'EMB 49332B', 'Séguinière (Maine-et-Loire, France)']","['E160c - Extrait de paprika', 'E100 - Curcumine']",['Gluten'],"['Labels de distributeurs', 'Qualité Carrefour', 'Fabriqué en France']",['France'],,"Assortiment de produits soufflés à base de maïs : aromatisés emmental, à la tomate, à la cacahuète et à l'oignon",,,,
178,Thé Genmaicha Bio - Sachet De - Thé Bio,3560467100028,,['Thé Bio'],['Boissons'],,['France'],"['• Feuilles de thé vert* Sencha de Kyoto 50%', 'riz* complet grillé 50%']",[],1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,
179,The Japonais F. Torrefiees Bancha Hojicha - Aromandise,3560467100035,,['Aromandise'],,,['France'],['Thé bio Japonais Organic Japanese tea Thé Grillé eancHa Hoj CCHa Fortifiant Soirées AR6MANDlSE OP-BIO-OOS Agricultuge'],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,1",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
180,Epicerie / Thé Bio Et équitable / Thé Vert,3560467100080,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,
181,Fleurs D'épices Légumes Douceur Bio - Hildegarde de Bingen,3560467790106,,['Hildegarde de Bingen'],,,['France'],[],[],,,,,,,,,,?,,5,,21 kj(5 kcal),,1,,1,,1,,1,,1,,0,,0,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'AT-BIO-301', 'Agriculture UE/Non UE']",,,,,,,
182,Florisens Tisane Magie De Noël Bio - Boîte De,3560467790427,,,,,['France'],[],[],,,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,"0,2",,0,,0,,"0,003",,"0,001",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
183,Potage à l'epautre - Hildegarde De Bingen,3560467790458,,['Hildegarde De Bingen'],,,['France'],"['ingredients du Potage déshydraté: farine complète de Grand épeautre ', 'gluten', '* 60%', 'sel', 'amidon de pomme de terre*', 'maltodextrine de mais*', 'hysope*', 'persil*', 'golangal*', 'sucre de canne non-raffiné*', 'oignon* ', 'carotte*', 'panais*', 'muscade*', 'Anti - agglomérant*', 'carbonate de calcium', 'huile de tournesol*', 'fenouil*', 'livèche*', 'estragon*', 'curcuma* Peut contenir des traces de moutarde', "" * issu de l'agriculture biologique certifié par AT-BIO-301""]",[],4,,,,,,,,,?,,309,,1293 kj(309 kcal),,"3,3",,"0,7",,"57,1",,"8,5",,"9,7",,"7,25",,"2,9",,,,,,,,,,,,,,,,['E170i - Carbonate de calcium'],"['Gluten', 'Moutarde']","['Bio', 'Bio européen', 'AT-BIO-301']",,,,,,,
184,"Epicerie / Condiments, Aides Culinaires / Aromates",3560467790465,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
