,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,markets,palm_ingredients,brand_owner
261,"Fromage à tartiner nature (25,1% MG) - Dia - 200g",8480017541475,['France'],"['Lait écrémé pasteurisé 52 %', 'crème pasteurisée 47%', 'sel 1%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1061,257,1061 kj(257 kcal),"25,1",16,"2,8","2,8",5,"1,118","0,447",['Dia'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages pasteurisés', 'Fromages à tartiner']",,['Lait'],25.1 g,en quantité élevée,16 g,en quantité élevée,2.8 g,en faible quantité,1.12 g,en quantité modérée,+0%,+10%,+8%,+20%,+13%,-17%,-5%,-40%,-4%,-4%,14,+17%,D,+17%,D,200 g,"['Barquette', 'Plastique']",,['Danemark'],['DK M198 EC'],,3,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage à tartiner nature au lait et à la crème pasteurisés,,['Dia'],,
262,Liégeois Saveur Chocolat Dia - 800g (8x100g),8480017552464,['France'],"['Lait écrémé', 'crème fraîche 14,8%', 'sirop de glucose-fructose de blé', 'sucre', 'amidon modifié de tapioca', 'protéines de lait', 'cacao 1,4%', 'chocolat en poudre ', 'cacao', 'sucre', ' 1,1%', 'gélifiants : carraghénane ', 'dextrose de blé', ' et gomme de guar', 'émulsifiant : E472b', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",597,?,597 kj(143 kcal),"5,2",,"20,5",,"3,3",,,['Dia'],"['Produits laitiers', 'Desserts', 'Desserts lactés']",,['Lait'],5.2 g,en quantité modérée,,,,,,,+7%,,+9%,-3%,,+39%,,-29%,,,,,,,,800 g (8x100 g),"['Carton', 'Pot en plastique', 'Opercule en aluminium']",['France'],,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]",4,,,,,,,,Dessert lacté saveur chocolat,,['Dia'],,
263,Petits pois Extra Fins et Jeunes Carottes à l'étuvée - Dia - 200g,8480017570055,['France'],"['petits pois extra fins ', '50% minimum', 'jeunes carottes ', '30% minimum', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",233,55,233 kj(55 kcal),"0,4","0,1","8,5","3,1","2,7","0,61","0,244",['Dia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,,0.4 g,en faible quantité,0.1 g,en faible quantité,3.1 g,en faible quantité,0.61 g,en quantité modérée,+28%,+20%,+23%,-24%,-13%,+46%,+27%,+29%,-22%,-22%,-7,,A,,,200g,['Conserve'],['France'],,,,4,,,,,,,,,,['Dia'],,
264,Atun claro girasol (thon albacore) - Dia,8480017571229,['France'],[],[],?,155,649 kj(155 kcal),"5,9","0,9",0,0,"25,4","1,5","0,6",['Dia'],"['Produits de la mer', 'Poissons', 'Thons']",,,5.9 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,-15%,-15%,-41%,-49%,-100%,-100%,+18%,+46%,+46%,2,-35%,B,-35%,D,,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,['Dia'],,
265,Sucre glace - Dia - 500g,8480017577009,['France'],"['Sucre', 'amidon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,400,1674 kj(400 kcal),0,0,100,97,0,,,['Dia'],"['Édulcorants', 'Sucres', 'Sucres glaces']",,,0 g,en faible quantité,0 g,en faible quantité,97 g,en quantité élevée,,,,+6%,+6%,-100%,-100%,+1%,+2%,-100%,,,,,,,B,500 g,"['Bouteille', 'Plastique']",,,,,2,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,Sucre glace,,['Dia'],,
266,Tapenade noire - Dia - 90g,8480017577900,['France'],"['Olives noires', 'câpres', 'eau', 'anchois', 'ail', 'jus de citron concentré', 'herbes de Provence', 'poivre', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1053,255,1053 kj(255 kcal),"24,5",,"6,9",,"1,7",,,['Dia'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['Poisson'],24.5 g,en quantité élevée,,,,,,,-3%,-7%,-8%,-9%,,+120%,,-3%,,,,,,,B,90 g,"['Bocal', 'Verre']",,,"['FR 30.243.003 CE', 'Saint-Christol-lès-Alès (Gard, France)']",,3,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,"['Wikirencontre-17102014-cedalyon', 'Dia']",,
267,Fuet extra - Dia,8480017583710,['France'],[],[],?,408,1707 kj(408 kcal),"9,9","3,5","5,5",4,22,"4,5","1,8",['Dia'],['ca:Fuet'],,,9.9 g,en quantité modérée,3.5 g,en quantité modérée,4 g,en faible quantité,4.5 g,en quantité élevée,,-9%,-9%,-72%,-73%,+32%,+72%,-18%,+13%,+13%,18,-27%,D,-27%,,,,,,,,,,,,,,,,,,['Dia'],,
268,Lait demi-écrémé Bio Dia - 1l,8480017601483,['France'],['Lait demi-écrémé stérilisé bio'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",192,?,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,2","0,11","0,044",['Dia'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits demi-écrémés biologiques']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Garantie IPLC']",,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,-1%,,-1%,-4%,+0%,0%,+0%,-1%,-2%,-2%,0,,B,,B,1 l,"['Bouteille', 'Plastique']",['France'],,"['FR 80.001.002 CE', 'Abbeville (Somme, France)']",,1,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique,,['Dia'],,
269,Pâte à tartiner - Dia - 750g,8480017627704,['France'],"['Sucre', 'huiles végétales', 'noisettes ', '13 %', 'cacao fortement dégraissé en poudre ', '7,4 %', 'poudre de lait écrémé ', '6,6 %', 'lactosérum en poudre', 'émulsifiant : lécithine de tournesol', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2240,537,2240 kj(537 kcal),"31,6",6,"55,5","52,8","5,9","0,178","0,071",['Dia'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,"['Lait', 'Fruits à coque']",31.6 g,en quantité élevée,6 g,en quantité élevée,52.8 g,en quantité élevée,0.178 g,en faible quantité,-1%,-2%,-3%,-7%,-22%,+8%,+11%,-14%,+73%,+73%,18,-13%,D,-13%,C,750 g,"['Bocal', 'Plastique']",['Espagne'],,,['E322i - Lécithine'],4,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,Pâte à tartiner aux noisettes,,['Dia'],,
270,Biscuits pour le petit déjeuner au lait et aux pépites de chocolat - dia,8480017634696,['France'],[],[],?,?,,?,,?,,?,,,['Dia'],"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,C,,['Carton'],,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,['Dia'],,
