,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,markets,palm_ingredients,brand_owner
0,Jambon Pata Negra Bellota 100 Grs Coupé a La Main,8437012739413,['France'],[],[],?,325,1360 kj(325 kcal),"18,4","10,6","0,5","0,4","38,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,So aloe sugar free,8437012973152,['France'],"['4uRGO so ALOE Original taste I\'REMIUM ALOE VERA DRINK go SUGAR FREE ""LAVORED • NO PRESERVATIVÜ 46', '9 OZ 500 ML']",[],?,0,0 kj(0 kcal),0,0,1,0,0,"0,02","0,008",['So'],['Boissons'],['Sans conservateurs'],['Aucun'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-100%,-100%,-100%,-100%,-91%,-100%,-100%,-52%,-52%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
2,Chorizo fort - El Andaluz - 200g,8437013039246,['France'],"['Viande de porc', 'Paprika', 'Sel', 'Ail', 'Dextrine', 'Dextrose', 'LAIT EN POUDRE', 'Sucre', 'Poivre', 'Romarin', ""Régulateur de d'acidté "", 'Émulsifiants E450', 'E452 et E451', 'Conservateur E250 et antioxydant E301']","['Non végétalien', 'Non végétarien']",?,479,2004 kj(479 kcal),43,17,2,"0,5",21,3,"1,2",['El Andaluz'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['en:gluten-free', 'Point Vert']",['Lait'],43 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,,+18%,+17%,+26%,+32%,-32%,-72%,-8%,-20%,-20%,25,+5%,E,+5%,D,200 g,"['Sachet', 'Plastique']",['Union européenne'],['Espagne'],['ES 10.01865/GE CE'],"['E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
3,Longaniza de payes,8437013039307,['France'],[],[],?,403,1686 kj(403 kcal),"27,3","10,3","1,7","1,2","37,5","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chorizo extra chiffonnade - El Andaluz,8437013039611,['France'],"['Viande de porc', 'Sel', 'Sirop de glucose', 'Paprica', 'Sucre', 'Protéine de LAIT', 'Protéine de SOJA', 'Dextrose Ail', 'Antioxydants E301', 'E392 et Conservateurs E250,E252']","['Non végétalien', 'Non végétarien']",?,370,1548 kj(370 kcal),31,12,"3,3","2,6",21,3,"1,2",['El Andaluz'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo', 'Chorizo en tranches']",,"['Lait', 'Soja']",31 g,en quantité élevée,12 g,en quantité élevée,2.6 g,en faible quantité,3 g,en quantité élevée,,+12%,+12%,+19%,+23%,+22%,+28%,-5%,-18%,-18%,24,+8%,E,+8%,D,,,,,,"['E301 - Ascorbate de sodium', 'E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
5,Courgette - 1000g,8437013101073,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Courgettes', 'Courgettes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,,,,,,,,
6,8437013107105,8437013107105,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8437013346115,8437013346115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lentejas cocidas - La gallega - 570g,8437013401432,['France'],[],[],?,?,,?,,?,,?,,,['La gallega'],,,,,,,,,,,,,,,,,,,,,,,,,,,570g,,,,,,,,,,,,,,,,,,
9,Fuet catalan,8437013611053,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses espagnoles', 'Fouets catalans', 'Fuet Catalan']",['en:gluten-free'],,20 g,en quantité modérée,7.6 g,en quantité élevée,1.3 g,en faible quantité,2.2 g,en quantité élevée,,-31%,-31%,-44%,-42%,-44%,-41%,+17%,-46%,-46%,19,-24%,E,-24%,,,,,,,,,,,,,,,,,,,,
10,Fuet saveur truffe,8437013611060,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fuet foie gras,8437013611114,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,saussion,8437013611930,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Zumo Tampico Citrus Punch,8437013750028,['France'],[],[],?,8,33 kj(8 kcal),"0,01","0,01",2,1,"0,01","0,036","0,014",['Tampico'],['Boissons'],['en:gluten-free'],,0.01 g,en faible quantité,0.01 g,en faible quantité,1 g,en faible quantité,0.036 g,en faible quantité,,-86%,-86%,-97%,-92%,-82%,-89%,-98%,-13%,-13%,3,-61%,C,-61%,,,,,,,,,,,,,,,,,,,,
14,Cuida't - Agrofresc,8437013814751,"['France', 'Espagne']",[],[],?,53,222 kj(53 kcal),0,0,12,"9,5","0,5",0,0,['Agrofresc'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,,+10%,+11%,-100%,-100%,+9%,-9%,+27%,-100%,-100%,5,+12%,C,+12%,D,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
15,Huile de coco,8437013916004,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","85,2",0,0,0,"0,05","0,02",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,99.9 g,en quantité élevée,85.2 g,en quantité élevée,0 g,en faible quantité,0.05 g,en faible quantité,,+5%,+5%,+3%,+1%,-100%,-100%,-100%,+865%,+865%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,,
16,Myrtilles - BerryTouch - 250g,8437014025194,['France'],['Myrtille'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['BerryTouch'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Myrtilles', 'Myrtilles fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,B,250 g,,['Chili'],,,,1,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,,,,
17,Huile d'olives extra vierge a la truffe noire,8437014203165,['France'],[],[],?,895,3745 kj(895 kcal),99,"11,9","0,26",0,"0,18",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,99 g,en quantité élevée,11.9 g,en quantité élevée,0 g,en faible quantité,,,,+4%,+5%,+4%,-15%,,,,,,,,,,D,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,
18,Pâté végétal pistache ail noir,8437014342208,['France'],[],[],?,254,1063 kj(254 kcal),"19,37","2,64","10,5","2,64","9,6","0,24","0,096",,,"['Bio', 'Bio européen', 'ES-ECO-024-MU']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pâté végétal potiron raisins secs,8437014342277,['France'],[],[],?,193,808 kj(193 kcal),"13,09","2,29","10,36","0,86","8,55","1,94","0,776",,,"['Bio', 'Bio européen', 'ES-ECO-024-MU']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Brocolis - Cano - 500g,8437014369069,"['France', 'Allemagne']",[],[],?,34,142 kj(34 kcal),?,0,?,"1,7","2,8","0,033","0,013",['Cano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Brocolis', 'Légumes frais', 'Brocolis frais']",,,,,0 g,en faible quantité,1.7 g,en faible quantité,0.033 g,en faible quantité,,+13%,+15%,,-100%,,+35%,+8%,-45%,-45%,,,,,B,500 g,,,,,,,67.2%,0.0%,0.0%,13.2%,18.9%,0.6%,98,,,,,
21,Laitue Iceberg,8437014369106,['France'],[],[],?,15,63 kj(15 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Polen Bio - Miel&co,8437014473025,['France'],['Pollen'],['Sans huile de palme'],?,320,1339 kj(320 kcal),0,0,"79,3",50,"0,5",0,0,['Miel&co'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Miel De Bruyère - Bona Mel,8437014473131,['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,320,1339 kj(320 kcal),0,0,"79,3",0,"0,5",0,0,['Bona Mel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de bruyère']","['Bio', 'Bio européen', 'ES-ECO-020-CV', 'Agriculture UE']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+11%,+12%,,,+11%,-100%,+87%,,,,,,,B,,,['Union européenne'],,,,2,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
24,Miel de tilleul cru - Bona Mel - 450g,8437014473407,['France'],['Miel de tilleul'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Bona Mel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul', 'Miels crémeux', 'Miels crus']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,B,450 g,"['Verre', 'Bocal', 'métal']",,,,,2,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,Miel de tilleul,,,,
25,Pâte de Coing - PAiARROP - 200g,8437014508550,"['France', 'Espagne']","['Coing ', '52 %', 'sucre', 'agent gélifiant : pectine', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,292,1222 kj(292 kcal),0,0,72,"61,4","0,2",0,0,['PAiARROP'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Pâtes de coings']",,,0 g,en faible quantité,0 g,en faible quantité,61.4 g,en quantité élevée,0 g,en faible quantité,,+8%,+5%,-100%,-100%,+7%,+3%,-45%,-100%,-100%,12,+57%,D,+57%,C,200 g,"['Boite', 'Plastique']",,['Espagne'],,['E440 - Pectines'],4,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,
26,Pâte de figue - Paiarrop - 200g,8437014508567,"['France', 'Espagne']","['Higo ', '51%', 'azúcar', 'gelificante: agar-agar y zumo de limón']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,267,1117 kj(267 kcal),"0,2",0,"63,4","62,7",0,0,0,['Paiarrop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,0.2 g,en faible quantité,0 g,en faible quantité,62.7 g,en quantité élevée,0 g,en faible quantité,,-15%,-15%,-41%,-100%,-17%,-6%,-100%,-100%,-100%,8,-3%,C,-3%,C,200 g,"['Caja', 'Plástico']",,['España'],['RGSEAA: 21.11892/V'],,4,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,Dulce de higo,http://paiarrop.es/,['Carrefour'],,
27,Tarrito de calabaza y calabacín ecológico sin,8437014583076,['France'],[],[],?,36,151 kj(36 kcal),"0,91","0,15","5,8","1,6","0,83","0,01","0,004",,,"['Bio', 'Sans gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Petit Pot De Légumes Et Colin Biologique Smileat 230 GR 8M+,8437014583281,['France'],[],[],?,49,205 kj(49 kcal),"1,8","0,8","5,9","1,3","1,6","0,11","0,044",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Manzana y pera ecológico y sin gluten desde meses bolsita,8437014583762,['France'],[],[],?,62,259 kj(62 kcal),0,0,14,12,"0,7",0,0,,,"['Bio', 'Sans gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Huevos,8437014811032,"['France', 'Espagne']",[],[],?,150,628 kj(150 kcal),"11,1","3,1","0,3","0,3","12,5","0,36","0,144",,"[""Produits d'élevages"", 'Frais', 'Œufs']",,,11.1 g,en quantité modérée,3.1 g,en quantité modérée,0.3 g,en faible quantité,0.36 g,en quantité modérée,,+14%,+13%,+18%,+29%,-56%,-38%,+2%,+37%,+37%,0,,B,,D,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,
31,Canónigos Brotes Tiernos - Diquesí,8437014941876,['France'],['INGREDIENTES: Canónigos'],[],?,22,92 kj(22 kcal),"0,5","0,1","1,9","0,5","2,4","0,02","0,008",['Diquesí'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sauce Barbecue - Natural Zero - 320g,8437015195018,"['France', 'Espagne']","['Eau', ""vinaigre d'alcool"", 'concentré de tomate', 'sel', 'épices', 'épaississant ', 'E-460', 'E-466', 'E-415', 'E-405', 'acide acétique', 'arômes ', 'arôme de fumée', 'colorant ', 'E-150d', 'rehausseur de saveur ', 'E-621', ""l'acidité régulateur "", 'E-262ii', 'conservateur ', 'E-202', ' et édulcorant ', 'E-955']",[],?,24,100 kj(24 kcal),"0,6","0,2","3,7","1,6","0,8","1,7","0,68",['Natural Zero'],"['Epicerie', 'Sauces', 'Sauces barbecue']",['Sans lactose'],['Anhydride sulfureux et sulfites'],0.6 g,en faible quantité,0.2 g,en faible quantité,1.6 g,en faible quantité,1.7 g,en quantité élevée,,-85%,-85%,-37%,+47%,-88%,-94%,-11%,-16%,-16%,7,-52%,C,-52%,B,320g,,,,,"['E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E405 - Alginate de propane-1', 'E260 - Acide acétique', ""E150d - Caramel au sulfite d'ammonium"", 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E262ii - Diacétate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']",4,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,
33,Natural Zero Fresa -  - 300g,8437015195070,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,
34,Natural Zero Yogurt Hierbas,8437015195193,"['France', 'Espagne']",[],[],?,23,96 kj(23 kcal),0,0,"4,6","0,5",0,2,"0,8",['Natural Zero'],"['Epicerie', 'Sauces']",,,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-90%,-90%,-100%,-100%,-54%,-92%,-100%,-17%,-17%,8,-31%,C,-31%,,,,,,,,,,,,,,,,,,,,
35,Pataticas fritas ajo cabañil - Acho,8437015509044,"['France', 'Espagne']",[],[],?,540,2259 kj(540 kcal),33,"3,9","54,7",0,"5,5","1,3","0,52",['Acho'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,33 g,en quantité élevée,3.9 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,,+2%,+2%,+1%,+26%,+6%,-100%,-8%,0%,0%,14,+24%,D,+24%,B,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,
36,Pomme golden 2 fruits -,8437015738925,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,
37,Vinagre de sidra,8437015740065,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Snapea Crisps - harvest snaps,8437015757018,"['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,412,1724 kj(412 kcal),13,"1,1",49,"2,2",18,"0,79","0,316",['harvest snaps'],,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saucisson de Sanglier,8437015800653,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Vinaigre de Grenade bio - Ecovinal SL,8437015910796,['France'],"['Vinaigre de Grenade de bio  ', ' Acidité 5%']",[],?,18,75 kj(18 kcal),"0,1",0,"4,5","0,5","0,1","0,1","0,04",['Ecovinal SL'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Paul and Pippa Crackers 5 & 6 (pebre De Jamaica I Mostassa),8437015921129,['France'],[],[],?,490,2050 kj(490 kcal),23,"6,6",57,"7,7",10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Burrata -,8437016229194,['France'],"['lait pasteurisé', 'crème UHT 48%', 'sel', 'présure microbienne', 'ferments lactiques', ""correcteur d'acidité: acide lactique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,259,1084 kj(259 kcal),23,15,2,"1,8",10,"0,41","0,164",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",,['Lait'],23 g,en quantité élevée,15 g,en quantité élevée,1.8 g,en faible quantité,0.41 g,en quantité modérée,,+5%,+5%,+10%,+12%,+41%,+43%,-17%,-26%,-26%,9,-6%,C,-6%,D,,,,,,['E270 - Acide lactique'],3,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
43,Crema de espárragos tarrina 400 g - Diquesi,8437016312582,"['France', 'Espagne']",[],[],?,475,1987 kj(475 kcal),20,12,65,26,"6,8","0,6","0,24",['Diquesi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mercadona'],,
44,"Zumo ecológico mango passion con mango, maracuyá, - Be Green",8437016390054,"['Belgique', 'France']","[""DE POMME' "", '71,5%', "" PURÉE DE MANGUEO BANANE' "", '10%', ""JUSDE FRUIT DE LA PASSION' 'ISSUS DE L'AGRICULTURE BIOLOGIQUE""]",[],?,60,251 kj(60 kcal),"0,5","0,1",13,12,"0,5","0,01","0,004",['Be Green'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",['Bio'],,0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,,+30%,+31%,+196%,+256%,+23%,+24%,+28%,+1%,+1%,7,+84%,D,+84%,D,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Delhaize'],,
45,Smoothie banane-coco-banane-pomme - BeGreen,8437016390061,['France'],"['Jus de pomme ', '52,8%', ""-Jus d'ananas "", '26,7%', '-Purée de banane ', '15,5%', '-Lait de coco pasteurisé ', '5%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,64,268 kj(64 kcal),1,"0,7",13,11,"0,5","0,01","0,004",['BeGreen'],['Boissons'],['Bio'],,1 g,en faible quantité,0.7 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,+14%,+11%,+188%,+493%,+15%,+17%,+1%,-76%,-76%,7,-9%,D,-9%,,,,,,,,1,,,,,,,,,,,,
46,Drink & Ole,8437016390429,['France'],[],[],?,43,180 kj(43 kcal),"3,2","0,5","2,5","1,4","0,6","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BioChoc Avellana con Aceite de Oliva Virgen Extra Ecológico - BioBética - 200g,8437016495360,"['France', 'Espagne']","['Azúcar morena de caña* aceite oliva virgen extra* ', '17,5%', 'pasta de avellanas* ', '15%', 'cacao en polvo semidesgrasado* ', '7%', 'manteca de cacao lecitina ', 'girasol', ' * Procedente de agricultura ecológica', ' Contiene frutos con cáscara y puede contener trazas de sésamo', 'Mantener fuera del frigorifico', 'en lugar fresco y seco', ' cacahuetes y soja']","['Végétalien', 'Végétarien']",?,526.5,2203 kj(526 kcal),"28,3","3,8",62,"59,4",4,"0,01","0,004",['BioBética'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Peu ou pas de matière grasse', 'Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'Sans huiles végétales', '100% naturel', 'Produit naturel', 'Produit naturel sans huiles végétales', 'Sans matière grasse ajoutée', 'Sans additifs', 'Sans œufs', 'Sans lactose', 'Sans lait']",['Fruits à coque'],28.3 g,en quantité élevée,3.8 g,en quantité modérée,59.4 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-4%,-17%,-51%,+21%,+25%,-41%,-90%,-90%,18,-13%,D,-13%,C,200 g,"['Vidrio', 'Tarro', 'Al vacío']","['Espagne', 'es:Andalucía']","['España', 'Andalucía']",,['E322i - Lécithine'],3,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,Crema de cacao para untar con Aceite de Oliva Virgen Extra Ecológico y Avellana,https://www.biobetica.com/producto/biochoc-crema-cacao-avellanas/,"['Amazon', 'bioBética', 'Veritas', 'Carrefour', 'Aliexpress', 'Herbolarios']",,
48,Chips legumes -,8437017726029,['France'],[],[],?,528,2209 kj(528 kcal),31,"3,9",57,"14,5","4,8","0,7","0,28",,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,31 g,en quantité élevée,3.9 g,en quantité modérée,14.5 g,en quantité élevée,0.7 g,en quantité modérée,,+3%,+3%,+5%,+26%,+5%,+517%,-16%,-47%,-47%,15,+28%,D,+28%,,,,,,,,,,,,,,,,,,,,
49,Aloe vera y tunos infios,8437017962489,['France'],[],[],?,121,506 kj(121 kcal),"0,1",0,30,30,0,0,0,,,"['Bio', 'Bio européen', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Beurre léger 41% tartine et cuisson,8437720550201,['France'],[],[],?,394,1648 kj(394 kcal),41,"25,7","6,1","1,9","0,2","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Acai sorbete,8438001508539,['France'],[],[],?,121,506 kj(121 kcal),"2,5","0,6","24,6","21,9","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PIZZA FAITE A LA MAIN THON ET POIVRONS -,8445566703064,['France'],[],[],?,251,1050 kj(251 kcal),"10,9","5,6","1,7",0,"18,2","1,9","0,76",,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,,10.9 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,+10%,+9%,+30%,+42%,-94%,-100%,+77%,+52%,+52%,16,+106%,D,+106%,,,,,,,,,,,,,,,,,,,,
53,Fanta orange,8446426052179,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,5","6,5",0,"0,01","0,004",['Fanta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pain au seigle,8451493638003,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,
55,Entremet chocolat,8459079096728,['France'],[],[],?,350,1464 kj(350 kcal),"7,6","3,8","6,3","3,6",59,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,creme patissiere et flan patissier - imperial - 800g,8464802228413,['France'],[],[],?,?,,?,,?,,?,,,['Imperial'],,,,,,,,,,,,,,,,,,,,,,,,,,,800g,,,,,,,,,,,,,,,,,,
