,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,additives,allergens,labels,packaging,manufacturing,nova_score,markets,link,palm_ingredients,ingredients_origins,generic_name,traceability_code,brand_owner
0,Pappadum Rote Chili 200 g Lijjat Indien -,8901441013012,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pappadums']",['France'],[],[],0.7 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,3.5 g,en quantité élevée,?,,328,-7%,1372 kj(328 kcal),-7%,"0,7",-90%,"0,5",-45%,"59,02",+29%,0,-100%,"20,9",+16%,"3,5",+14%,"1,4",+14%,14,+22%,D,+22%,,,,,,,,,,,,,,,,,,,,,,,
1,Flocon d'avoine pour poridg - Quaker,8901491103787,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],[],[],9.5 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,9.5 g,en quantité élevée,?,,407,+10%,1703 kj(407 kcal),+10%,"9,5",+34%,2,+60%,"68,5",+15%,0,-100%,"11,8",-4%,"9,5",+30845%,"3,8",+30845%,16,,D,,B,['Quaker'],82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,,,
2,Chocos Duet,8901499008138,,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,"0,8",,"0,3",,"25,2",,9,,"2,5",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oats Mango Strawberry,8901499009494,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"6,6",,0,,80,,32,,"7,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Heinz ""Tomato Ketchup"" 900GM - 900gms",8901542013157,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']","['France', 'Inde']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Heinz'],,,,,,,,900 gms,,,,,,,,,,,,,
5,Ashoka Mixed Pickle 500G,8901552000680,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,222,,929 kj(222 kcal),,20,,"5,5",,"0,5",,0,,"2,1",,"8,8",,"3,52",,,,,,,['Ashoka'],,,,,,,,,,,,,,,,,,,,,
6,Fresh turmeric pickle,8901552000727,,['France'],[],[],,,,,,,,,?,,815,,3410 kj(815 kcal),,"16,4",,"1,5",,"10,6",,"0,5",,"2,1",,"9,1",,"3,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ashoka Garlic Pickle 500G,8901552000741,,['France'],"['Al ', '67%', 'Huile de tournesol', 'sel', 'Poudre de piment', 'Moutarde', 'Acide acétique', 'Fenugrec', 'Poudre de safran des Indes', 'Poudre de coriandre', 'Poudre de cumin', 'Ase fétide']",[],,,,,,,,,?,,254,,1063 kj(254 kcal),,16,,"1,5",,23,,"0,5",,"5,6",,"9,1",,"3,64",,,,,,,['Ashoka'],,,,,,,,,['E260 - Acide acétique'],['Moutarde'],,,,,,,,,,,
8,Ashoka Brinjal Pickle 575G,8901552000833,,['France'],"['Sucre', 'Aubergine 39%', 'Vinaigre de canne à sucre', 'Graines De Moutarde', 'Sel', 'Piment En Poudre', 'Huile De Tournesol', 'Coriandre', 'Fenugrec', 'Poudre de cumin', 'Poudre de curcuma', 'Ase fétide', ' Acide: acide citrique']",[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,['ASHOKA'],,,,,,,,,['E330 - Acide citrique'],['Moutarde'],['Bio'],,,,,,,,,,
9,Lemon Pickle,8901552002592,,['France'],[],[],,,,,,,,,?,,87,,364 kj(87 kcal),,"4,4",,"0,9",,"10,2",,0,,2,,"5,6",,"2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chilli Pickle - Ashoka - 290g,8901552012546,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Poivrons au vinaigre']",['France'],"['Piment vert 66 %', 'huile de tournesol', 'sel', 'graines de moutarde', 'fenugrec', 'piment rouge en poudre', 'curcuma en poudre', 'ase fétide', 'acide : acide acétique']",[],20 g,en quantité modérée,5.4 g,en quantité élevée,0.5 g,en faible quantité,8.5 g,en quantité élevée,860,,?,,860 kj(206 kcal),+227%,20,+1415%,"5,4",+1124%,4,+18%,"< 0,5",-54%,"3,3",+129%,"8,5",+362%,"3,4",+362%,10,+966%,C,+966%,,['Ashoka'],,,,,,,,290 g,['E260 - Acide acétique'],['Moutarde'],,"['Bocal', 'Verre']",['Inde'],3,,,,,,,
11,Mixed pickle - Ashoka,8901552014403,,['France'],[],[],,,,,,,,,?,,218,,912 kj(218 kcal),,"19,8",,"2,7",,"9,7",,0,,2,,"9,3",,"3,72",,,,,,,['Ashoka'],,,,,,,,,,,,,,,,,,,,,
12,Ashoka Aloo Chole,8901552016414,,['France'],"['Pomme de terre ', '26%', 'Eau', 'Pois chiches ', '22%', 'Oignon', 'Huile de tournesol', 'tomate', 'Ail', 'Gingembre', 'Sel', 'Poudre de coriandre', 'Poudre de piment', 'Amidon de maïs', 'Epices', 'Poudre de coriandre', 'Poivre Noir', 'Cumin', 'Anis', 'Cannelle', 'Muscade', 'Graines de Sésame', 'Cardamome', 'Clous de Girofle', 'Feuilles de Laurier', 'Anis Étoilé', 'Cumin', 'Graines de carambole', 'Mace', 'Fleur de Pierre', ' Cumin', 'Poudre de curcuma', 'Poudre de cardamome', 'Feuilles de laurier', 'Poudre de mangue sèche', 'Thé', 'Bicarbonate de sodium']","['Végétalien', 'Végétarien']",,,,,,,,,?,,140,,586 kj(140 kcal),,"5,2",,"0,5",,0,,0,,"2,8",,0,,0,,,,,,,['Ashoka'],,,,,,,,,['E500ii - Carbonate acide de sodium'],['Graines de sésame'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,
13,Indian Mango purée,8901552019316,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,93,,389 kj(93 kcal),,"0,1",,"0,1",,22,,21,,6,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,"['stück', 'stück']",,,,,,,,,
14,Ashoka Matar Paneer (tofu),8901552021364,,['France'],"[""' Eau"", 'Pois Verts', 'Soja Paneer ', 'Tofu ', 'les graines de soja', 'Eau', 'acide citrique', 'Sel', 'Oignon', 'lait de coco', 'Huile De Tournesol', 'Noix De Cajou', ""L'ail"", 'Pâte De Tomates', 'Gingembre', 'Sel', 'Poudre De Piment Rouge', 'Amidon de maïs', 'Piment Vert', 'Cumin', 'Piment Rouge Entier', 'Coriandre', 'Curcuma', 'Feuilles De Fenugrec Séchées']",[],,,,,,,,,?,,125,,523 kj(125 kcal),,8,,"2,2",,"8,4",,0,,"5,4",,"0,8",,"0,32",,,,,,,['Ashoka'],,,,,,,,,['E330 - Acide citrique'],"['Fruits à coque', 'Soja']","['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
15,Paneer (tofu) Makhani - Ashoka,8901552021388,,['France'],[],[],,,,,,,,,?,,86,,360 kj(86 kcal),,"5,6",,"1,8",,"6,2",,"0,5",,"3,6",,"0,7",,"0,28",,,,,,,['Ashoka'],,,,,,,,,,,,,,,,,,,,,
16,Bombay Pav Bhaji - Ashoka,8901552021456,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"3,9",,"0,4",,0,,0,,"2,8",,"5,8",,"2,32",,,,,,,['Ashoka'],,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
17,DUM ALOO - Ashoka - 280g,8901552021463,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,9,,"2,1",,"17,5",,"0,7",,"2,5",,"1,117",,"0,447",,,,,,,['Ashoka'],,,,,,,,280g,,,"['en:gluten-free', 'Sans conservateurs']",['vacuum pack'],['India'],,['Tesco'],,,,,,
18,Ashoka Shahi Navratan Korma (vegan) 280G,8901552021487,,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"10,9",,"3,3",,10,,"1,6",,2,,"0,8",,"0,32",,,,,,,['Ashoka'],,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
19,Chicken chilli masala,8901595972234,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"0,72",,"0,2",,"67,2",,"0,74",,"1,14",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Magix Elaichi,8901719103667,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,"15,6",,"1,1",,76,,"34,5",,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Parle Namkeen ""Moong Dal"" 400GM",8901719106828,,['France'],"['• PARLE BISCUITS PV T LTD NORThLL CROSSING', 'VILE PARLE EAST MANUFACTURED ', 'DJ', ' SNAx LTD', 'KANTIVITA PHANSJDEVA WB - 734434 LIC', ' No', '• 10015031001613 ', '15', '- INDUSTRIEs 7%3 A', 'SEC -E *AIVWER ROAD RREA', 'INDORE', 'MP — 452015 No', ': 10012026000049 & FLAVOURS LTD', 'B -52 SHYAMJ', ' AREA', 'SIKAR', 'm -332404 Lic No', '« 10012013000216 HOUSE PVT LTD', 'NH 06', 'JALA SANKRAIL', '- 711302 • 10014031001136 unrVQ \'""rua DUT']",[],,,,,,,,,?,,493,,2063 kj(493 kcal),,21,,1,,"54,5",,0,,"21,5",,0,,0,,,,,,,['Parle'],,,,,,,,,,,,,,,,,,,,,
22,Hide &seek,8901719404412,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"17,7",,"9,8",,74,,"31,6",,"5,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aashirvaad,8901725121198,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"1,9",,"0,4",,76,,"4,5",,"10,6",,"0,306",,"0,122",,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
24,Farmlite,8901725131128,,['France'],[],[],,,,,,,,,?,,484,,2025 kj(484 kcal),,19,,"9,6",,65,,22,,"10,9",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Mom's magic nut biscotti,8901725136048,,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,"21,8",,11,,"65,8",,"23,2",,8,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Agmark ghee,8901745115009,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,9,,3,,16,,12,,10,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Paratha,8901777404126,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,228,,954 kj(228 kcal),,8,,2,,33,,2,,6,,6,,"2,4",,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
28,Vadilal Hariyali Naan,8901777425749,,['France'],[],[],,,,,,,,,?,,312,,1305 kj(312 kcal),,?,,2,,?,,1,,8,,"1,3",,"0,52",,,,,,,['Vadilal'],,,,,,,,,,,,,,,,,,,,,
29,Paratha Malabar - Vadilal,8901777445129,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,?,,3,,?,,6,,7,,"1,39",,"0,556",,,,,,,['Vadilal'],,,,,,,,,,,,,,,,,,,,,
30,Everest Chicken Masala,8901786165001,,['France'],"['Percent DailyVaIues are based on a 2000 calorie diet', ' Your daity values may be higher or Iower depending on your calorie needs,']",[],,,,,,,,,?,,312,,1305 kj(312 kcal),,"13,12",,"1,71",,"36,66",,"3,61",,"11,85",,"1,79",,"0,716",,,,,,,['Everest'],,,,,,,,,,,,,,,,,,,,,
31,Soya,8901792002680,,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,"0,7",,0,,"28,4",,1,,"53,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Roasted Curry Powder - Suryaa,8901792003359,,['France'],[],[],,,,,,,,,?,,437,,1828 kj(437 kcal),,?,,"2,7",,?,,"1,3",,"16,6",,"0,3",,"0,12",,,,,,,['Suryaa'],,,,,,,,,,,,,,,,,,,,,
33,Roasted curry power,8901792003403,,['France'],[],[],,,,,,,,,?,,22,,92 kj(22 kcal),,17,,"2,7",,54,,"1,3",,"16,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amrutanjan -,8901803001190,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bikaneri sev,8901874104691,,['France'],[],[],,,,,,,,,?,,610,,2552 kj(610 kcal),,"44,12",,"21,1",,"37,75",,"2,8",,"13,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chutney datte tamarin,8901884402206,,['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,0,,0,,70,,55,,"0,5",,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Dabur Real Juice Orange,8901888040183,,['France'],[],[],,,,,,,,,?,,56,,234 kj(56 kcal),,0,,0,,"13,5",,"6,8",,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Biscuit'bo,8901972058353,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,"21,2",,"11,4",,"70,5",,"36,8",,"4,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pirulitos - 300g,8901972066105,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,
40,KESAR MANGO PULP,8902049000022,,['France'],[],[],,,,,,,,,?,,97,,406 kj(97 kcal),,"0,3",,0,,20,,20,,4,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MDH Chutney Podina Masala 100 Gramm,8902167000386,,['France'],"['PRÉPARATION POUR SAUCE À LA MENTHE Ingrédients: Coriandre', 'feuilles de menthe', 'sel', 'mangue déshydratée', ""poudre d'oignon séché"", 'piment jaune', 'graines de grenade', 'poudre de melon brodé séché', 'noix de muscade', ""poivre noir Allergènes : voir/a liste d'ingrédients en gras Mfd"", 'by: Mahashian Di Hatti Pvt', ' Ltd', ' 139', 'UDYOG VIHAR', 'PHASE-l', 'GURGAON-122016 HR', ' ', 'INDIA', ' Visit us : www', 'mdhspices', 'com']",[],,,,,,,,,?,,196,,820 kj(196 kcal),,4,,0,,28,,0,,12,,29,,"11,6",,,,,,,['MDH'],,,,,,,,,,,,,,,,,,,,,
42,pulao masala - mdh - 50g,8902167000584,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Mdh'],,,,,,,,50 g,,,,,,,,,,,,,
43,Bourbon,8902335008985,,['France'],[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,"18,1",,"8,7",,"73,9",,37,,"4,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Soan papdi,8902592000715,,['France'],[],[],,,,,,,,,?,,510,,2134 kj(510 kcal),,"22,5",,"9,94",,"66,4",,"66,4",,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fruit'n'Fibre Muesli - Bagrry's - 1kg,8902710503043,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['France'],"['rolled oats', 'whole wheat flakes', 'strawberry crush', 'broken rolled wheat', 'raisins', 'almonds', 'invert syrup', 'wheat bran', 'oat bran', 'honey', 'beetroot powder']",['Non végétalien'],6.1 g,en quantité modérée,,,9 g,en quantité modérée,0 g,en faible quantité,?,,397,-1%,1661 kj(397 kcal),-1%,"6,1",-30%,,,"76,2",+14%,9,-46%,"9,3",-0%,0,-100%,0,-100%,,,,,C,"[""Bagrry's""]",74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,1 kg,,['Fruits à coque'],,['plastic jar'],['Himachal Pradesh'],4,,http://www.bagrrys.com,,,,,
46,Idhayam Sesame Oil,8904001800220,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,14,,2,,"5,4",,"4,4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Haldirams Bhujia Sev - 1kg,8904004400069,['Snacks'],"['France', 'Inde']",[],[],43.5 g,en quantité élevée,11.5 g,en quantité élevée,0 g,en faible quantité,0.771 g,en quantité modérée,?,,592,+32%,2477 kj(592 kcal),+32%,"43,5",+108%,"11,5",+28%,"37,14",-34%,0,-100%,"12,93",+106%,"0,771",+47%,"0,308",+47%,20,+12%,E,+12%,,"['Haldirams', ""Haldiram's""]",,,,,,,,1 kg,,,,['Plastic'],,,['Ajanta'],,,,,,
48,Bhel puri,8904004401523,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,"28,41",,"12,58",,"42,81",,"8,08",,"8,86",,"0,671",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Gulab Jamun - Haldiram's,8904004405910,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"12,36",,"5,9",,"68,1",,"52,01",,"6,58",,,,,,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
50,Haldiram Chips Panchrattan - Haldiram's,8904063200044,,['France'],[],[],,,,,,,,,?,,556,,2326 kj(556 kcal),,40,,"8,5",,40,,"5,7",,9,,"1,14",,"0,456",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
51,Haldirams Masala Moong Dal 200G,8904063200143,,['France'],[],[],,,,,,,,,?,,464,,1941 kj(464 kcal),,20,,3,,51,,0,,20,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hara Chiwda - Haldiram's,8904063200150,,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,"36,1",,"8,6",,"45,7",,13,,"11,4",,"1,3",,"0,52",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
53,Navrattan 200G (snack Scharf) TRS - Haldiram's,8904063200204,,['France'],[],[],,,,,,,,,?,,519,,2171 kj(519 kcal),,31,,10,,40,,0,,20,,"1,3",,"0,52",,,,,,,"[""Haldiram's""]",,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,
54,Haldirams Bombay Mix 200G - Haldiram’s,8904063200365,,['France'],"['Mélange apéritif épicé à base de pois chiches cassés etde cacahuètes l:arédients : Pois chiche cassé décortiqué ', '33%', ' cacahuète', '19%', 'huile végétale ', 'graine de coton', 'maïs', 'oleine de palme', ' ', 'en protr jable', 'farine de pois chiche ', '17%', 'petit pois ', '8%', 'sel', ""m ange d'épices "", '2%', ' ', 'piment rouge en poudre', 'poudre de mangue,ase fétide', ' Attention : Ce produit contient des arachides', ' Ce dans une usine qui traite du blé', 'des produits laitiers,e coque', ' A conserver dans un endroit frais et sec', ' Une fois ouvert', 'conservez le dans un récipient La photo sur le devant du paquet est une suggestion de/']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,568,,2377 kj(568 kcal),,40,,9,,32,,0,,20,,"1,4",,"0,56",,,,,,,['Haldiram’s'],,,,,,,,,,"['Lait', 'Arachides']",,,,,,,['Oléïne de palme'],,,,
55,Haldiram's Murukku - 200 GM,8904063200419,,['France'],"['Farine de riz ', '33%', 'farine de huile végétale ', 'oleinede de lentilles ', '5%', 'farine de pois chiche ', '2%', 'sel', 'sésame ', '0,5%', 'cumin ', '0,5%', ' Attention: Ce produit contient du blé et des graines de sésame', ' Ce produit a été emballé dans une usine traitant des fruits à coques', 'des graines de moutarde et des produits laitiers', "" Produit de l'Inde I A conserver dans un endroit frais et sec"", ' I Garder a llabri de la lumière', ' Une fois ouvert', 'le dans un récipient hermétique', ' Bastoni di farina di riso INGREDIENTI: Farina di riso ', '33%', 'Farina di grano ', '20%', '} 0110 vegetale ', 'Palma', 'Farina di legurno grarnrno nero ', '5%', 'Farina di legume \\ Sesame seme']",['Non végétalien'],,,,,,,,,?,,560,,2343 kj(560 kcal),,40,,9,,40,,0,,10,,"1,9",,"0,76",,,,,,,['Haldiram s'],,,,,,,,,,"['Gluten', 'Lait', 'Moutarde', 'Graines de sésame']",,,,,,,,,,,
56,Madrasi Mixture 200G (pikanter Snack) Haldirams,8904063200624,,['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,"20,7",,"7,5",,"52,1",,"2,9",,"13,9",,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Moong dal - Haldiram's,8904063200969,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,"15,4",,"4,9",,"53,2",,"2,2",,"22,8",,3,,"1,2",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
58,Haldiram Rasgulla,8904063210029,,['France'],"['Sugar', 'Water', 'Cottage Cheese Solids', 'Milk ', ' ', '4%', 'vegetable Oil ', 'soyabean', ' Flour', 'Rose Water']",['Non végétalien'],,,,,,,,,?,,242,,1013 kj(242 kcal),,2,,1,,50,,44,,6,,0,,0,,,,,,,['Haldiram'],,,,,,,,,,['Lait'],,,,,,,,,,,
59,Lentilles corail épicées en sauce,8904063232250,,['France'],[],[],,,,,,,,,?,,130,,544 kj(130 kcal),,"7,1",,"1,4",,"12,2",,0,,"4,3",,"1,15",,"0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Haldirams Minute Khana Aloo Mutter 300G - 300g,8904063233257,,"['Australie', 'France']",[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,11,,7,,8,,0,,2,,"1,1",,"0,44",,,,,,,['Haldirams'],,,,,,,,300 g,,,,,,,,,,,,,
61,Minute Khana Dilli Style Choley - Haldiram's - 300g,8904063236258,,['France'],"['Pois chicbos cn sauce Inotbdicnts: Eau', 'ctiict', 'o ', 'IGS', 'tornato ', '1570', 'da raffinée', 'atèle piment Vorte méjanag ', '140079', ' ', 'cardamomg ', '02%', ' ', '02%', 'macla ', '0', '2%', 'cumin ', '02%', 'coriandre ', '02%', ' crc', 'u do ', '02*4', 'curry ', '02%', 'se}', ' yac,urt ', 'tait', 'coriandro', 'piment rouoo cn poudre', ' curcuma cn poudre', 'feu2e% de fer*GfJrec', ' de jaunet', ' Attontion: Co produit conttcnt dea produits Ce produit a ete etnba', '""-e dans une usine traitant des aracj1jdotJ$ dog truit5 a coques', ' des orainc% do st:samo', ' des de rrÌ$Attarde', ""des ct du Produit do l'Indo Contit'tvnr 10 form/f dana un ttndfOit trai-"", 'et']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,209,,874 kj(209 kcal),,"12,7",,1,,"18,3",,0,,"5,3",,"1,3",,"0,52",,,,,,,"[""Haldiram's""]",,,,,,,,300 g,,,"['Kascher', 'CRc Pareve']",,,,,,,,,,
62,Pao bhaji - Haldiram's,8904063239259,,['France'],[],[],,,,,,,,,?,,146,,611 kj(146 kcal),,"10,3",,4,,"10,6",,0,,"2,8",,"1,46",,"0,584",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
63,Kaju Kalti - Haldiram's,8904063252340,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,23,,23,,53,,53,,10,,6,,"2,4",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
64,Cookie heaven kaju pista - Haldiram's,8904063260253,,['France'],[],[],,,,,,,,,?,,468,,1958 kj(468 kcal),,21,,0,,63,,21,,7,,"0,286",,"0,114",,,,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,
65,Sona Masuri Rice - Kalyani - 5Kg,8904064622517,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']","['France', 'Inde']",['Rice'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,['Kalyani'],79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,5 Kg,,,,['Plastique'],,,,,,['Inde'],,,
66,Pickle Citron,8904064622906,,['France'],[],[],,,,,,,,,?,,149,,623 kj(149 kcal),,"11,2",,"0,01",,"10,4",,"1,6",,"1,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kodo Millet «Millet Indigène» - Nandhi,8904064625891,,['France'],['Little Millet'],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"2,2",,0,,86,,0,,"12,5",,0,,0,,,,,,,['Nandhi'],,,,,,,,,,,,,,,,,,,,,
68,Murukku - UDAYA,8904064640122,,['France'],"['Farine deffé', 'sésame', 'sel', 'cumin', 'iërtitiEi Zutaten: Weizenmehl', 'Sesam', 'Selz', 'kümmelt Pfeffet', 'rote', 'Ïiù}linkenmeit! Ingredienti: farina di grano', 'di sesamot salet cumino\\ïëi$peperonctni li Ingredienser : Yetemiôl', 'sesam', 'solt', 'spisKummifl,ïëìïîtrrid chili} Ingrediënten : torwebloem', 'sesome', 'lout']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['UDAYA'],,,,,,,,,,['Graines de sésame'],,,,,,,,,,,
69,Khakhra roasted wheat crisps -,8904067700762,,"['France', 'Inde']",[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,21,,9,,65,,3,,10,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Soya sticks magic masala,8904067708836,,['France'],[],[],,,,,,,,,?,,550,,2301 kj(550 kcal),,33,,13,,51,,6,,12,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Banana chips - Jabsons,8904067709529,,['France'],[],[],,,,,,,,,?,,580,,2427 kj(580 kcal),,"40,5",,"18,3",,0,,0,,"8,7",,2,,"0,8",,,,,,,['Jabsons'],,,,,,,,,,,,,,,,,,,,,
72,CRISPY ET TASTY BUTTERFLY - JAYACO,8904073701043,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['JAYACO'],,,,,,,,,,,,,,,,,,,,,
