,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,additives,allergens,labels,packaging,manufacturing,nova_score,markets,link,palm_ingredients,ingredients_origins,generic_name,traceability_code,brand_owner
1748,Munchy's Oat Krunch Dark Chocolate Crackers 8 Packs 208G,9556439885165,,['France'],[],[],,,,,,,,,?,,470,,1966 kj(470 kcal),,19,,10,,70,,26,,8,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Oat krunch chunky hazelnut,9556439885189,,['France'],[],[],,,,,,,,,?,,486,,2033 kj(486 kcal),,"22,9",,8,,"64,6",,"16,1",,"8,8",,"0,158",,"0,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Oat krunch - Munchy’s,9556439887497,,['France'],"['Farine de Blé', ""Flocon d'avoine"", 'Chip» Chocolat', 'Sucre', 'Huile Végétale ', 'Huile de Palme', 'Sirop De Glucose', 'Poudre de Cacao', 'Calcium Carbonate', 'Poudre à Lever ', 'Bicarbonate de Sodium ', 'E500 ', 'ii', ""Bicarbonate D'ammoniuril "", 'F', ' 503 ', 'il', ' Diphosphate DisodiQue ', 'E450 ', 'i', 'l', 'Émulsifiant -Lécithine ', '8322', ' Sel', ' Noisettes et Arôme']",['Huile de palme'],,,,,,,,,?,,470,,1966 kj(470 kcal),,19,,10,,70,,26,,8,,0,,0,,,,,,,['Munchy’s'],,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322i - Lécithine']","['Gluten', 'Fruits à coque']",,,,4,,,['Huile de palme'],,,,
1751,Oat krunch,9556439887503,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,"20,1",,8,,"67,3",,"18,3",,"8,5",,"1,85",,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Glinter Soft Drink Orange - Ginter - 350ml,9556474123642,"['Boissons', 'Boissons édulcorées', 'Boissons sans sucre ajouté']","['Belgique', 'France']","['Eau pétillante', 'acidifiant : E332', 'E330', 'E296', 'sorbate de potassium : E202', 'édulcorants : aspartame', 'acésulfame-K']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,"95,45",+145%,?,,"95,45 kj(23 kcal)",+62%,0,-100%,0,-100%,6,+123%,0,-100%,0,-100%,0,-100%,0,-100%,4,-7%,C,-7%,,['Ginter'],,,,,,,,350 ml,"['E332 - Citrates de potassium', 'E330 - Acide citrique', 'E296 - Acide malique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K']",,"['Végétarien', 'Halal']","['Cannette', 'Plastique']",,4,,,,,Boisson rafraîchissante aromatisé à l'orange,,
1753,Sotong - Te  - 425g,9556505198885,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Te'],,,,,,,,425g,,,,,,,,,,,,,
1754,"100 Plus Original - 1,5L",9556570312131,"['Boissons', 'Boissons avec sucre ajouté', 'en:Boissons isotoniques']","['France', 'Malaisie']","['Eau gazéifiée', 'saccharose', 'glucose', 'citrate de sodium', 'chlorure de sodium', 'phosphate de potassium', 'phosphate de calcium', "" Contient un régulateur d'acidité "", 'acide citrique', "" comme conditionneur d'aliments autorisé"", 'arôme autorisé et substance de préservation']",[],0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0 g,en faible quantité,?,,24,-72%,100 kj(24 kcal),-73%,0,-100%,0,-100%,6,-70%,6,-67%,0,-100%,0,-100%,0,-100%,8,-33%,D,-33%,,"['100 Plus', 'F&N']",,,,,,,,"1,5 L",['E331 - Citrates de sodium'],,,"['Bouteille', 'Plastique']",,4,,,,,Boisson isotonique,,
1755,Mini Paratha - Kawan - 210g,9556587103869,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pains', 'Entrées et snacks surgelés', 'Pains précuits']",['France'],"['Farine de blé ', '52%', 'eau', 'huile de palme', 'sucre', 'sel', 'agent levant ', 'E500']","['Huile de palme', 'Végétalien', 'Végétarien']",15 g,en quantité modérée,9 g,en quantité élevée,5.1 g,en quantité modérée,0.9 g,en quantité modérée,1309,+21%,?,,1309 kj(313 kcal),+22%,15,+507%,9,+1513%,"41,4",-14%,"5,1",+70%,6,-22%,"0,9",-27%,"0,36",-27%,10,+357%,C,+357%,,['Kawan'],,,,,,,,210 g,['E500 - Carbonates de sodium'],['Gluten'],['Sans conservateurs'],"['Carton', 'surgelé']",['Malaisie'],3,['Picard'],,['Huile de palme'],,Pain indien feuilleté précuit surgelé,,
1756,Pop Pop Sweet Corn Flavour - CV,9556793500025,,['France'],"['Ingedients: Blé', 'Huile Végetalé', 'Maïs Sucré Assaisonnement [Contient Sucre', 'La Poudre de Lactosérum', 'Maltodexfrine', 'Sel', 'Permis Exhausteur De Goût ', 'Glutamate Monosodique', 'Le Mais Sucré', 'Du Dioxyde De Silicium]']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,500,,2092 kj(500 kcal),,"22,1",,0,,"65,4",,"34,4",,10,,"0,2",,"0,08",,,,,,,['CV'],,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,,4,,,,,,,
1757,Cheese flavoured snack,9556860233665,,['France'],[],[],,,,,,,,,?,,536,,2243 kj(536 kcal),,"28,6",,"0,5",,3,,1,,"5,4",,"64,3",,"25,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
