,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,ingredients_origins,link,palm_ingredients,producer_info,origin_detail,brand_owner
472,Riz cantonais - Thiriet - 600g,3292590879037,C,,600 g,['Sachet'],['Thiriet'],"['Plats préparés', 'Céréales préparées', 'Riz préparés', 'Riz cantonais']",,,['Thiriet'],['France'],"['riz blanc cuit 592% ', 'eau', 'riz', 'sel', 'petit pois 10%', 'omelette 7% ', 'œuf entier', 'lait écrémé reconstitué', 'huile de colza', 'farine de maïs', 'sel', 'jus de citron cuitsupérieur6% ', 'jambon de porc ', 'origine France', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'conservateurs : ascorbate de sodium - itrite de sodium', 'carotte 5,5%', 'oignon 4,1 %', 'huile de tournesol', 'arômes et arôme de limée ', 'dont gluten', 'lait et céleri', 'ail', 'assaisonnement 0,2% ', 'eau', 'oignon', 'sauce soja ', 'éau', 'soja', 'blé', 'sel', 'sel', 'tomate concentrée', 'sucre', 'amidon transformé', 'ail', 'épices', ""viriaigre d'alcool blanc"", 'huile de sésame', 'épices 0,08%', 'sel', ' n movennes']","['Céleri', 'Gluten', 'Lait', 'Soja']","['Non végétalien', 'Non végétarien']",4,3.6 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en faible quantité,1.16 g,en quantité modérée,?,,117,-25%,490 kj(117 kcal),-25%,"3,6",-10%,"0,6",-12%,"16,3",-31%,"0,9",-29%,"4,1",-22%,"1,16",+19%,"0,464",+19%,3,+31%,C,+31%,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,,"['E301 - Ascorbate de sodium', 'E14XX - Amidons modifiés']",,,,,,
473,Gratin de poireaux au saumon - thiriet - 350g,3292590879532,B,,350g,['1 personne'],['Thiriet'],"['Surgelés', 'Plats préparés', 'Gratins', 'Plats préparés au poisson', 'Gratins de légumes']",,,['Thiriet'],['France'],[],,[],,7.7 g,en quantité modérée,3.4 g,en quantité modérée,2.5 g,en faible quantité,0.5 g,en quantité modérée,?,,127,+17%,531 kj(127 kcal),+17%,"7,7",+13%,"3,4",-2%,5,-16%,"2,5",-14%,"8,6",+121%,"0,5",-19%,"0,2",-19%,1,-62%,B,-62%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,,,,,,,,
474,Thiriet,3292590882525,,,,,['Thiriet'],,,,['Thiriet'],['France'],"['Sauce béchamel 21,1% ', 'eau', 'lait entier en poudre', 'farine de blé', 'amidon transformé', 'sel', 'muscade', 'arôme naturel de poivre', 'eau', 'saumon 15% ', 'soit 23,4% de la garniture', 'épinards 15%', 'pâtes précuites 12% ', 'semoule de blé dur', 'eau', ""poudre d'oeuf"", 'sel', 'crème fraîche', 'échalote', 'emmental', 'beurre', 'vin blanc', 'amidon transformé', 'lait entier en poudre', 'farine de blé', 'sel', 'jus de citron concentré', 'arôme naturel ', 'dont poisson', 'ail', 'épices', ' Présence éventuelle de crustacés', 'soja', 'fruits à coque', 'céleri', 'moutarde', 'sésame', 'mollusques et lupin']","['Céleri', 'Poisson', 'Gluten', 'Lupin', 'Lait', 'Mollusques', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,118,,494 kj(118 kcal),,5,,"2,8",,12,,"2,1",,"6,1",,"0,6",,"0,24",,,,,,,,,,,,,,['E14XX - Amidons modifiés'],,,,,,
475,ANCHOIS COLLIOURE - Roque - 150g,3296940210013,B,Filets d'anchois à l'huile de tournesol,150 g,,['Roque'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",['France'],"['FR 66.053.021 CE', 'Collioure (Pyrénées-Orientales, France)']",,['France'],"[""filets d'anchois "", 'anchois', 'sel', 'huile de tournesol']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,5.4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,15.3 g,en quantité élevée,?,,141,-31%,590 kj(141 kcal),-32%,"5,4",-57%,1,-59%,0,-100%,0,-100%,23,+11%,"15,3",+125%,"6,12",+125%,11,-12%,D,-12%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,['Fabriqué en France'],,,https://www.anchois-roque.com/,,,,
476,Lentilles - Royal Bourbon - 400g,3297386000442,A,Lentilles,400 g,['Conserve'],['Royal Bourbon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Lentilles en conserve']","['Réunion', 'France']",,['Score'],"['France', 'La Réunion']","['Lentilles', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.14 g,en faible quantité,0.02 g,en faible quantité,0.68 g,en faible quantité,0.8 g,en quantité modérée,?,,43.5,-49%,182 kj(43 kcal),-49%,"0,14",-83%,"0,02",-91%,"7,55",-34%,"0,68",+8%,"3,38",-44%,"0,8",+14%,"0,32",+14%,1,,B,,18.0%,39.2%,18.8%,10.4%,5.3%,8.4%,93,,,"['France', 'La Réunion']",,,,,
477,Lait Demi écrémé - Jumbo,3297560337500,D,,,,['Jumbo'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,,,"['France', 'La Réunion']",[],,[],,1.55 g,en faible quantité,0.8 g,en faible quantité,4.6 g,en faible quantité,0.11 g,en faible quantité,?,,45,-4%,188 kj(45 kcal),-5%,"1,55",-8%,"0,8",-22%,"4,6",-4%,"4,6",-4%,"3,1",-4%,"0,11",-1%,"0,044",-1%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
478,Pruneaux d' Agen - 500g,3297680161023,E,,500 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,,"['France', 'Suisse']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,35 g,en quantité élevée,0 g,en faible quantité,1019,-0%,241,0%,1019 kj(241 kcal),+1%,0,-100%,0,-100%,54,+1%,35,-4%,2,+7%,0,-100%,0,-100%,-1,-146%,A,-146%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,
479,Charles & Alice pomme poire 4x100g promo - Charles et Alice - 400g,3297760019060,,,400 g,,['Charles et Alice'],,,,,['France'],[],,[],,,,,,,,,,?,,58,,243 kj(58 kcal),,"0,5",,"0,1",,13,,11,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
480,Ketchup sélection Bio - Alélor,3299160000402,B,,,,['Alélor'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,['E. Leclerc'],['France'],"['Ingédients : tomates* ', '75%', 'sucre de canne*', ""vinaigre d'alcool*"", 'sel marin', 'gélifiant : pectine', 'clous de girofle*', 'piment*', "" *Ingrédients issus de l'agriculture biologique""]",,[],4,0.6 g,en faible quantité,0.1 g,en faible quantité,15 g,en quantité élevée,2.4 g,en quantité élevée,?,,106,0%,444 kj(106 kcal),+1%,"0,6",+146%,"0,1",+57%,"22,1",-3%,15,-23%,"2,8",+115%,"2,4",+21%,"0,96",+21%,12,-1%,D,-1%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['Bio'],['E440 - Pectines'],,,,,,
481,Confiture Extra Cerises noires - Beyer - 370g,3299341153019,D,Confiture Extra Cerises noires,370 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Beyer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,['Super U'],['France'],"['Cerises Noires', 'Sucre', 'Jus de Citrons concentré', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0.02 g,en faible quantité,?,,246,+11%,1029 kj(246 kcal),+11%,"0,5",+105%,0,-100%,60,+11%,60,+16%,"0,6",-6%,"0,02",-24%,"0,008",-24%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,['Point Vert'],['E440 - Pectines'],,,,,,
