,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,ingredients_origins,link,palm_ingredients,producer_info,origin_detail,brand_owner
0,Bleu (31% MG) - Netto - 250g,3250390919674,C,Fromage à pâte persillée au lait et à la crème pasteurisés,250 g,['Carton'],['Netto'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages pasteurisés']",['France'],"['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)']",['Netto'],['France'],"['Lait pasteurisé ', '92%', 'crème pasteurisée ', '4%', 'ferments ', 'dont lait', 'sel', 'présure animale', 'Penicillium roqueforti']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,31 g,en quantité élevée,22 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,?,,351,-0%,1469 kj(351 kcal),-0%,31,+3%,22,+5%,1,+40%,1,+408%,17,-12%,"1,8",-30%,"0,72",-30%,16,-10%,D,-10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1,Confiture de Fraises Allégée - Netto,3250391073511,D,,,,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confiture de fruits allégée en sucres', 'Confitures de fraises']",,,['Netto'],['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,38.8 g,en quantité élevée,0 g,en faible quantité,?,,164,+1%,686 kj(164 kcal),+0%,"0,5",+109%,"0,1",+125%,"39,5",+1%,"38,8",+3%,"0,5",-2%,0,-100%,0,-100%,5,-24%,C,-24%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,,,,,,
2,Sucre en Morceaux n°4 - Netto - 1kg,3250391098309,A,,1 kg,['Carton'],['Netto'],"['Édulcorants', 'Sucres', 'Sucres en morceaux']",['France'],,['Netto'],['France'],['Sucre en morceaux calibre n°4'],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,100 g,en quantité élevée,0.01 g,en faible quantité,?,,400,0%,1674 kj(400 kcal),-0%,"0,5",,"0,1",+6893%,100,+0%,100,+0%,"0,5",+4850%,"0,01",+5998%,"0,004",+5998%,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,"['Point Vert', 'Fabriqué en France']",,,,,,,
3,Bouillon De Poule Netto,3250391110476,,,,,['Netto'],,,,['Netto'],['France'],"['sel', 'exhausteur de goût : glutamate kxhe ', 'lait', 'amichn rrxiis', 'extraits leare', 'huile de tournesol', 'arômes ', 'chnt céleri', 'volaille en pudre ', '2,290', 'oignon tomate ', '0,26', 'pireaux carotte chou ', '0,03%', 'épices et aromates ', 'f"" ', '0,1 1 9é', 't cvrcvrm', 'blarx', 'dCU de girofle ctnoc4e', 'colcytnt : ri,?ire', 'mgoxicknt : extraits romarin', "" Traces é,'enfuelles de blé"", 'oeufs', 'soia', 'poissons et crustacés', ' INFORMATIONS :']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,224,,937 kj(224 kcal),,"5,6",,"0,8",,29,,"15,3",,"14,2",,"45,475",,"18,19",,,,,,,,,,,,,['en:palm-oil-free'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin']",,,,,,
4,Blanquette de Veau et son riz - Netto - 300g,3250391113644,E,Blanquette de veau et riz,300 g,"['Barquette', 'Film plastique', 'Etui carton', 'Atmosphère protectrice']",['Netto'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Plats au veau', 'Blanquettes de veau', 'Plats préparés à réchauffer au bain-marie']",['COVI SAS - 79300 BRESSUIRE'],"['FR 44.190.005 CE', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)', 'EMB 44190F', 'Saint-Sébastien-sur-Loire (Loire-Atlantique, France)']",['Netto'],['France'],"['Riz précuit 40% ', 'eau', 'riz', 'huile de colza', 'viande de veau traitée en salaison 29% ', 'viande veau 77% ', '% exprimé par rapport à la viande de veau traitée en salaison', 'eau', 'amidon modifié de maïs', ' stabilisants : E451i', 'E407a et E410', ' fibre de blé', 'sel', 'eau', 'champignons 5%', 'crème 3,5% ', 'crème ', 'dont lait', 'stabilisant : E407]', 'carottes 3,5%', 'huile de colza', 'vin blanc', 'farine de blé', 'amidon modifié de maïs', 'arôme ', 'contient blé', 'orge', 'céleri', 'sel', 'stabilisants : E415 et E412', 'poivre']","['Céleri', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,0.69 g,en quantité modérée,533,+19%,127,+11%,533 kj(127 kcal),+12%,"4,5",-8%,"1,4",-39%,"13,6",+82%,"0,6",-38%,"7,4",-9%,"0,69",-8%,"0,276",-8%,1,-15%,B,-15%,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,['Info-Tri Point Vert'],"['E14XX - Amidons modifiés', 'E451i - TPP', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",,,,,,
5,Look Soda Agrumes Pet,3250391124299,,,,,['Look'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,,['France'],"['Eau de source St Benoît gazéifiée ', '92%', 'sucre', ""jus d'agrumes à base de concentrés 2% "", 'orange', 'citron et pamplemousse', ""arôme naturel d'agrumes avec autres arômes naturels"", 'acidifiant : acide citrique', 'stabilisant : E445', 'antioxydant : acide ascorbique', 'colorant : E142']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,?,,18,-59%,75 kj(18 kcal),-62%,"0,5",+49%,"0,1",+5%,"4,4",-49%,"4,4",-35%,"0,5",+0%,0,-100%,0,-100%,6,+9%,D,+9%,,,,,,,,,"['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', 'E300 - Acide ascorbique', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition']",,,,,,
6,Champignons de paris emincés 1er choix - Netto - 400g,3250391124688,A,,400 g,"['Conserve', 'Conserve']",['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve', 'Champignons de Paris émincés en conserve']",['France'],,['Netto'],['France'],"['Champignons de Paris', 'eau', 'sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.69 g,en quantité modérée,91,+15%,20,0%,91 kj(20 kcal),+11%,"< 0,5",+71%,"< 0,1",+87%,"< 0,5",-39%,"0,2",-42%,"2,3",+0%,"0,69",+12%,"0,276",+12%,-5,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,
7,Paquito - Solaya,3250391131105,,,,,['Solaya'],,,,,['France'],['de sucres en moins por rapport à one compote *Menos de oçücores reiGtivamente especio!idc!'],,[],,,,,,,,,,?,,65,,272 kj(65 kcal),,"0,5",,"0,1",,15,,14,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,
8,Dattes entières Deglet Nour - Netto,3250391151158,C,,,,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",,,['Netto'],['France'],"['Dattes 93%', 'eau 5%', 'sirop de glucose-fructose', 'conservateur : sorbate de potassium', ' CONSEILS ET INFORMATIONS :']",,[],4,0.5 g,en faible quantité,0.3 g,en faible quantité,65 g,en quantité élevée,0.05 g,en faible quantité,?,,308,+5%,1289 kj(308 kcal),+5%,"0,5",+56%,"0,3",+335%,70,+4%,65,+13%,"2,3",+0%,"0,05",+95%,"0,02",+95%,7,+65%,C,+65%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
9,Potage St-eloi Légumes / Emmental - Saint Eloi - 1000g,3250391187393,,,1000 g,,['Saint Eloi'],,,,['Intermarché'],['France'],"['Eau', 'légumes 44,8 % ', 'pommes de terre 13 %', 'carottes 13 %', 'oignons réhydratés 5 %', 'céleri - rave', 'choux-fleurs 3,5 %', 'navets', 'poireaux 2,5 %', 'haricots verts', 'emmental* fondu 3 % ', 'emmental* 50 %,eau', 'poudre de lactosérum*', 'sels de fonte ', 'E331', '  beurre*', 'arôme naturel fromage', 'sel de cuisine', 'amidon modifié de maïs', 'sel', 'persil 0,2 %', 'arôme naturel ', 'dont céleri ', 'extrait de levure', 'arôme*  * dont _ lait']","['Céleri', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,31,,130 kj(31 kcal),,"0,7",,"0,4",,"4,6",,"1,6",,1,,"0,65",,"0,26",,,,,,,,,,,,,['Sans colorants'],"['E331 - Citrates de sodium', 'E14XX - Amidons modifiés']",,,,,,
10,Taboulé au poulet - Netto - 300g,3250391204779,B,,300 g,"['Frais', 'Plastique']",['Netto'],"['Plats préparés', 'Réfrigérés', 'Plats préparés réfrigérés', 'Taboulés', 'Taboulés au poulet']",['France'],"['EMB 38449A', 'Saint-Quentin-Fallavier (Isère, France)']",['Netto'],['France'],"['semoule de blé  dur 25% ', 'UE/non UE', 'eau', 'légumes 22% ', 'UE/non UE', ' ', 'poivrons rouges', 'poivrons verts', 'tomates', 'oignons', 'poulet cuit assaisonné 10% ', 'viande de poulet 9,4% ', 'France', 'eau', 'sel', 'poivre', 'jus de citron à base de concentré 5,8% ', 'UE/non UE', 'maïs', ""huile d'olive vierge extra"", 'huile de colza', 'arôme', 'sel', 'ciboulette', 'conservateur : sorbate de potassium', 'paprika', 'cumin', 'ail', 'poivre', ' Pourcentages exprimés sur le poids net total']","['Gluten', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,5.3 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en faible quantité,0.82 g,en quantité modérée,653,-5%,?,,653 kj(156 kcal),-9%,"5,3",-24%,"0,9",+18%,"20,3",+2%,"1,7",-29%,"5,6",-7%,"0,82",-17%,"0,328",-17%,-1,-169%,A,-169%,74.3%,9.4%,6.2%,6.2%,3.1%,0.8%,78,"['Viande-francaise', 'Fabriqué en France', 'Poulet Français']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['France', 'Union européenne', 'Hors Union Européenne']",,,,,
11,Infusion fruits du verger - Cotterley - 40g (25x 1.6g),3250391227921,A,Préparation pour infusion aromatisée aux fruits,40 g (25 x 1.6 g),"['Carton', 'Sachet']","['Cotterley', 'Intermarché']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons sans sucre ajouté']",['Allemagne'],,['Intermarché'],['France'],"['Pommes 51 %', 'églantier', ""écorces d'orange"", 'cannelle 4%', 'poire 3%', 'réglisse 3%', 'arôme naturel', 'abricot 2%', 'pêche 2%']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Fabriqué en Allemagne'],,,,,,,
12,Crème de Marrons Vanillée - Netto - 350g,3250391285556,C,,350 g,"['Conserve', 'Bocal', 'Verre']",['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",['19210 LUBERSAC ZI du Verdier'],['FABRIQUANT VALADE'],['Netto'],['France'],"['https://static', 'openfoodfacts', 'org/images/products/325/039/128/5556/4', '100', 'jpg']",,[],,0.6 g,en faible quantité,0.1 g,en faible quantité,54.5 g,en quantité élevée,0.01 g,en faible quantité,1105,+5%,260,+4%,1105 kj(260 kcal),+5%,"0,6",-20%,"0,1",-31%,"61,4",+2%,"54,5",+9%,"1,2",+9%,"0,01",-47%,"0,004",-47%,13,+13%,D,+13%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,,
13,PaëllaPoulet & fruits de mer - Monique Ranou - 1000g,3250391290185,B,,1000 g,['Carton'],['Monique Ranou'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Paëllas']",['Laille département 35'],['35-139A'],['Intermarché'],['France'],"['Viande de poulet rôtie 24,3% [viande de poulet ', 'origine : France', ' 23%', 'eau', 'sirop de sucre caramélisé]', 'eau', 'riz blanc 17,5%', 'moules 8,4% ', ' mollusques ', 'calamars 5,3% ', ' mollusques ', 'chorizo 4,8% [maigre de porc ', 'origine : UE', 'gras de porc', 'piment', 'sel', 'lactose ', 'dextrose', 'épices', ""extraits d'épices"", 'ferments', 'conservateurs : ascorbate de sodium', 'nitrite de sodium]', 'poivrons rouges 4%', 'crevettes 2,8% ', ' crustacés ', 'petits pois 2,6%', 'mélange aromatique ', 'maltodextrine', 'arômes naturels', 'épices et plantes aromatiques', 'sel', 'saccharose', 'extrait de crustacé ', 'oignons préfrits ', 'oignons', 'huile de tournesol', ""huile d'olive vierge extra"", 'sel', 'paprika 0,1%', 'curcuma 0,1%', 'gélifiant : carraghénanes', 'épaississant : gomme xanthane', 'piment', ' Pourcentages exprimés sur le poids net total']","['Crustacés', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,7.2 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,0.82 g,en quantité modérée,704,+19%,?,,704 kj(168 kcal),+20%,"7,2",+54%,"2,1",+98%,"16,9",+4%,0,-100%,"8,3",+15%,"0,82",-10%,"0,328",-10%,1,+9%,B,+9%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,"['Viande Française', 'Sans colorants', 'Nutriscore', 'Nutriscore B', 'Poulet Français']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['France'],,,,,
14,8 mini samossas (4 bœuf et 4 poulet) - Itinéraire des Saveurs - 200g,3250391292585,E,Assortiment de 4 galettes de blé garnies d'une farce au boeuf et 4 galettes de blé garnies d'une farce au poulet,200 g,"['Barquette', 'Plastique', 'Frais']",['Itinéraire des Saveurs'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet', 'Plats préparés réfrigérés', 'Samoussas']",['France'],"['FR 69.243.004 CE', 'Tarare (Rhône, France)', 'EMB 69243F', 'Tarare (Rhône, France)']",['Intermarche'],['France'],"['Samossas bœuf ', '4x25g', ' : Galette de blé 34 5% ', 'eau', 'farine de blé', 'huile de tournesol', ""blanc d'œuf en poudre"", 'sel', 'émulsifiant: lécithine de colza', 'oignon', 'viande de bœuf 27,2%', 'carotte', 'concentré de tomate', 'huile de tournesol', 'curry 0,5% ', ' dont moutarde', 'sel', 'poivre', 'piment', '\rSamossas poulet 4x25g : Galette de blé 34,5% ', 'eau', 'farine de blé', 'huile de tournesol', ""blanc d'œuf en poudre"", 'sel', 'curcuma', 'émulsifiant: lécithine de colza', 'oignon', 'viande de poulet 20,2%', 'carotte', 'courgette', 'poivron rouge', 'protéine et amidon de blé ', 'dont sulfites', 'épices et aromates ', 'ail', 'coriandre', 'gingembre', 'poivre', 'piment', 'huile de tournesol', 'fécule de manioc', 'arômes ', 'dont blé et orge', 'sel', 'sucre']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,15.4 g,en quantité modérée,2.9 g,en quantité modérée,1.9 g,en faible quantité,1.11 g,en quantité modérée,?,,234,+10%,979 kj(234 kcal),+10%,"15,4",+58%,"2,9",+49%,"12,9",-44%,"1,9",-48%,"10,2",+39%,"1,11",+3%,"0,444",+3%,3,-41%,C,-41%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,['Fabriqué en France'],['E322i - Lécithine'],,http://www.itinerairedessaveurs.com,,,,
15,Pâte à Tartiner 13% de Noisettes - Netto,3250391325474,,,,,['Netto'],,,,['Netto'],['France'],"['Sucre', 'huiles végétales ', 'palme et colza', ""noisettes '"", '1 3%', 'cacao maigre en poudre ', '7%', ' poudre de lait écrémé ', '5,5%', ' lactosérum en poudre*i lactose*', 'émulsifiant lécithine de tournesol', 'arôme naturel de vanille', ' *dont lait', ' Traces éventuelles de : soja']",['Fruits à coque'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,536,,2243 kj(536 kcal),,"29,8",,"10,3",,60,,"59,4",,"5,2",,"0,112",,"0,045",,,,,,,,,,,,,,,,,['Huile de palme'],,,
16,"Le Bouillon De Bœuf, Le Paquet De - Bouton d'Or - 10.0g",3250391331383,,,10.0 g,['boîte'],"[""Bouton d'Or""]",,,,,['France'],"['Sel', 'exhausteur de goût', 'glutamate monosodique', 'extraits de levure et de proteines de soja', 'sucre', 'huile de tournesol', 'amidon de maïs', 'maltodextrine de tapioca', 'arômes ', 'dont céleri', 'extrait de viande de boeuf ', '1 %', 'épices et aromates ', 'sauge ', '0,3%', 'persil ', '0,1%', 'noix de muscade', 'carotte ', '0,2%', 'acidifiant : acide citrique', ' Traces éventuelles de blé', 'lait', 'oeufs', 'poissons et crustacés', ' INFORMATIONS:']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,200,,837 kj(200 kcal),,"5,1",,"0,7",,"21,2",,"8,2",,0,,"1,1",,"0,44",,,,,,,,,,,,,['en:palm-oil-free'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
17,Saucisson cuit à l'ail - Monique Ranou - 300g,3250391342921,,,300 g,,['Monique Ranou'],"['Viandes', 'Charcuteries', 'Saucissons']",,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",['Intermarché'],['France'],[],,[],,21.8 g,en quantité élevée,8.3 g,en quantité élevée,1.7 g,en faible quantité,2.1 g,en quantité élevée,?,,260,-33%,1088 kj(260 kcal),-33%,"21,8",-29%,"8,3",-30%,"1,7",-21%,"1,7",+28%,"14,8",-41%,"2,1",-50%,"0,84",-50%,20,-15%,E,-15%,,,,,,,,"['Labels de distributeurs', 'Viande-francaise', 'Sélection Intermarché', 'Viande-porcine-francaise']",,['France'],,,,,
18,Croûtons frits nature - Saint Eloi - 90g,3250391372553,D,,90 g,['sachet plastique'],['Saint Eloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,['Intermarché'],['France'],"['Farine de blé ', 'huile de tournesol', 'lactosérum _ ', 'lait', ' _ en poudre', 'farine de blé  malté', 'sel', 'levure', 'gluten  de blé ']","['Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']","['Sans huile de palme', 'Non végétalien']",4,29.6 g,en quantité élevée,3.4 g,en quantité modérée,1.7 g,en faible quantité,1.7 g,en quantité élevée,2058,+3%,?,,2058 kj(492 kcal),+4%,"29,6",+44%,"3,4",+13%,"45,8",-22%,"1,7",-54%,"9,1",-3%,"1,7",-13%,"0,68",-13%,14,-4%,D,-4%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,['en:palm-oil-free'],,,,,,,
19,Goûter crok parfum vanille - Trop Top - 300g,3250391377626,,,300 g,,"['Trop Top', 'Netto']",,,,['Netto'],['France'],"['Céréale 50', '6 % ', 'Farine de blé 35', '4 %', 'farine complète de blé 15', '2 %', 'sucre', 'matières grasses et huile végétales ', 'palme', 'tournesol', 'palmiste', 'sirop de glucose', 'poudre à lever ', ""carbonates d'ammonium"", 'carbonates de sodium', 'phosphates de calcium', 'lactosérum en poudre*', 'amidon de blé ', 'lactose* et protéines de  lait ', 'émulsifiant : lécithine de tournesol', 'sel', 'arômes', 'arôme naturel de vanille avec autres arômes naturels', 'lait écrémé en poudre', ' *dont _ lait']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Graines de sésame']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,2024,,?,,2024 kj(484 kcal),,"19,6",,"7,5",,"69,4",,"30,6",,6,,"0,64",,"0,256",,,,,,,,,,,,,,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,,,,,
20,Netto Barres Cereales Abricot,3250391389834,C,,,,['Netto'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits', ""Barres de céréales à l'abricot""]",,,['Netto'],['France'],"['avoine 1 7,8%', 'farine anhydride sulfureux', ' huile sucre', 'caramel de soja antioxydant : eztrait']","['Avoine', 'Anhydride sulfureux et sulfites', 'ABRICOT']",['Sans huile de palme'],,5.1 g,en quantité modérée,0.6 g,en faible quantité,23 g,en quantité élevée,0.36 g,en quantité modérée,?,,369,+5%,1544 kj(369 kcal),+3%,"5,1",-30%,"0,6",-76%,72,+5%,23,-10%,"5,2",-5%,"0,36",-22%,"0,144",-22%,7,-12%,C,-12%,80.5%,10.3%,4.6%,2.5%,2.1%,0.0%,56,['en:palm-oil-free'],,,,,,,
21,"Fromage blanc à 7,8% de mat.gr - Netto - 1000g",3250391396849,B,,1000 g,,['Netto'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,['Netto'],['France'],"['lait  écrémé pasteurisé*', 'crème  pasteurisée*', 'ferments lactiques* ', '*Origine : France']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,7.8 g,en quantité modérée,5.8 g,en quantité élevée,4 g,en faible quantité,0.09 g,en faible quantité,485,+29%,?,,485 kj(116 kcal),+28%,"7,8",+94%,"5,8",+122%,"4,1",-37%,4,-34%,6,-7%,"0,09",-16%,"0,036",-16%,3,+945%,C,+945%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,['France'],,,,,
22,Quatre Quarts - Netto,3250391434787,D,,,,['Netto'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",,,['Netto'],['France'],"['Farine de blé ', 'UE', ' 26,5%', 'œufs ', 'UE', 'UE', 'pâtissier ', 'dont lait', ' ', 'UE', ' 21 ', 'soit 25,5% en beurre reconstitué', 'poudres à lever : diphosphates et carbonates de sodium', 'sel', 'dextrose', ""correcteur d'acidité : acide citrique"", 'colorant : caroténoïdes', 'arôme ', 'contient alcool']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,23.6 g,en quantité élevée,16 g,en quantité élevée,27 g,en quantité élevée,1.34 g,en quantité modérée,1799,+1%,?,,1799 kj(430 kcal),+1%,"23,6",+4%,16,+31%,"48,1",-2%,27,-4%,"5,8",+1%,"1,34",+31%,"0,536",+31%,25,+10%,E,+10%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",,,,,,
23,Grignottes de poulet barbecue voalecroc poulet barbecue - Volaé - 250g,3250391461691,D,"Manchons de poulet marinés, rôtis",250 g,['Plastique'],"['Volaé', 'Sélection Intermarché']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille']",['PLUMELIN (\xa0 56 France )'],"['FR 44.014.001 CE', 'Bignon (Loire-Atlantique, France)', 'EMB 440145', 'Bignon (Loire-Atlantique, France)']",['Intermarché'],['France'],['Voir ci-dessus photo des ingrédients'],"['Gluten', 'Anhydride sulfureux et sulfites']",[],,11 g,en quantité modérée,5.1 g,en quantité élevée,2.3 g,en faible quantité,1.5 g,en quantité modérée,853,+36%,204,+17%,853 kj(204 kcal),+19%,11,+27%,"5,1",+83%,"4,6",-55%,"2,3",+51%,20,+94%,"1,5",+62%,"0,6",+62%,12,+228%,D,+228%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Nutriscore', 'Nutriscore C']",,,https://www.intermarche.com/rechercheproduits/06813/rayon/2501/volaille_cuisinee,,,,
24,Salade de Quinoa à la grecque - Monique Ranou - 250g,3250391461899,,,250g,"['Barquette', 'Plastique']",['Monique Ranou'],"['Plats préparés', 'Salades', 'Salades composées']",,"['EMB 61181D', 'Gacé (Orne, France)']",['Intermarché'],['France'],"['Eau', 'quinoa cuit 18%', 'boulgour 15% ', 'BLE dur précuit', 'Féta AOP 10% ', 'LAIT de brebis et de chèvre pasteurisé', 'sel', 'ferments LACTIQUES', 'présure', 'tomate 10%', 'huile de colza', 'concombre 6%', 'courgette 7%', 'olives noires 2%', 'vinaigre balsamique ', 'vinaigre de vin', 'moût de raisin', 'sucre', 'sel', 'menthe', 'jus concentré de citron', '2', 'piment doux', ' Traces éventuelles de crustacés', 'poissons', 'mollusques', 'oeufs', 'céleri', 'moutarde', 'soja', ' *Certains cais']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",['Non végétalien'],3,10.5 g,en quantité modérée,2.9 g,en quantité modérée,2.5 g,en faible quantité,1.29 g,en quantité modérée,?,,186,+22%,778 kj(186 kcal),+23%,"10,5",+17%,"2,9",+115%,"16,6",+64%,"2,5",+11%,"4,8",-13%,"1,29",+47%,"0,516",+47%,5,+229%,C,+229%,,,,,,,,"['Labels de distributeurs', 'Nutriscore', 'Nutriscore C', 'Sélection Intermarché']",,,,,,,
