,name,bar_code,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,brand,manufacturing,markets,allergens,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,additives,traceability_code,palm_ingredients,brand_owner
0,Pâtes alimentaires,8008857310602,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['Fabriqué en Italie'],['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.007 g,en faible quantité,?,,360,+8%,1506 kj(360 kcal),+8%,"1,3",-50%,"0,2",-71%,73,+18%,3,+8%,"12,5",+8%,"0,007",-97%,"0,003",-97%,-1,,A,,,,,,,,,,,,,,,,,,,,,,,
1,Pasta di semola di grano duro,8008857770192,,,['France'],[],[],,,,,,,,,?,,358,,1498 kj(358 kcal),,"1,3",,"0,2",,73,,"0,2",,12,,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Bardolino 2014 - Signore Giuseppe - 0,75l",8008863031331,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', 'it:Bardolino']",['AOP'],['France'],"['Vin ', 'sulfites']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"0,75 l","['Bouteille', 'Verre']",['Signore Giuseppe'],['Italie'],['SImply Market'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,
3,8008863040968,8008863040968,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Delser Oasi Con Confettura E Pezzetti Di Mela Merken,8008910025795,,,['France'],[],[],,,,,,,,,?,,417,,1745 kj(417 kcal),,13,,"1,4",,69,,33,,"4,6",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pasta Di Gragnano IGP - Liguori,8008912011147,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",['IGP'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,,,?,,353,0%,1477 kj(353 kcal),-0%,"1,2",-33%,"0,3",-21%,"69,9",+0%,"3,1",-2%,"14,1",+14%,,,,,,,,,,,['Liguori'],,,,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,
6,Bucatini - Liguori - 500g,8008912011208,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Bucatini']",,['France'],"['Semoule de BLÉ dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,+6%,1477 kj(353 kcal),+6%,"1,2",-18%,"0,3",+5%,70,+4%,"3,1",-8%,"14,1",+11%,0,-100%,0,-100%,-1,,A,,500 g,,['Liguori'],,,['Gluten'],1,,,,,,,,,,,,,,,
7,Liguori Rigatoni Gragnano - 500g,8008912011246,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Rigatoni']",['IGP'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,+1%,1477 kj(353 kcal),+0%,"1,2",-15%,"0,3",+2%,70,+0%,"3,1",+9%,"14,1",+9%,0,-100%,0,-100%,-4,,A,,500 g,,['Liguori'],,,,,,,,,,,,,,,,,,,
8,Elicoidalli - Liguori,8008912011390,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",['Fabriqué en Italie'],['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,0 g,en faible quantité,?,,353,0%,1477 kj(353 kcal),-0%,"1,2",-33%,"0,3",-21%,70,+0%,"3,1",-2%,"14,1",+14%,0,-100%,0,-100%,-4,,A,,,,['Liguori'],,,,,,,,,,,,,,,,,,,
9,Fusilli No. 140 - Liguori,8008912011406,,,['France'],"['Semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,70,,"3,1",,"1,4",,0,,0,,,,,,,,['Liguori'],,,,,,,,,,,,,,,,,,,
10,Scialatielli n°150,8008912011505,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,70,,"3,1",,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Trecce 195,8008912011956,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,70,,"3,1",,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Farfalle - Liguori,8008912012106,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Farfalles', 'Farfalles de blé dur']",['IGP'],['France'],"['Semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.2 g,en faible quantité,0.3 g,en faible quantité,3.1 g,en faible quantité,,,?,,353,-0%,1477 kj(353 kcal),-0%,"1,2",-25%,"0,3",-10%,70,+1%,"3,1",-5%,"14,1",+17%,,,,,,,,,,,['Liguori'],,,,1,,,,,,,,,,,,,,,
13,Nidi pappardelle,8008912012168,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,70,,"3,1",,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fusilli Lunghi Bucati,8008912012236,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,2",,"0,3",,"69,9",,"3,1",,"14,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Penne rigate - Liguori,8008912015336,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,['France'],[],[],2 g,en faible quantité,0.3 g,en faible quantité,3.5 g,en faible quantité,0 g,en faible quantité,?,,341,-3%,1427 kj(341 kcal),-4%,2,+18%,"0,3",-20%,65,-7%,"3,5",+20%,12,0%,0,-100%,0,-100%,-1,,A,,,,['Liguori'],,,,,,,,,,,,,,,,,,,
16,8008925127835,8008925127835,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amaretti morbissimi,8008947000536,,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,461,,1929 kj(461 kcal),,"22,2",,"1,7",,"59,4",,"51,4",,"11,9",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Biscotti Integrali all’olio extravergine di oliva boologici - Ciardi,8008947060059,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",['France'],"[""BISCOTTI INTEGRALI ail' olio extra vergjne di biologici Ingrgdignti: Farina di gran integri' 45 di Canna%Farina di !iva di mais Agenti Grano extra verginr liwitanti: carbonati di ammonio"", 'nati di sodio', '*Biologico', 'PUàcontenere di frutu a g uwo', 'uova e prodotd a b ase di llova', 'e prodoto a base di latte', 'a base']","['Végétalien', 'Végétarien']",,,,,,,,,?,,424,,1774 kj(424 kcal),,"11,2",,"1,7",,"72,2",,"28,8",,"3,6",,"0,04",,"0,016",,,,,,,,['Ciardi'],,,,,,,,,,,,,,,,,,,
19,Fusilli - 500g,8008993100242,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,['Sachet plastique'],,,,,,,,,,,,,,,,,,,,
20,Moccagatta Farfalle Pasta 122 - - Moccagatia,8008993400151,,"['Kascher', 'en:Orthodox Union Kosher']",['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"1,5",,"1,5",,73,,3,,"11,5",,"0,4",,"0,16",,,,,,,,['Moccagatia'],,,,,,,,,,,,,,,,,,,
21,Escargot blanc - Montebello - 500g,8009004701151,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']","['Bio', 'IT-BIO-ICA', 'ICEA']",['France'],"['Semoule blanche de blé dur*', ' ', '* biologique 100 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,['Sachet plastique'],['Montebello'],"['Coop. Agrobiologique ""Alce Nero"" - Via Strada delle Valli 21 - 61030 Isola del Piano', '(PU : Pesaro et Urbino)', 'Marches', 'Italie']",,['Gluten'],1,B,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,Pâtes alimentaires à la semoule blanche de blé dur issu de l'agriculture biologique,['Italie'],http://www.girolomoni.it/,,,,
22,Penne Semi-complète - Montebello,8009004701304,,['Bio'],['France'],['semoule semi-complète de blé dur bio'],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"1,9",,"0,4",,"71,8",,"5,5",,"11,8",,"0,05",,"0,02",,,,,,,,['Montebello'],,,,,,,,,,,,,,,,,,,
23,400G Miel Acacia - Alce nero - 400g,8009004800205,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['Bio'],['France'],['Miel de acacia bio'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,82.5 g,en quantité élevée,0 g,en faible quantité,?,,331,+15%,1385 kj(331 kcal),+14%,0,-100%,0,-100%,"82,5",+7%,"82,5",+17%,"0,3",-14%,0,-100%,0,-100%,,,,,400 g,,['Alce nero'],,,,2,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
24,400G Miel Orange - Alce nero - 400g,8009004800229,,,['France'],[],[],,,,,,,,,?,,331,,1385 kj(331 kcal),,0,,0,,"82,5",,"82,5",,"0,3",,,,,,,,,,400 g,,['Alce nero'],,,,,,,,,,,,,,,,,,,
25,Tomates Sechees Dans L'huile -  - 330g,8009004809048,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",,['France'],[],[],15 g,en quantité modérée,1.9 g,en quantité modérée,13 g,en quantité élevée,7 g,en quantité élevée,?,,226,+5%,946 kj(226 kcal),+6%,15,-7%,"1,9",+3%,15,+23%,13,+55%,"5,4",+50%,7,+164%,"2,8",+164%,7,+43%,C,+43%,330 g,['Pot en verre'],,,,,,E,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,
26,Pomodoro Con Melanzane - Alce nero,8009004809734,,['Bio'],['France'],"[""i TOMATE BIOLOGIQUE D'OLIVE VIERGE EXTRA tomate* "", '71%', ' ', 'coulis de tomate*', 'pulpe de tomate*', 'aubergines* ', '18%', ""huile d'olive sucre de canne* sel"", 'olives* ', ""'Produit issu de l'agriculture biologique"", ' au réfrigérateur']",[],,,,,,,,,?,,77,,322 kj(77 kcal),,"4,3",,"0,7",,"6,5",,"5,6",,"1,5",,"1,3",,"0,52",,,,,,,,['Alce nero'],,,,,,,,,,,,,,,,,,,
27,Epicerie / Epicerie Sucrée / Miels Bio - Alce nero,8009004810075,,['Bio'],['France'],"[""MIEL ITALIEN D'ACACIA BIO""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,331,,1385 kj(331 kcal),,0,,0,,83,,83,,0,,"0,2",,"0,08",,,,,,,,['Alce nero'],,,,,,,,,,,,,,,,,,,
28,Crema De Verduras Ecológica - Alce Nero,8009004810754,,"['Bio', 'Entrepreneurs + Engagés']",['France'],"['6%', 'spinach* ', '3,9%', 'fi small ', '11,5%', 'sait', ""parsi'ey*"", ' anic', ' - sans légumes* ', '44,9%', ' ', '12%', 'de tomates* ', '8%', 'courge* carottes* ', '6,5%', 'Oignons* ', '1,5%', '] e ', '14,9%', ' [Zucchini* ', '12%', "",' Petersilie*"", ' *Bioprodukt', ' DE vERDuiAs ', 'VELLUTATÂ', ' GICA']",[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,3",,0,,"2,6",,"1,4",,"1,2",,"0,5",,"0,2",,,,,,,,['Alce Nero'],,,,,,,,,,,,,,,,,,,
29,Fusilloni di semolato biologici -organic - Alce Nero - 500g,8009004811164,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']",,"['France', 'Italie']",[],[],2 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,,,?,,354,+1%,1481 kj(354 kcal),+0%,2,+2%,"0,3",-28%,70,+3%,2,-28%,12,-2%,,,,,,,,,500 g,,['Alce Nero'],,,,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,
30,Penne rigate - Alce Nero - 5kg,8009004811287,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",['Fabriqué en Italie'],"['France', 'Italie']",['semoule semi-complète de blé dur biologique'],[],2 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,,,?,,354,+1%,1481 kj(354 kcal),+0%,2,+18%,"0,3",-20%,70,+0%,2,-32%,12,0%,,,,,,,,,5 kg,,['Alce Nero'],,,,,,,,,,,,,,,,,,,
31,Organic Pasta Sauce Napoletana - Alce nero,8009004908543,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"2,4",,"0,67",,"7,3",,"5,7",,"1,5",,"0,48",,"0,192",,,,,,,,['Alce nero'],,,,,,,,,,,,,,,,,,,
32,Spicchi,8009060002759,,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"0,5",,0,,96,,72,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pepperoncino,8009086101450,,,['France'],[],[],,,,,,,,,?,,476,,1992 kj(476 kcal),,19,,4,,62,,"2,8",,13,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sauce tomate - -desantis - 700g,8009113002903,"['Epicerie', 'Sauces', 'Sauces tomate']",,['France'],"['tomate', 'sel', ""correcteur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,4.3 g,en faible quantité,0.2 g,en faible quantité,?,,26,-70%,109 kj(26 kcal),-69%,0,-100%,0,-100%,"4,3",-64%,"4,3",-56%,"1,4",-10%,"0,2",-84%,"0,08",-84%,-1,-119%,A,-119%,700 g,,['-desantis'],,,,3,B,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,['E330 - Acide citrique'],,,
35,Cookie,8009120008226,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Fabriqué en Italie'],['France'],[],[],18 g,en quantité modérée,9 g,en quantité élevée,28 g,en quantité élevée,0.19 g,en faible quantité,?,,468,-1%,1958 kj(468 kcal),-2%,18,-13%,9,-11%,69,+8%,28,-5%,"6,1",-6%,"0,19",-68%,"0,076",-68%,19,-4%,E,-4%,,,,,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
36,Biscuits au riz et cacao,8009120008806,,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,492,,2059 kj(492 kcal),,"22,2",,12,,65,,"24,6",,"6,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Wamar,8009120440033,,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,12,,"0,1",,"28,3",,12,,"5,8",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cookies - Monviso,8009120440194,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,['France'],[],[],22 g,en quantité élevée,7.6 g,en quantité élevée,30 g,en quantité élevée,0.35 g,en quantité modérée,?,,484,+2%,2025 kj(484 kcal),+2%,22,+6%,"7,6",-25%,63,-2%,30,+2%,"6,2",-5%,"0,35",-41%,"0,14",-41%,20,+1%,E,+1%,,,['Monviso'],,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
39,Frollini,8009120440347,,,['France'],[],[],,,,,,,,,?,,461,,1929 kj(461 kcal),,15,,"1,8",,71,,21,,"8,6",,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cremon,8009120440491,,['Sans lactose'],['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,28,,"4,3",,60,,30,,"6,1",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Semoule de maïs jaune-bramata,8009149117718,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,1,,"0,24",,74,,"0,64",,"6,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Grissani Con Aceite De Oliva,8009155016012,,,['France'],[],[],,,,,,,,,?,,436,,1824 kj(436 kcal),,"11,3",,"1,9",,"71,7",,"2,2",,"10,3",,"2,27",,"0,908",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Coulis frutti di bosco,8009160014652,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,"0,1",,0,,68,,56,,"0,2",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8009160034957,8009160034957,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Toppking,8009160038092,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,0,,0,,75,,75,,0,,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Le Topping de Qualité,8009160038108,,,['France'],[],[],,,,,,,,,?,,279,,1167 kj(279 kcal),,0,,0,,"69,5",,"55,3",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fregula tostata - Lorenzo Il Magnifico,8009167017106,,['Bio'],['France'],"['Semoule de blé dur', 'eau', "" Pour produire d'autres articles"", 'dans [établissement on utilise également: oeuf', 'poisson', 'palourdes', ' INGREDIENTES: Semolino de trigo', 'agua', ' Para producir otros articulos', 'en el establecimiento se utilizen ademas: huevo', 'pescado', 'almejas', ' INGREDIENTES: Sémola de grâo duro', 'égua', 'A fim produzir outros artigo$ a p!anta igualmente usa-se: ovos', 'peixes', ' amêijoas', 'A NUTRmONFACTS']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,357,,1494 kj(357 kcal),,"1,2",,"0,2",,72,,"3,7",,"10,5",,"0,01",,"0,004",,,,,,,,['Lorenzo Il Magnifico'],,,['Poisson'],,,,,,,,,,,,,,,,
48,Germo di grano,8009167018875,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,8",,1,,70,,"5,7",,15,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pasta strozzapreti,8009167022445,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,8",,1,,70,,"5,7",,15,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Tagliatelle, Mit Steinpilzen",8009167117226,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"2,2",,"0,6",,69,,"2,8",,15,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tagliolini Salmone,8009167121186,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"2,1",,"0,5",,70,,"4,5",,14,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Toscani Tagliatelle Saumon 250G,8009167121223,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"2,1",,"0,5",,70,,"4,5",,14,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tagliatelle arcobaleno - Morelli,8009167131222,,,['France'],"['semoule de blé dur', 'betterave rouge deshydratée ', '3,00%', ' ', 'paprika deshydratée ', '3,00%', 'deshydratée curcuma ', '2,00%', 'deshydratée épinards ', '2,00%', 'deshydratée spiruline algues ', '2,00%', 'encre de seiche ', '2,00%', "" Pour produire d'autres articles"", ""dans l'établissement on utilise également: oeuf"", 'poisson']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,2",,"0,4",,73,,"0,6",,13,,"0,3",,"0,12",,,,,,,,['Morelli'],,,['Poisson'],,,,,,,,,,,,,,,,
54,"Tagliolini Au Germe De Blé, Ail & Basilic - La pasta di angelo",8009167141207,,,"['France', 'Allemagne']","['Semoule de blé dur', 'eau', 'germe de blé ', '3,39%', 'ail en poudre ', '0,42%', ""arôme naturel de l'ail "", ""huile essentielle d'ail"", 'sel', ' 0,42%,basilic en poudre ', '0,42%', 'arôme nature de basilic ', 'huile essentielle de basilic', 'sel', 'épinard en poudre']",[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"1,5",,"0,9",,73,,"3,6",,13,,"0,06",,"0,024",,,,,,,['Produkt'],['La pasta di angelo'],,,,,,,,,,,,,,,,,,,
55,8009167191226,8009167191226,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Farfalle cinque sapori,8009167221428,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"1,5",,"0,6",,78,,2,,12,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Farfalle Italia,8009167221503,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"1,5",,"0,6",,78,,2,,12,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pate,8009167222432,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"1,5",,"0,6",,78,,2,,12,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fettuccine Olijven 250gr - 250g,8009167278231,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,2,,"0,4",,70,,"4,4",,13,,"0,4",,"0,16",,,,,,250 g,,,,,,,,,,,,,,,,,,,,,
60,Fusilli Bio Kamut - Pastificio Morelli,8009167311402,,"['Bio', 'Bio européen', 'IT-BIO-007']",['France'],[],[],,,,,,,,,?,,333,,1393 kj(333 kcal),,"2,8",,"0,6",,56,,"2,5",,14,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pâtes avec épinards - Morelli,8009167352610,,,['France'],"['Semoule de blé dur', 'eau', 'épinards déshydratés ', '2%', ' L’établissement utilise œuf', 'poisson', 'palourde pour d’autres produits']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,355,,1485 kj(355 kcal),,"1,5",,"0,4",,72,,"2,5",,13,,"0,04",,"0,016",,,,,,,,['Morelli'],,,['Poisson'],,,,,,,,,,,,,,,,
62,Ricotta fraiche - Fleur De Brebis,8009221000075,,,['France'],"['Petit lait de chèvre pasteurisé,petit lait de brebis pasteurisé,sel,E330,sorbate de potassium,E407,E410']",[],,,,,,,,,?,,164,,686 kj(164 kcal),,13,,9,,"0,75",,"0,5",,11,,"0,17",,"0,068",,,,,,,,['Fleur De Brebis'],,,,4,,,,,,,,,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",,,
63,Cantuccini alle mandorle -,8009234000031,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",,['France'],[],[],11 g,en quantité modérée,3 g,en quantité modérée,38 g,en quantité élevée,0.06 g,en faible quantité,?,,433,-2%,1812 kj(433 kcal),-2%,11,-23%,3,-24%,72,+9%,38,+18%,"9,4",-3%,"0,06",-81%,"0,024",-81%,15,-3%,D,-3%,,,,,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
64,Zuppa italiana di legumi e cereali,8009242811100,,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,"4,4",,"0,5",,"44,6",,4,,"21,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rubata Grissinifico Linea derby,8009273000023,,,['France'],"['farine de blé tendre', 'huile de tournesol ', '9%', 'sel', 'levure', 'farine de froment au malt']",[],,,,,,,,,?,,425,,1778 kj(425 kcal),,11,,2,,69,,2,,10,,2,,"0,8",,,,,,,,['Derby'],,,,,,,,,,,,,,,,,,,
66,Grissinifico linea - DERBY,8009273000054,,,['France'],"['farine de blé', 'huile do tournesol ', '9%', ' levure', ' farine do blé au malt Confient du gluteno Pourait contenir des traces do graines de sésame et de soja Conserver au frais et au se']",[],,,,,,,,,?,,430,,1799 kj(430 kcal),,12,,2,,71,,2,,10,,2,,"0,8",,,,,,,,['DERBY'],,,['Gluten'],,,,,,,,,,,,,,,,
67,Grissini,8009273000306,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['en:palm-oil-free'],['France'],[],['Sans huile de palme'],12 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,?,,428,+2%,1791 kj(428 kcal),+2%,12,+11%,2,-12%,68,+2%,2,-20%,9,-21%,2,+5%,"0,8",+5%,14,+9%,D,+9%,,,,,,,,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,
68,Rubatà alle Olive Nere,8009273000528,,,['France'],[],[],,,,,,,,,?,,436,,1824 kj(436 kcal),,"14,5",,"4,3",,66,,"2,4",,9,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
