,name,bar_code,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,brand,manufacturing,markets,allergens,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,additives,traceability_code,palm_ingredients,brand_owner
1952,Linguine alla Puttanesca,8032817693566,"['Epicerie', 'Sauces', 'Sauces tomate']",,['France'],[],[],5.7 g,en quantité modérée,0.6 g,en faible quantité,2.7 g,en faible quantité,2 g,en quantité élevée,?,,399,+353%,1669 kj(399 kcal),+368%,"5,7",+164%,"0,6",+71%,80,+572%,"2,7",-72%,"10,6",+579%,2,+55%,"0,8",+55%,12,+133%,D,+133%,,,,,,,,B,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,
1953,Tiberino,8032817694150,,,['France'],"['à la semoule de BLÉ dur88%', '10%', 'ail', 'pignons', 'sel', ' Contient GLUTEN', ' Peut contenir des traces de: à COQUE', 'graine de SOJA', "" He contient d'ingrédients chimiques ou d'origine animale""]",[],,,,,,,,,?,,370,,1548 kj(370 kcal),,2,,0,,75,,0,,13,,"0,25",,"0,1",,,,,,,,['Tiberino'],,,"['Gluten', 'Soja']",,,,,,,,,,,,,,,,
1954,Risotto aux légumes du jardin,8032817694518,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,2,,"0,5",,80,,"1,2",,7,,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,Mozzarella - Nonna Isa - 300g (3 * 100g),8032828009608,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,['France'],[],[],15.5 g,en quantité modérée,10.6 g,en quantité élevée,0.3 g,en faible quantité,0.5 g,en quantité modérée,?,,213,-18%,891 kj(213 kcal),-18%,"15,5",-25%,"10,6",-24%,"0,4",-61%,"0,3",-60%,18,+7%,"0,5",-26%,"0,2",-26%,9,-12%,C,-12%,300 g (3 * 100 g),,['Nonna Isa'],,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
1956,The a la peche,8032835009776,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"8,4",,"8,1",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,Mix cocktail,8032835010079,,,['France'],[],[],,,,,,,,,?,,454,,1900 kj(454 kcal),,14,,7,,72,,6,,"8,6",,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Patè di olive nere,8032836234023,,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,207,,866 kj(207 kcal),,"22,5",,"2,4",,0,,0,,"0,7",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Apfelminze,8032841270481,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,11,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Crushed chillies,8032841431066,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,11,,0,,0,,0,,15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,salame ducal,8032841844187,,,['France'],[],[],,,,,,,,,?,,448,,1874 kj(448 kcal),,37,,"14,6",,1,,"0,1",,27,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,"Vinaigre Balsamique Igp étiquette Jaune Ligne ""Il Tinello""",8032853080016,,,['France'],[],[],,,,,,,,,?,,190,,795 kj(190 kcal),,0,,0,,43,,43,,0,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,8032871844539,8032871844539,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,Cellini Capsule Espresso Cremoso,8032872606013,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,8032872606044,8032872606044,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,8032872606051,8032872606051,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,8032872606068,8032872606068,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,pépite de chocolat au lait,8032872608017,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Fabriqué en France']",['France'],[],[],,,,,,,,,?,,568,,2377 kj(568 kcal),,37,,23,,50,,49,,"8,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,Farine riz blanc biologique - Molino Brunati - 1000g,8032880710030,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']","['Bio', 'Bio européen', 'IT-BIO-014', 'AB Agriculture Biologique']",['France'],['RIZ'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.8 g,en faible quantité,0.18 g,en faible quantité,0.5 g,en faible quantité,0.008 g,en faible quantité,?,,349,-1%,1460 kj(349 kcal),-1%,"0,8",-54%,"0,18",-59%,80,+4%,"0,5",-8%,"5,5",-20%,"0,008",-33%,"0,003",-33%,1,,B,,1000 g,['1kg'],['Molino Brunati'],['10040 Val della Torre'],['Satoriz'],,1,B,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,
